,Song_Title,Artist,Lyricist,Composer,Lyric
0,君に夢中,"
宇多田ヒカル",Hikaru Utada,Hikaru Utada,"君に夢中 Oh 人生狂わすタイプ Ah まるで終わらない deja vu バカになるほど 君に夢中 完璧に見えるあの人も疲れて帰るよ 才能には副作用 栄光には影が付き纏う オートロックのドアが閉まる 靴と鎧を脱ぎ捨てる ここから先はプライベート 心の損得を考える余裕のある 自分が嫌になります 今どこにいる？ すぐそこに行くよ Oh baby, baby You, you, you Oh 人生狂わすタイプ Ah 許されぬ恋ってやつ？ 分かっちゃいるけど 君に夢中 序盤は完全ノーマーク 火がつくと止められなくなる 普段から大人しくて 嘘が下手そうなやつあるある 嘘じゃないことなど 一つでも有ればそれで充分 どの私が本当のオリジナル？ 思い出させてよ Oh baby, baby 君に夢中 Oh 人生狂わすタイプ Ah 来世でもきっと出会う 科学的にいつか証明される Everything I do makes it obvious That I'm into you and it's only cuz 好き過ぎてどうにかなる 知れば知るほど遠のく 真実を追いかける最中に 私が私を欺く Oh baby, baby You, you, you 人生狂わすタイプ ここが地獄でも天国 バカになるほど 君に夢中"
1,月光,"
鬼束ちひろ",鬼束ちひろ,鬼束ちひろ,I am GOD'S CHILD (私は神の子供) この腐敗した世界に堕とされた How do I live on such a field? (こんな場所でどうやって生きろと言うの?) こんなもののために生まれたんじゃない 突風に埋もれる足取り 倒れそうになるのを この鎖が 許さない 心を開け渡したままで 貴方の感覚だけが散らばって 私はまだ上手に 片付けられずに I am GOD'S CHILD この腐敗した世界に堕とされた How do I live on such a field? こんなもののために生まれたんじゃない 「理由」をもっと喋り続けて 私が眠れるまで 効かない薬ばかり転がってるけど ここに声も無いのに 一体何を信じれば? I am GOD'S CHILD (私は神の子供) 哀しい音は背中に爪跡を付けて I can't hang out this world (この世界を掲げる事など出来ない) こんな思いじゃ どこにも居場所なんて無い 不愉快に冷たい壁とか 次はどれに弱さを許す? 最後(おわり)になど手を伸ばさないで 貴方なら救い出して 私を 静寂から 時間は痛みを 加速させて行く I am GOD'S CHILD この腐敗した世界に堕とされた How do I live on such a field? こんなもののために生まれたんじゃない I am GOD'S CHILD 哀しい音は背中に爪跡を付けて I can't hang out this world こんな思いじゃ どこにも居場所なんて無い How do I live on such a field?
2,阿修羅ちゃん,"
Ado",Neru,Neru,ねえ、あんたわかっちゃいない 誰それがお手元の世界に夢中 化け物の飼い方を学んでる 選ばれる為なら舌を売る 裏切られた分だけ墓を掘る へらへらのおつむがどうにかして うすら寒い言葉ばかりになる 覚えない顔とバイバイできるなら 阿修羅にだってなれるわ 逃げるえすけいぷえすけいぷえすけいぷ 仏のまま 飛べるすてっぷすてっぷすてっぷ 仰せのまま アンダスタン アンダスタン どーどー閻魔様さえ喰らって 騙るすにーくすにーくすにーく 嵐の中 跳ねるすきっぷすきっぷすきっぷ あっそ、へのかっぱ アンダスタン アンダスタン いっそ骨の髄までしゃぶって ねえ、あんたわかっちゃいない 日々の滲みを木々に焼べて暖をとり合う 義理を誣いた彼の四肢は散り散りになる 知りもせずに意味を美意識だと崇める 擬似餌じみた恣意に御の字だった 愉快な御託のフルコースに うわべの面をして可愛がった くだんない僧と踊るくらいなら 悪魔と手繋ぐわ 逃げるえすけいぷえすけいぷえすけいぷ 仏のまま 飛べるすてっぷすてっぷすてっぷ 仰せのまま アンダスタン アンダスタン 阿鼻地獄の果てまでロックオン 騙るすにーくすにーくすにーく 嵐の中 跳ねるすきっぷすきっぷすきっぷ あっそ、へのかっぱ アンダスタン アンダスタン あんた寝言はあの世で言って 逃げるえすけいぷえすけいぷえすけいぷ 仏のまま 飛べるすてっぷすてっぷすてっぷ 仰せのまま アンダスタン アンダスタン どーどー閻魔様さえ喰らって 騙るすにーくすにーくすにーく 嵐の中 跳ねるすきっぷすきっぷすきっぷ あっそ、へのかっぱ アンダスタン アンダスタン いっそ骨の髄までしゃぶって ねえ、ギャーギャー言っちゃって 頭を垂れないで
3,初心LOVE,"
なにわ男子",栗原暁(Jazzin'park),久保田真悟・栗原暁(Jazzin'park),もっとあんな恋がしたくて こんなはずじゃなくて ハジメテは全部キミだけ 一歩ずつ叶えよう My First Lover... 心がざわめく はじまりの予感！？ あの子が気になって 気づけなかったんだ 君の瞳の行く先が 僕だってことを (いじわる…すれ違い) 本音を知りたいのは 僕も同じです 何度も見返すタイムライン 恥ずかしいほど ホットライン Ah 誰かにみられたらどうしよう… (こうしよう…ああしよう) 自分ばっかりで もうバカみたいだ そのくせ目が合えば 夢みたいだ ハートの傘に二人並んだ うそでしょ… 運命(キセキ)は待ってたんだ もっとあんな恋がしたくて こんなはずじゃなくて シュンとなってキュンとなって 初心だね 磁石みたいにまたくっついて離れて OMG OMG 恋は暇じゃないさ Lalalalattta Lalalalattta 出会ってしまった 君は太陽 Lalalalattta Lalalalattta こうしよう 二人は めげない ロミジュリ これってもしかして もしかするフラグ 左胸がドクンと 聞こえたような気がして Ah 気づかれてしまったらどうしよう… (こうしよう…ああしよう) 眠れない夜の波泳いで 君の好きな歌リピートしてた どこにたどり着いたとしても なぜだろう… 僕は止まれないんだ もっとあんな恋がしたくて こんなはずじゃなくて シュンとなってキュンとなって Loveだね ジェットコースターみたいで 息ができなくて OMG OMG 恋に暇はないさ 何から伝えて… どうにかなりたい？ 神様お手上げ どうにもならない？ たった一言で 世界は変わるのさ ずっと離れたくなくて でもやっぱ言えなくて ハッとなってギュッとなって wow yeah 君の笑顔ひとつで 僕の鼓動ざわめくんだ そうさ ねぇ、今もだよ あんな恋がしたくて こんなはずじゃなくて ハジメテは全部キミだけ 磁石みたいにまたくっついて離れて OMG OMG 恋は暇じゃないさ Lalalalattta Lalalalattta 出会ってしまった 君は太陽 Lalalalattta Lalalalattta こうしよう 二人は めげない ロミジュリ
4,ベテルギウス,"
優里",優里,優里,空にある何かを見つめてたら それは星だって君がおしえてくれた まるでそれは僕らみたいに 寄り添ってる それを泣いたり笑ったり繋いでいく 何十回 何百回 ぶつかりあって 何十年 何百年 昔の光が 星自身も忘れたころに 僕らに届いてる 僕ら見つけあって 手繰りあって 同じ空 輝くのだって 二人だって 約束した 遥か遠く終わらないベテルギウス 誰かに繋ぐ魔法 僕ら 肩並べ 手取り合って 進んでく 辛い時だって 泣かないって 誓っただろう 遥か遠く終わらないベテルギウス 君にも見えるだろう 祈りが 記憶を辿るたび 蘇るよ 君がいつだってそこに居てくれること まるでそれは星の光と 同じように 今日に泣いたり笑ったり繋いでいく 何十回 何百回 ぶつかりあって 何十年 何百年 昔の光が 僕自身も忘れたころに 僕らを照らしてる 僕ら見つけあって 手繰りあって 同じ空 輝くのだって 二人だって 約束した 遥か遠く終わらないベテルギウス 誰かに繋ぐ魔法 どこまで いつまで 生きられるか 君が不安になるたびに強がるんだ 大丈夫 僕が横にいるよ 見えない線を繋ごう 僕ら見つけあって 手繰りあって 同じ空 輝くのだって 二人だって 約束した 遥か遠く終わらないベテルギウス 誰かに繋ぐ魔法 僕ら 肩並べ 手取り合って 進んでく 辛い時だって 二人だって 誓っただろう 遥か遠く終わらないベテルギウス 君にも見えるだろう 祈りが 空にある何かを見つめてたら それは星だって君がおしえてくれた
5,Cry Baby,"
Official髭男dism",藤原聡,藤原聡,胸ぐらを掴まれて 強烈なパンチを食らってよろけて 肩を並べうずくまった 予報通りの雨にお前はにやけて 「傷口が綺麗になる」なんて嘘をつく いつも口喧嘩さえうまく出来ないくせして 冴えない冗談言うなよ あまりのつまらなさに目が潤んだ 何度も青アザだらけで涙を 流して 流して 不安定な心を肩に預け合いながら 腐り切ったバッドエンドに抗う なぜだろう 喜びよりも心地よい痛み ずっしりと響いて 濡れた服に舌打ちしながら 腫れ上がった顔を見合って笑う 土砂降りの夜に 誓ったリベンジ 胸ぐらを掴み返して 反撃のパンチを繰り出すくらいじゃなきゃ お前の隣には立てないから 相手が何であれ日和らない 何度伸されても諦めない 忘れるな忘れるなと言い聞かせ続けたのに 傘はいらないから言葉を一つくれないか 微温い優しさではなく 弱音に侵された胸の奥を抉るような言葉を 何度も青アザだらけで涙を 流して 流して 不安定な心を肩に預け合いながら 腐り切ったバッドエンドに抗う なぜだろう 喜びよりも心地よい痛み ずっしりと響いて 濡れた服に舌打ちしながら 腫れ上がった顔を見合って笑う 土砂降りの夜に 囚われの日々に 問いかけるように 光った瞳の中で 誓ったリベンジ
6,夜に駆ける,"
YOASOBI",Ayase,Ayase,沈むように溶けてゆくように 二人だけの空が広がる夜に 「さよなら」だけだった その一言で全てが分かった 日が沈み出した空と君の姿 フェンス越しに重なっていた 初めて会った日から 僕の心の全てを奪った どこか儚い空気を纏う君は 寂しい目をしてたんだ いつだってチックタックと 鳴る世界で何度だってさ 触れる心無い言葉うるさい声に 涙が零れそうでも ありきたりな喜びきっと二人なら見つけられる 騒がしい日々に笑えない君に 思い付く限り眩しい明日を 明けない夜に落ちてゆく前に 僕の手を掴んでほら 忘れてしまいたくて閉じ込めた日々も 抱きしめた温もりで溶かすから 怖くないよいつか日が昇るまで 二人でいよう 君にしか見えない 何かを見つめる君が嫌いだ 見惚れているかのような恋するような そんな顔が嫌いだ 信じていたいけど信じれないこと そんなのどうしたってきっと これからだっていくつもあって そのたんび怒って泣いていくの それでもきっといつかはきっと僕らはきっと 分かり合えるさ信じてるよ もう嫌だって疲れたんだって がむしゃらに差し伸べた僕の手を振り払う君 もう嫌だって疲れたよなんて 本当は僕も言いたいんだ ほらまたチックタックと 鳴る世界で何度だってさ 君の為に用意した言葉どれも届かない 「終わりにしたい」だなんてさ 釣られて言葉にした時 君は初めて笑った 騒がしい日々に笑えなくなっていた 僕の目に映る君は綺麗だ 明けない夜に溢れた涙も 君の笑顔に溶けていく 変わらない日々に泣いていた僕を 君は優しく終わりへと誘う 沈むように溶けてゆくように 染み付いた霧が晴れる 忘れてしまいたくて閉じ込めた日々に 差し伸べてくれた君の手を取る 涼しい風が空を泳ぐように今吹き抜けていく 繋いだ手を離さないでよ 二人今、夜に駆け出していく
7,アルデバラン,"
AI",森山直太朗,森山直太朗,君と私は仲良くなれるかな この世界が終わるその前に きっといつか儚く枯れる花 今、私の出来うる全てを 笑って笑って 愛しい人 不穏な未来に 手を叩いて 君と君の大切な人が幸せであるそのために 祈りながら sing a song 見上げてごらん煌めくアルデバラン 溢れてくる涙の理由を またこうして笑って会えるから ただ魂の赴く方へ 紡いで紡いだ 心の糸 ペテンな時代に 負けないように もしも君が不確かな明日に心震わせているのなら 私だってそうよ friend 会えない時の静寂が 永遠にも思える夜 その孤独に互いの愛を知るの だから 笑って笑って 愛しい人 不穏な未来に 手を叩いて 君と君の大切な人が幸せであるそのために 祈りながら sing a song 祈りながら sing a song
8,ドライフラワー,"
優里",優里,優里,多分、私じゃなくていいね 余裕のない二人だったし 気付けば喧嘩ばっかりしてさ ごめんね ずっと話そうと思ってた きっと私たち合わないね 二人きりしかいない部屋でさ 貴方ばかり話していたよね もしいつか何処かで会えたら 今日の事を笑ってくれるかな 理由もちゃんと話せないけれど 貴方が眠った後に泣くのは嫌 声も顔も不器用なとこも 全部全部 嫌いじゃないの ドライフラワーみたい 君との日々もきっときっときっときっと 色褪せる 多分、君じゃなくてよかった もう泣かされることもないし 「私ばかり」なんて言葉も なくなった あんなに悲しい別れでも 時間がたてば忘れてく 新しい人と並ぶ君は ちゃんとうまくやれているのかな もう顔も見たくないからさ 変に連絡してこないでほしい 都合がいいのは変わってないんだね でも無視できずにまた少し返事 声も顔も不器用なとこも 多分今も 嫌いじゃないの ドライフラワーみたく 時間が経てば きっときっときっときっと色褪せる 月灯りに魔物が揺れる きっと私もどうかしてる 暗闇に色彩が浮かぶ 赤黄藍色が胸の奥 ずっと貴方の名前を呼ぶ 好きという気持ち また香る 声も顔も不器用なとこも 全部全部 大嫌いだよ まだ枯れない花を 君に添えてさ ずっとずっとずっとずっと 抱えてよ
9,僕らの季節,"
JO1",YOSKE・Kim Mi Ryang(ALIVE KNOB)・Kim Ji Hee(ALIVE KNOB)・Baek Joo Yeun(ALIVE KNOB),Minyoung Lee(EastWest)・YOSKE・Yeul(1by1),冷たい風が吹いてきて 淡い思い出が濃くなるよ 気が付けば 君の名を呼んでる 落ち葉って 君と僕の思い出みたい 息もできず 今 たまらないほどに恋しい 暗い夜には 君が浮かぶから 日が暮れないでほしい 待ってて 凍える冬よりも 先に逢いに行くよ 白い季節の中 僕らは輝いてた 今すぐ君に逢いに行くよ 振り向いたら後ろにいるよ もう逃さない 約束する君の手を離さない 君の笑顔は時が過ぎても 影より深く刻まれてるよ もしも、君も同じかな？ 期待してみてもいいかな？ 君に聞きたい時間を越えて このまま暗闇が落ちる前に 吹く風に乗って もう一度戻りたい あの眩しい季節に 待ってて 凍える冬よりも 先に逢いに行くよ 白い季節の中 僕らは輝いてた 今すぐ君に逢いに行くよ 振り向いたら後ろにいるよ もう逃さない 約束する君の手を離さない 凍りつく季節に 風だけが残ってる 君がいないと できないよ何にも そばにいて 待ってて 凍える冬よりも 先に逢いに行くよ 白い季節の中 僕らは輝いてた 今すぐ君に逢いに行くよ 振り向いたら後ろにいるよ もう逃さない 約束する君の手を離さない
