,Song,Artist,Lyricist,Composer,Lyric
0,アイデアル,"
SAKANAMON",藤森元生,藤森元生,素晴らしい日々だ それ出鱈目 体の良い言葉 下らぬ見栄 仕方なく設定に組み込まれ 望ましい姿 演じている 生温い日々が齎す癖 隠し持つ欲望疼いたとて 伴う危険性に身を竦め動けない それで良しと見なすガイダンス 雁字搦めの世界 何でも出来たなら あの子とシュビドゥバ シャバダバシュビドゥバ 止ん事無きかな まかりならぬかな 唯 そうやって なんだかんだ言ってばっかだな 丁度良い日々が世の幸せ 大人しい事が今や取柄 絶え間無い欲望は縛り付け 檻に中に入れてしまったんだ 雁字搦めの世界 掻い潜れるのなら 奴等をドゥビドゥバ ダバダバドゥビドゥバ 止ん事無きかな まかりならぬかな また そうやって ずっと言ってたって何も成らん 後先を見ず 物ともせず 前踏み出す 僅か一歩 それ以上の奇跡 何処に在ると言うのだろう 雁字搦めの世界 何でも出来たなら 誰もがシュビドゥバ シャバダバシュビドゥバ 止ん事無きかな まかりならぬかな 嗚呼 もういっそ 南京錠をぶっ壊して 防衛本能取っ払って きっときっとやってやんだから
1,アステリズム,"
SAKANAMON",藤森元生,藤森元生,揺れる 揺れる 白詰草 揶揄う風 濡れる 濡れる 街の谷間 肘傘雨 探す 探す 君の姿 儚い夢 乾く 乾く 日々の隙間 埋めたいのです 雨が止む 前触れも無く アーチ描く七色の橋 指をかざしてそっとなぞってみたんだ ほら近い様で届かないだろう ぽつりぽつり 君がこの街の何処かで 傘を閉じてクスっと笑った 暮れ混じる街灯の下 優しく行き交う風 ふわりふわり 夢 余生 人それぞれ 何故 いかにしてこう成った そんな事はもう分からないけれど 癖 愉悦 それだけはね 君との出会いが全てだった こんな言葉 零れてしまう程だ 風が止む おいそれとなく 三叉路で行方も知らずに 白線の上をずっと辿ってみたんだ 後少しでもう行き止まりだよ 何時も通り影がアスファルトに溶けて 雲の切れ間にパッと浮かんだ 西 東の何方からでもよく光り瞬くのです 君に似てる星座がほら ふわりふわり また逢える気がした きっと また何時か何処かで きっと
2,アナログラブ,"
SAKANAMON",藤森元生,藤森元生,曖昧にしてたけど 早く来てこっちへ 話があるの 嫌 何時もそっぽ向いてばっか 嫌 何時も追い駆けっこなんか 嗚呼 愛してる この言葉言えるかな 君の到着まで後少し 来た 今 重なれば 何も言えず その背中お見送り 愛を重ねるまで止まらない 唯 待つ 繰り返す日々 短針のラブストーリー ラブメモリー いざ行かん決着に 駆け引きも辛抱ならん 次こそは愛を打ち明ける 我が君の待つ方へ 行き違いの転がり続ける歯車 嫌だ 尚 擦れ違い許される機会も束の間 何故 無理がある絶対に 釣り合わぬ根本に 口乾く緊張に ほら 居た 重なれば 離れてくんだ早々に 話せないんだ何時も通り 鐘鳴らすんだ成功に また 行く 繰り返す日々 長針のラブストーリー ラブメモリー
3,アフターイメージ,"
SAKANAMON",藤森元生,森野光晴,しっかり組み立てられるかな 一脚の椅子 ぴったり噛み合ってくれるかな 小ちゃなネジ 何処行っちゃったって変わんない 其処に居る 失ってしまう様な感覚 気の所為さ 灯りを消しちゃっても案外 傍に居る まるで君は瞼の裏に焼きついた光 うっかり曲げてしまわない様にゆっくり回す どっちに回したら良いのかな 小ちゃなネジ 直ぐ転がっちゃう 緩まっちゃう 毎日を 後もう一回 もう一回 強く締める 風穴ぽっかりをすっかり塞いでくよ もうグラつかない様に 何処行っちゃったって変わんない 其処に居る 繋がっていない様な感覚 気の所為さ 灯りを消しちゃっても案外 傍に居る まるで君は瞼の裏に焼きついた光
4,飴色の女の子,"
SAKANAMON",藤森元生,藤森元生,ムシャムシャと熟れた誘惑の果実を喰らうのは腹が空いただけ 青黒いシャツを装着してるのは 偶々安売りしていただけ 粋がって憎まれたって独り寂しくなるのは嫌っぽい そんな僕に飛んで来る君の愛が 意気地無い心揺さぶって 戸惑いが隠せなくなって ボタンも留められなくなって ハンカチも畳めなくなって 遂に本音も言えなくなって それでも君は愛を問いかける 肝心な時に寝坊してしまうのは ドキドキして寝れなかっただけ 喧嘩を仕掛けるのはその時しか ちゃんと目を見て話せないだけ 我儘を言って虐めた事さえ忘れてしまったっぽい そんな僕に飛んで来る君の愛が 相変わらず心揺さぶって 結局戸惑ってしまうなんて お陰で手袋無くなって 靴紐が結べなくなって 遂に何にも言えなくなって それでも君は愛を問いかける 嘘みたいな甘い言葉ペロペロと並ぶよ 何れにせよ可愛い君は飴色の女の子
5,アリカナシカ,"
SAKANAMON",藤森元生,藤森元生,アイディアが無い イメージが無い 言葉が出ない 感性が無い 自信が無い 勝つ気も無い 負ける気も無い 何て訳無い お金が無い 大人気ない 甲斐性も無い 人望など無い とどのつまり何も出来ない だからって何 何て事無いさ アイディアが有れば天才か イメージ出来れば秀才か 言葉が出れば文才か 何て訳無い 何て事ない 自信を持てば成功か 勝つ気で行けば優勝か 人望が有れば善人か 何て訳無い 何て事無いさ 頭悪い 空気読めない 話聞かない 反省しない プライドも無い 尋常じゃ無い だって時折パンツ履かない 前例が無い 需要が無い 流行りじゃない キャッチーじゃない 否定は有る 肯定が無い だからって何 何て事無いさ 頭良ければ採用か 空気が読めれば平穏か パンツが履ければ正常か 何て訳無い 何て事無い 前例が有れば安心か 需要が有れば名作か 肯定されれば正解か 何て訳無い 何て事無い 常識外れの才能か 天才気取りの変態か 何れにしても繁栄は無いから 身分に見合った世界を期待裏切ってご提供
6,A,"
SAKANAMON",藤森元生,森野光晴,どうせ僕なんかって感情 常備してる これで絶望なんて重症 追わずに済む 最悪が重なった事態を想定する それよりは全然マシだって気楽になる 石橋を叩いて渡っても 不安だ 不安だ 保身を掛け足したって自信には割合わない マイナス 為すべき計算が バイパス パスを生み出した バイアス 明日への兆しが弾き出せるのさ アンサープランナー お互いの為だって出会いを棒に降る 関係を持ったってきっと期待裏切る 何事も無く安堵の表情 床に就く 誰も傷付けたく無いし付けられたくも無い 万が一のリスクが 不安だ不安だ 有限のリターンが 不安だ それでも足し合って 引き合って 掛け合って 割り合って 相俟った一つの和 マイナス 為すべきの計算が バイパス パスを生み出した バイアス 明日への不安は拭い切れるのさ 度重なる数多の式 ＝マイナスでも良いんだ だって誰が決めるその正解 丸を付けてくれたアンサープランナー
7,ARTSTAR,"
SAKANAMON",藤森元生,藤森元生,午前四時 象牙色 きらきらと星の声 耳から心へ光る芸術 眼鏡が笑う すやすやと 摩訶不思議に憧れていた頃に描き出した心の空想アルバム 音にさらわれて 星は歌う 夢が創る思い その素晴らしき歌は挙げ句の果てには時にさらわれて行く 眠る町 夜が明けて 鳴いている 鶏の声 眼鏡が光る 太陽の光で それはまるで星の声の様に 相も変わらず日々蜉蝣が続く欲の舞う生活で 空想アルバム開く暇も無く 星は歌う 夢が創る思い 何も記せぬまま心の果てまで時が流れて行く 今がこの世にもたらす思いが感動の類いになるなら音は導いている 芸術の星へ
8,幼気な少女,"
SAKANAMON",藤森元生,藤森元生,嗚呼 色々取々の街 僕は意地っ張りの碌で無し 絶え間無く変わり果てる景色が追いやった迷惑の種 嗚呼 色々取々の野次 こっちの気も知らずたらたらと 善し悪し決める浮世の基軸は乱暴で内臓煮え繰り返る 何時だって反骨を内に秘め 嘘を盛って場を凌ぎ 大衆の冷ややかな目躱す 地位も名誉も所縁無し 置いてけぼりの余り一 損得ばっかの擦れた市場 ほっぽり出されれば負けの証 抗う声も荒らぐ愛も君の趣味には合わず 何故なら やいやいやいと野次飛ばして わぁわぁわぁと盛り上がれば笑う 君はまだまだ幼気な少女 嗚呼 色々取々の恥 僕は傍目は負け犬の人で無し 今は世を偲ぶ仮の姿だと言い張って自分を欺く 世渡り知らずの僕が今世紀輝く術が無いの一目瞭然 手を差し伸べてくれるのは特殊な感性持つ貴方々だけ 十分幸せですが何か 抗う声も荒らぐ愛も君の趣味には合わず 何故なら やいやいやいと煽っといて わぁわぁわぁと叫べばほら燥ぐ 君はまだまだ幼気な少女 無様な僕の惨めな異議も全て無駄だと気付く だから でんでんでんぐり返しして ばいばいばいとさよならする日も近いね 僕は些か願う願う まだまだまだまだ幼気な少女まで 幼気な少女まで 痛い世の症状まで
9,102,"
SAKANAMON",藤森元生,藤森元生,黒塗り屋根 極薄壁 釘や画鋲の跡 お陰様で お隣の貴方を近くに感じる 朝早く出て24時には床に就き 弦を鳴らせば ほら 壁を鳴らす独身者 お陰様で お隣の貴方に怒りを感じる 情けと負い目も感じる あなたが嫌いだ わかってる 僕が悪い だから出てゆく さよなら102
