,Song_Title,Artist,Lyricist,Composer,Lyric
0,紅蓮華,"
LiSA",LiSA,草野華余子,強くなれる理由を知った 僕を連れて進め 泥だらけの走馬灯に酔う こわばる心 震える手は掴みたいものがある それだけさ 夜の匂いに空睨んでも 変わっていけるのは自分自身だけ それだけさ 強くなれる理由を知った 僕を連れて進め どうしたって！ 消せない夢も 止まれない今も 誰かのために強くなれるなら ありがとう 悲しみよ 世界に打ちのめされて負ける意味を知った 紅蓮の華よ咲き誇れ！ 運命を照らして イナビカリの雑音が耳を刺す 戸惑う心 優しいだけじゃ守れないものがある？ わかってるけど 水面下で絡まる善悪 透けて見える偽善に天罰 逸材の花より 挑み続け咲いた一輪が美しい 乱暴に敷き詰められた トゲだらけの道も 本気の僕だけに現れるから 乗り越えてみせるよ 簡単に片付けられた 守れなかった夢も 紅蓮の心臓に根を生やし この血に宿ってる 人知れず儚い 散りゆく結末 無情に破れた 悲鳴の風吹く 誰かの笑う影 誰かの泣き声 誰もが幸せを願ってる どうしたって！ 消せない夢も 止まれない今も 誰かのために強くなれるなら ありがとう 悲しみよ 世界に打ちのめされて負ける意味を知った 紅蓮の華よ咲き誇れ！ 運命を照らして
1,I LOVE...,"
Official髭男dism",藤原聡,藤原聡,僕が見つめる景色のその中に 君が入ってから 変わり果てた世界は いつも卒なくこなした日々の真ん中 不思議な引力に逆らえず崩れてく I Love なんて 言いかけてはやめて I Love I Love 何度も 高まる愛の中 変わる心情の中 燦然と輝く姿は まるで水槽の中に飛び込んで溶けた絵の具みたいな イレギュラー 独りじゃ何ひとつ気付けなかっただろう こんなに鮮やかな色彩に 普通の事だと とぼける君に言いかけた I Love その続きを贈らせて 見えない物を見て笑う君の事を 分かれない僕が居る 美しすぎて目が眩んでしまう 今も劣等感に縛られて生きている I Love I Love 不恰好な結び目 I Love I Love 手探りで見つけて I Love Your Love 解いて 絡まって 僕は繰り返してる 何度も レプリカばかりが飾られた銀河 カーテンで作られた暗闇 嘆く人も居ない 鼠色の街の中で I Love その証を抱き締めて 喜びも悲しみも句読点のない想いも 完全に分かち合うより 曖昧に悩みながらも 認め合えたなら 重なる愛の中 濁った感情の中 瞬きの僅かその合間に 君がくれたプレゼントはこの やけに優しい世界だ イレギュラー 独りじゃ何ひとつ気付けなかっただろう こんなに大切な光に 普通の事だと とぼける君に言いかけた I Love その続きを贈らせて 受け取り合う僕ら 名前もない夜が更けていく
2,香水,"
瑛人",8s,8s,夜中にいきなりさ いつ空いてるのってLINE 君とはもう3年くらい会ってないのにどうしたの? あの頃 僕達はさ なんでもできる気がしてた 2人で海に行っては たくさん写真撮ったね でも見てよ今の僕を クズになった僕を 人を傷つけてまた泣かせても 何も感じ取れなくてさ 別に君を求めてないけど 横にいられると思い出す 君のドルチェ&ガッバーナの その香水のせいだよ 今更君に会ってさ 僕は何を言ったらいい? 「可愛くなったね」口先でしか言えないよ どうしたの いきなりさ タバコなんかくわえだして 悲しくないよ悲しくないよ 君が変わっただけだから でも見てよ今の僕を 空っぽの僕を 人に嘘ついて軽蔑されて 涙ひとつもでなくてさ 別に君を求めてないけど 横にいられると思い出す 君のドルチェ&ガッバーナのその香水のせいだよ 別に君をまた好きになることなんてありえないけど 君のドルチェ&ガッバーナの香水が思い出させる 何もなくても 楽しかった頃に 戻りたいとかは思わないけど 君の目を見ると思う 別に君を求めてないけど 横にいられると思い出す 君のドルチェ&ガッバーナの その香水のせいだよ 別に君をまた好きになるくらい君は素敵な人だよ でもまた同じことの繰り返しって 僕がフラれるんだ
3,Pretender,"
Official髭男dism",藤原聡,藤原聡,君とのラブストーリー それは予想通り いざ始まればひとり芝居だ ずっとそばにいたって 結局ただの観客だ 感情のないアイムソーリー それはいつも通り 慣れてしまえば悪くはないけど 君とのロマンスは人生柄 続きはしないことを知った もっと違う設定で もっと違う関係で 出会える世界線 選べたらよかった もっと違う性格で もっと違う価値観で 愛を伝えられたらいいな そう願っても無駄だから グッバイ 君の運命のヒトは僕じゃない 辛いけど否めない でも離れ難いのさ その髪に触れただけで 痛いや いやでも 甘いな いやいや グッバイ それじゃ僕にとって君は何？ 答えは分からない 分かりたくもないのさ たったひとつ確かなことがあるとするのならば 「君は綺麗だ」 誰かが偉そうに 語る恋愛の論理 何ひとつとしてピンとこなくて 飛行機の窓から見下ろした 知らない街の夜景みたいだ もっと違う設定で もっと違う関係で 出会える世界線 選べたらよかった いたって純な心で 叶った恋を抱きしめて 「好きだ」とか無責任に言えたらいいな そう願っても虚しいのさ グッバイ 繋いだ手の向こうにエンドライン 引き伸ばすたびに 疼きだす未来には 君はいない その事実に Cry... そりゃ苦しいよな グッバイ 君の運命のヒトは僕じゃない 辛いけど否めない でも離れ難いのさ その髪に触れただけで 痛いや いやでも 甘いな いやいや グッバイ それじゃ僕にとって君は何？ 答えは分からない 分かりたくもないのさ たったひとつ確かなことがあるとするのならば 「君は綺麗だ」 それもこれもロマンスの定めなら 悪くないよな 永遠も約束もないけれど 「とても綺麗だ」
4,猫,"
DISH//",あいみょん,あいみょん,夕焼けが燃えてこの街ごと 飲み込んでしまいそうな今日に 僕は君を手放してしまった 明日が不安だ とても嫌だ だからこの僕も一緒に 飲み込んでしまえよ夕焼け だけどもそうはいかないよな 明日ってウザいほど来るよな 眠たい夜になんだか笑っちゃう 家まで帰ろう 1人で帰ろう 昨日のことなど 幻だと思おう 君の顔なんて忘れてやるさ 馬鹿馬鹿しいだろ、そうだろ 君がいなくなった日々も このどうしようもない気だるさも 心と体が喧嘩して 頼りない僕は寝転んで 猫になったんだよな君は いつかフラッと現れてくれ 何気ない毎日を君色に染めておくれよ 夕焼けが燃えてこの街ごと 飲み込んでしまいそうな今日に 僕は君を手放してしまった 若すぎる僕らはまた1から 出会うことは可能なのかな 願うだけ無駄ならもうダメだ 家までつくのが こんなにも嫌だ 歩くスピードは 君が隣にいる時のまんま 想い出巡らせ がんじがらめのため息ばっか 馬鹿にしろよ、笑えよ 君がいなくなった日々は 面白いくらいにつまらない 全力で忘れようとするけど 全身で君を求めてる 猫になったんだよな君は いつかまたあの声を聞かせてよ 矛盾ばっかで無茶苦茶な僕を 慰めてほしい 君がいなくなった日々も このどうしようもない気だるさも 心と体が喧嘩して 頼りない僕は寝転んで 猫になったんだよな君は いつかフラッと現れてくれ 何気ない毎日を君色に染めておくれよ 君がもし捨て猫だったら この腕の中で抱きしめるよ ケガしてるならその傷拭うし 精一杯の温もりをあげる 会いたいんだ忘れられない 猫になってでも現れてほしい いつか君がフラッと現れて 僕はまた、幸せで
5,白日,"
King Gnu",Daiki Tsuneta,Daiki Tsuneta,時には誰かを 知らず知らずのうちに 傷つけてしまったり 失ったりして初めて 犯した罪を知る 戻れないよ、昔のようには 煌めいて見えたとしても 明日へと歩き出さなきゃ 雪が降り頻ろうとも 今の僕には 何ができるの？ 何になれるの？ 誰かのために生きるなら 正しいことばかり 言ってらんないよな どこかの街で また出逢えたら 僕の名前を 覚えていますか？ その頃にはきっと 春風が吹くだろう 真っ新に生まれ変わって 人生一から始めようが へばりついて離れない 地続きの今を歩いているんだ 真っ白に全てさよなら 降りしきる雪よ 全てを包み込んでくれ 今日だけは 全てを隠してくれ もう戻れないよ、昔のようには 羨んでしまったとしても 明日へと歩き出さなきゃ 雪が降り頻ろうとも いつものように笑ってたんだ 分かり合えると思ってたんだ 曖昧なサインを見落として 途方のない間違い探し 季節を越えて また出逢えたら 君の名前を 呼んでもいいかな その頃にはきっと 春風が吹くだろう 真っ新に生まれ変わって 人生一から始めようが 首の皮一枚繋がった 如何しようも無い今を 生きていくんだ 真っ白に全てさよなら 降りしきる雪よ 今だけはこの心を凍らせてくれ 全てを忘れさせてくれよ 朝目覚めたら どっかの誰かに なってやしないかな なれやしないよな 聞き流してくれ 忙しない日常の中で 歳だけを重ねた その向こう側に 待ち受けるのは 天国か地獄か いつだって人は鈍感だもの わかりゃしないんだ肚の中 それでも愛し愛され 生きて行くのが定めと知って 後悔ばかりの人生だ 取り返しのつかない過ちの 一つや二つくらい 誰にでもあるよな そんなんもんだろう うんざりするよ 真っ新に生まれ変わって 人生一から始めようが へばりついて離れない 地続きの今を歩いて行くんだ 真っ白に全てさようなら 降りしきる雪よ 全てを包み込んでくれ 今日だけは 全てを隠してくれ
6,感電,"
米津玄師",米津玄師,米津玄師,逃げ出したい夜の往来 行方は未だ不明 回り回って虚しくって 困っちゃったワンワンワン 失ったつもりもないが 何か足りない気分 ちょっと変にハイになって 吹かし込んだ四輪車 兄弟よ如何かしよう もう何も考えない様 銀河系の外れへと さようなら 真実も 道徳も 動作しないイカれた夜でも 僕ら手を叩いて笑い合う 誰にも知られないまま たった一瞬の このきらめきを 食べ尽くそう二人で くたばるまで そして幸運を 僕らに祈りを まだ行こう 誰も追いつけない くらいのスピードで 稲妻の様に生きていたいだけ お前はどうしたい？ 返事はいらない 転がした車窓と情景 動機は未だ不明 邪魔臭くて苛ついて 迷い込んだニャンニャンニャン ここいらで落とした財布 誰か見ませんでした？ 馬鹿みたいについてないね 茶化してくれハイウェイ・スター よう相棒 もう一丁 漫画みたいな喧嘩しようよ 酒落になんないくらいのやつを お試しで 正論と 暴論の 分類さえ出来やしない街を 抜け出して互いに笑い合う 目指すのは メロウなエンディング それは心臓を 刹那に揺らすもの 追いかけた途端に 見失っちゃうの きっと永遠が どっかにあるんだと 明後日を 探し回るのも 悪くはないでしょう お前がどっかに消えた朝より こんな夜の方が まだましさ 肺に睡蓮 遠くのサイレン 響き合う境界線 愛し合う様に 喧嘩しようぜ 遺る瀬無さ引っさげて たった一瞬の このきらめきを 食べ尽くそう二人で くたばるまで そして幸運を 僕らに祈りを まだ行こう 誰も追いつけない くらいのスピードで それは心臓を 刹那に揺らすもの 追いかけた途端に 見失っちゃうの きっと永遠が どっかにあるんだと 明後日を 探し回るのも 悪くはないでしょう 稲妻の様に生きていたいだけ お前はどうしたい？ 返事はいらない
7,パプリカ,"
Foorin",米津玄師,米津玄師,曲りくねり はしゃいだ道 青葉の森で駆け回る 遊びまわり 日差しの街 誰かが呼んでいる 夏が来る 影が立つ あなたに会いたい 見つけたのはいちばん星 明日も晴れるかな パプリカ 花が咲いたら 晴れた空に種を蒔こう ハレルヤ 夢を描いたなら 心遊ばせあなたにとどけ 雨に燻り 月は陰り 木陰で泣いてたのは誰 一人一人 慰めるように 誰かが呼んでいる 喜びを数えたら あなたでいっぱい 帰り道を照らしたのは 思い出のかげぼうし パプリカ 花が咲いたら 晴れた空に種を蒔こう ハレルヤ 夢を描いたなら 心遊ばせあなたにとどけ 会いに行くよ 並木を抜けて 歌を歌って 手にはいっぱいの 花を抱えて らるらりら パプリカ 花が咲いたら 晴れた空に種を蒔こう ハレルヤ 夢を描いたなら 心遊ばせあなたにとどけ かかと弾ませこの指とまれ
8,イエスタデイ,"
Official髭男dism",藤原聡,藤原聡,何度失ったって 取り返してみせるよ 雨上がり 虹がかかった空みたいな君の笑みを 例えばその代償に 誰かの表情を曇らせてしまったっていい 悪者は僕だけでいい 本当はいつでも誰もと思いやりあっていたい でもそんな悠長な理想論はここで捨てなくちゃな 遥か先で 君へ 狙いを定めた恐怖を どれだけ僕ははらい切れるんだろう？ 半信半疑で 世間体 気にしてばっかのイエスタデイ ポケットの中で怯えたこの手はまだ忘れられないまま 「何度傷ついたって 仕方ないよ」と言って うつむいて 君がこぼした 儚くなまぬるい涙 ただの一粒だって 僕を不甲斐なさで 溺れさせて 理性を奪うには十分過ぎた 街のクラクションもサイレンも届きやしないほど 遥か先へ進め 身勝手すぎる恋だと 世界が後ろから指差しても 振り向かず進め 必死で 君の元へ急ぐよ 道の途中で聞こえたSOSさえ気づかないふりで バイバイイエスタデイ ごめんね 名残惜しいけど行くよ いつかの憧れと違う僕でも ただ1人だけ 君だけ 守るための強さを 何よりも望んでいた この手に今 遥か先へ進め 幼すぎる恋だと 世界が後ろから指差しても 迷わずに進め 進め 2人だけの宇宙へと ポケットの中で震えたこの手で今君を連れ出して 未来の僕は知らない だから視線は止まらない 謎めいた表現技法 意味深な君の気性 アイラブユーさえ 風に 飛ばされそうな時でも 不器用ながら繋いだ この手はもう決して離さずに 虹の先へ
9,炎,"
LiSA",梶浦由記・LiSA,梶浦由記,さよなら ありがとう 声の限り 悲しみよりもっと大事なこと 去りゆく背中に伝えたくて ぬくもりと痛みに間に合うように このまま続くと思っていた 僕らの明日を描いていた 呼び合っていた光がまだ 胸の奥に熱いのに 僕たちは燃え盛る旅の途中で出会い 手を取りそして離した 未来のために 夢が一つ叶うたび 僕は君を想うだろう 強くなりたいと願い 泣いた 決意を餞に 懐かしい思いに囚われたり 残酷な世界に泣き叫んで 大人になるほど増えて行く もう何一つだって失いたくない 悲しみに飲まれ落ちてしまえば 痛みを感じなくなるけれど 君の言葉 君の願い 僕は守りぬくと誓ったんだ 音を立てて崩れ落ちて行く 一つだけの かけがえのない世界 手を伸ばし抱き止めた激しい光の束 輝いて消えてった 未来のために 託された幸せと 約束を超えて行く 振り返らずに進むから 前だけ向いて叫ぶから 心に炎を灯して 遠い未来まで……
