,Song,Artist,Lyricist,Composer,Lyric
0,Ice Cream (Feat. Selena Gomez),"
BLACKPINK",Bekuh BOOM・Victoria Monet・TEDDY,Tommy Brown・Mr. Franks・TEDDY・Bekuh BOOM・Victoria Monet・24・Selena Gomez・Ariana Grande,Come a little closer cause you looking thirsty Imma make it better sip it like a Slurpee Snow cone chilly Get it free like Willy In the jeans like Billie You be poppin' like a wheelie Even in the sun you know I keep it icy You could take a lick but it's too cold to bite me Brrr brrr frozen You're the one been chosen Play the part like Moses Keep it fresh like roses Look so good yeah look so sweet Looking good enough to eat Coldest with this kiss so he call me ice cream Catch me in the fridge right where the ice be Look so good yeah look so sweet Baby you deserve a treat Diamonds on my wrist so he call me ice cream You can double dip cause I know you like me Ice cream chillin' chillin' Ice cream chillin' Ice cream chillin' chillin' Ice cream chillin' I know that my heart could be so cold But I'm sweet for you come put me in a cone You're the only touch yeah they get me melting He's my favorite flavor always gonna pick him You're the cherry piece just stay on top of me so I can't see nobody else for me no Get it flip it scoop it Do it like that ah yeah ah yeah Like it love it lick it Do it like lalala oh yeah Look so good yeah look so sweet Looking good enough to eat Coldest with this kiss so he call me ice cream Catch me in the fridge right where the ice be Look so good yeah look so sweet Baby you deserve a treat Diamonds on my wrist so he call me ice cream You can double dip cause I know you like me Ice cream chillin' chillin' Ice cream chillin' Ice cream chillin' chillin' Ice cream chillin' Ice cream chillin' chillin' Ice cream chillin' Ice cream chillin' chillin' Ice cream Chillin' like a villain yeah ra ra ra ミチン ミチントゥタ ソクト in my La Fera ノム パルロ ノヌン ピック ウォナンダミョン クニャン チルム Millis Billis メイル ボルウム ハンヨルム ソンモゲ オルム Keep it movin' like my lease up Think you fly boy where ya visa Mona Lisa kinda Lisa Needs an ice cream man that treats her Keep it movin' like my lease up Think you fly boy where ya visa Mona Lisa kinda Lisa Needs an ice cream man that treats her Na na na na na na na na na na na na Ice on my wrist yeah I like it like this Get the bag with the cream If you know what I mean Ice cream Ice cream Ice cream chillin' Na na na na na na na na na na na na Ice on my wrist yeah I like it like this And I'm nice with the cream If you know what I mean Ice cream Ice cream Ice cream
1,AS IF IT'S YOUR LAST,"
BLACKPINK",TEDDY・BrotherSu・CHOICE37・SUNNY BOY,TEDDY・FUTURE BOUNCE・Lydia Paek,あなたしか見えない ドキドキしちゃうわ 赤らむ顔 胸の中も 思い通りにいかないの 一握りの砂のよう まるであなたは 手強いほど惹かれる もっと 思い通りにいかないの わたしの吐息を感じてほしい 見つめていても Missing you だから Won't you set me free Baby もっとギュッと強くずっと 抱きしめて 何もいらないの 素直に今キスをしてほしい 最後の愛のように 最後のように 最後のように 最後の夜のように Love 最後のように 最後のように 明日が来ないように (Love) Uh I'ma fall in love baby U gon finna catch me Uh give you all of this baby Call me pretty and nasty Cause we gonna get it my love you can bet it on Black we gon double the stack on them whoa！ I be the Bonnie and you be my Clyde We ride or die X's and O'z 時間が過ぎても焦る 未だに あなたが全てよ Missing you だから Won't you set me free Baby もっとギュッと強くずっと 抱きしめて 何もいらないの 素直に今キスをしてほしい 最後の愛のように 最後のように 最後のように 最後の夜のように Love 最後のように 最後のように 明日が来ないように (Love) One two three から始めるわ 決して後ろ振り向かないわ わたしのすべてを受け止めてよ 誰にも邪魔させないわ BLACKPINK in your area Baby もっとギュッと強くずっと 抱きしめて 何もいらないの 素直に今キスをしてほしい 最後の愛のように 最後のように 最後のように 最後の夜のように Love 最後のように 最後のように 明日が来ないように (Love)
2,Kick It -JP Ver.-,"
BLACKPINK",TEDDY・Danny Chung・TAEO・Japanese Lyrics：Hajime Watanabe,TEDDY・24,"どうしたいって はっきりと 本音を言って I'll break ya break ya heart Never asked for much そんなの欲しくない 取り消せない その言葉 I ain't nothin' like The same same girls that you've had もう勝手にするね 長い夜が始まる 自分のためにもっと 踊るわ いっそ 越えてく 君を I'll kick it if you're down Kick it if you down Can I kick it 騒ごう 声上げて 真っ暗な空に 火がつくくらい Can I kick it 君という世界を 壊して 輝いてみせるわ And I'm letting it all out 迷いはない 見つけに行こう 自分を 一人で平気だわ 同情はいらない 忘れるから 君を Never needed nothin' else Just a lil' love from myself When you couldn't be the one to help Had to kick it and I did it tell Whoever you wannna tell Get kicked to the curb, ya kicked out Never kick a girl when she kicked down Who you gon' kiss now Know you gon' miss how I move From the top to the bottom of my kick now 長い夜が始まる 自分のためにもっと 踊るわ いっそ 越えてく 君を I'll kick it if you're down Kick it if you down Can I kick it 騒ごう 声上げて 真っ暗な空に 火がつくくらい Can I kick it 君という世界を 壊して 輝いてみせるわ And I'm letting it all out 迷いはない 見つけに行こう 自分を 一人で平気だわ 同情はいらない 忘れるから 君を どうしたいって はっきりと 本音を言って 私は私でいたいから ここを飛び立つわ I'll kick it how I wanna kick it when I wanna kick it No you can't tell me not to kick it Cause I'm 'bout to kick it I'll kick it how I wanna kick it when I wanna kick it No you can't tell me not to kick it Cause I'm 'bout to kick it And I'm letting it all out 迷いはない 見つけに行こう 自分を 一人で平気だわ 同情はいらない 忘れるから 君を"
3,Kill This Love -JP Ver.-,"
BLACKPINK",TEDDY・Bekuh BOOM・Japanese Lyrics：Co-sho,TEDDY・R.Tee・24・Bekuh BOOM,天使がsaid Hi 結果 悪魔 said Bye 正気じゃ無理 So High 吐いちゃうくらいの Price 答えのない Test 騙されても Yes ずっと感情の奴隷 無価値な愛ね Here I come kick in the door Act like I'm buyin' the store You better give me some love Bish fill it up give me some more Feelin' like I think that I need to pray But you need it more Lord give me the strength Cause I'm at my limit and in just one minute You gonna be visitin' heaven but might not get in it Look at me Look at you 苦しい？どっちが You smart 誰？ You are 両目 涙 赤にしたら So sorry 誰？ You are どうして 泣かないようにしても... いっそのこと目を伏せ この愛 トドメ刺すきっと LET'S KILL THIS LOVE Feelin' like a sinner Its so fire with him I go boo hoo He said you look crazy Thank you baby I owe it all to you Got me all messed up His love is my favorite But you plus me sadly can be dangerous Lucky me Lucky you 狂言の中 we lie So what so what まして君を除外したら So sorry I'm not sorry どうして 泣かないようにしても... いっそのこと目を伏せ この愛 トドメ刺すきっと LET'S KILL THIS LOVE We all commit to love That makes you cry We're all making love That kills you inside We must kill this love Yeah it's sad but true Gotta kill this love Before it kills you too Kill this love Yeah it's sad but true Gotta kill this love Gotta kill let's kill this love
4,Crazy Over You,"
BLACKPINK",TEDDY・Bekuh BOOM・Danny Chung,TEDDY・Bekuh BOOM・24・R.Tee・FUTURE BOUNCE,"I been known to kiss and tell Send girls to wishing wells If you're my man I want you to myself I know I'll have enemies Long as you're into me But I don't care cause I got what I need Oh yeah Need to get with the program Boy I keep you close like slow dance Hit you with that red don't go there, no no man Met him Then get him I make sure we stay Got the venom To dead him If he want a snake I mean sneak I mean play hide and seek Know that I'm gonna find you Make sure you get left or you leave I saw you And knew what I was trying to do I had to play it real real smooth And once I finally made my move I went crazy over you Over you only you I went crazy over you Like eee eee eee Feels wrong but it's right, right Blacked out no night light Pinked out like fight night Maxed out of my mind and the price right, Might buy, might bite Never the regular degular Would clean my mess up But I rather mess it up Simple is so so, I need that oh no Don't you know I'm loco I saw you And knew what I was trying to do I had to play it real real smooth And once I finally made my move I went crazy over you Over you only you I went crazy over you Like eee eee eee Boy by the time I'm done I won't be the only one Acting like you made me You can't blame me Swear once you get a taste You gon' take my place And you'll love me crazy Sound the alarms Imma be mad 'till you get me back in them arms Charge Give me all you got Go insane with it better love hard Love me like crazy I love you crazy"
5,SEE U LATER,"
BLACKPINK",TEDDY・SUNNY BOY,TEDDY・R.Tee・24,後悔してないよ やりきったからもう あなたなんか居ても居なくても同じ 約束のシーソー 何度もリピート あなたはその程度 捧げたのに No 空き缶みたいな Sorry 犬が吠えているようにしか聞こえない 正直 恥ずかしくなるほど あなたをポイって Recycle That girl you with お似合いよ 今日は言うわ I don't want you no more Hold up 永遠にだってホント？ それでも結果 You messed up 行ったり来たり軽い Ping pong あなたを振ってるのよ Ding dong Playa you ain't know？ 見る目がないの あたしだけを見て 愛すべきだったね 女王蜂のよう See u later boy see u later See u later boy see u later later See u later boy see u later Would have could have should have Didn't See u later boy see u later See u later boy see u later later See u later boy see u later See u later maybe never 見えてたのは幻想 もう引き止めても無駄よ ああだこうだ言い訳ばっか みっともない 今や You ain't got no best friend 寂しいはず Weekend 悲しい Loserひとりぼっち ロンリー Ha 空き缶みたいな Sorry 犬が吠えているようにしか聞こえない 正直 恥ずかしくなるほど あなたをポイって Recycle That girl you with お似合いよ 今日は言うわ I don't want you no more あっという間に痛みが消えていく あなたは KO されている 忘れたの？ もうひどい 覚えていて I'm a boss bish そんなもんなら結構 消したわ あなたの番号 トキメキに向かうため 心のエンジン Boomin Pedal to the metal like See u later boy see u later See u later boy see u later later See u later boy see u later Would have could have should have Didn't See u later boy see u later See u later boy see u later later See u later boy see u later See u later maybe never Good bye baby 優しくしていたらよかったね Why you wanna go and do that do that why あたしの後ろ姿を その目に焼き付けていて Bye bye bye bye bye See u later boy see u later See u later boy see u later later See u later boy see u later Would have could have should have Didn't See u later boy see u later See u later boy see u later later See u later boy see u later See u later maybe never
6,STAY,"
BLACKPINK",TEDDY・Emyli,TEDDY・Won Jin Seo,不器用なその言葉で 不意に傷ついて 「ごめんね」も何もなく一人で自分励まして 今日もまた戻ってはこないかと不安で I just want you to stay この頃慣れてきたよ その無口な態度に Oh 「そろそろ別れよう」と鏡に呟くの Oh 私が居て当たり前って 君らしいね だけど Stay stay stay with me 切なく流れる Melody こんなに泣かせるのに その香りは甘い Felony でも まだ大好きで... この真っ暗な空に吸い込まれちゃう前に ねぇ お願いだから そばからもう離れないでよ どうしても君じゃなきゃダメなの そばにいて...Stay with me (It goes a little something like) 永遠ではなくてもいいから そばにいて...Stay with me I said wanted you to stay but you're always leaving Never tell me where Never tell me waht's the reason When you're gone I can't tell if my hearts even beatin' Sometimes I think it's just for you that I live and breathe and So stay I know you gotta be tired When the night gets dark Let me be your fire In a world full of lies My only truth is you Here's a letter from me to you 切なく流れる Melody こんなに泣かせるのに その香りは甘い Felony でも まだ大好きで... この真っ暗な空に吸い込まれちゃう前に ねぇ お願いだから そばからもう離れないでよ どうしても君じゃなきゃダメなの そばにいて...Stay with me (It goes a little something like) 永遠ではなくてもいいから そばにいて...Stay with me (It goes a little something like) 永遠ではなくてもいいから そばにいて...Stay with me
7,DDU-DU DDU-DU,"
BLACKPINK",TEDDY・SUNNY BOY・ラップ詞：Bekuh BOOM,TEDDY・24・R.Tee・Bekuh BOOM,"真面目そうでもお利口じゃないの あたしに隠されたvolumeは2倍増 (double up) 周りを気にせず突き進む意思 Black から Pink 可愛らしくSavage I keep it lit like a matchstick Bish I'm a star but not Patrick I'm getting cake that's a fat check All on a roll like a graduate This smart mouth spit dumb heat Like Ice T I'm OG I'm the man like I T Got more juice than hi-c 考え直して お利口なフリをするわけないから 勘違いだわ あたしのためよこの笑顔は まだあたしを理解 できないなら test me わかってるよね？ 甘く見ちゃダメよ Oh wait til' I do what I do Hit you with that ddu-du ddu-du du Hit you with that ddu-du ddu-du du I'm getting honey by the hunnids On my GQ spread like hummus Bullshit for the birds like hummin' I'ma say this shit again I'm the man like runnin' Drop that like you got a hot track so you wanna knock that Got another banger Real talk, I'ma let the 0s talk, you can see the billions Better call a banker 考え直して お利口なフリをするわけないから 勘違いだわ あたしのためよこの笑顔は まだあたしを理解 できないなら test me わかってるよね？ 甘く見ちゃダメよ Oh wait til' I do what I do Hit you with that ddu-du ddu-du du Hit you with that ddu-du ddu-du du What you gonna do when I come come through with that that uh uh huh What you gonna do when I come come through with that that uh uh huh 燃えろ 燃えろ 燃えろ like fire 燃えろ 燃えろ 燃えろ like fire 燃えろ 燃えろ 燃えろ like fire 燃えろ 燃えろ 燃えろ like fire Hit you with that ddu-du ddu-du du"
8,DDU-DU DDU-DU (Remix) -JP Ver.-,"
BLACKPINK",TEDDY・SUNNY BOY,TEDDY・24・R.Tee・Bekuh BOOM,"真面目そうでもお利口じゃないの あたしに隠されたvolumeは2倍増 (double up) 周りを気にせず突き進む意思 Black から Pink 可愛らしくSavage I keep it lit like a matchstick Bish I'm a star but not Patrick I'm getting cake that's a fat check All on a roll like a graduate This smart mouth spit dumb heat Like Ice T I'm OG I'm the man like I T Got more juice than hi-c 考え直して お利口なフリをするわけないから 勘違いだわ あたしのためよこの笑顔は まだあたしを理解 できないなら test me わかってるよね？ 甘く見ちゃダメよ Oh wait til' I do what I do Hit you with that ddu-du ddu-du du Hit you with that ddu-du ddu-du du I'm getting honey by the hunnids On my GQ spread like hummus Bullshit for the birds like hummin' I'ma say this shit again I'm the man like runnin' Drop that like you got a hot track so you wanna knock that Got another banger Real talk, I'ma let the 0s talk, you can see the billions Better call a banker 考え直して お利口なフリをするわけないから 勘違いだわ あたしのためよこの笑顔は まだあたしを理解 できないなら test me わかってるよね？ 甘く見ちゃダメよ Oh wait til' I do what I do Hit you with that ddu-du ddu-du du Hit you with that ddu-du ddu-du du"
9,Don't Know What To Do -JP Ver.-,"
BLACKPINK",TEDDY・Japanese Lyrics：森若香織,TEDDY・24・Brian Lee・Bekuh BOOM,ちょっと 誰か時間止めて もっと 君とズレてくから だって 笑っても嘘っぽい もう 自分が可哀想 大丈夫って言ったけど Don't know what to do without you 一人きりで描いた 君の記憶はBlue 私だけ 変われない 新しい 今日なのに すべて ダメで 無理で 苦しくて Don't know what to do Don't know what to do without you Don't know what to do without you Don't know what to do without you You know I Don't know what to do Don't know what to do みんな 失うのに出会う きっと 私達もそうでしょ 電話とか期待して ソワソワしちゃってバカみたい チクタク鳴る時計の音が やけに虚しい 平気なフリしても Don't know what to do without you 鏡の中の私 映るリップはBlue 私だけ 変われない 新しい 今日なのに すべて ダメで 無理で 苦しくて Don't know what to do Don't know what to do without you Don't know what to do without you Don't know what to do without you You know I Don't know what to do Don't know what to do 大丈夫って言ったけど Don't know what to do without you 一人きりで描いた 君の記憶はBlue
