,Song,Artist,Lyricist,Composer,Lyric
0,I NEED U (Japanese Ver.),"
BTS",PDOGG・“HITMAN”BANG・RAP MONSTER・SUGA・J-HOPE・BROTHER SU・日本語詞：KM-MARKIT,PDOGG・“HITMAN”BANG・RAP MONSTER・SUGA・J-HOPE・BROTHER SU,"Fall (Everything) Fall (Everything) Fall (Everything) 離れてく Fall (Everything) Fall (Everything) Fall (Everything) 壊れてく 崩れ出すこんなにも 知らない 君は何も ふざけてる 馬鹿げてる 言い訳は要らないもう 君見る度辛くて その言葉が不安で 真実見えずもう中毒 僕を裂くのさ ずっと 叶わない心だけ重傷 But you're my everything (You're my) Everything (You're my) Everything (You're my) いなくなれ huh ごめんね (I hate you) Love you so (I hate you) 許して I need you girl ねえ、君は独りいつも身勝手で I need you girl ねえ、僕は独り君へ惹かれてく I need you girl 眩しそうで I need you girl 凍えそうで I need you girl I need you girl I need you girl I need you girl It goes round & round また元に戻り I go down & down バカみたいだな本当に 何をしようとも意味ない事と 分かってるけど隠せない胸の底を また朝まで… また朝まで… 過ごす中で幸せ願ってる 空の彼方へ 空は青く 日差しが挿し 眩しく見える涙が 何故なんだろう 君なんだろう 何故離れられないんだろう I need you girl ねえ、君は独りいつも身勝手で I need you girl ねえ、僕は独り君へ惹かれてく I need you girl 眩しそうで I need you girl 凍えそうで I need you girl I need you girl I need you girl I need you girl Girl, いっそ、いっそ教えて欲しいよ Girl, 君と、君との愛が終わりと oh 僕には出来ないよ 忘れたいんだ君を もう戻れない様… I need you girl ねえ、君は独りいつも身勝手で I need you girl ねえ、僕は独り君へ惹かれてく I need you girl 眩しそうで I need you girl 凍えそうで I need you girl I need you girl I need you girl I need you girl"
1,いいね！,"
BTS",SLOW RABBIT・RAP MONSTER・SUGA・J-HOPE・日本語歌詞：Daisuke“KM-MARKIT”Kawai,SLOW RABBIT・RAP MONSTER・SUGA・J-HOPE,"WANNA BE LOVED... DON'T WANNA BE FOOL, WANNA BE COOL, WANNA BE LOVED ふたりSAME LOVE BABY, I WANT IT 君がUPするすべての写真へ 「いいね！」する俺の知らないNEW FACE… え、誰？ あ、そうか俺はもう彼氏じゃない のにCALLした夢中で やっぱり先にかけたら負けになると 思うけど何かしないといられない MORE (WHY？)「 嫌だ」ボタンはないんだ 無理だ あの何人かの一人になるのは あっちに「いいね！」 こっちに「いいね！」 「君、可愛いね」「今度遊びにデート？」 もう、俺のもんじゃないのに なぜか I FEEL LIKE 全て無くなる ALL FROM ME HAHA… 俺がいなくても元気そう 見ていられないもう I CAN'T TAKE IT MORE 喉まで上がるこの MY WORDS 飲み込み今日も「いいね！」押す FOR… SHIT… 離れてから君は LOOK SO BRIGHT YOU'RE PRETTY WOMAN YEAH, YEAH, YEAH, YEAH たまらない位 君は SHINE SO BRIGHT YOU'RE PRETTY WOMAN OH, PRETTY WOMAN DON'T WANNA BE FOOL, WANNA BE COOL, WANNA BE LOVED ふたりSAME LOVE I KNOW IT'S OVER DON'T WANNA BE FOOL, WANNA BE COOL, WANNA BE LOVED 君とSAME LOVE BABY, I WANT IT 友達が押した「いいね！」 で、前より BRIGHT にどうして見える？ 今彼と撮るPIC TAG, TAG おかげで僕は過去 BACK SPACE 知らぬ間にWORLD は止まってるのに TELL ME 何故 僕はSOハマってるの？ PLEASE！ HA.. 覚えてるのか？ 悩むとこ「いいね！」しようか、やめようか？ 何回も繰り返して 君の心はICEみたい まるでギロチンで僕は 落とされた様 でも君へCLOSE  近づくLIKE GHOST YOU がUPするLIFETIME 見てるEVERYDAY その度心を占めるEVERYWHERE OH SHIT！ YOUは思いだすか？ 悩んで「いいね！」をやめる AS A LAST ONE 離れてから君は LOOK SO BRIGHT YOU'RE PRETTY WOMAN YEAH, YEAH, YEAH, YEAH たまらない位 君は SHINE SO BRIGHT YOU'RE PRETTY WOMAN OH, PRETTY WOMAN DON'T WANNA BE FOOL, WANNA BE COOL, WANNA BE LOVED ふたりSAME LOVE I KNOW IT'S OVER DON'T WANNA BE FOOL, WANNA BE COOL, WANNA BE LOVED 君とSAME LOVE BABY, I WANT IT 君は最近どうしていた？ 覗いてみたら「いいね！」光る 可愛い君が 一人で楽しそうな今 「いいね！」するよ 君のPICS へ そう君の居ない日々は過ぎていく 離れてから君は LOOK SO BRIGHT YOU'RE PRETTY WOMAN YEAH, YEAH, YEAH, YEAH たまらない位 君は SHINE SO BRIGHT YOU'RE PRETTY WOMAN OH, PRETTY WOMAN DON'T WANNA BE FOOL, WANNA BE COOL, WANNA BE LOVED ふたりSAME LOVE I KNOW IT'S OVER DON'T WANNA BE FOOL, WANNA BE COOL, WANNA BE LOVED 君とSAME LOVE BABY, I WANT IT"
2,いいね！ Pt.2 ～あの場所で～,"
BTS",SLOW RABBIT・PDOGG・RAP MONSTER・SUGA・J-HOPE・日本語詞：KM-MARKIT,SLOW RABBIT・PDOGG・RAP MONSTER・SUGA・J-HOPE,どこにいるの？ 会おうまた 例えば例のとことかさ また飯でも食おうなんて誘う君に でも特にないさ意味 友達が押す「いいね！」 で前より良さそうに見える 独身に変わるプロフィールのステータス見たら すぐにでも会おうまた 俺らを囲む気まずさと 前と違う君のそのクールさを 埋める為に何気なくする話が咲く また思い出す過去 この俺達の関係がEXになる なら2人の間が OH NO！ “X”になる いつの間にか壁が出来ていって すれ違って行く2人 EY あの場所で 君とまた あの場所で 会えるならば あの場所で 待ってるから 来て欲しいんだGIRL 知らないうち 知らない風になり 楽しそうなGIRL 未だ夢中 未だにCUTE 眩しいままなGIRL 知らないうち 知らない風になり 楽しそうなGIRL 輝く様なGIRL 今日もLANケーブルから通る過去の記憶 引かれてく想いさ 後ろ髪を いつも見てる青い画面がもう嫌になる また押しそうな「いいね！」の代わりにかけてみる もしもし？ 覚えてると願う 君がもしも… もういいさ 俺はすぐに会いたいと言って 君も会いたいのか すぐに良いって もう単純さ 安心し皮算用して 会ってみたら覚めた合コンみたいな雰囲気 沈黙破る君の言葉 「彼氏ができた」凍り付くその場 やっぱ 変わってしまうのか 君のその表情一つが違うのさ 燃える恋も水の様に流れ 春は遠く また冬の日が流れる... あの場所で 君とまた あの場所で 会えるならば あの場所で 待ってるから 来て欲しいんだGIRL 知らないうち 知らない風になり 楽しそうなGIRL 未だ夢中 未だにCUTE 眩しいままなGIRL 知らないうち 知らない風になり 楽しそうなGIRL 輝く様なGIRL 君は最近どうしていた？ 覗いてみたら「いいね！」光る 可愛い君が 一人で楽しそうな今も... HEY 思い出す今も あの時の時間から増す時差も 繰り返してみてもわからない理屈 なのになぜかまた「いいね！」クリックする... あの場所で 君とまた あの場所で 会えるならば あの場所で 待ってるから 来て欲しいんだGIRL
3,Wishing on a star,"
BTS",Matt Cab・Willie Weeks・Daisuke・Rap Monster・SUGA・j-hope・日本語詞：Km-Markit,Matt Cab・Willie Weeks・Daisuke・Rap Monster・SUGA・j-hope,"描くStory 叶うようにWishing on a star 思い続けよう 星をなぞるように 何度も願うよI can't wait 掴みたいから Wishing on a star Woh, Star 君を想うこのNight Woh, Star 明るく輝きShine そうさ君は最高さ 夢があれば心配もない 信じれば光るのさ 未来の真珠よRight, right alright 疲れたならば休みながら 進めるはずさ だからMy baby 例え先がパンドラでもね希望ある だからMy baby 恐れずありのまま uh その鼓動が響くなら uh 変わらずでかい夢見続けて また輝くから Baby 描くStory 叶うようにWishing on a star (Wherever you are) 思い続けよう 星をなぞるように 何度も願うよI can' t wait (Wherever you are) 掴みたいから Wishing on a star 思うほどきっと届く Wishing on a star 思うほどきっと届く Wishing on a star 思うほどきっと届く Wishing on a star I'm wishing on a star for you I'm wishing on a star for you Spit a million, billion bars Yeah I'm wishin' on a star Keep your dreaming hard Just no matter where you are I'm running with my heart Keepin' my feet in the Mars and No matter how it far I'll be always restartin' 堪えてでも 進むけれど 例えこの涙枯れ果てても そう、ありのままで、俺のままで 歌えるなら何も辛くはない 描くStory 叶うようにWishing on a star 思い続けよう 星をなぞるように 何度も願うよI can' t wait 掴みたいから Wishing on a star 今はまだ旅の途中 I wanna be close to your heart 夢に見た景色だから Just take me to where you are 描くStory 叶うようにWishing on a star 思い続けよう 星をなぞるように 何度も願うよI can' t wait 掴みたいから Wishing on a star 思うほどきっと届く Wishing on a star 思うほどきっと届く Wishing on a star 思うほどきっと届く Wishing on a star I'm wishing on a star for you I'm wishing on a star for you uh uh ey, 動き出しなBoy 脈打つ鼓動 今始まる Boy 人生は One coin clear つまらない悩みなんてNothing やりなマジ 本気で ２度はないし Ur 可能性 No limit boy ないさ限界値 You can be a star, you can be a star 忘れるな 先を明るく照らすから Like a star"
4,WAKE UP,"
BTS",SWING-O・RAP MONSTER・SUGA・J-HOPE・日本語詞：KM-MARKIT,SWING-O・RAP MONSTER・SUGA・J-HOPE,"万感が包む朝を 全て終われば良いとすら思う また道外しそうになったその時 聞こえる親の声「起きなさい、もう！」 AIGHT MOM さあ、今立つぜ MY FAM, MY FRIENDS それにMY FANS 俺の夢以上に夢の様な皆の為 これ以上は眠れないぜ 顔とまた身を するビッと 仕事へKEEP GOING 俺のペンは刀さ MY WHOLE BODY IS A PISTOL AND ALL MY HATERS 生きていれば疲れてるのも分かる BUT, I GOTTA KILL YA'LL 俺も生きる為に I GOTTA BEAT YA'LL 親の想いもわかる様な最近 この気持ち溢れそうさ内心 またいくら疲れて眠りついても 変わらない朝 JUSS KEEP ON&ON&ON&… WAKE UP 目を覚まして、ほら WAKE UP 皆が待ってるのさ WAKE UP 時間は無いから WAKE UP ひたすら走るのさ GOTTA LIVE MY LIFE GOTTA TAKE MY PRIDE GOTTA SHINE MY LIGHT WAKE UP WAKE UP GOTTA LIVE MY LIFE GOTTA TAKE MY PRIDE GOTTA SHINE MY LIGHT WAKE UP WAKE UP 時計が指す6時 皆起きる時、就寝 顔鏡に映り 知る 疲れてた ゆうに 誰のせいでもない 自分でしてんのに 好きな音楽でさえまるで戦争に SHIT！ やるしかない夢中に！ 進むさ俺のDESTINY 人よりも少し遅く始まる 1日、遊びたい気持ちは後回しで 今は夢の方が肝心さ 気にしてらんない先の事など 22才、それ以上でもないさ 周りとの差感じる まるで催眠みたいさ 酔う様に眠るけどWAKE UP 疲れた顔に変わる今の生活 現実追う俺はDREAM CHASER 無気力でも衣装着ればまた旋回 舞台の上、上がる瞬間WAKE UP それが俺の生きる意味 これでSTEP UP！ WAKE UP 目を覚まして、ほら WAKE UP 皆が待ってるのさ WAKE UP 時間は無いから WAKE UP ひたすら走るのさ GOTTA LIVE MY LIFE GOTTA TAKE MY PRIDE GOTTA SHINE MY LIGHT WAKE UP WAKE UP GOTTA LIVE MY LIFE GOTTA TAKE MY PRIDE GOTTA SHINE MY LIGHT WAKE UP WAKE UP WAKE UP 日、昇って 驚く量 今日の予定 心身ともにもう下降線 BUT, いつのまにか衣装まとって GO MAKE UP, NO BREAK UP 疲れさえ隠してしまうこのMAKE UP プロらしく舞台に上がる WE THE PLAYER 浴びるみんなの歓声 また魅せる！ マイクならBALL 代わり燃やすドリブル 誰も止められないシュートをすれば一蹴 汗の雫落ちる音までリズム 水と油さ まるで朝方の自分 I'M ILL, I'M REAL 時間は過ぎて行くけど THRILL 分かるようで分からない日生きる でも止まらないさ 行くぜSTILL AY… どうせ休めないならばいっそ羽ばたく 超えられないさ誰も 磨くスニーカー 光で輝く WO WAKE UP 目を覚まして、ほら WAKE UP 皆が待ってるのさ WAKE UP 時間は無いから WAKE UP ひたすら走るのさ GOTTA LIVE MY LIFE GOTTA TAKE MY PRIDE GOTTA SHINE MY LIGHT WAKE UP WAKE UP GOTTA LIVE MY LIFE GOTTA TAKE MY PRIDE GOTTA SHINE MY LIGHT WAKE UP WAKE UP"
5,Airplane pt.2 -Japanese ver.-,"
BTS",Pdogg・RM・Ali Tamposi・Liza Owen・Roman Campolo・“Hitman”Bang・SUGA・j-hope・日本語詞：KM-MARKIT,Pdogg・RM・Ali Tamposi・Liza Owen・Roman Campolo・“Hitman”Bang・SUGA・j-hope,"小さな子で ずっと歌っていた どこでもいい 音楽がしたくて 歌い 音で 心動かした thing 迷わずに 来てみたけど 簡単じゃない 失敗ばかり 疲れ切った日 聞こえた言葉は You're a singing star You're a singing star But I see no star.. そして時は経ち (We still) Sky high, sky fly, sky dope (We still) Same try, same scar, same work (We still) 世界中で稼働 (We still) ホテル内も作業 (I still) 時によくなって たまにダメになって (I still) 今日は誰になってる？ キム・ナムジュン or RM？ 25だし 生き方なんて上手くない だからひたすらにただ go 飛んで NY や Cali London に Paris 俺らが行けばどこだって party El Mariachi El Mariachi El Mariachi 飛んで Tokyo や Italy Hong Kong に Brazil 世界中どこにでも歌いに行く El Mariachi El Mariachi El Mariachi El Mariachi.. 雲の上 check it 雲の上 check it 雲の上で feel 雲の上 check it 雲との chemi 雲とずっと接し 雲乗り playin' 雲の中 fade in you don't know it, maybe 何年もこの状況で マイレージも上昇して 今君らへ気持ちを還元する このポイント使い贈呈 Love airplane mode 周りは off 指図はいらないもう このままファースト キープし この席から眺める夜空を I don't know, I don't know, I don't know, I don't know 止める方法も I don't know, I don't know, I don't know, I don't know 休む方法も I don't know, I don't know, I don't know, I don't know 間違う方法も I don't know, I don't know, I don't know, I don't know テレビでやる可愛らしい 自慢はもう fed up 旅券は疲労で限界 メディアからの恩恵は そっちの方で bomb ハハハハ ya ya セレブ遊びならやってな 俺たちは何も変わってない Woo！ 飛んで Mexico City London に Paris 俺らが行けばどこだって party El Mariachi El Mariachi El Mariachi 飛んで Tokyo や Italy Hong Kong に Brazil 世界中どこにでも歌いに行く El Mariachi El Mariachi El Mariachi El Mariachi.."
6,EPILOGUE : Young Forever -Japanese Ver.-,"
BTS",Slow Rabbit・Rap Monster・“hitman”bang・SUGA・j-hope・日本語詞：Km-Markit,Slow Rabbit・Rap Monster・“hitman”bang・SUGA・j-hope,"幕が下り 今ここに また巡る この想い 今日の俺はどうだったのか みんな喜んでくれたろうか それでもいいんだ俺はこうやって 人を喜ばせられるようになって 幸せ感じ余韻残る 今、誰もいない舞台の上で 誰もいない舞台の上で 寂しさが訪れて 複雑な気持ち 抑えこみ祈り ひたすらに乗り越えてく とうに慣れていた筈なのに 隠せないこの想い 冷めた頃にひとり またこの舞台を後に… 不安は後に 完璧なんか無いと言い聞かせながら 重荷を下ろし この歓声も永遠(とわ)じゃないものだから それでもいたい共に その声この元に 永遠(とわ)じゃなくてもまた歌い奏でる 変わらない今のままで 永遠(とわ)に少年のままで Ahh Forever We are young 舞い散る花びらの中 彷徨(さまよ)う今も Forever We are young 傷付き辛くても 目指す夢叶うまで Forever, ever, ever, ever 夢、希望、前進、前進 Forever, ever, ever We are young Forever, ever, ever, ever 夢、希望、前進、前進 Forever, ever, ever We are young Forever We are young 舞い散る花びらの中 彷徨(さまよ)う今も Forever We are young 傷付き辛くても 目指す夢叶うまで Forever We are young 舞い散る花びらの中 彷徨(さまよ)う今も Forever We are young 傷付き辛くても 目指す夢叶うまで"
7,Crystal Snow,"
BTS",Kanata Okajima・Soma Genda・Rap Monster・日本語ラップ詞：KM-MARKIT,Kanata Okajima・Soma Genda・Rap Monster,"雪積もるように 確かめているよ 君がくれたもの 生きてく勇気 あらゆる時間 越えて出逢ったんだ それで How do we do？ 果たせる？ この不確か状態 Love 思ったより 世界は早くて How we gonna change it？ We don't know yet でもきっと… (Eh) 愛、僕らの胸に uh yeah (Eh) Slowly 響きだして 君を抱き締めたい 消えてしまう前に もう一度 Ah どこまでも 舞い上がる Crystal ねぇ何もいらないから もう少しだけ 感じてたい Can I touch your heart？ 触れたくても すり抜けていく Oh Someday… Someday… 小さな笑顔が なぜか苦しい How can I be closer uh… この想いは何故 答えが出ない How I am gonna find it？ どうやって？ Oh let me know 曖昧な形ばかり Crystal Snow 報われない Story なんて もうムリ Eh この手で変えてみせるのに (Eh) Surely 誓えるのに… 君を守りたくて 涙に変わる前に もう一度 願う程に 届かない Crystal 100年先になっても 次の一歩は君とがいい Can I be your one？ 星ひとつない雪の夜空 Oh Someday… Someday… もう二人は遥か遠い 一つのはずなのに 今では僕らを 彩る絵の具など 選べやしない黒い息も 深い君の白い霧も I feel, I feel, I feel, I feel Oh crystal snow, crystal snow 真っ白なその中で 君が僕を通り過ぎ 水になろうと胸でまだ流れてる (奏でてる) 輝くもの全てに映る 光る君を見つめてる 待ってるさまたどこでも 会いたい嘘でも 握ってこの手を 愛する温度が 溶け出す メロディ 確かな 温もりよ 永遠に続け 君を抱き締めたい 消えてしまう前に もう一度 叶えるため 舞い上がる Crystal ねぇ言葉足りないけど ありのままでも伝えるから Can I touch your heart？ 信じて欲しい 迎えに行くよ Someday… Someday… It's always you, It's always you, crystal snow (Let me see your smile, oh baby, eh) It's always you, It's always you, crystal snow (Let me feel your love, そう どこまでも Fuu) It's always you, It's always you, crystal snow (Let me feel your love, our crystal snow yeah) It's always you, It's always you, crystal snow Crystal snow, oh… どこまでも Baby crystal snow"
8,Good Day,"
BTS",Mat Cab・Ryuja・SUGA・j-hope・Rap Monster・Shoko Fujibayashi・日本語ラップ詞：Km-Markit,Mat Cab・Ryuja・SUGA・j-hope・Rap Monsteri,"大丈夫だってOh yeah いつかはGood Day 当然 一人じゃなくてAlways そばにいるってWe'll be okay 君と繋がってよう きっとBrighter tomorrow 楽しみは分け合う度倍になる でも悲しみも分けたら倍になる だからいつも笑って 休みな俺の肩で たまに喧嘩するでもすぐに仲直り 気持ちもわかる ま～書いてるさ顔に 見栄とか hmm, hmm まるで関係ない 俺達の「関係」に何も関係ない 毎日でもいいどうせ 今更かっこつけるなんて No thanks 金が無くても会うだけでOK だから何も気にせずにまた笑おうぜ Yep, bro いつも同じ Yep, bro お前のそばに どんな時でも We happy together 変わらない気持ちはあの頃のまま 大丈夫だってOh yeah いつかはGood Day 当然 一人じゃなくてAlways そばにいるってWe'll be okay 君と繋がってよう きっとBrighter tomorrow 俺達が歩き始めてもう3年 男同士「桃園の誓い」の観念 もう家族の様さ 体を流れる血の様さ 重量「上げる」様お前を「アゲて」 笑いあう友と想いの果てへ Ma friend, don't be afraid 本気で希望持てる者同士のswag Ay, 留まりな 俺のこの手に掴まりな 俺らで飛ばそう！ We in カンナム じゃ乾杯！ Popさせる シャンパン 頼ってみてもいい 辛いと言ってもいい この俺に You can lean on me, lay on me Lean on me だから笑ってOh yeah 明日はNew Day だって 夜が終わってOh yeah 光が差してjust go your way 夢と現実の間 歩いてくTill the end of life 喜びも痛みさえも 分け合えたら 大丈夫だってOh yeah いつかはGood Day 当然 一人じゃなくてAlways そばにいるってWe'll be okay 君と繋がってよう きっとBrighter tomorrow 大丈夫だってOh yeah いつかはGood Day"
9,Go Go -Japanese ver.-,"
BTS",Pdogg・“hitman”bang・Supreme Boi,Pdogg・“hitman”bang・Supreme Boi,DOLLAR DOLLAR 全て無くすまで まだまだ 走り稼ぐだけ まだまだ まだまだ まだまだ 俺も cruisin' on the bay 欲しい cruisin' like NEMO 金ないけど 行きたい遠くにも “手持ち”ないけど癒したいこの体(み)も “縁”ないけど 会いたいよ 小野二郎 努力し稼いだ pay はたく全て 塵みたい でも楽しむ 今日はpay day 無駄でも 金なくなっても それでいいんだ身銭使い果たすいくらでも WOO 俺の明日は 不安で真っ暗 未来もないくらい WOO 持っていけたくさん 君は wussup Do you want some？ DOLLAR DOLLAR 全て無くすまで まだまだ man i spend it like some party DOLLAR DOLLAR いつか変わるまで その時まで YOLO YOLO YOLO YO YOLO YOLO YO タンジンジェム タンジンジェム タンジンジェム YOLO YOLO YOLO YO Where my money yah タンジンジェム タンジンジェム タンジンジェム YOLO YOLO YOLO YO YOLO YOLO YO タンジンジェム タンジンジェム タンジンジェム YOLO YOLO YOLO YO Where the party yah タンジンジェム タンジンジェム タンジンジェム Where my money yat？ Where the party yah？ 毎週が火水木金金金金 この口座 yah 底なしのよう 注いでる日々必死に ならばこの状況 壊してみせろ本性を そうさ悩むよりもGo堂々と びびらずに行けいっその事 さぁ今日こそ DOLLAR DOLLAR 全て無くすまで まだまだ man i spend it like some party DOLLAR DOLLAR いつか変わるまで その時まで YOLO YOLO YOLO YO YOLO YOLO YO タンジンジェム タンジンジェム タンジンジェム YOLO YOLO YOLO YO Where my money yah タンジンジェム タンジンジェム タンジンジェム YOLO YOLO YOLO YO YOLO YOLO YO タンジンジェム タンジンジェム タンジンジェム YOLO YOLO YOLO YO Where the party yah タンジンジェム タンジンジェム タンジンジェム コミンボダGo コミンボダGo コミンボダGo Go [Everybody！] コミンボダGo コミンボダGo コミンボダGo Go [Everybody！] コミンボダGo コミンボダGo コミンボダGo Go [Everybody！] コミンボダGo コミンボダGo コミンボダGo Go [Everybody！] コミンボダGo コミンボダGo コミンボダGo Go [Everybody！] コミンボダGo コミンボダGo コミンボダGo Go [Everybody！]
