,Song,Artist,Lyricist,Composer,Lyric
0,I am pop feat. LISA LION,"
LISA",LISA,LISA,"Straight to the floor 急がなきゃ get ready let's go Put on a show 暑くなる 気温 is risin' Look how she does, how he does, yeh I guess they all got it But you're lookin' at the サイコー、 the best of all, I got it, got it My body, my soul is released 朝までいくよ so let me be me It's like magic, I'm feelin so free 音が溶けてく このまま流れてく I'll show you how so get closer, move closer リアルな私を見せたくて 縮めてよ move over, move over There's no need to be uptight、触って so you'd read my mind I'll tell you what just cross over, cross over バリア脱いで、裸になって 終わらない 's not over 's not over 帰らなくていいよ It's like that take it where you wanna go shimmi shimmi co co pop shimmi shimmi yeh shimmi shimmi I am pop shimmi shimmi co co pop shimmi shimmi yeh shimmi shimmi I am pop The beat goes on spot is bouncin' bouncin' flashin' bouncin' でかくなる声 届け そのtempleへ The way things goes way it flows, forget it never mind it just shake it to me once, shake it all you got till you drop now do it do it Your body, your soul is at ease, 楽しければ それでいい It's like magic 止まらない 音が溶けてく 体が叫んでる I'll show you how so get closer, move closer 歌うよ so get up on your feet feel it 見つめたい move over, move over 名前はいらない 伝わるよ so read my mind I'll tell you what ねぇ come over, come over 今以上の君を見せつけて 続けるよ we don't stop, we don't stop おさまらなくていい It's like that music never ever leaves shimmi shimmi co co pop shimmi shimmi yeh shimmi shimmi I am pop shimmi shimmi co co pop shimmi shimmi yeh shimmi shimmi I am pop Ooh かます いざ shimmi dat groove Ooh 飛ばします wicked sound tune Ooh 四角から 丸い脳みそ ギャー！牙むけば it's time to break the rule 調子づけ Lion again shimmi って winy twiny 宙で Jump 音で gallop mi friend 地に足がつかぬままが true best バカさ加減、本当は変、誇ってschool受ける中堅 Lion presents しばいてく barricade rule ケツ出しな 蹴るぞ oh yeah Ah... My body, my soul is released、朝までいくよ so let me be me It's like magic 止まらない 音が とけてく 体が叫んでる I'll show you how so get closer, move closer リアルな私を見せたくて 縮めてよ move over, move over There's no need to be uptight、触って so you'd read my mind I'll tell you what just cross over, cross over バリア脱いで、裸になって 終わらない 's not over 's not over 帰らなくていいよ It's like that take it where you wanna go shimmi shimmi co co pop shimmi shimmi yeh shimmi shimmi I am pop shimmi shimmi co co pop shimmi shimmi yeh shimmi shimmi I am pop"
1,I ONLY WANT TO BE WITH YOU,"
LISA",Mike Hawker,Ivor Raymond,"I don't know what it is That makes me love you so I only know I never want to let you go 'Cos you've started something Can't you see That ever since we've met You've had a hold on me It happens to be true I only wanna be with you It doesn't matter where you go Or what you do I'd love to spend Each moment of the day with you Look what has happened You just walked in I never knew that I could be in love like this It's crazy but it's true I only wanna be with you You stopped, you smiled at me And asked me if I'd care to dance I fell into your open arms I didn't stand a chance Now listen honey I just wanna be beside you everywhere As long as we're together, honey I don't care 'Cos you started something Now can't you see That ever since we've met You've had a hold on me No matter what you do I only wanna be with you"
2,I Promise,"
LISA",LISA,LISA,"No more of myのHysteria No more いきなりmail見せて No more 遊びの疑い No more egoの押しつけ Cuz I'm tired 君がどんなふうでも 逆切れのspecialistでも好きでいるよbaby And I'm tired 眠れずに悩む事も 離れたくないだから…So... I'll try to make you be all mine 気持ち白紙にして I'll try無くしかけてた ときめきを 取り戻すこと I promise I'll try to make you be all mine I'll try to make you love me twice Step1, my soul洗って 君がずっとここにいたいように No more,your friendsに質問攻め No more,探偵そぶり No more,会話の深読み No more,被害妄想の被害 I need you 今すれちがってても 降参の手を挙げるよ becuz I u & you my baby I've realized 君がどんなふうでも 壊したくない だから So... I'll try to make you be all mine 新鮮な空気入れて I'll try 知らずに消えてた Smileを from now 見せる事 I promise I'll try to make you be all mine I'll try to make you love me twice Step2,綺麗になって 君の目 never それないように There's no other love no other one out there for me there's no other warmth that special kind that you can give There's no other love no other one out there for me there's no other warmth that special kind that you can give"
3,I miss your love,"
LISA",LISA,LISA,"Baby, I miss your love Baby, I miss your love Baby, I miss your eyes Baby, I miss your love Baby, I miss your eyes Baby, I miss your voice and the way you make me smile And baby, I miss your kiss the comfort you used to give Life won't ever be the same without you Baby, I miss Ever since you said you say you didn't want me no more Been asking myself where did we go wrong No explanations why you gotta move on Boy you hurt me so deep inside squashin' my heart alive Is it that you thought our love was going no where Or did you find yourself another love out there Please babe, don't leave me here with nothing at all Standing in the cold all alone How can I breath if you're not around Tell me how shoud feel I'm stuck in the dark Baby when do I sleep when you're on my mind Tell me how should I live Baby, I miss your love Baby, I miss your eyes Baby, I miss your voice and the way you make me smile And baby, I miss your kiss the comfort you used to give Life won't ever be the same without you Baby, I miss How can I breath if you're not around Tell me how shoud feel I'm stuck in the dark Baby when do I sleep when you're on my mind Tell me how should I live Baby, I miss your love Baby, I miss your eyes Baby, I miss your voice and the way you make me smile And baby, I miss your kiss the comfort you used to give Life won't ever be the same without you Baby, I miss Promise you never give me up Now how am I supposed to move on You said you'll never lose your love Promise you never give me up Now how am I supposed to move on You said you'll never lose your love Baby, I miss your love Baby, I miss your eyes Baby, I miss your voice and the way you make me smile And baby, I miss your kiss the comfort you used to give Life won't ever be the same without you Baby, I miss Baby, I miss your love Baby, I miss your eyes Baby, I miss your voice and the way you make me smile And baby, I miss your kiss the comfort you used to give Life won't ever be the same without you Baby, I miss Baby, I miss your love Baby, I miss your eyes Baby, I miss your kiss the comfort you used to give Baby, I miss your love Baby, I miss your eyes Baby, I miss your kiss the comfort you used to give"
4,I'm all you,"
LISA",LISA,LISA,"(let me rock your world to the left) I cross over border to border baby (let me rock your world to the right) 日本列島、皆々さん調子はどうよ、aha,aha massive一体騒いでちょうだいto dis rapapanで準備万端1,2、いくよ、いくよ sensitiveすぎるあなたを 愛したから (one, and only, spanish fly baby) すぐにでも higher だんかい つれていくよ (I'm comin again I'm comin' again, what) 天井突き抜けて上げていくから (raise yo hands up, 手をあげな) 限界知らずのtripをしていこう… (yeh ah) baby baby 教えて あなたが思う普通の意味 loveに基本lineは無いはずで あるとしたならもう飛び越えてる! 常識超えた正直で specialな気持ちは迷惑なの? emotionは隠せないよ 私が私で無くなるから すごい確立で出会えたことがただ嬉しくて way too fastなペースで、会いたい勢い抑えられなくて いつでもわがまま、I'm so sorry 甘えてばかりでごめんね やめられない、can't stop lovin', don't know why 一人締めしたいよ every hour of everyday ぶっとんだ私に恋したいのだから (ネイサン vibes, too much pride, hey) 早めにdeepなとこにはまろう (イケイケstyle、容赦なし) 情熱的な方が楽しいから (吠えな、手をあげな) 全開にサイコーな恋をしよう… あなたが言う理想は とても私には理解できない もっとCASUALにって何なの ねえ 心の声に素直でいたいの ドアを閉じて 今からすべて見せてほしいの It's so easy babe ハートのLockに鍵をかけないで いつでもわがまま I'm so sorry so one way(自己中)な私でごめんね とめられない can't stop lovin', don't know why 一人締めしたいよ every hour of everyday いつでも私のbe my sunshine あなたは私のforever shyなbaby baby, can't stop lovin',don't know why 悪気はないの愛してるだけ let me rock your world to eht left tonightは私に任せて let me rock your wold to the right why won't you let me inside I can give you all that you want ためすところから先に There's no secret into my heart 気持ちのまままっすぐに love me baby いつでもわがまま、I'm so sorry 甘えてばかりでごめんね やめられない、can't stop lovin', don't know why 一人締めしたいよ every hour of everyday いつでも私のbe my sunshine あなたは私のforever shyなbaby baby, can't stop lovin',don't know why 悪気はないの愛してるだけ sensitiveすぎるあなたを 愛したから (I spread love, big loveでearthを操作) すぐにでもhigherだんかいつれていくよ (イケイケstyle容赦なしay!) 天井突き抜けて上げていくから (Raise you hands up,ret me see you fly) 限界知らずのtripをしていこう… (I cross over, border to border, babe) ぶっとんだ私に恋したいのだから (ネイサン vibes, too much pride, hey) 早めにdeepなとこにはまろう (気合いで前進 飛ばした精神) 情熱的な方が楽しいから (情熱の大陸、目指すぜmassive…) 全開にサイコーな恋をしよう…"
5,"I,Rhythm","
LISA",LISA,LISA,"Sugar Baby, don't you cry yo' 涙's full of lies I deserve a better life, yeh Baby, baby, it's allright すきにすればいいじゃない! 後悔なんかしない、yeh ひざまついて宙に、両手投げ、オーバーに you've seen it on that aim ”T” bee,さまになるRandB So 無駄に勘違い、you're no R.Kellyじゃない? Playa さかげんな具合、it's breakin' me inside! Oh, oh,出会った頃は You were so sweet to me, all eyes for me, (yeh) Oh, really? It's gon' be forever 信じてた日に、I'm sayin'… Sugar Baby, don't you cry yo' 涙's full of lies I deserve a better life, yeh Baby, baby, it's allright すきにすればいいじゃない! 後悔なんかしない、yeh あげたでしょ everything, body, heart, even money! 歌詞によくあるscene,寄り戻す事態… Oh no, no二度とない人生は I'd rather be, so happy (Oh), yeh really! 大事にしてくれる人へと、I'm flyin'… Sugar baby, don't you cry 言い訳はいらない I deserve a better life, yeh Baby, baby, (I'll) tell you why ここが追いついてない So I'm gonna say bye bye! Yeh Oh, oh,出会った頃は You were so sweet to me, all eyes for me, (yeh) Oh, really? It's gon' be forever 信じてた日に、I'm sayin'… Sugar Baby, don't you cry yo' 涙's full of lies I deserve a better life, yeh Baby, baby, it's allright すきにすればいいじゃない! 後悔なんかしない、yeh Sugar baby, don't you cry 言い訳はいらない I deserve a better life, yeh Baby, baby, (I'll) tell you why ここが追いついてない So I'm gonna say bye bye! Yeh"
6,other side of now,"
LISA",LISA,LISA,"this very second 開かなくては no way to make it 間に合わない wake up this moment 思い let it all out... noise 邪魔した message, 透き通ってく offにしていた spirit に息を吹き込む full に生きるのが it's your right! on the other side of now, round&round 回る other side of now, 全てが happiness other side of now, 叶える power other side of now, 描いていた love don't miss the calling, 心の声を tune in and listen cuz 裏切らない keep your heart open 受け入れたら you win! sound 拾える from silence, 君だけの melody voice にしてみて feelings, ほら 輝き出す 代わりなんていない it's your life on the other side of now, round&round 回る other side of now, 誰もが different other side of now, 今's your tomorrow other side of now, 信じていた love so live it all you got, 出して every moment so give it all you got, 時を待たないで so live it all you got, 呼んでいる calling so give it all you got, you can make it happen on the other side, 切り開いていく your way on the other side, don't let nobody judge you on the other side, 誰にも言わせないで on the other side, turn it inside out on the other side of now, round&round 回る other side of now, 全てが happiness other side of now, 叶える power other side of now, 描いていた love on the other side of now, round&round 回る other side of now, 誰もが different other side of now, 今's your tomorrow other side of now, 信じていた love"
7,あなたに逢いたくて ～Missing You～,"
LISA",松田聖子,松田聖子・小倉良,二人の部屋の 扉を閉めて 思い出たちに“さよなら”告げた あれから半年の時間が流れて やっと笑えるのよ 毎日 忙しくしているわ 新しい人生を私なりに歩いてる… あなたに逢いたくて 逢いたくて 眠れぬ夜は… あなたのぬくもりを そのぬくもりを思いだし… そっと瞳 閉じてみる あなたの後 歩きたかった 二人で未来 築きたかった どんなに愛しても かなうことない 愛もあることなど 気付きもしないほど あなただけ… 見つめてた 愛してた 私のすべてをかけて あなたに逢いたくて 逢いたくて 眠れぬ夜は… あなたのぬくもりを そのぬくもりを思いだし… そっと瞳 閉じてみる 一緒に 過ごした日々を 忘れないでね 後悔しないでしょう… 二人 愛し合ったこと… あなたに逢いたくて 逢いたくて 眠れぬ夜は… あなたのぬくもりを そのぬくもりを思いだし… そっと瞳 閉じてみる 愛してると つぶやいて…
8,Alone,"
LISA",LISA,LISA,"君は今どこで どうしてるのかな... 神様を時に、なぜですか? と責める いつかまた会えると 残した言葉 大丈夫と 見せた smile, すごく恋しい... 語り、笑い、傷つけ合ったり、過ごした この部屋 静かで寂しいよ、帰りたくない 帰り道... 会いたくて、会いたくて、君の名前を呼ぶよ 離れるまで、知らなかった、こんなに好きだと... missing you so much, 探しても、抱きしめられない 切なさに 涙が止まらない、明日も一人... alone... 君は私を想ってるかな... 神様どうか my baby, を守ってください 記憶を包む、そのぬくもり それだけを 頼りに 待っているから... 許されない愛、信じたり、眠る隣に 目覚める朝も、君はそばにいない... 会いたくて、会いたくて、毎日祈っているよ 失うまで、知らなかった、こんなに好きだと... I love you so much, こそ もっと、なぜ 優しく出来なかったと 涙が止まらない、明日も一人... alone... いつか こうなると 心で 分かっていたけど 過ぎていい恋に 深く落ちて、into your love 愛してしまって、愛してしまって、この気持ち 後戻り出来なくて... 会いたくて、会いたくて、君の名前を呼ぶよ 離れるまで、知らなかった、こんなに好きだと... missing you so much, 探しても、抱きしめられない 切なさに 涙が止まらない、明日も一人... alone..."
9,Our Story,"
LISA",LISA,LISA,"雨なら君が濡れぬように手をかざす さす日差しほら, 影を作ってあげる… その微笑む顔をずっと見てたいから、 いつか来る悲しみも 幸せに変えて… 愛する君を, forever, どんな嵐が吹こうとも この手だけを離さずにいて 全てをかけて, I promise, 守るよ側に欲しいから, いつまでも…from today 信じて Our Story… 私の祈りが君を包むように 想い込めるよ 決して背を向けない 心と心 今、向かい合って 果てしない Love Story, ここから始まる 誓うよ I love you forever, 険しい道も二人でなら 喜びへと 導きあえる ともに見る夢 咲かせ、限りなく続く旅へ 歩み出す, every step 育む Our Story… 君がいるから 全て捧げたいと思える 君がいるから 永遠に命があればと… 愛する君を, forever, どんな嵐が吹こうとも この手だけを離さずにいて 全てをかけて, I promise, 守るよ側に欲しいから, いつまでも…may god bless us till end of time 誓うよ I love you forever, 険しい道も二人でなら 喜びへと 導きあえる ともに見る夢 咲かせ, 限りなく続く旅へ 歩み出す, 神様と奇跡のstory"
