,Song,Artist,Lyricist,Composer,Lyric
0,AYA -Japanese ver.-,"
MAMAMOO",Kim Do Hoon(RBW)・Lee Sang Ho(RBW)・Moon Byul・日本語詞：FanFan・Moon Byul,Kim Do Hoon(RBW)・Lee Sang Ho(RBW)・Moon Byul,Hey ya 引き分けよ 勝とうなんて思ってないの 私たち もう 終わりだね(Grrrr hey) A-yo a-yo You got me jumping like a crazy clown No way 即 虫歯は抜歯 Aya I love U 「捧げるよ」と言ってたでしょ Hate U 二人 矢を構えるの 丸見えな bad ending 顔見たくないよ 傷をつけ合い そう他人になる 夢中になってた愛も わがまま 疲れたの 涙か雨のどっち？ Oh 惨めになる心 そっと 落ちた涙 そっと落ちた 涙か雨なのか Aya 涙か雨なのか Aya 涙が 子供扱いして 弄ぶのやめて Ayaya 気分が悪い I'm so done 君は killer 映画の villain 愛の詐欺師 dealer 隠れた水面下 you're a criminal 手遅れだわ 私が撃つわ gun shot shot A-yo a-yo You got me jumping like a crazy clown No way 即 虫歯は抜歯 Aya 夢中になってた愛も わがまま 疲れたの 涙か雨のどっち？ Oh 惨めになる心 そっと 落ちた涙 そっと落ちた 涙か雨なのか Aya 涙か雨なのか Aya 涙が And It's over 君と これ以上 無理よ 冷めたの心(oh nananan) 違うわ sad ending 出会わなかったなら 涙が… Aya そっと落ちた トゥトゥトゥトゥ トゥトゥトゥトゥ Drop drop drop drop Drop drop drop drop トゥトゥトゥトゥ トゥトゥトゥトゥ そっと落ちた 涙か雨なのか A a aya happy ending そっと落ちた 涙か雨なのか A a aya 愛情も そっと消えた AYA
1,Wind flower -Japanese ver.-,"
MAMAMOO",Kim Do Hoon(RBW)・Park Woo Sang(RBW)・Moon Byul・日本語詞：Natsumi Watanabe,Kim Do Hoon(RBW)・Park Woo Sang(RBW),ありふれた 恋のStory 平凡な サヨナラ Sweet heart わかるでしょう？ 寂しくて Miss you すごく辛かった そばにいると上手く愛せなくて 今になって浮かぶ 甘い時 後悔 How many times？ あの花たちが Why 美しく見えるの？ Wind flower Wind flower あなたとの物語 Wind flower Wind flower Hu Hu Hu Hu 二人だけが Tu Tu Tu Tu 辛いだけなの？ 何度も咲く花のように Flower Yeah Get better day by day Get better day by day 爽やかな風の日(風の日 All day) 一人で過ごす夜(過ごす夜) Hu Hu Hu Hu 憂鬱は去り Get better day by day Get better day by day それほどだった 一度だけの別れ うるさい 出てみりゃノックする子 未練だ ナンデモ ナイってフリで食べる 豪華なディナー 無気力 Vacant Missing Yeah 暗雲天気に Downだよね ナンデモナイ日がナイ！胸クソ悪い 何故美しくいられなかったの？ 別れの歌詞を歌うだけなの？ 後悔だらけの愛 あの花たちだけ 美しく咲いている Wind flower Wind flower 変わってしまった二人 Wind flower Wind flower Hu Hu Hu Hu 別れだけが Tu Tu Tu Tu 運命なの？ 何度も咲く花のように Wind flower Yeah Get better day by day Get better day by day 眩しく光る朝(光る All day) なんて自由な夜(自由な夜) Hu Hu Hu Hu 涙乾き Get better day by day Get better day by day 好きになってないとしたら サヨナラもなかったことでしょう 離れ離れの歌が 私を慰めてくれるのよ だから今日を生きます Hu Hu Hu Hu 二人だけが Tu Tu Tu Tu 辛いだけなの？ 何度も咲く花のように Wind flower Yeah Get better day by day Get better day by day 爽やかな風の日(風の日 All day) 一人で過ごす夜(過ごす夜) Hu Hu Hu Hu 憂鬱は去り(Oh I'm OK！) Get better day by day Get better day by day
2,Where Are We Now -Japanese ver.-,"
MAMAMOO",Kim Do Hoon(RBW)・Cosmic Girl・日本語訳詞：Eri Osanai・MoonByul,Kim Do Hoon(RBW)・Cosmic Girl・Lee Hu Sang(RBW),眩しくて綺麗だった 泣いて笑いあった日々の 大切さ忘れないよ 共に過ごしていた千の夜 溢れていた微笑みは Where Are We Now あの時から季節が過ぎ 彷徨い続けているのだろう Where Are We Now Where Are We Now Where Are We Now この旅のある日 Talking about Where we goin' どこかへ連れて行って 風の吹くまま行こう 流れてこう あぁ どこまで来てしまったのか On and On We're on the road 忙しく走ってた 巡った日々は まるでドラマだった Know know know we know 思い出は 消えるのか？残るのか？ 当たり前にいつもある Where Are We Now あの時から季節が過ぎ 彷徨い続けているのだろう Where Are We Now Where Are We Now Where Are We Now この旅のある日 何度も共に苦しんで 彷徨うの互い見えないまま Where Are We Now Where Are We Now Where Are We Now 短い春のように 輝いた地球(ほし)で君と 同じ夢を見てた Where Are We Now
3,Egotistic -Japanese ver.-,"
MAMAMOO",Kim Do Hoon(RBW)・Park Woo Sang(RBW)・日本語詞：Natsumi Watanabe・Moon Byul・SUKA,Kim Do Hoon(RBW)・Park Woo Sang(RBW),"私は 周る衛星 でもあなたが太陽なワケない 思うまま 中心だね 好き勝手に やっちゃダメ！ 教えて震えるだけで その瞳 ふさぐ魔法 腕の中 抜け出すわ 泣かせたら ホントにダメ！ 自分のことだけしか 考えないでしょ バカみたいに 合わせた 私を 悩ます 最後まで 寂しくする 言うことない Go away 説明が要る？ No way 怒ったって 傷口に塩 もう 勝手にしな 私は あなただけ あなたは 自分だけ 思うまま中心だね ホント 自分だけ それなら 勝手にしなよ  好き勝手を やっちゃダメ 勝手にしな AY 眠れなかった クールになっても その態度が 理解不能 いや降参 くたびれた 私の道をゆくわ あなたがいなくても 平気よ 腕の中 抜け出すわ 前向きに 生きてくの 合わせた 私 毎度 That's OK man 毎日 繰り返し この好意 あなたの権利あるなら なんか間違ってる！ 何で驚く？ 当たり前でしょ！ 泣いたって 無駄よ 今更 もう 勝手にしな こっちは あなただけ そっちは 自分だけ 思うまま 中心だね ホント 自分だけ それなら 勝手にしなよ 猛反省する時を 待ってるわね 勝手にね I don't, baby I don't stay I don't, baby I don't stay I'm ready to go on my way 言うことない Go away 説明が要る？ No way 怒ったって 傷口に塩 私も 勝手にする Bicho Malo 私は あなただけ あなたは 自分だけ 思うまま 中心だね ホント 自分だけ それなら 勝手にしなよ 好き勝手を やっちゃダメ つまんない サ！サ！サイテイね もういいわ 自分だけ Hey 悔やんでも ご勝手に 勝手にね 勝手にどうぞ 私も好きに生きるわ勝手にしな"
4,gogobebe -Japanese ver.-,"
MAMAMOO",Kim Do Hoon(RBW)・Solar・Moonbyul・日本語詞：Natsumi Watanabe・Moon Byul・SUKA,Kim Gun Mo・Kim Do Hoon(RBW),携帯を あっちに置いて 悩み捨てましょ 痛みなんて 飲み干しましょ いい子は やめて リズム身任せ 豪快に 遊ぼ ラララ YA YA 朝 起きて 変わったわけない 何でもないこと 意味持たない Oh yeah 無駄 antipathy 背中押したことない I go I go Butterfly Oh グラス ぶつけて Zzann It' ok to not be fine 気にしなくて 大丈夫 めっちゃ楽しもう drop drop drop gogobebe 投げちゃえ suit & tie ドレスコード bling bling bling 二人の mix & match 残らず drunken drunken gogobebe 豪快に 遊ぼ 夢中になろう 要らない wrong & right on & on on & on gogobebe gogobebe gogobebe Look up the here Focus focus focus 私は被写体 無視して 無駄口 ミュート Click click ピッ ああだ こうだ うるさい子が一番先に uh 映画では die へ So raise 自己愛 It' ok to not be fine 気にしなくて 大丈夫 めっちゃ楽しもう drop drop drop gogobebe 投げちゃえ suit & tie ドレスコード bling bling bling 二人の mix & match 残らず drunken drunken gogobebe 豪快に 遊ぼ 夢中になろう 要らない wrong & right on & on on & on gogobebe gogobebe gogobebe Nine / Six six nineteen Nine / Six gogobebe 準備は OK 狂う 準備は It's OK 始めよう ah yey yeah みんなでワイワイ みんなでワイワイ gogobebe 投げちゃえ suit & tie ドレスコード bling bling bling 二人の mix & match 残らず drunken drunken gogobebe 豪快に 遊ぼ 夢中になろう 要らない wrong & right on & on on & on gogobebe gogobebe gogobebe gogobebe gogobebe
5,Shampoo,"
MAMAMOO",Eri Osanai・Moon Byul・Im Sang Hyuck(RBW)・CocoDooboo PaPa(RBW),Im Sang Hyuck(RBW)・CocoDooboo PaPa(RBW),どうなっても良い ぼやいて 密かに揺れる心 キャンドル灯されて Melt my heart 徐々に溢れだすの 言葉は要らないでしょ？ 身を委ね 想像してくだけ I got a feeling 止めれない この気持ちはもう隠せないよ It's your freedom Fade in/out 火消えたら自分も分からない 徐々に加速するの 言葉は要らないから 傍に来てよ 私だけを見て 気付かぬうちに 奪われたの全部 止まって動けないままでは No no no 浴びたい気分よ 甘い言葉を 耳元で囁いて もっと欲しくて バブルバブルでポンピンポンピン 弾けていく泡玉 星あかり照らされて 浮かんでいる夜空 モヤモヤで Stop in Stop in 何度も膨らんでくの Bubble love 目閉じて聞いて 息づかい強まり 空間を埋めるね 君の手に my bodyは 雲みたい 軽い Make me feel so high I don't need a liar その香りに 酔う so tired 帰らない TVより funny funny 君はそう honey honey 気付かぬうちに盗まれたの全部 止まって考えすぎるのは No no no 素直な気持ちを 伝えたいけど 温もりは消えなくて もっと欲しくて バブルバブルでポンピンポンピン 飛んでいくよ泡玉 月あかり透かされて 微笑むの夜空 ドキドキで Stop in Stop in 何度も湧きあがるの Bubble love 何で恋ってするんだろう おとぎ話の人魚みたい Always thinking about you I will never forget you バブルバブルでポンピンポンピン 弾けていく泡玉 星あかり照らされて 浮かんでいる夜空 モヤモヤで Stop in Stop in 何度も膨らんでくの Shampoo
6,Just Believe In Love,"
MAMAMOO",Lauren Kaori・Yu-ki Kokubo・Moon Byul,Axel Hallstorm・StoneBridge・Lauren Kaori・Yu-ki Kokubo,"“Don't worry about what they're saying Keep doing you, love.” Getting up in the morning SNS Check すれば 嵐のように 飛び交う Diss で溢れかえる 罵りあうより 共に Like taking steps 愛を語り合おう Right on AYAYAYA (AH) 強気なコメントも They can't say it to my face (What's going on？) AYAYA OH (OH) I know I know 自分の価値を 誰かに決めさせない So just believe in LOVE OK？ 特別な何かじゃなくOnly この愛だけが 本当のMyself 目覚めさせてくれるの Don't complicate it I just wanna L-O-V-E (Love) When I say something, you say a hundred 耳痛い 自分の好きなように考え 見たいものだけ見るそれで？ 時間の無駄 説得するなんて If you touch my guy, I'll bite you 甘いあめちゃんまたほしいの？ You're a child. 大丈夫 but I'm not a kind 時代の流れいっそ脱ぎ捨て 毎日が私のIndependence Day Back it up back it up back it up back it up 過去を見たって Ain't got no time for that nonsense So just believe in LOVE OK？ 素顔の奥 隠したReal me 曝け出そうよ 自分しか触れられない心がある Don't complicate it I just wanna L-O-V-E (Love) Riding high 届かないほど 景色は So beautiful I don't know what to say Level up するだけ There can be no other way さぁ 手を伸ばして So just believe in LOVE OK？ 特別な何かじゃなくOnly この愛だけが 本当のMyself 目覚めさせてくれるの Don't complicate it I just wanna L-O-V-E (Love) LOV-E LOV-E LOV-E LOV-E LOVE, LOV-E LOVE LOV-E LOV-E LOV-E LOVE (AYAYAYA) Nothing can get in our way LOV-E LOV-E LOV-E LOV-E LOVE, LOV-E LOVE LOV-E LOV-E LOV-E LOVE (AYAYA OH) “Love conquers all So don't give up I'm right there with you”"
7,Starry Night -Japanese ver.-,"
MAMAMOO",Kim Do Hoon(RBW)・Park Woo Sang(RBW)・Moon Byul・日本語詞：Lauren Kaori・Moon Byul・SUKA,Kim Do Hoon(RBW)・Park Woo Sang(RBW),寒い空を塗り替える風 柔らかい春が訪れ 何か変わりそうな予感がするの 新しい日は来るかな 暗い夜に寂しく浮かんだ キラキラ月が 光を描く 君が出たことで 浴槽、水が未練と 溢れるため息が その場所埋めてく 夜は明けても 私は Still alone Starry night こんな夜は I feel you you you around me 消せない記憶たちが 心離れない 夜空に Star light Ya ya ya ya ya ya 夜空に Star light Ya ya ya ya ya ya 夜空に Star light 冬が過ぎてまた花は咲く 春色の香り纏って 代わり映えのない日々を繰り返し それでも明日を待ってる 日が沈めばいつものように 夜な夜な描く あなたの姿 Do you want me to leave？ No！ 私はそのまま oh 暗い夜空に隠れ ふと見えないのよ 夜は明けても 私は Still alone Starry night こんな夜は I feel you you you around me 消せない記憶たちが 心離れない 夜空に Star light Ya ya ya ya ya ya 夜空に Star light Ya ya ya ya ya ya 夜空に Star light Starry Starry Night 君いない夜 心 空しい 二人の姿は暮れ 現実拒み 目を閉じる なぜ君がちらつくの Leave me alone 崩れてく Starry night こんな夜は I feel you you you around me 消せない記憶たちが 心離れない 夜空に Star light Ya ya ya ya ya ya 夜空に Star light Ya ya ya ya ya ya 夜空に Star light
8,Sleep Talk,"
MAMAMOO",Lauren Kaori・Moon Byul,Axel Hall・Stonebridge・Damien Hall / Stone Music (STIM)・Lauren Kaori,Late night 背中合わせ King size bed Lately 他愛もないことですれ違う あんなに愛した瞳も 今じゃ目を合わせることもできないの Oh no 隣にいるのに How are we so far apart？ 静まり返る Bed 寝息の合間で I caught you calling out my name Sleep talk 聞こえたの Sleep Talk つぶやいた Name my name my name Heard you say my name my name Oh yeah Sleep talk 無意識な Sweet love 囁いて Name my name my name I heard you say my name my name Tell me that it's not too late 甘えているのは I know it でも Can't make a move 時間はゆっくりと進んで 今夜も I turn my back どうしても素直になれない 本当は今すぐ何も言わずに抱き寄せて欲しいだけ 不器用な二人プライドばっかりだけど I really do love you Sleep Talk 聞こえたの Sleep Talk つぶやいた Name my name my name Heard you say my name my name Sleep Talk 無意識な Sweet Love 囁いて Name my name my name I heard you say my name my name Oh yeah 私にだけ聞かせて 変わらず君のそばにいるよ 喧嘩もいっぱいするけど ただ一人君だけの傘になるから 君がいない空なんてあるわけない そんな君をたくさん傷つけた Don't worry I will try 欲しいよ 気持ち 寝息 Sleep Talk Sleep Talk 聞こえたの Sleep Talk つぶやいた Name my name my name Heard you say my name my name Oh yeah Sleep Talk 無意識な Sweet Love 囁いて Name my name my name I heard you say my name my name Oh yeah Sleep Talk 聞こえたの Sleep Talk つぶやいた Name my name my name Heard you say my name my name Oh yeah Sleep Talk 無意識な Sweet Love 囁いて Name my name my name I heard you say my name my name Oh yeah
9,Dingga -Japanese ver.-,"
MAMAMOO",Kim Do Hoon(RBW)・Park Woo Sang(RBW)・Moon Byul・日本語詞：FanFan・Moon Byul,Kim Do Hoon(RBW)・Park Woo Sang(RBW)・Hwa Sa,"DinggaDingga day みんな来たら 飲もうよ Drink like a like a like a fish ディンガディン リンガリン 楽しみたい yeah DinggaDingga DinggaDingga ice cream 食べたいね Na na na na na DinggaDingga 悠々自適ね 部屋の隅で 世の中に 置いて行かれた感じ 夏も過ぎたわ 昼も夜も 虚しいけど 同じ場所から動けない 不足ビタミンD もったいないの delivery fee こんな天気良いのに どうせ 引きこもるだけだし yeah ダラダラしても 寂しいだけよ デトックスしたいよね？ DinggaDingga day みんな来たら 飲もうよ Drink like a like a like a fish ディンガディン リンガリン 楽しみたい yeah DinggaDingga DinggaDingga ice cream 食べたいね Na na na na na 1, 2, 3, 4 なんで みんな 怒っているのかな？ 悲しくなるね 甘やかしてもいいよね？ I need to love myself All I need is your heart Oh me oh my ay ドラマ見続けて ドライブに行きたい(行けないね) スマゲーで走れ Time is ticking, ticking Don't hold your breath 青春 fade out どこ行く友(とも) 積もる埃 払い共に Let's role play DinggaDingga day みんな来たら 飲もうよ Drink like a like a like a fish ディンガディン リンガリン 楽しみたい yeah DinggaDingga DinggaDingga ice cream 食べたいね 一緒に DinggaDingga day We all gotta get away Shouting woo ah Uh woo ah DinggaDingga day Baby do you wanna dance Uh woo ah Na na na na na Na na na na na Na na na na na DinggaDingga DinggaDingga Day みんな来たら 飲もうよ Drink like a like a like a fish ディンガディン リンガリン 楽しみたい yeah DinggaDingga DinggaDingga ice cream 食べたいね 一緒に DinggaDingga Day We all gotta get away Shouting woo ah Uh woo ah DinggaDingga Day Baby do you wanna dance Uh woo ah Na na na na na DinggaDingga"
