,Song,Artist,Lyricist,Composer,Lyric
0,愛情と矛先,"
Mrs. GREEN APPLE",大森元貴,大森元貴,夢を語ったって 今じゃ笑われる世の中さ 愛を伝えたって まともに聞いてくれやしないさ 大丈夫だよ 貴方のその声は 少なくとも貴方が気づけているから 「誰の意見がどう」とかいいから 君なりに今打破だ 武器は「愛情と矛先」 「僕の意見はどう？」とかいいから 君なりに形にして ほら 「どうか見せてよ」 全てが全部 嘘になっちゃって 傷ついた貴方を癒してあげよう 全てが全部 嫌になっちゃって 錆ついた心を癒してあげよう 敬意を払ったって 信用なんか無い世の中さ 誰かを求めたって 助け舟などやってこないさ 大丈夫なの？ このままでいいの？ って 少なくとも絶望はやがて逝くから 「誰の意見がどう」とかいいから 君なりに今死守だ 防具は「優しさと円盾」 「私の容姿はどう？」とかいいから 着飾りの形じゃなく ほら 「どうか見せてよ」 全てが全部 「いらなくなった」って 傷ついた貴方を癒してあげよう 全てが全部 「不安になった」って 錆ついた心を癒してあげよう 傷ついて朽ち果てそう 錆びて盾が打ち破られても 愛情と矛先で 大丈夫だよ。安心して。 君の強さは偉大なものだ その君の矛先を愛と呼ぼう
1,アウフヘーベン,"
Mrs. GREEN APPLE",大森元貴,大森元貴,フリコに踊らされた街 いつ滅んでもいいと想う 中身ヘリウムガス風船 飛んで飛んで弾けていった 「まだ生きたりないな」 「もう死にたいな」 「もう嫌だ逃げていたいな」 「あそこが羨ましいな」 ならもう 間を取ってみましょうか そうはいかないな なんだっていいんだって。直に嵐は過ぎる 安牌な回答で直に虹が架かる 大丈夫 心配無いよ。大勢が傷つくだけ なんてことはないよ 直に朝日が差す、人を朝日が刺す ゆらりゆらり揺られている 私はどちらに流れればいい？ 離陸に手こずって ドン臭いのがバレちゃうよ 「ああどれが私の音だ」 「ああこれが僕の音だ」 「もう嫌だ逃げていたいな」 「あそこが羨ましいな」 ならもう 間を取ってみましょうか そうはいかないな なんだっていいんだっけ？ほら嵐がまた来る 安牌な回答で次に雨を降らす 大丈夫 心配無いよ。大勢が傷つくだけ なんてことはないよ、直に夜は明ける 歪んだ世界とはさ 修復はもう無理なのか 綺麗な世界とはさ 創るのはもう無理なのか 君との未来があるけれど 僕たちの住む世界は 「歪んでいて綺麗なもの」でした なんだっていいんだって。直に嵐は過ぎる 安牌な回答で直に虹が架かる 大丈夫 心配無いよ。大勢が傷つくだけ なんてことはないよ、直に朝日が差す なんだっていいんだっけ？ 大丈夫なんだっけ？
2,藍,"
Mrs. GREEN APPLE",大森元貴,大森元貴,「泣きそうなのかも」 ただ 「飽きそうなのかも」 青 昨今街頭光付く暇も無く 泣く ただ泣く 泣きべそかいて 歩いた道 見えた景色のお空は青 何故ここにいて 何故生きていて 何故悲しませるかは謎 泣いて 去って 逃げて ほらまた笑顔な藍 あぁそうだ こんな感情なら いらないと生まれる前に 言っておいたはずだろう 神様 どうなの？ 感情共有 割に合わぬ様 立ち込む 煙を飲む まきびし巻いて 一線張って おえらい顔のあんたは誰 何故ここにいて 何故君といて 何故僕として生きているかは謎 笑って 近寄って 遭って ほらまた笑顔な顔 愛の為に生きるのなら それに口出しはしないけども 大きな心で唄を歌うことは 僕にもまだ無理だろう 描いて 歩いた道 見えた景色のお空は青 何故ここにいて 何故生きていて 何故悲しませるか未だ謎
3,青と夏,"
Mrs. GREEN APPLE",大森元貴,大森元貴,涼しい風吹く 青空の匂い 今日はダラッと過ごしてみようか 風鈴がチリン ひまわりの黄色 私には関係ないと 思って居たんだ 夏が始まった 合図がした “傷つき疲れる”けどもいいんだ 次の恋の行方はどこだ 映画じゃない 主役は誰だ 映画じゃない 僕らの番だ 優しい風吹く 夕焼けの「またね」 わかっているけどいつか終わる 風鈴がチリン スイカの種飛ばし 私にも関係あるかもね 友達の嘘も 転がされる愛も 何から信じていいんでしょうね 大人になってもきっと 宝物は褪せないよ 大丈夫だから 今はさ 青に飛び込んで居よう 夏が始まった 恋に落ちた もう待ち疲れたんだけど、どうですか？？ 本気になればなるほど辛い 平和じゃない 私の恋だ 私の恋だ 寂しいな やっぱ寂しいな いつか忘れられてしまうんだろうか それでもね 「繋がり」求める 人の素晴らしさを信じてる 運命が突き動かされてゆく 赤い糸が音を立てる 主役は貴方だ 夏が始まった 君はどうだ 素直になれる勇気はあるか この恋の行方はどこだ 映画じゃない 愛しい日々だ 恋が始まった 合図がした 今日を待ちわびた なんて良い日だ まだまだ終われないこの夏は 映画じゃない 君らの番だ 映画じゃない 僕らの青だ 映画じゃない 僕らの夏だ
4,Attitude,"
Mrs. GREEN APPLE",大森元貴,大森元貴,あぁ、どうか いつか 僕の我儘が終わるまで どうにか届くように 届くようにと綴る でもやっぱり100は無理 ちょっと「あむり」で終わり 「弱い人ばっか居ます」 この世は弱い人ばっか居ます。 そんなとこだけでも 何処かに響けば良いなと思っています まずメロディーに乗せる愛を探しながら 阿呆みたいに今日もね 何かを信じて心躍らすのが A.t.Ti.Tude 私のA.t.Ti.Tude キャッチーなメロディーに隠れるは そう、偶像 どうにか眠れる様に 眠れる様に目を瞑る ただ白馬に跨る僕 似合わぬ僕。 でも満悦。 「腐ってなんかは居ない」 この世は腐ってなんかは居ない。 そんなことだけでも 何処かで報われた気がして過ごせています 益々生きにくい日々慣れれず削りながら 真面目にも今日もね 明日を信じて歯を食いしばるのが A.t.Ti.Tude あなたはアーティスト中毒 産み落とした子達は 私のそう、心臓 夢から覚めて魔法はね いつか解けるの しがみ付く事なく 誰かとね 愛し愛されて死にたいの エゴイズム、軽快なリズム エゴイズム、ご機嫌取らずに済む パシフィズム、リベラリズム ペシミズム、ヒューマニズム 太陽が不意に亡くなって 独りぼっちになったなら貴方を追う 「弱い人ばっか居ます」 この世は弱い人ばっか居ます。 平気なふりをして隠れてるわ きっと。 「腐ってなんかは居ない」 この世は腐ってなんかは居ない。 どうかそんな歌を歌わせてよ ずっと 書き綴られた歌は 私のそう、遺言
5,ア・プリオリ,"
Mrs. GREEN APPLE",大森元貴,大森元貴,あれだけ言ったのにバカね 期待をしたら惨めなだけと ねえ 君はなんでそんな 楽しそうに生きられるの？ 人気者なのね 広く浅いの代名詞ね 求められてる人を妬ましく思う “私”は哀れ ホント哀れ あれだけ言ったのにバカね 期待をしたら傷つくだけと あれだけ言ったのにまた、ね 繰り返す意味 産まれた不思議 味を占めたのかしら あらもう、そのモードで 聞く耳を持つこと忘れた大人 偉いもんね。 偉いもんね？ 付け上がらないで 地に足つけてね 「誰のせいだ！」 とか聞き飽きた 君が言うその考えは 誰かのものね 恥さらし者ね 「ホントの自分で居ると腐っちゃいそうです」 って、もう臭うんだよね。 悪い人ではなく弱い人 その違いが君には解るかな 虚しさの中で溺れる世は こんな歌をまだ唄わせる あれだけ言ったのにバカね 期待をしたら惨めなだけと あれだけ言ったのにまた、ね 皮肉にもただ君に恋する あれだけ言ったのにバカね 汚い窓で何を眺める？ 人の心はいつの時代も何かが足りない 諦めそうだ あれだけ言ったのにバカね まだ信じて居るなんて
6,アボイドノート,"
Mrs. GREEN APPLE",大森元貴,大森元貴,さぁ どうぞお座りになって 1つ2つ伺いたいだけです 心配なさらずにリラックスして 温かいものでもどうですか 愛を信じますか？ 協和を願いますか？ どうでもいいんですか じゃあ、気にしてるフリですか？ 聞こえる 足を小刻む音 果てない森を駈ける風の様に 君は人を恨む 果てない海を泳ぐ魚の様に 僕らは笑える もういいや お帰りになって 呆れてものが言えないだけです 「もう一度チャンスをください」って どうしても言えないものですか？ 何かを失くしたって 気づかぬ程ですか？ どうでもいいんですか あぁ、気にしない側ですね 聞こえる 心を落とす音 果てない空を駆ける鳥の様に 君は外を羨む 果てない大地に育つマグマの様に 鼓動は熱を帯びる 吹かない風 靡かない樹々 泳げない僕 泳がない僕 広すぎる空を待て余すほら 悪者はどこにも居ないだろう 果てない道が続く旅路の様に 僕らは生きてる 張り詰めた呼吸を経て万歳 1、2の3でまたバイバイ ところでさ 君という存在 誰も敵いはしない美の潜在 憎まれて削り合い喝采 4の5の6でまたバイバイ まだまださ 我ら人の存在 誰も敵いはしない
7,アンゼンパイ,"
Mrs. GREEN APPLE",大森元貴,大森元貴,アレもしたい コレもドレもソレも やってみたい様な感じ でもいつかは選ばなきゃいけないなんて怖いな 正直自分の能力なんて 自分が一番わかっているつもりです そのつもりでした。 誰かの評価で決まるんだよね。 まず「安全牌」なんかはポイッと捨てます！ 例えば「災難」起ころうと大丈夫です。 アレコレドレソレも 優しく大切に抱えます。 でもいつかは壊れちゃうなんて 嘘だ そうきっと嘘だ 正直「全ての出来事なんていつかが終わりが迎えに来ます」 わかってます、そのつもりでした。 だから悲しくならぬように逃げてるの。 そう！其の「不安感」なんかはポイッと捨てます！ と、云えど やっぱりそれは難しいよね。 次に「思いやる愛」を大切にしなさい 「それ」に気づければ貴方は大丈夫です。 愛だって 儚く終わる 涙さえ 乾くものだ なんだって 別れが来る それなら やったほうがいいな まず「安全牌」なんかはポイッと捨てます！ 大丈夫。貴方のその眼は輝いています 続きは人に優しくできたら 伝授します。 ヒントは「夢」を作るのは人間達。
8,umbrella,"
Mrs. GREEN APPLE",大森元貴,大森元貴,不幸の雨が降り続き 傘も無い僕は 佇む毎日 伝えられるのに僕らは 壁を作って逃げた でも なんでなの 人が連なって 生まれる意味も 人が散らばって 消えゆく星が泣いているよ 色が付いたら 僕に名前をと 空が茜色に染まるあの様に 君が笑えるならば側にいよう 僕が傘になる 音になって 会いに行くから lala... umbrella 苦しいけど歌唱うわ 唄えど 胸の穴が埋まらなくて 寄り添う為に神様は ２人で１つを決めた でも なんでなの 人が連なって 生まれる意味も 人が散らばって 消えゆく星が泣いているよ 胸が痛い この痛みに名前をと じゃなきゃ とてもじゃないけど生きていけないよ 嫌になるから 振り続けるんだ 雨は 少しだけでも 僕が傘になる 音になって 会いに行くから lala... 君と一緒に何を観よう 僕と一緒で良かったの？ 不安なんだ いつか壊れるのは なんとなくだけども わかってるんだ イカレタものばっかで呆れるんだ この世界の仕組みも そう貴方も やり場のないこの感情は もう空に向かって放つしかない 色が付いた 色が褪せた 空が晴れた 僕に名前をと もう傘はいいね 僕はただ 会いに行くから lala...
9,In the Morning,"
Mrs. GREEN APPLE",大森元貴,大森元貴,朝を迎えに行こう 眠い目を擦って 今日を生きてゆこう Baby 悲しまないで 迷いそうなら 大きく息を吸って Baby 偽らないで 自分を忘れそうなら そんな奴らとは離れなよ 持っているだけの愛なら 分け合えるはずだから 頑張って頑張って 創りあげたモノが 簡単に簡単に 壊れても 笑える朝でいたいな 笑える人でありたいな Baby 着飾らないで ありのままが 素敵だって知ってるかい？ Rainy 激しい雨も やがて気付けば晴れていることがほとんどだ 楽しいことが少ないから 批判的になるんだろう？ 傷ついて傷ついて 隠すしかなかった 大切な大切な 【本当】も こんな処で亡くすなよ 誰もわかっちゃいないわけでもない ひどく深い夜なら そろそろ慣れちゃいそう 独りで彷徨うには 寂しさが邪魔をする 「“キミ”だけを見ていたい」 光は 遠くただ暗い 暗い でも 頑張って頑張って 創り続けてみよう 大切な大切な 【本当】を こんな処で亡くすなよ 笑える朝を迎えに行こうか 今
