,Song,Artist,Lyricist,Composer,Lyric
0,Designs of Happiness,"
Novelbright",山田海斗,竹中雄大・沖聡次郎,Wow... 全てを守りたいなんて 綺麗事を並べて ヒーローのフリをした逃避行 弱い自分を隠すために 大それた言葉を選んで 期待に酔って満足してた いつもと同じ暮らしの中 このまま朽ち果ててくのかな？ 涙さえも流れやしない 心地よい場所から飛び出し 明日を動かす自分を探すんだ もう戻れはしない 一歩を踏み出すよ 心が叫ぶ まるで歌うように その言葉が胸に抱く野望になって 描いてみた幸せの設計図 欲しいのはガラクタじゃない心さ 誰もが幸せになんて 望んでも叶わない 優しさのフリした理想論 どこかで笑み溢れたって、涙零(こぼ)す人もいる 幸せのカタチが違うから 誰も傷つかないようにと 言葉を心に縛り付け 本当の自分を殺してきた 偽りを繋いだ鎖に 頼ったまま灰になりたくなかった 今を蹴飛ばせ 綻(ほころ)びもしない後悔すら背負って 生きている意味を愛せるように 理想とは違う人生の航海図 夢のまま終わらせたくないんだ Wow... 心が笑う 傷だらけの日々 色褪せた明日を震わすトレジャー 未完成な幸せの設計図 命燃やす人生そのものだから Wow...
1,ワンルーム,"
Novelbright",竹中雄大,竹中雄大・沖聡次郎,月が綺麗と嬉しそうに 空を見てよと君は笑った 流れた季節 いつの間にか 独りの生活にも慣れたよ 仕事は昔より上手くいっているけど この広い部屋にはひとりぼっちさ ワンルームにふたり 笑い、泣いたあの日々には もう戻れないよね 叶わない約束残して 何度も折れて出した答えだから 忘れようって空見上げ歩いてたのに 月を見ると会いたくなんのは君のせいだよ たまにしかない連絡さえ いつしか途絶えて早一年 時間が経てば紛れるよと 忙しなく毎日を過ごした 一年で一度の君が生まれた日に 何気ないフリして送った「おめでとう」 「ありがとう。ごめんね。」 あの頃とはもう違う 君を受け止めなくちゃ 変わらないはずと思ってた 期待し過ぎていた自分が馬鹿だ 平気な顔で押し殺して伝えた 「幸せになって」なんてダサいな 今だって時々僕は 思い出も履歴も見返してしまう 君もさ悪いよプロフィール写真は あげたネックレス着けてるから 素直になれば戻れるかな 「嘘だよ」と言って ねぇ笑って 本当は会いたくて恋しくて会いたくて まだこの部屋で君を待って 叶わない約束残して 何度も泣いて出した答えだから 忘れようって前を向いて歩いていく 月を見ても会いたくなんないバイバイ。 またね。
2,seeker,"
Novelbright",竹中雄大,竹中雄大・沖聡次郎,ゆらゆら揺れる カーテンの隙間 差した光が 優しく時を包む いつも通りの 柔らかい日々を 出し抜くように 失意の雨を降らす 黒く染まった世界じゃ 纏わり付いたレッテルを 信じる者しか居なくて 心が溺れてしまいそう ああもう戻れない 悲壮な覚悟よ 正解(こたえ)を導いて 粉々になった幸せはきっと どこかに身を隠しているんだろう 折れない絆 胸に抱いて 強く願うよ 明日を… 投げつけられた 言葉の刃 えぐられるように 心を削り殺す 僅かな望み それに賭けてみた 自分を信じて 決意の狼煙上げろ 彷徨い迷って それでも風は 雲を裂き真実へ導いてく 暗闇照らす星たちもきっと ひとりじゃないよと笑ってる 思い出してよ あなたとの日々 微笑み合い過ごしたあの日を 取り戻すんだ あの温もりを 奪われてたまるか 粉々になった幸せはきっと どこかに身を隠しているんだろう 折れない絆 胸に抱いて 強く想うよ あなたを… 願いを 放つよ
3,愛結び,"
Novelbright",竹中雄大,竹中雄大・沖聡次郎,目を見て打ち明けるのは 照れ臭くて だから手紙を書いたよ 出逢いは一目惚れで 勇気を出した“好き”に微笑んでくれた君 僕の大切な人達の事 君も大事に想ってくれてるね 優しさに救われ 今日も歩いて来れたよ 繋いだ手だけはこの先も離さない この I love you の意味を 生涯かけて伝えていくよ 特別な君だけに 今以上にもっと君を知れる未来が嬉しくて その手をぎゅっと握りしめた 二人で見た景色は沢山あって ここでは話しきれないよ お金がない日のデートも お化けが出そうな旅館も かけがえの無いモノ どんな時でも君が居てくれたら これからが燦然と輝くよ ダメな僕の事をいつも叱ってくれたね 君に喜んでほしいだけで頑張れるよ この I love you は君と 育ててくれた家族みんなへ贈る愛の証なんだ 生まれて今日までこんなにも 優しい時間(とき)を 過ごせたことにありがとう 新しい生活は不安だらけだよね 泣きたくなる夜が不意に来たとしても 安心して 僕がそっと抱きしめるから 忘れないでいて いつもひとりじゃない 歳を取ってもまだ きっと変わらない しわくちゃな笑顔 繋ぎ合ったこの手と手も 5年後も10年後も50年後も たったひとりの愛する君を離さないよ この I love you の意味を 生涯かけて伝えていくよ 特別な君だけに 今以上にもっと君を知れる未来が嬉しくて だからいつまでもそばにいて
4,あなたを求めただけなのに,"
Novelbright",竹中雄大,竹中雄大・山田海斗,愛さないって心に誓ったのに またあんな夢を見てしまうだろうな 曖昧だった気持ちは見ないままで 本音は今でも愛していた 感じ合って何も見えなくて 燃え上がった二人も終わりは一瞬で 灰となった心の導火線 行き先閉ざした 真実(ほんとう)なんて今更 言い出せずに時間は過ぎてく うんざりだ この先は 悲しみなんてもういらないや 愛さないって心に誓ったのに またあんな夢を見てしまうだろうな 曖昧だった気持ちは見ないままで 本音を隠して見ないふり 再開など望みはしないはずだったよ 誤魔化しきれないな 勘違いで二人は交差して 通じ合ったかのような嘘に踊らされ 舞い上がったあの日を思い出して 指先伸ばした こんな涙流しても 何一つと変わっていないじゃない 散々な 言い訳を 吐いてまた何処かへ逃げ出すの？ 最低だったあなたを選んだ日も 殺したいほど愛してた日も 簡単だよ忘れることくらい 傷跡隠して見えないふり きっと交わらない線と線 でも互いに見つめ合いながら 抑えていた感情さらけ出して 過去に囚われた未来に向かっていく 愛された記憶を辿れば 失った痛みだけが残る 傷痕にそっと触れるたび この愛が疼く 愛さないって心に誓ったのに またあんな夢を見てしまうだろうな 曖昧だった気持ちは見ないままで 本音を隠して見ないふり 再開など望みはしないはずだったよ 終わらせられないな
5,We are calling you,"
Novelbright",雄大,雄大・勇太朗,弱さも強さも全てを 愛し生き抜いて行きたい 1人じゃない心の友 走行距離限界値越え 雨風の日も走らせた 終わらない旅をいつまでも できればずっとなんて言わないでよ 確信を持ってちゃんと進むんだよ 僕らの将来ゴンドラの行き着く先は夢に見た世界だ 気づけば僕らの旅路には 見渡す限り四葉のクローバー Wow Wow 放て your true feelings again Woo... 仕事終わりの疲れきっている 身体に鞭打ち闘う その努力きっと無駄じゃないさ 誰かが言ったお前には無理だと 誰かも言ったもう辞めにしたらどう？ どんな困難も打ち勝つよ君を想えば怖くない 悲しみなんて全部忘れて キラキラ光る海を泳いでいこう Wow Wow やがて 祈りは届く Woo... 敗れかけた一つ一つが 最後の気力振り絞り 集えば奇跡起こるのさ 遥か彼方へ 未だ見ぬ世界へ あなたを誘うよ 気づけば僕らの旅路には 見渡す限り四葉のクローバー Wow Wow 放て your true feelings again Woo... 0から始まる物語 1つとして同じものはない Wow Wow 叫べ 僕とあなたで ただ歳を重ね生きるより この世に生まれた喜び 噛み締め生きていく方がきっと素晴らしい Wow 心から笑える日々が 永遠に続きますようにと 祈りまた旅立とう
6,Walking with you,"
Novelbright",雄大,雄大・勇太朗,"数え切れないほどの想いを 今ならきっとあなたに届くように叫ぶよ いつからかその目に映る景色全てが まるで光の無い闇の中を見ているよう 悲しみに怯え逃げ出しそうになった時 あなたがくれた言葉に救われたんだよ 鏡に映る自分が徐々に徐々に 魔法がかかったように変わっていくけど 相変わらず無邪気な笑顔の あなたを見ていたいから 数え切れないほどの想いを いつまでも贈り続けてくんだずっとずっと先も 繰り返し心に誓うよ 手を握りずっとそばにいるんだそして決して離さないよ I make up self mind. that I'm just keeping to go my Chose way from now on. somebody cannot stop me. No matter what you said, No matter what you thought. 心が折れかけ諦めそうな時も 何も言わずただ抱きしめてくれた 時々君の言葉は理不尽で 苛立ちを覚えるような瞬間もあるけど そんな君が僕は愛しくてこの手で守りたい 移り変わり行く季節を この目であなたと眺めていたいな どんな色でも愛することができそう 絵に描いたような幸せを掴み取ろう 50年後の未来もきっと 知らぬ間に幸せの意味を見つけ出しているんだ 世界中の誰よりもずっと この先もあなたと二人でもっともっと前へ歩きたい Oh.. 輝く星のような君となら 数え切れないほどの願いを いくらでも叶えて行けるはずさ 何度だってずっと We can do it."
7,ENVY,"
Novelbright",竹中雄大,竹中雄大・沖聡次郎,簡単に世界へアクセス どこにいたってフリックタップして 指先ひとつで覗ける時代が来たんだね 現代が生み出す盲点 多数派意見良しと思わされ 何か事あるごとに画面に問いかけた 瞼の奥に宿った消えかけた火を燃やせ ハッとなって目が覚めて 視界を照らすものが 紛れもなく真実だろう wow oh… 気づかぬふりをして 目を逸らすのはやめにしよう 答えはここで見た光景 繁栄を謳ったコンテンツ 予想以上にお前を支配していた 使い方間違ってんじゃない気づかぬおバカさん すぐ周りに流されて 正解見失って躍らされ 独自の価値観押し付けがましい迷惑者 いい気になったつもり知ったかぶり評論家よ 匿名の姿でしか 言いたいことも言えない その時点で敗北でしょう wow oh… 総理大臣のつもりかい？ 気まぐれに思い殺すなよ 渦巻く闇を抜け出せ ハッとなって目が覚めて 視界を照らすものが 紛れもなく真実だろう wow oh… 気づかぬふりをして 目を逸らすのはやめにしよう 答えはここで見た光景
8,おはようワールド,"
Novelbright",竹中雄大,竹中雄大・山田海斗,"恋をしたって仕事にしたって 最強敵は居ない 高層マンション地元で番長 勝ち組浮かれ野郎 抑えきれない妄想膨らんだ夢覚めると 起き上がれなくて二度寝かましちゃって タイムリミット3分前 ここで開幕戦争孤独のshow time 右斜め上に走れ 改札越えて駆け込みsit down 無駄のない動きでした◎ Purple sky , Jet black sky infinite loop infinite loop If I don't have an alarm clock infinite loop infinite loop カラスの鳴き声でしまったもうこんな時間 毎日こんな生活じゃ長生きしないよ 顔を洗ってシューズ履く間の 最高速度更新 映画みたいな絵になるダッシュで スッハッスッハッ飛び込んで 満員電車地獄のkick off はみ出す者押し込んで 問題ないと出発のsiren 今日もこんなおはようさ 大事なことはきっと 後悔する前に気づいて 頭で消化して心で行動して でも繰り返す不治の病だろう 開幕戦争孤独のshow time 右斜め上に走れ 改札越えて駆け込みsit down 無駄のない動きでした◎ 満員電車地獄のkick off はみ出す者押し込んで 問題ないと出発のsiren 次のステップ始めるか"
9,開幕宣言,"
Novelbright",竹中雄大,竹中雄大・沖聡次郎,いつも通りの退屈な日々 稲妻のような衝撃たちが 突然僕を眩しすぎる世界へ連れ出した その景色は少年時代の僕の 憧れへと姿を変えた そこから始まったんだ 夢を叶える1ページ目 努力が報われなくても 誰かにバカにされても 信じていれば間違いなく未来の主役になるよ 大空に輝く太陽 その目に焼き付けてくれ あの日に誓った夢の全てを この手で必ず掴むから 終わらない旅の始まりを 手をとって笑い合っていこう 何言われようがこれからもずっと 前人未到のストーリーを描いていこう かけがえのない君との出会い 僕の憧れを伝えて 約束を交わしたんだ 君と始める2ページ目 ふと立ち止まり泣いた 悲しみも君がいれば その手でこの背中を 強く押してくれる 夜空に瞬く星は 世界中の空を彩って 数えきれない無数の光が 誰かの明日を期待させる そんな存在になれるように 一心不乱に輝いていこう 自分信じて 希望抱いて 必ず君とあの舞台へ辿り着く 太陽がまた昇ってくる その目に焼き付けてくれ あの日の誓いは 消えたりしないよ 強く僕を震わせるんだ 終わらない旅の途中も 手をとって笑い合っていこう 何言われようがこれからもずっと 前人未到のストーリーを始めよう
