,Song,Artist,Lyricist,Composer,Lyric
0,海馬,"
RADWIMPS",野田洋次郎,野田洋次郎,昔観た映画の とある一コマだったか それともこの命に繋がれた記憶だか 夢から醒めるたび この現は少しずつ 他人事みたいな眼で僕を煙に巻くんだ 神の戯れだけで産まれたこの命を 涙や後悔や 笑顔で飾り立てるも 何か足りない日々 目的地があるのなら すぐに連れてってよ 何か言ったらどうだい？ あの名もなき雲は きっとすべて知ってる それ以外何一つ語らずに 真っ白でいるはずがないだろう 君とならば歩める気がしてしまうのは 運命だとか恋路だとかそういうもんじゃなく ただ 「初めまして」のその声が「ただいま」のように 懐かしくて恥ずかしくて 離れないからで 殴り書きのストーリーの 結末へと なにか足りないんだ これだけ溢れてるのに 命を終える時は「完成」か「脱落」か？ 次から次へとさ 立ちはだかる苦難苦闘 君らは悪役か はたまたエンターテイナーか 意味や目的など 見つかる気もしないけど 君がなってくれる それならば 何度でも 火の中でも 叶わない願いたちだけでできた毎日に なおも奇跡起こそうと企む戦士たちが今 もがき抗うその中で上がる火花を 遠い彼方 神々たちよ 眺めてればいい 例え線香花火くらいにしか見えなくたって 構わないから どれだけ世界が 悲鳴あげようと 次から次、悲劇を テーブル並べる あなたはねぇ誰 君とならば歩める気がしてしまうのは 運命だとか恋路だとかそういうもんじゃなく ただ 「初めまして」のその声が「ただいま」のように 懐かしくて 恥ずかしくて 離れないからで 殴り書きのストーリーの 結末へと
1,SHIWAKUCHA feat.Awich,"
RADWIMPS",野田洋次郎・Awich,野田洋次郎,全人類の全空虚を 足したって負けやしないほど Fucked up oh yes I'm so pissed off 嗚呼 涙も出ないや 沸き立つ情熱 吐き出す声 何回だって超えてきたんだ くたばるまで あと何回絶望と抱きしめあうんだろう 叫んだって 泣いたって わめいたって 「あの時」は帰ってきやしないんだって そんだったら かったりい話はナシ 新しいページ 書きなぐりだすよ 「なんで？」って何百回問いかけて 答えなんて 返ってきやしなくて 完成も到達も 安泰もない 俺だけの意志で 俺だけの Life を Remember the day？ 君が初めて 歌を聞いてくれた日、言ってくれたね 「その声、は特別だから胸はれ」 あの言葉が無きゃ今の私は無い 言っとくけど、私なんかよりも、君こそが Special one 涙しながらも必っ死に言葉はく君をみてきた 石ころからダイヤ作ることが仕事 in the darkness どん底のやつにしか拾えない石がある yea だから Feel it now 痛みも恐怖も ここでくたばれるわけねぇだろ 這い上がった物語を 人は神話と呼ぶだろう 悲劇にむしろありがとう かかってこいや I'll beat it all 叫んだって 泣いたって わめいたって 「あの時」は帰ってきやしないんだって そんだったら かったりい話はナシ 新しいページ 書きなぐりだすよ 「なんで？」って何百回問いかけて 答えなんて 返ってきやしなくて 完成も到達も 安泰もない 君だけの意志で 君だけの Life を 俺たちだけに見えるあの光まで たとえどんだけ 踏みつけられたとして 俺たちだけが魅せるその奇跡まで 終わるこたねぇ 命声 燃やすだけ It's not the end こっからが 幕開け 死ぬまで やるだけ 顔あげ 声上げ Tell dem your name Remember I say Just go on your way We all the same No one to blame It'll be okay 合わすaim 灯すflame 顔あげ 声上げ Tell dem your name Remember I say Just go on your way
2,匿名希望,"
RADWIMPS",野田洋次郎,野田洋次郎,君に見えて僕には見えやしないもの 僕に見えて君には見えやしないもの 君と僕の「赤」が同じ色だとしたら この世界がこうも歪むはずもないだろう あっちゃこっちゃ文句ばっか言うだけが生き甲斐かの やつが蔓延って窮屈で仕方ないのだが 目に見えぬ誰かを裁きたがる君はところで どこの誰なの 知るはずもないけど てか誰かに何か言う前に自分がどんだけのことやってんの？ てか口だけコソコソ何もせんやつにツベコベ何言われようと 響かんのやし気味悪いしハナから聞く気にすらならへんねやんか エライほんま申し訳ないとは思うけど Fuck the Haters Love you dreamers I guess that's all we are イカれたまんまでどこまでいけるかが鍵さ We're the sinners not those cheaters I guess that's who we are 裁かれんなら 法でも君でもなくてせめてさ 神様以上がいい 法律を決める国会議員がコカインキメる やつよりもヤバい法を犯しながら今日ものうのうと生きる 総理総裁？ 攻守交代？ すげ変わる首に意味はあるの？もみ消し放題？ おもんない 口を開けばまるで一億総評論家気取り 没個性の大号令 誰かの完コピ受け売り 顔と名前も晒さずに振りかぶった正義 ドヤ顔だが飛距離2センチまるで届きゃせんし ごめんだけど寒いやつに付き合う気はねんだわ どげんしたらそんなチャチな 生き様さらせんのさ 所詮誰か死のうが 良きエロ動画のほうが 興味あるが大半の大衆だろうが Fuck the Haters Love you dreamers I guess that's all we are イカれたまんまでどこまでいけるかが鍵さ We're the sinners not those cheaters I guess that's who we are 裁かれんなら 法でも君でもなくてせめてさ 神様以上がいい おいらのダチのがかっけーもん てか あんたが誰だか知らねーもん あんたら何かと ダッセーもん 言うだけ言うけど やらねーもん
3,桃源郷,"
RADWIMPS",野田洋次郎,野田洋次郎,君をはじめて 下の名前で呼んだ時 僕の心が この胸を蹴ったんだ なるべく平静 装う僕を尻目に 君は今に破れそうな笑顔 白紙で出した未来の夢の作文 そんな紙切れに とうせんぼされた 見えない未来 何を書けというのだろう 『今』が何処に あるかも分かんないで 僕の無謀さと 君の勇敢さと 二人の語らぬ哀しさで 何かできないかな 出来やしないかな 僕の桃源郷はとうせんぼうで 当然今日も外、視界ゼロ でも 君となら瞳閉じても 怖くもなんともねぇないんだよ 互いが互いのコンパスに ノールックパスだけで簡単に 神がかりゴールを決めるような 無敵無双 運命よどうぞ かかってこい 癒えない傷と 言えない言葉両手に こぼれるほど 抱えた僕達が なおも明日を 迎えにいく理由なら 君のその小さな身体に詰まっていて 僕の情けなさは 自分でも嫌になるけれど 君を笑わせられる自信 それだけはなぜか 頑なにあるよ 僕の桃源郷はとうせんぼうで 当然今日も外、視界ゼロ でも 君となら息を止めても 怖くもなんともねぇないんだよ 1000通りの「アイムソーリー」 身につけたとて何も変わんない いざ 僕は君を君は僕をフル装備で 向かうよ未知へ 君になら言える言葉が この僕にはあること 君となら見える景色が この世界にはあること そんなことより大事なことが 今は見つからないよ 見つかる気がしないよ 僕の桃源郷はとうせんぼうで 当然今日も外、視界ゼロ でも 君となら瞳閉じても 怖くもなんともねぇないんだよ 互いが互いのコンパスに ノールックパスだけで 簡単に 神がかりゴールを決めるような 無敵無双 運命よどうぞ かかってこい
4,Tokyo feat.iri,"
RADWIMPS",野田洋次郎・iri,野田洋次郎,流れるままたゆたって 感じるままに走った 街が吐き出した空気 この頬に感じ分かった 小さな身体の中にハチ切れるくらいの声が 溢れるの止めるように 大げさに笑い合ったんだ 僕ら言葉 跨(またが)って 未知なる未来目指して 飛ぶには心もとなすぎる背中の羽根めいっぱい 伸ばして背伸びもして 疲れ果て眠るまで この街の隅っこで 心(ハート)のまん中で 今日も唄うんだ 東京 姿・形・色 変わり続けてくお前は 東京 いつか俺の知らない誰かになるのかな 東京 それでも今だけは幼馴染みたいに 東京 はしゃごうじゃれよう 昨日振り返らずに済むように 赤く滲んでは染まる君は 目も合わさずに この手繋いで 溢れる 愛をくれる 東京 僕らをつなぎ 放たれてくそれぞれの日々へ 東京 くぐり抜けた まだやわでやりきれぬ 思い出 東京 ふと よぎる君は まだあの日のままの声で 東京 写そう今を 誰も君を忘れないように 抱きしめて噛みしめても 届きはしないのは 未来へと託されたわずかなる希望で かけ違えたまま過ごしてきたこの時間は もう戻らないし戻れない どれだけ清く願っても 東京 僕らの切なさも淋しさも、恋しさも 東京 やるせなさもだらしなさ、このあてどなさも 東京 すべて吸って なお抱きしめてくれるあなたは 東京 泣きたい時に借りる胸はそこにあるのかい
5,犬じゃらし,"
RADWIMPS",野田洋次郎,野田洋次郎,この言葉ばかりに頼り切った日々が 名もない世界の鍵を閉めたんだ 明日の意味や色さえ3秒で 変わり続けるこんな僕なのに いざ僕らで行こうぜ 「はじめまして」の今日へ ドレスコードは君も知らない 君だけさ 僕らで行こうよ 半径「僕と君」の間に 何個真新しい今日を 描いてみようか 騒ぎたてるほど不幸じゃない毎日と 聖者になれるほど幸福じゃない毎日を ある朝アラームに笑われた気がした シャワーの音に憐れまれた気がした いつか僕らで行こうぜ 君ん中へ行こうぜ 名前なんて一つも付いていないもんで できた世界へ 何百回だって いっそ何万回だって はじめましての「ただいま」「おかえり」を言い合おうよ 触れるくらいの幸せ抱っこして 背負えるくらいの悲しみおんぶして 歩き続けてく日々でもたまに 名もない世界の鍵を開けようよ いざ僕らで行こうぜ 「はじめまして」の今日へ ドレスコードは君も知らない 君だけさ 僕らで行こうよ 半径「僕と君」の間に 何個真新しい今日を 描いてみようか 遥か遠くの彼方 ばっかりに憧れは 向かって行くけど それでも僕は あなたっていう光が 放射状に放つ重力に 引っ張られて 今日もいるよ 君の横に 僕はいるよ
6,かたわれ,"
RADWIMPS",野田洋次郎,野田洋次郎,脱ぎっぱなしの靴下と 呑みっぱなしのチューハイと 借りっぱなしの映画と 一つ屋根の下 食べっぱなしの弁当と 撮りっぱなしのカメラと ほったらかしのメールと 一つ屋根の下 作りかけの歌と 叶いかけの約束と 読みかけのマンガと 一つ屋根の下 つけっぱなしのエアコンと 飲み込んだ言葉と 溜まった洗濯もんと 一つ屋根の下 君がいないだけでこの部屋の 全てが 今も ずっと途中で 君がいた時のこの部屋の 全てが 全部が 満たされてたこと 全てが 過不足なくあったこと 貰いっぱなしの優しさと 貰いっぱなしの「ごめんね」と 貰いっぱなしの「バカ」と 一つ屋根の下 宙ぶらりんの僕は どこに行くんだろう 宙ぶらりんのまま いつか終わるんだろう 作りっぱなしの歌と 破りっぱなしの約束と 何万の途中と いつか終わるんだろう 君がいないだけでこの部屋の 全てが 今も ずっと途中で 君がいた時のこの部屋の 全てが 全部が 満たされてたこと 全てが 過不足なく あったこと
7,SUMMER DAZE 2021,"
RADWIMPS",野田洋次郎,野田洋次郎,“How could we be…？” “Why can't we be...？” is too much Filling this world today Let's not make sense Until the next bright morning sun You now just have to promise me Let's stay up all night dancing to This song we made together new La Li La Li La La Li La Li la What do you say？ Now I think I can fall in love With anyone that is here tonight La Li La Li La La Li La Li la You wanna try？ 何光年の星たちも 僕らに届きやしないよ はるか未来なんか今はいらない 何百回と何万回 名前も聞かずに愛し合いたい 涙でなんか流すまい この想い
8,MAKAFUKA,"
RADWIMPS",野田洋次郎,野田洋次郎,君のこと考えるとなぜか 「もうダメだ」とボヤいた心が 「仕方ないな、あと少しだけね」と僕に語り 歩みを進める あてどなく意味を探す命 本当はこの世の入り口で 開けっ放したあのドアの在り処 見つけるためのものだったなら それを一人では探せないように作った 意地悪な神様 あなたのおかげで出会えたんだ この摩訶摩訶不可思議な生命に この宇宙が今まで観てきた悲しみや痛みのすべてを 知ってるかのような君のその涙はなに この宇宙が今まで見つめた喜びのすべて足しても 追いつかないほどの君のその笑顔はなに はみ出すの止めるのが 僕の仕事なの？ それが僕の役目なら 望むところだよ 退屈や灰色の怠惰も 君となら色が変わってくのは 「どこに行くか」より「誰といるか」が今日の景色を決めてゆくから 君ができてくその十月十日に 僕は何をしていただろう きっと夢ん中で 君の小さなへその緒に指先で触れたんだろう 恋と運命と奇跡に振り回されるこんな僕らに 残されたあらがい方は何があるだろう 嘘や過去や不可能たちが寄ってたかってこんな僕らの 行く手を塞ぐけど君はなんてステップでさ かわすように踊るのさ この修羅場でさえ 僕は僕で見続ける あまりに綺麗で 君の身体の中に無限の 銀河が溢れていること 僕はどれだけ 深く、遠くへ 泳いでいけるのだろうか 暗闇も怖くないよ この宇宙が今まで観てきた悲しみや痛みのすべてを 知ってるかのような君のその涙はなに この宇宙が今まで見つめた喜びのすべて足しても 追いつかないほどの君のその笑顔はなに 奇跡の両の端に 立つような君の その無重力の中で 僕は息をする 無限を泳ぐ
9,I I U,"
RADWIMPS",野田洋次郎,野田洋次郎,Sometimes I think of stupid things Stupidest thing that you can think How much will you be thinking of me？ While I'm wasting Almost everything of my life I know that it's so weird to ask you To be more like me and not you The reason that I loved you is cuz you were so far from Who I was those days Is it us who made it difficult？？ But it was us who made it possible A thousand words will never make things simple or clear So why don't we hold hands If ever we meet again People ask for purpose of life Instead I ask for a life without one I wish for life away from Your skin your lips your attention That is too stucked in my mind Sometimes I think of stupid things Stupidest thing that you can think Hurry just to finish this life and just vanish To meet you at the next Tell me which ride should I get
