,Song,Artist,Lyricist,Composer,Lyric
0,Ms.CONTROL,"
Reol",Reol,Reol・Giga,"1time, ルーフトップから眺めるこの街の群れは 通常(ノーマル) more 通常(ノーマル) 気付かぬ間ハマる罠 スキルならグー 2times, 寝静まる夜に忍び寄るのよ オーキードーキー 3times, 要注意 背後に気をつけて no doubt 脳から身体へ 官能的な合図で 差し出してみせて get it on, get it on, yes well done. 脳から身体へ 中枢へと迫る ey 差し出してみせて hey babe あなたが悲しくないとこへ飛べるよ 本能でfly 離れない 何があってもどうなっても 洗脳さす 実態のない手練手管で 標的をセット I might be sick. あなたがなにひとつ怖くならぬようまじないを 壊れているのはわたしの方 脳から身体へ 扇情的なフォームで 抗ってみせて get it on, get it on, yes well done. 脳から身体へ 中枢へと迫る ey 差し出してみせて hey babe あなたが悲しくないとこへ飛べるよ 本能でfly、離れない 何があってもどうなっても hey babe あなたが喜ぶ顔が愛しいのは 本能だろう、祈るよ 何があってもあなたの傍で"
1,ミュータント,"
Reol",Reol,Reol・Geekboy,"「この夜は二度と繋がれない非現実」 サディストなあたしは今 合図を待つ、君にひれ伏す 痛みと快楽は違う？ 今にも暴発してしまう 君はダーリン 青く同化する夜光虫 答を、アウフガーベ 迷いを正して 扁桃体の奥の奥へ仕舞い込んだ正体 悟られないよう横目で追うモーション 過覚醒 未体験 あたし君の目の前で 変わる 変わる この儀式に興じた 同じだけ 君が 変わるだけ 今夜だけ 違って 欲しかった 似ていると そうだと 思ってしまった 何も言えない 言えないでいる 旋律の向こう側から君の匂いがした ミュータントになった あたしにはわからない 涙がぽたぽたとまらなかった 記憶の中はいつも優しい 首都高速道路ふたりで 人熱れすり抜け埠頭へ 窓から睨んだ明後日 君との隔たりまた識るだけ 首都高速道路ふたりは 人熱れすり抜け埠頭へ このまま何処かへ逃げたら 隔絶された世界線？ かしづいて 君に 笑われて 触れたくて 月の裏側さえ 醜いの そうだよ 愛してくれるか 何も言わない 言わないでいて 時間は、アポトーシス さあどうぞひとおもいに 揮発性を孕んだ空間に研ぎ澄ます注意 溢さぬよう端から端までをチューイング 過覚醒 未体験 いつか全部消えてなくなるなら この波は、あの影は、あたしは 愛し合う ふたり 騙されて まやかしと 気付いて しまうまで 此処にいて いつか 変わってしまうの 何もいらない いらないから 愛沙汰に酩酊して 今あたし変異して I don't give a damn, I won't give a damn. I don't care what you say. I don't care what you think."
2,Nd60,"
Reol",Reol,Reol・Geekboy,延々昼夜は逆転 いきあたりばったり 立入禁止のプライベート ここらは磁場が発生中で危険なんです but I feel so good 我侭 でも何してもつまんないんだもんな まあ心配御無用、ありがと えっと今日何曜？やっぱどうでもいい 気儘な僕はテキトーなノリ 変わってく人 変わってく色 焦がれた東雲に 新しい服 新しい曲 僕には目まぐるしくて なんか辛い みんな嫌い こんなはずじゃない 変わらない君だけ 眩しく見えて くらくは交互に 毎日がこの通り なるようになればいい SとNの向こうに このままもうどっちつかずでいたい So Stay！ 不埒な 導体が lonly lonly yeah お気に召すまま Fly！ 高飛びして 捨て身 lonly lonly yeah 着の身着のまま Slack！ 半端な 僕は lonly lonly yeah そう気の向くまま… 孤独にフォーリン シドアンドナンシーみたいにふらり まあどうせ大概不純な動機 清廉潔白じゃないし欲が深い 誰かに裁いてもらえるのを待ってたくせに！ 平気 かなり平気 嘘つき 下手な演技 それ以上 無理するのももうやめなよ あーもー帰りたいな 頭の中では雲の上で不貞寝 シャットアウト 好きでも嫌いでもないものが増えていく やんなっちゃうね 頑張ったって oh my god、あんたのご都合次第で くらくは交互に 毎日がこの通り なるようになればいい SとNの向こうに このままもうどっちつかずでいたい So Stay！ 不埒な 導体が lonly lonly yeah お気に召すまま Fly！ 高飛びして 捨て身 lonly lonly yeah 着の身着のまま Slack！ 半端な 君と lonly lonly yeah lonly lonly yeah 惹かれちゃうジエンド 偏執傾向 僕天性のディスイズ破天荒 年々と増えていく抵抗 破滅衝動のネオジウム元素 フラジール そうね脆弱な 鬱を舐めて選ぶんだ しょうのなさも笑いのネタ 人並み以下のままでどうぞ くらくは交互に 毎日がこの通り なるようになるでしょ SとNの向こうに このままもうどっちつかずでいたい、いようよ So Stay! 不埒な 導体が lonly lonly yeah お気に召すまま Fly! 高飛びして 捨て身 lonly lonly yeah 着の身着のまま Slack! 半端な 僕ら lonly lonly yeah たぶん問題ないよ
3,Boy,"
Reol",Reol,Reol・Geek Boy Al Swettenham,hey boy ヒリヒリとしているんだ心臓が 君がいない違和感には慣れない けど行かなくちゃ 何度だって間違えたの 何度だってやり直そう 君が否定したことをあたしは何度だって証明しよう あたしたち秤の上でシーソー 測られるの幸運の所持量 終わりが近づく音、ドクドク鼓動がからかう督促状 互い違いの航路の交差点前で踊ろう そう思いつくままにここへ来たあたしは！ 君のためいつだって 君に似合いたかったんだ なんでもできる君を思えば 理想すら邪魔だった 君が笑うならなんだって 道化にだってなりたくて ああもう時間かな 明日が呼ぶんだよ あたし笑って手を振って トップスピード 愛の向く方へ ライドオン、ライドオンナウ 昨日の向こうへ 愛向かう方へ 吐いた唾 落花枝に帰らず 断つ退路 さらば愛し日々よ 飽き足らず鳴らすならず者 後生さ身を焦がすマゾヒスト 確かめた瞬間 褪せる空は冷えて 最後シラベもなく喪失した 「君のため」いつだって それはあたしのためだった 壊れた破鏡 サルベージしてくれんの？ わからないんだ、ごめんね 君が笑うならなんだって そのすべて見合いたくて 口惜しいけど 涙も出ないんだ 出ないんだよ ねぇ不在票 その後遺症 とても冷静ではいられないよ 故に交互に このアイロニー わかりたかった 君だからだよ 焦燥 煽れ初期衝動 もっとくれよ不退転を 立ち上がるための理由を 幾つでも 幾度でも 愛を謳え 後悔した数以上 誰かを愛せるなら あの日の約束は忘れて 君を送るための餞 最後のお願いひとつだけ ごめんね、じゃあね see you again. 君のためいつだって 君に似合いたかったんだ なんでもできる君を思えば 理想すら邪魔だった 君が笑うならなんだって 道化にだってなりたくて ああもう時間がないよ 廻れ廻れ、あたしのために今 何のため誰がため 終わる頃にはわかるのか？ こんなどうしようもない生命体が ひたすらに愛しくて 最適解じゃなくたって あたしはあたしになりたくて ああもう時間だよ どうなっても行こう今、最前線へ トップスピード 愛の向く方へ ライドオン、ライドオンナウ 昨日の向こうへ 憧れさえ追い越して
4,あ可よろし,"
Reol",Reol,Reol,流行りもなくなる有象無象この世は超レガート 快速遅延して港埋め立ててファーストセカンド 不甲斐ない自分ごとまとめて不用品回収どうぞ 早足で帰ったら急いで電源を落とせ 長く生きれば生きるほど不条理なことも知ってしまうね あなたを悩ませる事情とか全部平らげてしまいたい 科学調味料食らう現代はまるっきりインスタント 幸不幸を取り違った結果万全とはいえない 下らないあたしならいらない あと一度期待したい しょうのない未来であるほど 泣かないでほら顔を上げてよ 絶望と同じ分だけ 愉しいニュースが飛び交う あなたが向いてる方角こそ 前だと信じて踏みしめるだけ 可視化したい此の先 幸せの座標がわかってりゃ堂々 他人の親切や悪意に右往左往していても上等 頼りない綺麗ごとに身を委ねてうまくやれんならもっと 痛くない深くない誰かのようになんてなれない ぬるい手合いじゃやり甲斐がない まだ知らないそれが見たい 五臓も六腑もまるごと 間違って赤字を出しても どうせ死ぬまでの埋め合わせ 派手な賭け事に乗り出せ あたしが生きてる時代でこそ やれると信じて疑わないだけ あなたが生きる365日が 思い通りいかないような時も 番狂わせ回り回る今 公転と同じく摂理である ただ歪な愛と愛に見舞われて 息絶え絶えにそれでもひたすら 重力のはたらきみたく 引かれ合うことを愛情だと呼びたい 拙いメソッドでまあ構わない すべからく愛したい 優しさも弱さも覚悟も 泣かないでほら顔を上げてよ 絶望と同じ分だけ 愉しいニュースが飛び交う あなたが向いてる方角こそ 前だと言い切ってよろしい 躊躇いなどは煩わしい あ可よろしく笑う あなたが正しい
5,秋映,"
Reol",Reol,Reol,低速で泳ぐ雲を眺めた 伸びていく影に息をとめた 鼓動の横を移ろう季節は いつも秋の色 容易く過ぎぬは日々の表情(かお) 風に吹かれ歩けなくても あなたを浮かべ 虹彩の裏 秋映に染まる 悲しみと苦みが尽きぬ夜は あなたのこと思い出し越えよう あなたが守る大切なものを 僕も守りたい 変わらぬ言葉を何度でも 雨にうたれ立ち止まっても あなたを浮かべ 虹彩の裏 秋映に染まる あなたと交わす おかえりが 秋映に染める
6,"un, deux, trois","
Reol",Reol,Reol,量り売り日常ストリップ 誰かの娯楽 手の鳴る方へ行く 見切り品 頻りに やめるための理由を探している こんな生活が何になる 逢いたい人に逢えずに 元号も移ろう 日は鋭く僕を刺すのに変わらぬ風俗 言葉が枯れていく 季節だけが動じず G線上の向こう 三十と二小節後を考えている 言葉が枯れていく 季節だけが憶えている 芥もニーチェもカールも誰も知らない結末おしえて 三本の針を逆回しして僕の脈が揃うのを待って あなたの哲学に解かれたい 浮遊する斜陽ごとください この星の自転に合わせて 不慣れなアン・ドゥ・トロワ見逃して あなたの哲学に抱かれたい 今公転する公転する、僕 ふとあなたのことを思い出す カメラロール辿る指の先で あの時ああすればこうすればって 君の一番にだってなりたかったよ 拝啓、お元気ですか そちらは変わりないでしょうか 好き嫌いがどうにも治らなくて 僕は今も変われずいるよ 記憶が剥がれてく 季節の中どうして G線上の向こう 三億と二光年先で待っていてよ 三本の針を逆回しして僕の脈が揃うのを待って あなたの哲学に解かれたい 浮遊する斜陽ごとください この星の自転に合わせて 不慣れなアン・ドゥ・トロワ見逃して あなたの哲学に抱かれたい 今公転する公転する きっとこれじゃ満たせない 晒し合う人の様 仮想の淵腰掛けて 簡単に滑り落ちる [redo] そのズレは視界にまで及んだ 君の表面張力が 夜を保つことを拒む [undo] 意味はない、 意味はないのだ、 意味がなくとも [redo] 定めても定めても導き出せないのだ あやし方はコペルニクスにも解けずに 三本の針を逆回しして僕の脈が揃うのを待って あなたの哲学に解かれたい 浮遊する斜陽ごとください この星の自転に合わせて 不慣れなアン・ドゥ・トロワ見逃して あなたの哲学に抱かれたい 今公転する公転する、僕
7,insider,"
Reol",Reol,Reol・Masayoshi Iimori,"insider insider 一番悪いのは誰だ insider insider,tellme what you want,insideout. 大人の事情は大概が子どもじみたただの我儘 イエスオアイエスで答えなさいな 頷きすぎてとれる頭 RECサインギラつく端から恥まで 見出し肩書き かなり大事だね 嗚呼、水準デフレーション 身の丈以上 欲しがる金 馬鹿のふりは最強のバリア 正気じゃもうやってらんないの 誰彼なりたいのインサイダー 秘密の取引しようよ 寄ってたかってうるさいな とやかく言われんのも務めか？ 見ず知らずのあんた方どうか 勘違いをさせてくれないか 群がる信者 無数の目 ロックスターが殺された夜 インサイダー インサイダー 一番悪いのは誰だ 本当のこと？言えないよ 隠したいことが多すぎるの インサイダー インサイダー 後ろの正面あんただろ 土足で軽快なスキップ 礼儀のれの字も書けねえのキッズ きっついわ現実 やり過ごしていくだけ連日 お茶で一服 えっと、Are you kidding？ マジでイっちゃってんな 誰かに握られる握られる手綱、脳 退化退化ほら成り下がれ いくつになっても馬鹿ばっか 馬鹿のふりは最強のバリア 正気じゃもうやってらんないの 誰彼なりたいのインサイダー 秘密の取引しようよ 寄ってたかってうるさいな とやかく言われんのも運命か？ 見ず知らずのあんた方どうか 勘違いをさせてくれないか 群がる信者 無数の目 ロックスターが殺された夜 インサイダー インサイダー 一番悪いのは誰だ 本当のこと？言えないよ 隠したいことが多すぎるの インサイダー インサイダー 後ろの正面あんただろ 群がる信者 無数の目 ロックスターが殺された夜 インサイダー インサイダー 一番悪いのは誰だ 本当のこと？言えないよ 隠したいことが多すぎるの インサイダー インサイダー きっと君だってわかっている 馬鹿のふりは最強のバリア 正気じゃもうやってらんないの 誰彼なりたいのインサイダー 秘密の取引しようよ 寄ってたかってうるさいな とやかく言われんのも務めか？ 見ず知らずのあんた方どうか 勘違いをさせてくれる？ 馬鹿のふりは最強のバリア 正気じゃもうやってらんないの 誰彼なりたいのインサイダー 秘密の取引しようよ 寄ってたかってうるさいな とやかく言われんのも疲れた 見ず知らずのあんた方様 勘違いをさせてくれるのか？"
8,ウテナ,"
Reol",Reol,Reol・Giga,"ほらそこに横になって 壊して幾度でも再生 あなたと機械になって 御眼鏡通りさ 浮かぶ理想郷 さぁそこで前に倣え 壊せば幾度でも再生 あなたと機械になって 横文字整列 制御してよ right now Utena... let me say,right now. 物事はすべて 濡れ場から生まれ 還る場所はどこ 特定して位置情報 もう疲れました 別れ話ばっか 上達して進化 僕は今お値打ちなんだ 買ってください一匁 答えを急がせる二問目 ビルの高さ競い合って 豊かな国 笑、笑 どこが上か曖昧だね 答え合わせを パパママ ほらそこに横になって 壊して幾度でも再生 あなたと機械になって 御眼鏡通りさ 浮かぶ理想郷 さぁそこで前に倣え 壊せば幾度でも再生 あなたと機械になって 横文字整列 制御してよ right now da lalalala... Utena... let me say,right now. ねぇ ウテナ シストロンがお利口 ラ・ステラ 進化論 シャングリラの上は？ 理屈じゃない遊戯 高い高いして 君は悪い子 交錯する 螺旋の塔はループ 満たし合う 満たされぬままは嫌 嫌 嫌 粗探し あ いやらし 次々に舐めとる蜜の味 君が愛しい 高らかに誘われたい 踊る 踊る 今 勝ち気な脳 前人未踏 アダムとイブのフェイバリット エイトビート 心音が止まるまでのショービズ 要らんもんポイ 恥晒せ 僻事 理不尽だらけ 日毎入れ替わる細胞 僕はどこの子 死ぬまで打ち立てろウテナ はい堂々 あー動じないな Utena... let me say,right now. ねぇ ウテナ シストロンがお利口 ラ・ステラ 進化論 シャングリラの上は？ 理屈じゃない遊戯 高い高いして 君は悪い子 さぁ ウテナ お目通り願う ラ・ステラ メメント 洒落頭 末は 上がる上がるわ ほら、高い高いして 君は悪い子 高い高いして 僕が悪い子"
9,エンド,"
Reol",Reol,Reol,あれそれとなくし続けて 僕は一人で此処に突っ立っている 世辞と罵声が背中をおす 交ざる風を身に受け惑わされぬよう 気丈な演技を磨きます 竦む足に鞭をうって睨む 僕がいないかもしれない明日に 痕を残すため今爪を研ぐ 綴る言葉全て遺言です 君に伝わるように喋ります 守りたい 選べない 君以外 もしも愛なんてものに縋らなくても 僕らが幸せになれたなら 楽になれるだろうか 誰も知り得ぬいつかこの先がどんなでも 君がいればそれだけでいい 君がいればそれだけでいいのに 何が大切であるかを これだけ生きてもまだ言い淀む 見極めようと凝視して 他の何かを見失いそうになる 恐れを知らなすぎたあの時みたいに 怖がらずに愛したい 世間知らずと言われても構わないから 疑わずに信じたい 約束破りも裏切りも 祈ってニルヴァーナ すべて許したい 僕を好きだと言う君が大嫌い もしも愛なんてものが 存在し得ないまやかしだとしたら 君を今求めていることの説明がつかない 孤独で不確かな此処でも 君といればそれだけで 終わりのない終わりを 果てのない果てを見たい 美しい地獄から 君にもう一度だけ もしも愛なんてものに縋らなくても 僕らが幸せになれたなら 楽になれるだろうか 誰も知り得ぬいつかこの先が どんなだとしても 守りたいものから失ってしまう それでも諦められないのは 面倒な世界に僕は未だ絶望していないから 触って 叱って 愛して
