,Song,Artist,Lyricist,Composer,Lyric
0,Sweet Fantasy,"
春奈るな",SPIN,LUKINO・SPIN,涙がこぼれた なぜ上手くいかないのかな くじけて凹んだら 好きな服を選んで 冬の街へ飛び出す 幸せ色 街がそまる 肩寄せあう人ごみ ひとりぼっち おいてかれてる… でもね 私は負けない！ この気持ち信じて 鏡を見つめるよ 好きなものは好きなの めくるめく想像 ドキドキの So Sweet Fantasy 頑張って夢見てる 私を見ていてね 二人の物語は きっとハッピーエンド 負けないで So Sweet Fantasy キミだけ見てる また冬が来たね でも心は温かいね 星空に話したよ ずっと想ってるよって 願い続けるからね 上手く言えない この気持ちは 永遠の宝物 愛や恋が いらないくらい キミを 好きが止まらない！ 消えそうなため息が 夕闇に光るよ このペンライトのように 未来照らす キラキラの So Sweet Fantasy 一緒にいよう 涙のあとが 飾る夜空に 秘かに名前を呼んでみる ココに確かに 確かにココに 運命を感じているから この気持ち信じて 鏡を見つめるよ 好きなものは好きなの めくるめく想像 ドキドキの So Sweet Fantasy 頑張って夢見てる 私を見ていてね 二人の物語は きっとハッピーエンド 負けないで So Sweet Fantasy キミだけ見てる
1,BANG THE BEAT,"
氷室京介",SPIN,Kyosuke Himuro,心を惑わす造られた現実(リアル) ひとつ確かな BEAT 運命は NO WAY OUT 繰り返すだけ 傷つく覚悟で受け入れた 日常(エブリデイ) 祈り続けても 運命は NO WAY OUT 切り拓くのさ 俺が俺の救世主(セイビア) 弾けるのさ BANG THE BEAT 今に懸けろ 誤魔化す前に 痛みを抱いて FEEL THE BEAT 無駄な答えひとつも無いから REASON TO BELIEVE… REASON TO LIVE 途切れた RAIL を言い訳に 日常(エブリデイ) 拒み続けても 運命は NO WAY OUT 脱ぎ捨てるのさ 「怖くない」ってウソだろう！？ 刻み続けろ BANG THE BEAT 鍵は既にその手の中に 痛みを抱いて FEEL THE BEAT いつか開く 真実の扉 REASON TO BELIEVE…REASON TO LIVE YOUR VOICE 聞こえてるぜ ノイズに溶けない叫びが YOUR EYES 目を逸らすな 魂(ソウル) が胸(ここ)にある限り 弾けるのさ BANG THE BEAT 今に懸けろ 誤魔化す前に 痛みを抱いて FEEL THE BEAT 無駄な答えひとつも無いから REASON TO BELIEVE… ひとつだけ 今も胸(ここ)に REASON TO LIVE
2,NEIRO,"
KAT-TUN",SPIN,RYOSUKE SHIGENAGA,怖いから格好つけて ここで話せなかったことがある 僕がここで笑えるのは 君がいたから 僕らのここで始まったSTORY この屋根の下 今を分かち合う この光 君の優しさを こんなにも感じてる どれだけの 時が過ぎ流れても 帰る場所は君が奏でるNEIRO 寂しくて揺れる夜は いつも君に会いたくなる 君が笑顔くれるから また元気になる 世界で一番大切な この瞬間が 生きる道しるべ この光 君の優しさを こんなにも感じてる またいつか この道に迷っても 帰る場所は君が奏でるNEIRO 誰も君をわからなくても 君の音聴こえるよ ここで初めて出会った日を I STILL REMEMBER この広い 世界の片隅で 君と出会えた奇跡 傷ついて 消えそうになっても 帰る場所は僕らのNEIRO ずっと この光 君の優しさを こんなにも感じてる どれだけの 時が過ぎ流れても 帰る場所は僕らのNEIRO 帰る場所は君が奏でるNEIRO
3,On Your Mind-Please come back to me-,"
KAT-TUN",SPIN,Sharon Vaughn・Harry Sommerdahl・Niklas Jarl,あたりまえに 君がいたね 大切だと 言えずにいた 近すぎて 君はいつも 何かいつも 言おうとして 黙りこんで うつむいたね Please Come Back To Me あの頃はもう 帰らない あんな好きな人にもう出会えない I Can't Forget You 君は誰に抱かれて 今日眠りにつくの？ まだ 愛しくて 久しぶり 仲間達と 同じ顔 同じ場所 でも一つ 君がいない Please Come Back To Me あの頃はもう 帰らない あんな眩しい季節 二度とないよ I Can't Forget You 君は誰に抱かれて 今日眠りにつくの？ 何を祈りながら？ あの駅 あのホーム 君を見た気がした Please Come Back To Me あの頃はもう 帰らない あんな好きな人にもう出会えない I Can't Forget You 君は誰に抱かれて 今日眠りにつくの？ まだ 恋しくて
4,Crazy Love,"
KAT-TUN",SPIN,三上吉直,ただ 君だけを 壊しそうだった 何も 無くて 愛しすぎた Maybe we're fallin' in the crazy love もし あのときに 追いかけてたら どんな 未来で はにかんだ 笑顔見れたのだろう 君のすべてを許して 抱きしめ濡れたあの夜 涙の重ささえも計れず ふたり揺れた 君の名前呼ぶだけで 世界が満たされていた どんな過去 君のキズを すべて俺の中で守りたかった もしも声が届いたら 俺はここで待ってるよ ひとりじゃ消えそな愛だから 二度と無いこのCrazy Love 人込みにまぎれ歩いてた 冷たい道で迷ってた おなじ目をしていた君と 何も無かったけれど その心のカケラを ふたりで持ちより 温めた それだけで 君と同じ夢を見て 今が続くと思ってた どんなウソ 君の秘密 すべて信じてただ守りたかった もしも時が止まるなら 俺はずっと待っているよ ふたりの消えそな約束は 思い出の中Crazy Love 二度と無いこのCrazy Love
5,BE A STAR,"
SS501",SPIN,田中直,もし君が泣いてたなら きずな 確かめにそばに行くよ ほら 目指して行く未来に 手が届きそうな道 そして今この場所立つ きっと 約束されてたんだね そう 全部力合わせて 願いが叶う出会い 永遠に 無限 偽りのない気持ちで 君とならこの道 信じられる 踊ろう! YES! DOKI DOKI みんなで! 一度きりの 運命を SUPERな光にかさねて ひとつにつないで行こう 輝け! YES! DO YOU WANT TO BE A STAR? 涙の数 強くなる 一番大切この想い この場所から歌うよ BE A STAR ONLY ONE LIKE A STAR 永遠に 泣いたあと 疲れて また立ち上がればいい 単純な問題さえ なぜか 見えなくて迷っている ほら 遠くから眺めたら こんなに小さな傷 自分の弱さに気づき ずっと イライラしていた季節 今 静かに通り過ぎる 大人に近づいて行く 永遠に 無限 こだわりは無くさないで 君らしさその瞳で 自分らしく 踊ろう! YES! DOKI DOKI みんなで! 一度きりの 運命を SUPERな光にかさねて ひとつにつないで行こう 輝け! YES! DO YOU WANT TO BE A STAR? 涙の数 強くなる 一番大切この想い この場所から歌うよ BE A STAR ONLY ONE LIKE A STAR 永遠に 泣いたあと 疲れて また立ち上がればいい 踊ろう! YES! DOKI DOKI みんなで! 一度きりの 運命を SUPERな光にかさねて ひとつにつないで行こう 輝け! YES! DO YOU WANT TO BE A STAR? 涙の数 強くなる 一番大切この想い この場所から歌うよ BE A STAR ONLY ONE LIKE A STAR 永遠に 泣いたあと 疲れて また立ち上がればいい
6,Kokoro,"
SS501",SPIN,本間昭光,今日は昨日よりもっと 明日は今日よりきっと 一瞬だった 本気になった 一番でっかい夢が Dream comes true 叶うこと信じた時 Boys don't cry 顔あげて 君は一人きりじゃないよ Don't be afraid 肩並べ旅に出よう My Friend! 仲間は信じるためにそこにいる 永遠に止まぬ雨など どこにも無いのさ とどけ Kokoro 道無き未知が ほら待ってる 光と影 まぶしいほど 近づいた 夢は Kokoro 僕らをぎゅっと 抱いて照らすよ 涙はきっと 自由の合図 今旅立とう 今日は昨日よりもっと 明日は今日よりきっと Sad but true 眠れない夜には そばにいて そっと Don't be late 胸を張って旅に出よう My Heart! Kokoroは 互いのためにそばにある 永遠に消えない夢が 宇宙に向かうのさ とどけ Kokoro 道無き未知が ほら待ってる 光と影 まぶしいほど 近づいた 夢は Kokoro 僕らをぎゅっと 抱いて照らすよ 涙はきっと 自由の合図 今旅立とう とどけ Kokoro 道無き未知が ほら待ってる 光と影 まぶしいほど 近づいた 夢は Kokoro 僕らをぎゅっと 抱いて照らすよ 涙はきっと 自由の合図 今旅立とう 今日は昨日よりもっと 明日は今日よりきっと
7,Love so sweet,"
嵐",SPIN,youth case,輝いたのは鏡でも太陽でもなくて 君だと気付いたときから あの涙ぐむ雲のずっと上には微笑(ほほえ)む月 Love Story またひとつ 傷ついた夢は 昨日の彼方へ 空に響け 愛の歌 思い出ずっと ずっと忘れない空 ふたりが離れていっても こんな好きな人に 出逢う季節二度とない 光ってもっと最高のLady きっとそっと想い届く 信じることがすべて Love so sweet そこからいつも見えるようにこの手を空に向け 広がる君との思い出 あの頑(かたく)なで意地っ張りな僕を変えた君の手 Love Story 歩き出す 曲がりくねってた ふたつの旅路は ここでひとつ 虹になれ 思い出ずっと ずっと追いかけた夢 ふたりが遠くへ行っても どんな辛い夜も くじけそうな誓いでも 笑ってもっと最後のLady きっとそっと願い届く 明けない夜はないよ Love so sweet 伝えきれぬ愛しさは 花になって 街に降って どこにいても君を“ここ”に感じてる 思い出ずっと ずっと忘れない空 ふたりが離れていっても こんな好きな人に 出逢う季節二度とない 光ってもっと最高のLady きっとそっと想い届く 信じることがすべて 明けない夜はないよ 信じることがすべて Love so sweet
8,君が最高！,"
パク・ヨンハ",SPIN,本間昭光,以心伝心 変心バランス 抱き合えば遠くなる 仲間の声気にしてはしゃぐ 君の右側で 友情 人情 現状維持では 二人 思い出刻むだけ 気持ち変えて行かなきゃ ここで何も始まらない こわれそうな恋 キラリ 名もない愛 LUV LUV LOVE! BABY MAY BE SEE DE-LIGHT! 大切な 二人の未来へ LUV LUV LOVE! BABY MAY BE “X” WHY YOU? 言い訳なんていい 君でなくちゃだめ 君が最高！ 道がふたつ分かれて 今はそこで悩んでる 悪いのは君じゃなく 曖昧な俺の態度さ こんな近くいるのに 大事ないいとこ見逃す 人は無いものばかり 探し歩いて疲れる 君にふれた恋 チラリ 名もない愛 LUV LUV LOVE! BABY MAY BE SEE DE-LIGHT! 抱きしめる あの日の約束 LUV LUV LOVE! BABY MAY BE “X” WHY YOU? もう一度言うよ 君でなくちゃだめ 君が最高！ めぐり来る季節の中で あの時見た 愛を追いかける LUV LUV LOVE! BABY MAY BE SEE DE-LIGHT! 大切な 二人の未来へ LUV LUV LOVE! BABY MAY BE “X” WHY YOU? 言い訳なんていい 君でなくちゃだめ 君が最高！ 永遠に BABY MAY BE SEE DE-LIGHT! 抱きしめる 二人の約束 LUV LUV LOVE! BABY MAY BE “X” WHY YOU? もう一度言うよ 君でなくちゃだめ 君が最高！
9,旅立ちの朝,"
嵐",SPIN,Shusui・Fredrik・Hult・Jonas Engstrand,そろそろ行くね 大きなバックに みんなの思いつめて 最後に振り向いた しあわせはいつも つかみとるもの 君が言う みんなの顔が 涙でゆれる 空を飛ぶ夢が立ち上がる その声を忘れない 見えなくても 消えないように 輝けるように Stay with me ベンチにひとり 時刻表を見る まだまだ遠い 目指す街の匂い いつかまた めぐり逢う日に 胸張って 言えるかな 今が一番しあわせと 間違いだらけの毎日も 愛していけるように ちからいっぱい 夢を見るよ 輝けるように Stay with me しあわせはいつも つかみとるもの 胸張って 言えるかな ここが一番しあわせと 空を飛ぶ夢が立ち上がる その声を忘れない 見えなくても 消えないように 輝けるように Stay with me そろそろ行くね 明日へ歩き出す
