,Song,Artist,Lyricist,Composer,Lyric
0,Wonderful Day,"
TWICE",Shoko Fujibayashi,Andrew Choi・minGtion・Emily Yeonseo Kim,"傘の隙間から 見えたイルミネーション きらめきの分 寂しくなるから 君は今どこで 何を想う ため息が白く踊る 思い通りに行かなくて 焦ったりするけど 覚えたことはSlow down 星のよう舞い散る 雪に願いを 世界に優しさと 涙癒すメロディを Maybe soon Going through 祈り届け Wish upon a snow, Wonderful day Twinkle little snow flows Twinkle little snow 手のひらで 消え去る前に 願いを言えば Make my dream come true？ おとぎ話だけ、か… 夢を見るために夜は来るの 孤独を知るためじゃない 街に積もった 不安さえ 白く塗り替えれば 新しくなれそうで 星のよう舞い散る 雪に願いを 世界に安らぎと 自由に飛べる翼を Maybe soon Going through 願いはおなじ Wish upon a snow, Wonderful 君に会いたい かなうまで (Believe the day'll come) 星のよう舞い散る 雪に願いを 世界に優しさと 涙癒すメロディを Maybe soon Going through 祈り届け Wish upon a snow, Wish upon a snow, Wish upon a snow, Wonderful day"
1,Doughnut,"
TWICE",Lauren Kaori,Alexis Kesselman・Woo S. Rhee“RAINSTONE”・Francis・Fingazz,"手を振って 背を向けた瞬間に すぐにさみしさにやられた 恋をしてから 君に埋め尽くされた Mind しあわせと切なさが忙しいな (Na na na na) I miss youの文字で繋がりを感じた Ah 柔らかく甘い気分 ふわふわしてる心には 君形の穴が空いてるの Just like a doughnut 迷い込んだ恋のLoop 始まりも終わりもない 二人のLove loop 二人のLove loop yeah yeah yeah Every single day 何度も君が浮かんで いつの間にか染められてく そばにいなくても 切れずにリンクしてるね Memoryの余韻に浸っていたい (I, I, I, I) もう後戻りはする気はないから Ah 柔らかく甘い気分 ふわふわしてる心には 君形の穴が空いてるの Just like a doughnut 迷い込んだ恋のLoop 始まりも終わりもない 二人のLove loop 二人のLove loop yeah yeah yeah So deep, So empty, I need thee So deep, So empty, I need thee クルクル巡る Feeling 君を好きになって 君のカタチの穴が空いたみたい ハートの真ん中は 君だけのSpace Ah 好きなんだ 好きなのよ ありきたりでも心には 君形の穴が空いてるの Just like a doughnut 味わっていたい永遠のLoop きっと世界でひとつ (There is a place for ya) Ah 柔らかく甘い気分 ふわふわしてる心には 君形の穴が空いてるの Just like a doughnut 迷い込んだ恋のLoop きっと世界でひとつ"
2,I WANT YOU BACK,"
TWICE",Berry Gordy・Alphonso James Mizell・Frederick Jamse Perren・Deke Richards,Berry Gordy・Alphonso James Mizell・Frederick Jamse Perren・Deke Richards,"Du Wa Du Wa Ah ha ha… Ah ha ha… Ah ha ha… Ah ha ha… Mmhhmmm Uh-huh huh huhhh Let me tell ya now Uh-huh Mmhhmmm When I had you to myself, I didn't want you around Those pretty faces always made you stand out in a crowd But someone picked you from the bunch, one glance was all it took Now it's much too late for me to take a second look Oh baby, give me one more chance (To show you that I love you) Won 't you please let me (back in your heart) Oh darlin', I was blind to let you go (Let you go, baby) But now since I see you in his arms (I want you back) Yes I do now (I want you back) Ooh ooh baby (I want you back) Yeah yeah yeah yeah (I want you back) Na na na na Trying to live without your love is one long sleepless night Let me show you, girl, that I know wrong from right Every street you walk on, I leave tear stains on the ground Following the girl I didn't even want around Let me tell ya now Oh baby, all I need is one more chance (To show you that I love you) Won't you please let me (back in your heart) Oh darlin', I was blind to let you go (Let you go, baby) But now since I see you in his arms uh Pa pa pa Pa pa pa Pa pa pa All I want！ All I need！ All I want！ All I need！ Uh Uh Yeah ～ Tu ru tu tu ru ～ Du Wa Du Wa Oh, just one more chance To show you that I love you Baby (baby) baby (baby) baby (baby！) (I want you back) Forget what happened then (I want you back) And let me live again！ Oh baby, I was blind to let you go (Let you go, baby) But now since I see you in his arms (I want you back) Spare me of this cause (I want you back) Give me back what I lost！ Oh baby, I need one more chance, hah I tell you that I love you Baby, (oh！) Baby, (oh！) Baby, (oh！) I want you back！ I want you back！ I want you back！ I want you back！ I want you back！"
3,21:29 -Japanese ver.-,"
TWICE",TWICE・Eri Osanai・Mio Jorakuji,Joohyoung Lee(MonoTree)・Sophia Pae,This is for you You're my dream 言葉がまた溢れ出した でも伝わるかな 受けとめてくれるかな？ 振り返る日々を胸に刻んだ 触れた数だけ 暖かくて 夢でもいい 明日はここに 君がいなくても 平気 I'll remember 君と私 満たす思い出 このまま この景色を守っていくよ 見つめてたって 心は伝えきれない 貰った愛 少しずつ返すよ 小さなギフトを 受け取ってくれる？ 膨らんでいく 思い詰めて 夢でもいい 明日はここに 君がいなくても 平気 I'll remember 君と私 満たす思い出 このまま この景色を守っていくよ 「君のおかげ」 「君がすべて」 そんな言葉 今度は For you This is for you You're my dream 思い出になって 遠くにいても いつでも取り出せば 輝くの 時が経って 薄れても 約束 消えないよう大切にする This is for you
4,YES or YES -Japanese ver.-,"
TWICE",Sim Eun Jee・Yuka Matsumoto,David Amber・Andy Love,"Hey boy Look, I'm gonna make this simple for you, you got two choices… YES or YES？ Ah どっちを選ぶ Tell me！ YES or YES？ Ah ah 早く答えてよ YES or YES？ 私 こんなにジコチューだっけ 君に会うとなぜか強気でヘンね ごめんね I'm sorry But Love is blind Come on and tell me yes 大胆なシナリオになってるけど 恋を勝ち取るためなら Perfect I don't care やるときはヤル You better tell me yes 私 決めたよ あとは君の答え次第 優柔不断な君のことを 悩ませたくないの OK？ この日のために考えたよ どっちを選ぶ Tell me！ YES or YES？ 君の気持ち わっかんないよ 早く答えてよ YES or YES？ 簡単よ ひとつ選ぶ 「No」はナイよ 一緒に行こうよ 君が決めるの 好きなように It's all up to you 世界が変わるよ YES or YES？ 好きなの？ Do not guess 言ってみて Do not ask 首を振るより うなずかなくちゃ There's no letters N & O 消しちゃって Noという文字 頭で考えすぎ 素直に YES YES YO 初めて目覚めた 君と出会って 自分でも驚いてる Passion 熱い My heart burn burn burn もうどんなChoiceでも 私と巡り会う仕組み そういう流れに 逆らえない 絶対に幸せにするよ 楽しいことが 2倍になる 知りたいなら すぐ YES or YES？ 悲しいことは 半分になる 私の目を見て YES or YES？ 君のこと 好きな気持ち 誰にもきっと 負けない ほんと 乗るしかないよ このチャンス Now, it's all up to you Maybe not No！ No！ Maybe yes No！ No！ 解けない問題じゃないし ヒントが聞こえる 耳をすましてみたら It's！ Simple！ Y！ E！ S！ Hey！ どっちを選ぶ Tell me！ YES or YES？ 早く答えてよ YES or YES？ もうひとつおまけ YES or YES or YES 痺れがキレてきた この日のために考えたよ どっちを選ぶ Tell me！ YES or YES？ 君の気持ち わっかんないよ 早く答えてよ YES or YES？ 簡単よ ひとつ選ぶ 「No」はナイよ 一緒に行こうよ 君が決めるの 好きなように It's all up to you 世界が変わるよ YES or YES？"
5,In the summer,"
TWICE",Yuka Matsumoto,Andy Gilbert・Nicole Simpson・Charlotte Churchman・Mark Angelico Thomson,"夜明けと ともに 出かけて 都会(まち)をあとに Take a trip 毎日を 頑張っている 私達らしい I reward myself 自由な時間を 過ごしたい 眩しい太陽 Sunshine day 常夏の島の風 吸い込む息も熱い ココナツ ココナツ Blue sky & Ocean まるで It's paradise 両手広げたくなる Uh I feel so free Ta la ta ta tan tan Ta la ta ta tan Yay 心弾む 砂浜で Step now La la la la lan la La la la la lan Yay Favorite tune Singing a song 気が向けば Ok！ Summer 目を閉じても 光がわかる See the light 波音は 癒し In the summer 夢見心地 I can fly Delicious food Sweet fruits 好きなだけ どうぞ Make up, Dress up, Gorgeous Dinner Tropical Cocktail, Like it color Gimme some more GlassでCheers 今日は 明日の心配いらない 何もかも忘れて 笑えるから It's great fun このままで 朝までトークと 言いたいけど Who is that？ Go to bed 小さな 星の流星 願いは この幸せ 輝け 永遠まで I feel so good Uh Ta la ta ta tan tan Ta la ta ta tan Yay 心弾む 砂浜で Step now La la la la lan la La la la la lan Yay Favorite tune Singing a song 気が向けば Ok！ Summer この夏の瞬間 残して Precious time 素顔もキレイよ In the summer ありのままの自分で That's all right Make your life あなたへとWith love いい波に 乗れるように 奇跡なら 何度でも ひとりきりじゃ できない ひとり ひとり 煌めき ひとつの Energy Ta la ta ta tan tan Ta la ta ta tan Yay 心弾む 砂浜で Step now La la la la lan la La la la la lan Yay Favorite tune Singing a song La la la la la lan la Summer 目を閉じても 光がわかる See the light 波音は 癒し In the summer 夢見心地 I can fly Delicious food Sweet fruits 好きなだけ どうぞ Summer この夏の瞬間 残して Precious time 素顔もキレイよ In the summer ありのままの自分で That's all right Make your life あなたへとWith love"
6,Wishing,"
TWICE",Eri Osanai,Albi Albertsson・Kanata Okajima,ふと見上げると 空に赤く染まる葉 揺れ落ちて 君との幸せMemories 積もっていくの 戸惑う私の顔見て 笑う声だって いつまでも聞きたいの 無邪気すぎるから 悔しいけど 可愛いくて 思うほど 苦しくて 遠く感じちゃうのは 自然にね いたいのに ダメだ 意識しちゃうな 届けたい言葉が重なり 星の数だけ想いは募る 手を握れたら この距離近づいていくのかな... 伝わってるかな？ 足りないかな？ 好きで 好きで たまらないのに 笑顔の跡が 消えないように ねぇ そばにいてWishing on your love ふと立ち止まる道は 澄んだ空気だけ残して 「寒くない？」と白い息が二人包んだ 並ぶと右側歩いて 君は優しくエスコートしてくれる さりげない仕草に やけちゃうよ 嬉しくて 聞きたいな 聞けないよ 同じ気持ちでいるの？ 夢に見た出来事に ダメだ 期待しちゃうな 届かない言葉が溢れて 祈る数だけ想いは募る 目を閉じたなら この距離 近づいているのかな... 伝えられなくて 切ないのは 好きで 好きで たまらないから 笑顔の跡が 消えないように ねぇ そばにいてYou're the only one こんなに想ってても 言葉にしないままじゃ... 受け取ってね １つだけの 君の為にあげたい このプレゼント 届けたい言葉が重なり 星の数だけ想いは募る 手を握れたら この距離近づいていくのかな... 伝わってるかな？ 足りないかな？ 好きで 好きで たまらないのに 笑顔の跡が 消えないように ねぇ そばにいてWishing on your love
7,Wake Me Up,"
TWICE",Natsumi Watanabe,Atsushi Shimada・Louise Frick Sveen・Albin Nordqvist,"Up！ Up！ Baby don't give up！ Wake me up！ We can work it out！ YO！ Up！ Up！ Baby don't give up！ Wow wow！ Wow wow！ Up！ Up！ Baby don't give up！ Wake me up！ We can work it out！ YO！ Up！ Up！ Baby don't give up！ Wow wow！ Wow wow！ Why not？ 何もかも I know 嫌になりそう そんな毎日は Very very sad Very very hard でも 乗り越えてみせるの 疲れたらリセット Say パンパカパーン パンパカパーン 空見上げて Go my way くじけた分わかる 想いはきっと Shine いつか廻り逢う 大切な人に 優しくなれる So baby, take a chance Up！ Up！ Wake me up！ 輝くたびに 未来は変わるのよ Up！ Up！ Step up！ 勇気を出して 明日をつかまえるの 雨の日も 風の日も 笑顔で Never give up！ Up！ Up！ Wake me up！ 信じているの 幸せ手に入れるの Joy 急には 舞い込まない 我慢…涙…必要 Hangin' hangin' on Movin' movin' on Oh！ アキラメナイ！ 泣いてもいい 立ち上がる そうして来たように Say パンパカパーン パンパカパーン ドラマチックな Life 悲しい夜もそうよ ひとりじゃないの Love 同じ空の下 愛する誰かが 待っているはず So baby, feel so good Up！ Up！ Wake me up！ 傷つくたびに 心は強くなる Up！ Up！ Step up！ 出来ない事を 出来るに変えてゆこう たどり着く その場所で 願いは叶うの Up！ Up！ Wake me up！ 振り向く今日に 綺麗な花が咲くの Bang bang Bang bang どんなに遠くても Bang bang Bang bang 探し続けるの Wanna make a smile 負けないハートで I'll be there Yes！ 時を越えて行こう Up！ Up！ Baby don't give up！ Wake me up！ We can work it out！ YO！ Up！ Up！ Baby don't give up！ Wow wow！ Wow wow！ Up！ Up！ Baby don't give up！ Wake me up！ We can work it out！ YO！ Up！ Up！ Baby don't give up！ Wow wow！ Wow wow！ Are you ready？ Dear, Up！ Up！ Wake me up！ 輝くたびに 未来は変わるのよ Up！ Up！ Step up！ 勇気を出して 明日をつかまえるの 雨の日も 風の日も 笑顔で Never give up！ Up！ Up！ Wake me up！ 信じているの 幸せ手に入れるの"
8,Candy Pop,"
TWICE",Min Lee “collapsedone”・Mayu Wakisaka,Min Lee “collapsedone”・Mayu Wakisaka,Hey sweetie sweetie Sweetie sweetie (Hey! Ha!) それな！ 退屈な Everyday だけど 突然君の声 止まってた世界が動き出した 寂しい時間はもう終わり 君がくれた秘密の味 まるで Candy みたいに 甘い甘い甘い甘い愛愛愛 Sweet レモンミントチョコレート Tell me 今日はどんな味？ You're my- Candy Candy Pop Pop 君の Honey Honey な笑顔に ドキドキ Heartbeat 止まらない ねえどうして Sweetie (Tell me sweet) Candy Candy Pop Pop 君と キラキラ輝く日々を 過ごせたなら最高 君は Candy Pop (Sweet) Dear Dear Dear まわる気持ちは Candy stripe ぐるぐる色とりどり虹みたい Hey! 甘い時も アリ たまに切ない (ちょっと切ない) 毎日見てても Never get enough 飽きない 飽きない もう一回 (Sing it) どんなに Spicy でもいい 欲しい欲しい欲しい欲しい愛愛愛 Sweet! 赤白 Yellow 青色は Go sign Be my- Candy Candy Pop Pop 君の Honey Honey な甘い声 ときめき全然隠せない 今すぐに Scream (今 Scream) Candy Candy Pop Pop 君が Lucky lucky days くれるから このままでいさせて 君は Candy Pop Ooo now now now You're my Candy Pop Ooo now now now You're my Candy Pop (Sweet) ねえ君のいない日々は もう考えられない だって君のこと 思えば毎日がワクワク 元気が出る 笑顔になる 『大好きだよ』 You're my- Candy Candy Pop Pop 君の Honey Honey な笑顔に ドキドキ Heartbeat 止まらない ねえどうして Sweetie (Tell me sweet) Candy Candy Pop Pop 君と キラキラ輝く日々を 過ごせたなら最高 君は Candy Pop Ooo now now now You're my Candy Pop Ooo now now now You're my Candy Pop
9,Kura Kura,"
TWICE","J.Y. Park ""The Asiansoul""・Yu-ki Kokubo",UTA,Lose control All my heart and soul 君に出逢って 名前のない感情で 24時間 頭がいっぱい 何をしていても 繰り返す失敗 “らしく”ないな 視線 重なり合うたび 鼓動も時間もストップして 気づけば二人だけの世界 呆れちゃうほど 無我夢中のPassion 君といたら 吸い込まれる 永遠(とわ)の中 クラ クラ クラ クラ まるでmagicね 予測出来ない 揺れ動くMy heart ユラ ユラ ユラ ユラ 甘いmagicね 瞳を 笑顔を その手を 言葉を ずっと君だけを求めてるから ソワ ソワ ソワ ソワ ホラ ホラ ホラ ホラ All night 君にも このmagic 届いてよ ほらきっと 同じ気持ちでしょ？ 知らんぷり ズルイよ 覚えてるはず きっと 目と目あったFeeling 勘違いじゃない 運命の瞬間があるのなら このトキメキがそうでしょ 導かれるように惹かれたら 痺れちゃうほど 胸を打つEmotion 君といたら 吸い込まれる 永遠(とわ)の中 クラ クラ クラ クラ まるでmagicね 予測出来ない 揺れ動くMy heart ユラ ユラ ユラ ユラ 甘いmagicね 瞳を 笑顔を その手を 言葉を ずっと君だけを求めてるから ソワ ソワ ソワ ソワ ホラ ホラ ホラ ホラ All night Lose control All my heart and soul 視線 重なり合うたび 鼓動も時間もストップして 気づけば二人だけの世界 呆れちゃうほど 無我夢中のPassion 吸い込まれる 永遠(とわ)の中 クラ クラ クラ クラ まるでmagicね 予測出来ない 揺れ動くMy heart ユラ ユラ ユラ ユラ 甘いmagicね 瞳を 笑顔を その手を 言葉を ずっと君だけを求めてるから ソワ ソワ ソワ ソワ ホラ ホラ ホラ ホラ All night Lose control All my heart and soul
10,Good at Love,"
TWICE",Mayu Wakisaka,DEEZ・YUNSU・SAAY,"Tell me baby “Am I good at love？” I've been thinking thinking love's so great What'd you do to me？ 考え堂々巡りで 眠れない午前2時は Is it your fault Or is it my thoughts？ いつもすれ違いとか ありがちな言葉使えば ラクになれるかな？ I'm a fool 気づけばこのパターン ハマってしまうってこと I know ドキドキは不安に Change again 結局 伝えられず “におわせ” これって私のせい？ Am I good at love？ Or am I bad at love？ この流れアウト？ (Save me now save me) 今は消せないdoubt (Good at love or bad at love？) 抜けだせないループ ベールの中のtruth I'm addicted to love So baby tell me Am I good at love？ Oh my 指がスクロール Up and down Babe what you're doing now Ah 読めないココロ 本音は信じてたい 絶対 安心したい ほんの一言でいいの Something to show me that you love me 見つけたい Ohhh Need a proof 駆け巡るアドレナリン 突然泣きそうになっても Oh no 正直になれずに Faking smiles oh no 恋の 本音よりもタテマエ これって私のせい？ Am I good at love？ Or am I bad at love？ なるようになる？ (Tell me now tell me) これはただのリバウンド？ (Good at love or bad at love？) 全てがblack or white ってわけにはいかない I'm addicted to love So baby tell me Am I good at love Tell me right now Yes or no oh oh Am I good at love Tell me right now Yes or no oh oh Am I good at love 駆け引きより、さりげに送った Sign 気づかない君 しょうがない すれ違い 大切な君に ただ向き合うってことが Hard Wake up Gotta wake up (I'm good at Love) When you say you love me ふいに不安になるのは if you mean it Yeah You know what I mean 本当は I just really wanna love ya でもワガママって言わないで (Is it alright) 思考フリーズしたなら Just breathe in 糸、絡まってほぐすように Take it easy Let it go And, say “I love you” Am I good at love？ Or am I bad at love？ この流れアウト？ (Save me now save me) 今は消せないdoubt (Good at love or bad at love？) 抜けだせないループ ベールの中のtruth I'm addicted to love So baby tell me Am I good at love？ Tell me right now Yes or no oh oh Am I good at love Tell me right now Yes or no oh oh Am I good at love"
