,Song,Artist,Lyricist,Composer,Lyric
0,決別の唄,"
Tani Yuuki",Tani Yuuki,Tani Yuuki,もう疲れたんだ 繰り返しの毎日に 利用しよう器用なやつばっかで 愛も友情も本物がわかんないや 街にはネズミとカラスが 群れなしゴミ溜め漁ってた 僕はどうしたらいい？ 終わりにしてしまおうか？ なんだか急に虚しくなった 言われるままなんていけ好かない 合わせる理由はなんて1つもない 他人の顔色なんて見たくもない 無くしちゃいけないもんだ いらないものは捨てて僕は旅立つよ 本当に必要としてくれる人のところへ 満たない心も全て受け入れなきゃいけないの？ 君が君なら、僕は僕 誰にも邪魔させない さぁ、決別の声を 狭い闇の中 僕はここから始まった 夜空の星かすむほどに明るい 光に書きなぐった想い 名残惜しさだってあるんだ とても温かったから 感謝もしてるよ、ありがとう ただ道が違っただけのこと しがないものは捨てて僕は旅立つよ 本当に必要としてくれる人のところへ 汚い心も全て受け入れなきゃいけないの？ 君が君なら僕は僕 以外の誰でもないそれでいいんだよ この胸に手を当てて あなたは何がしたいの？ 問いかけてた答えは咲く道標 いらない出来事なんて 今思えばひとつもないよ 僕が僕であるために ここで憂いも、迷いも歌い続けよう 抱いた過去を総て僕は旅立つよ 本当に必要としてくれる人のために 過ちや悔しさだって笑えるような明日が見たいの 君が君なら僕は僕 誰にも邪魔させない さぁ、決別の声を
1,おかえり,"
Tani Yuuki",Tani Yuuki,Tani Yuuki,あなたは今同じ空の下 遠く離れた場所で思い出を紡ぐ 抑えきれぬ想い抱き待ってるから あなたがここへ笑顔で帰るまで 今までの他の誰とも違う あなたは太陽、僕が月だとするなら その光無しじゃ輝けやしない 代わりに安らぎと癒しと静寂を ねぇ、なんで？あぁ、そこまで 返せるものもないのに、愛してくれる意味を いつだって僕がそばに居たくて 今までくれた愛に応えられるように あなたは今同じ空の下 遠く離れた場所で思い出を紡ぐ 抑えきれぬ想い抱き待ってるから あなたがここへ笑顔で帰るまで 今までは交わることのない 新しい世界を僕に見せてくれたあなたと いつまでも、いっそどこまでも 目を閉じるその時まで赤い糸を ねぇ、まって。まだ行かないで あなたを想うほどに苦しくなる意味を いつだって目を逸らさないで どこへ行ってもお互いを見つけられるように あなたは今同じ空の下 遠く離れた場所で思い出を紡ぐ 抑えきれぬ想い抱き待っているから あなたがここへ笑顔で帰るまで 生まれ落ちた日、半分だけ欠けた命 泣き喚いたんだ、満たされぬ何かに 記憶などなくともわかってたんだ 手繰り寄せた糸の先に答えを 私は今同じ空の下 遠く離れた場所で思い出を叫ぶ 抑えきれぬ想い歌いまってるから あなたがここへ笑顔で帰るまで また2人で笑えるその瞬間を ここで待っているから
2,非lie心,"
Tani Yuuki",Tani Yuuki,Tani Yuuki,ひらひらとおぼつかない蝶が街灯の明かりを目指す 他人事だと思い込んで冷たい横目流して切り裂いた パチパチ焼け落ちていく羽が壊れていく心のようで あまりに醜い光景がやけに心地よかった 目の前にいるのは本当に君なのか？ 過去に捧げた言葉も1つの過ちだけで裏返る でも、何度吐けど収まらない 嗚呼 どうすればいい？どうすればいい？ 高らかに声上げながらあわよくば君が消えてくれないかと 毎日神に願うの、そう僕は君が嫌いだ ふわふわと冴えない頭から針みたいな言葉で覚める あやふやなもしかしたらなんて淡い期待を投げ捨てた ウロウロと迷った屁理屈が後悔に変わりゆくなかで 腑に落ちないことばかりがひたすら気持ち悪かった 今ここにいるのは本当に僕なのか？ 永遠を誓う約束も1つの裏切りだけで覆る でも何度消せどなくならない嗚呼 どうすればいい？どうすればいい？ 途方にくれる今はまだ、ひたすらにどこで間違えたのかと 心に問いかけてみるまだ君がそこに居るようだ あぁ、そうか 最初は2人一緒に始めた物語も 最後は「終わりにしよう」の一言で 誰にでもキスとハグ あまりもんの愛してる もう 会いたい愛が痛い曖昧な バイバイ以外抱いたby my side 胸を締め付けられるのは涙が溢れ落ちてしまうのは 心にもない事ばかり並べてしまうからか？そうなのか？ 過去を隔てるのは今か、今を隔ててるのが過去なのか 本当の心語れないよ、僕は嘘つきなんだ 全てこの歌へ集めよう それで避けられる事もあるでしょう？ 僕らみな目指す場所は同じ 故に惹かれ合う別々の光 がむしゃらに辿ってく道の途中 重なる縦と横の君と僕 2人の避雷針
3,油性マジック,"
Tani Yuuki",Tani Yuuki,Tani Yuuki,掠れかけの太陽 フィルム焼けのように 少しずつたまに思い出せないの 不貞腐れた態度 変わり果てた容姿 嫌いになれないのが悔しいよ 2人の曲はないの？ て言ってた君もういないの ねぇ皮肉すぎるんじゃないの？ すごくいい曲が描けたよ 私の何もかんも 油性で彩ってかないでよ 涙じゃ消せないでしょ 塗りつぶすしかないの さよならhave a nice day 朝を迎えようときっと 明日は来ないのでしょう？ 繰り返し聞き返して、返して あぁ、擦り切れる日まで巻き戻して 預けた手の体温 夕焼けのように 徐々に確実に沈み続けるの 「隠し事はしないで」 と言ったのは君の方なのに 清々しいほど虚しいよ あなたがきっと最後 甘えてた君はもういないの ねぇ、ここで出番じゃないの？ 涙が溢れてこないよ 顔も匂いも声も 勝手に残していかないでよ ほんと笑っちゃうでしょ 何も手につかないの さよならhave a nice day 何を伝えようときっと届かないのでしょう？ わかって相対して、愛して あぁ、手遅れになる前に目を覚まして 問題も後悔もなかったと言えば嘘になるよ でもずっとその先を見据えたくて 生涯を障害も一緒に乗り越えて生きようとしたの君と 掠れかけの太陽 隠す月のように 知らないふりすれば 今も笑えてたの？ どこまで行けどきっと 変わることはない志 いらない痛みならいっそ さよならhave a nice day 後にも先にもきっと 気づかないのでしょう 笑って誤魔化して、科して あぁ、最後の愛情でそっと手を離して
4,曖昧ミーマイン,"
Tani Yuuki",Tani Yuuki,Tani Yuuki,あの子みたいに笑えたらさ あなたも笑ってくれるのかな あの子みたいに過ごせたらさ 私も幸せになれるかな あの子みたいに話せたらさ 誰かの心に届くのかな やっぱ自分でいたいからさ 時々わからなくなんだよな 顔色見ては自分を誤魔化した 怖かったんだいつも 口に出さなくちゃ思ってないようなもんさ 世界は言うんだ、きっと 多様性も可能性も抑え込んだまた幾星霜 表面上をローテーション飲み込む針をほら幾千本 表現法の証明書探し回ればまた視線を 気にしてしまうの 分からないです、分からないです 私でいいはずなのに何故 疑うのです、斑があるのです 内側まで傷重ねて 分からないです、分からないです それぞれの良さがあるのに何故 そんなもんさ、それでいいんだ どこまでも私は私のままで あの子みたいに泣けるならさ あなたは側にいてくれるのかな あの子みたいに変われたらさ 景色は違って見えるのかな あの子みたいに庇えたらさ 誰かの光になれたのかな やっぱ他人でしかないからさ 時々わからなくなんだよな 夜行性の桃源郷はないことなどもう知ってるよ 多方面の妥協点をのらりくらりほら幾面相 共生と強制の狭間で歩いてく人生もう 疲れちゃうよ 自分でいたいからさ 自分てなんだっけな 他人でしかないからさ 本当に他人でしかないのかな 私になれるのは 私でいられるのは 私を私たらしめるのは 私だけだからさ 離さないで、離さないで あなたはあなたのままでいて 伝えるのです、届けるのです その声が枯れるまで 離さないで、離さないで 貴方はあなたのままだって 歩けるのです、歌えるのです どこまでもあなたを愛してあげて
5,愛言葉,"
Tani Yuuki",Tani Yuuki,Tani Yuuki,ほら 僕を見て大切なあなたへ 花束の代わりにこの歌を 2人が出会えた一年前の今日 高嶺の花みたいな君がいた 君と手を繋いだあの日から僕は 奇跡を信じるようになっていた あの日の僕らには描けていたんだろうか どんなにすれ違っても共に笑う姿が ここにある幸せ失くすことなく 2人ならきっと 乗り越えていける 等身大の愛で 背伸びしないで なんだかんだ2人想い合って 我慢しないで 無理はしないで 分かり合えたなら素敵でしょう？ つまりはなんて言いたいかって 伝えるには少しぎこちなくて もどかしくて、難しくて、恥ずかしくて でも素晴らしい 空が暗くなければ星が見えぬように 気づかなかった事がほらすぐそこに 咲いた花もいつか必ず枯れて散っていくように 終わりに向かっていくこの幸せの道のり 今生きているこの地球も人には唯一無二でしょ？ あなたのいない世界なんて呼吸もできないの この世のどこにもたった1人絶滅危惧の あなたという存在を隣で見守りたいの あと何回を笑って、この手繋いで 歩けるのかなんてわかんないけど 2人並んで、足を揃えて、素直になれたら素敵でしょう？ 変わらぬままでいつも未来へ これからまだまだ側にいたいんで 時には泣いて、時に支えて、これからもどうかよろしくね ふと、振り返れば続いてる足跡 遥か遠くから聞こえるメロディー もし どちらか1人命果てるときは 笑顔で見送る約束しよう たった1回の人生、2人にとって、代わりは効かない大事なもんで 後悔なんてしたくはないんで、たくさんの想い出作っていこう 伝えたい事、抱えているもの、 言葉にしなきゃ伝わらない面倒くさい生きものだからこそ 味わい深いでしょ ただ、1つだけ忘れないでほしいんだ またどこかで君に出会えたとき 迷わずその手を掴めるように 花束の代わりにこの歌を これを2人の「愛言葉」にしよう
6,記憶,"
Tani Yuuki",Tani Yuuki,Tani Yuuki,あれから君はどうだい？ 今も変わらない日常過ごしてるかい？ 嘘も気も使わなくていいから 選んだ道を教えてよ 想い出は今でも生きているだろうか カラカラに乾いてしまった 記憶の中涙ひとつ零す 砕けてしまわないように けれど時は移ろうもの 壊れて行く端の端、一番遠い場所から 最近はどう？ 愛しい人 幸せと呼ぶには程遠かった気がした 好きだった人、捨てきれぬ人、素晴らしい人 全て捧げた人、世界にたった一人 それが君の幸せだと言うなら たまたま覗いたインスタのストーリー 近くにいたのは見知らぬ笑顔とその先の物語 つっかえたように指が止まった 手から伝わる温もり溶けてくように 何かがスーッと絡まったの 泣かないでよ 愛しい人 声色やその仕草も、心から愛してたの 抜き取っても、塗りたくっても、拭えない過去 濡らしたままの顔 願いはたったひとつ 残りの全てに笑顔咲くように ハッピーエンドじゃなかったとして 干からびた抜け殻になったって 不確かなものに惹かれたいの 下手くそな夢を描いていたいよ 他に誰か現れたとして 間違い探しと初めまして 見つかるはずもないでしょ 難しいことはもうないでしょ 目指した先にはいないんだよ もう何も言わなくていいからさ やっとわかった気がした 揺れる瞳の奥より返す波のように ラストに向かう言の葉の羅列 理想掲げながら振り返りもせず 涙腺には蓋を 劣化していく記憶も ロウソクの火のように ふっ…と
7,We are free,"
Tani Yuuki",Tani Yuuki,Tani Yuuki,隠された夢、未来 知ることすらない出会い 要らないものなど一つもない 閉じ込めた胸が痛い 動けないことが辛い まだ諦めたつもりはない どこへ行こう？ 諸行無常、その向こう 何回でも取り返しに行こう やっぱ笑って泣いて生きていたいんだ oh～want to be free 黙っていないで声聞かせてよ We are free 夢があることが偉い？ 諦めることこそ偉大？ 誰かが決めた常識が痛い 真面目に向き合いなさい どうせ叶うはずもない 押し付けはいらない バカにした有象無象はその程度 何回でもぶち壊してやろう やっぱ笑って泣いて生きていたいんだ oh～want to be free 黙っていないで声聞かせてよ We are free 割りに合わないな 怖くて仕方ないんだ なんてぼやいたって 変わんないなら やればよかったって 言い訳じみた 後悔なんかしたくないよな 笑って、泣いて生きていたいんだ oh～want to be free 黙っていないで声聞かせてよ We are free
8,Unreachable love song,"
Tani Yuuki",Tani Yuuki,Tani Yuuki,嫌でも探してしまうよ 至る所に君のことを こんな気持ちになるならいっそ 知らなきゃよかったよ 横断歩道待ちの信号 電車を待つ人のシルエット きっとそんなとこにはいないの Unreachable love song なぜか瞳が離せないんだ 喉元まで出た言葉 僕ら以外の全てが 止まってしまったみたいだ 走る稲妻のような 心臓を掴まれるような 動けないほど張り詰めた 唐突な始まりだった stop 今じゃないし、 意気地ないし、空回り be called 出やしないし、ごめんなに？の繰り返し so-so な日々 ないし悪いくらいでもう終わり？ so long またしまい込んでいる 嫌でも辿ってしまうよ 至る所で君の想い出を こんな惨めになるならいっそ 忘れたいくらいだよ 見送る度に歩いてた陸橋 着崩したパーカーにスウェット きっと気に留めてすらいないの Unreachable love song なぜか瞳が見られないんだ 吐き出す心無い言葉 僕らだけこの世界から 弾かれてしまったみたいだ 流れる滝壺のような 心臓を掴まれるような 動けないほど張り詰めた 冷たすぎる終わりだった don't stop 動き回り、立ち回り、空回り get a call 聞くばかりじゃ意味ないし、 暇じゃないし 然う然う 返事無いし、話せないし、続かないし go home また独り歩いている 嫌でも溢してしまうよ ため息混じる独り言を ふと気を抜くとすぐに世界ごと ぼやけてしまうんだよ バイト、部活、ノルマに、課題も 慣れた動きがままならないよ ベットに潜りながら歌うの Unreachable love song 君の居ない世界でさ、息はできるのかな 自分がどうしたいか、が一番わからないんだ 時間が経ってしまえばもう笑い話だから でも今の形は無しかな 割り切れず止まったまんま、動けないんだ 今でも描いてしまうよ 夢に消えた未来のことを どれほど時流れてもきっと 忘れられないんだろう 横断歩道待ちの信号 電車を待つ人のシルエット 今日も君を重ねて歌うの Unreachable love song
9,Over The Time,"
Tani Yuuki",Tani Yuuki,田中隼人,正しさじゃ量れないよな 何を背負い、悔いていくのか 理想束ねたところで かさばる羽根じゃ重くて どこでなくした？導の賽を 星を数えてさ、塞ぎ込んでた 変われるかな？ 今まであたり前と思ってた世界 何一つも永遠はない Over The Time 忘れてしまうものだから One More Time 最後まで、あがいてみるよ 間違いだと言い切れはしない 誰を思い、守るかの違い 鼓動重ねた心で 差し伸べた手は細くて 夜空に消えた誰かの体温 忘れられぬまま、朝を待ってた もう居ないんだな 今まで当たり前と思ってた出会い 何一つも、同じものはない Over The Time 薄れてしまうものだから One More Time 最後まで、刻んでゆくよ 響くサイレンと 迫る大敵の群れさえも 遠ざけるほどの力を どれだけ繰り返しても美しい世界 待ち焦がれた夜明け越しのSmile Over The Time 忘れちゃいけないんだよな One More Time 最後まで、愛してみるよ
