,Song,Artist,Lyricist,Composer,Lyric
0,I don't suit you(Produced by AmPm),"
Uru",Uru,Uru,"例えば涙がこぼれたとしても 優しく拭ってくれるその手はもうなくて 遠くなっていく背中 ただじっと見つめてるだけ もう見えなくなるわ I just can't put you behind me. あなたの今に私は似合わない このまま このまま 会えないのなら 願いも愛しさも連れて行ってよ My heart started to hurt. わかっていたことなのに 何度も何度も I call your name,baby... このまま このまま 会えないのなら 痛みも悲しみも連れて行ってよ 明日も明後日も あなたを想う気持ちだけを 空っぽの私の中にそっと残していくのね 季節を重ねる度に見えてきた あなたが見つめるその先にあったもの 私、何も知らなかった 傷つけてきた言葉を ただ悔やむ毎日で What we are looking for isn't the same. 求めるものはきっと交わらない このまま このまま 会えないのなら 願いも愛しさも連れて行ってよ My heart started to hurt. わかっていたことなのに 戻れなくなってしまったの もしもあなたともう一度 結ばれたとしても きっと二人の未来(いま)は変わらなくて それならいっそ 私の中で輝き続けるあなたの記憶を消してください I just can't put you behind me. あなたの今に私は似合わない このまま このまま 会えないのなら 願いも愛しさも連れて行ってよ My heart started to hurt. わかっていたことなのに 何度も何度も I call your name,baby... あなたを 愛してた"
1,あなたがいることで,"
Uru",Uru,Uru,どんな言葉で 今あなたに伝えられるだろう 不器用な僕だけど ちゃんとあなたに届くように 明日が見えなくなって 信じることが怖くなって 過去を悔やんでは責めたりもしたけれど 僕を愛し続けてくれた人 もしも明日世界が終わっても 会えない日々が続いたとしても 僕はずっとあなたを想うよ あの日僕にくれたあなたの笑顔が 生きる力と勇気をくれたんだ 星が見えない 孤独な夜でも あなたがいる ただそれだけで 強くなれる 目が合えば笑って 一緒にいれば楽しくて 共に過ごした毎日は かけがえのないものだった 向かい風が冷たくて 忘れてしまいそうになるけど 通り過ぎてきた何気ない日々の中に 僕らの幸せは確かにあった もしも明けない夜の中で 一人静かに泣いているのなら あなたが僕を信じてくれたように 次は僕がその手を強く握るから 傷つくことから逃げていた この心動かすのは 弱さを見せないあなたが 初めて見せた涙 いつか僕に話してくれた あなたが描いた未来の中に 僕ら一緒にいられるように あなたがいることでどんな明日も 歩いていける光になるから 星が見えない孤独な夜でも 信じられる 僕らまたここで 笑える日を
2,あなたがここにいて抱きしめることができるなら,"
Uru",miwa,miwa,そっと繋いだ手から愛を感じた その涙は奇跡を映した美しい色だった 初めて見る景色 初めて描いた未来 どんな明日(あした)が来ても あなたがここにいて 抱きしめることができるなら 私もう他になんにもいらない どんな時もそばにいたいよ なによりも愛しいから あなたはあなたのままでそのままで 大丈夫 私がいるよ 数えきれない季節を越えてあなたと歩んでいきたい きっと誰にも言えない辛いときは 思い出すよ あのときつないだあなたの手のぬくもり 強くなりたかった 逃げ出したくなかった もうひとりじゃないから あなたが笑って 私の隣にいてくれたら ありふれた毎日で かまわない 自分以上に大事な人 心からそう思えるの あなたの弱いところを知るたびに 大丈夫 強く抱きしめるよ 数えきれない季節を越えてあなたと歩んでいきたい 愛が想いをつないで 運命で結ばれて 奇跡が起きて 喜びが生まれるの いつもあなたを愛してる あなたがここにいて 抱きしめることができるなら 私もう他になんにもいらない どんな時もそばにいたいよ なによりも愛しいから あなたはあなたのままでそのままで 大丈夫 私がいるよ 数えきれない季節を越えてあなたと歩んでいきたい
3,アリアケノツキ,"
Uru",Uru,Hidenori,今どこにいますか？ この声が聞こえますか？ 二人共に過ごした 日々は幸せでしたか？ もしも、いなくなるとわかっていても きっと 私は あなたを選ぶでしょう いつも座っていた場所 服も靴も ここにあるのに 今どこにいますか？ この声が聞こえますか？ 二人共に過ごした 日々は幸せでしたか？ 今年も咲いていた あなたの好きな 赤い花も今日は 泣いていました 覚めない夢の中で 何度も何度も祈っていたのに もう二度と会えなくて ぬくもりも消えそうで 泣いている私を どこかで見ていますか？ 愛してる 愛してる もっと言えば良かった 悔しくて 苦しいのは あなたも 同じだから… 今どこにいますか？ この声が聞こえますか？ 二人共に過ごした 日々は幸せでしたか？ 今どこにいますか？ この声が聞こえますか？ あなたと共に過ごした 日々は幸せでした
4,いい男,"
Uru",Uru,Uru,今日がいい天気で 本当良かったな 雨に降られてたら きっと僕は海の底 昨日の今日じゃ そりゃ仕方ないよな 君の顔がまだ 目の前にあるんだ このまま日が暮れないで明るいまま 明日がくればいいのに 君を忘れてしまうその日まで 夜なんて来なきゃいいのに 本当参っちゃうよな あんな風に泣かれるんじゃ 抱きしめたくても そうか、もう出番じゃないよな このまま日が暮れないで明るいまま 明日がくればいいのに 油断したらこぼれてしまうから 夜なんて来なきゃいいのに このまま日が暮れないで明るいまま 明日がくればいいのに 最後くらいかっこ良く終わりたいんだよ かっこ良く終わらせてよ このまま日が暮れないで明るいまま 明日がくればいいのに 君はすごく素敵な人だから 絶対幸せになれよ 幸せになれよ
5,いい女,"
Uru",Uru,Uru,ねぇ、大丈夫だよ 言わなくてもわかってる 長い間隣にいたんだから ねぇ、そんな顔しないでよ 私の方が悲しいよ でも笑ってるのもなんか変だね でもさ、いつからかな いつから離れていったのかな あの日コップを二つ買ってきた時は 「可愛いね」って喜んでいたけど あれは嘘じゃないよね ごめんね、責めるつもりじゃないんだけどさ 朝と虫は苦手だったけど 笑顔が可愛くて 時々ちゃんと男らしくて 夢中になると話を聞いてなくて もういいよって怒ったりしたけどそこも 好きだった ねぇ、これはどうしようか あなたが持っていてよ いらなくなったら捨てていいから でもさ、二人で会うのは 今日が最後になるのかな そんな風に思うとちょっとなんだか ううん、 全然寂しくないな 次がうまくいったなら 私のおかげだって思ってよね 機嫌が悪いと面倒だったけど 寝顔は愛しくて 子どもみたいにはしゃぐくせに 私が泣くと強く抱きしめてくれた 思い出すのは もうやめよう 料理も化粧ももっと上手になって 綺麗になって あの時別れなければ良かったって 戻ってきたいって言ったって その時私にはもうとっくに新しい人がいて あなたのことなんて忘れているんだから 忘れているんだから ここで今私 思い切り笑うから この顔を綺麗にしまっておいてね さよなら
6,今 逢いに行く,"
Uru",Uru,Uru,君が今 置いて行った言葉に およぎながら追いつく 君はまた「間違ってない」と 言われる前にわかっていたのに 濡れていた左の頬に 触れようと伸ばした手を掃った どうしてあの時 伝えられなかったのだろう 今やっと気づいたよ 愛しくて溢れ出す 君を想う涙が この胸に広がって 必要だとわかった 君がもしまだ僕を求めてくれるのなら もう迷わない 今逢いに行くよ 君が今 望んでいた言葉を 憂いながらつぶやく 君がいない 乾いた空気が 余計に僕を一人にしていく 揺れていた小さな肩に 触れようと伸ばした手を掃った どうしてあの時 伝えられなかったのだろう 今やっと気づいたよ 愛しくて溢れ出す 君を想う涙が この胸に広がって 必要だとわかった 君がもしまだ僕を求めてくれるのなら もう離さない 今逢いに行くよ
7,頑な,"
Uru",Uru,Uru,知らぬ間に増えた傷痕を 指でなぞり前を向いた 何よりも譲れないものを 灯し続けた歩みの証 悔しかった 弱さを殴った拳に 赤い決意を滲ませながら 握り直した 「行ける」 描いた夢に届くまで 二度と涙は見せないと 誓ったあの日の揺るがない想い 今こそ 放て 同じ気持ちを持ち続ける 難しさに肩を落とし 刃を向けては跳ね返る 自己嫌悪の波にのまれた そんな日々を支えてくれた人がいた 時に見守り 時に導き 共に励んだ日々 「必ず」 形にして返すまで 二度と弱音は吐かないと 誓ったあの日の揺るがない想い 今こそ 放て 何度となく転んでは 膝を擦り剥き歯を食いしばり 笑われても 指さされても 掴み取るべき栄冠があるから 味わった悔しさは 今も胸に生き続ける 歩む力に変えていけ 描いた夢に届く日までは 二度と涙は見せないと 誓ったあの日の「頑な」を 今こそ 放て 負けるな
8,奇蹟,"
Uru",Uru,B.EYES・ENNE,青く小さな心 隠した手のひらの隙間に 光が射すようにそっと 優しく伝わる温もり 迷い立ち止まっては 弱さに溺れていた 私が今 強くなれるのは あなたに出会えたから 溢れ出す 愛おしさで 包みたい そっとその全てを この世界でたった一つだけの 輝ける 奇蹟がある 柔らかく触れる髪と 時を止める魔法の微笑み 言葉にできない愛が 頬を伝って零れてた 何も特別な事など無くてもいい ただあなたと 歩むこの先に 笑顔満ちるように あなたを愛し 幾つもの日を ずっと傍で 生きる喜びを その全てを気付かせてくれた かけがえない 大切なもの どんな時でも 変わる事ない 愛する強さを 今感じてる 心から 愛してる 溢れ出す 愛おしさも ずっと傍で 生きる喜びも この世界でたった一つだけの 輝ける 奇蹟になる 輝ける 奇蹟になる
9,ごめんね。,"
Uru",Uru,西尾知矢,目が覚めたら念入りにmake up 髪を巻いて all set 「遠くへ行こう」 約束した今日の日を 覚えてるかな 気持ちが良いほど 期待を裏切る 今日もいつものコース 「ごめんね。」って 「ごめんね。」って 一言で終わるのに ねぇ何で あなたはそんなに強気で いつだって いつだって 折れるのは私で じゃぁ何で それでも嫌いになれないの わかってきた 仕事で何かあった時の顔 気になるけど 話をしたくなるまで そっとしておこう 些細なことで声を荒らげて 八つ当たりしてくる 「ごめんね。」って 「ごめんね。」って 気付いているんでしょう？ もう今日は特別言わなくていいよ いつだって いつだって あなたの味方だよ なんて ちょっといい人気取り過ぎたかな 偶然通りかかったと ケーキをぶら下げて帰る かっこつけて 強がって どうしても言えない あなたなりの 「××××。」 「ごめんね。」って「ごめんね。」って なかなか言えない欠点も 今のとこ許せてます いつだって いつだって あなたには私で ねぇ今度 約束の場所に出かけようか
10,Sunny day hometown,"
Uru",Uru,内藤英雅,"イヤホンから流れてくるメロディー 映し出したフィルムに I miss those days, oh-ho 気まぐれなリズム 幼かった足跡に重ねて turn back time 慣れない靴 足を預け 音を立てて たどって行く 頭の上の水色が心を逸らせる 走り出した 風を切って 待っているのは変わらないもの I love my hometown, oh Step! Step! going on! 話したいことがたくさんあるんだ 背を伸ばした川辺の木が 葉を揺らして迎えてくれる It's such a sunny day, oh Jump! Jump! to the sky! 小さな石ころと憂鬱を蹴飛ばした na-na-na-na... It can heal my mind 忙しなく過ぎて行く日々を離れ 色濃くなっていく景色 takes me back, oh-ho 背負っていた荷物 軽くなってく 風が誘って飛べそうなくらい 歩き方とか 見分け方とか それなりに掴んできたけど 息苦しくなる時だってある そんな時は 走り出した 風を切って 待っていたのは 変わらない顔 I love my hometown, oh Step! Step! comin' home! 伝えたい事がたくさんあるんだ 背を伸ばして両手を振って 最高の笑顔が迎えてくれた It's such a sunny day, oh Jump! Jump! to a smile! 澄み切った空気とエールを詰めて帰ろう na-na-na-na... It can heal my mind na-na-na-na... It can heal my mind"
