,Song,Artist,Lyricist,Composer,Lyric
0,もしも命が描けたら,"
YOASOBI",Ayase,Ayase,月が綺麗な夜に 森の中でただひとり この世界から旅立つ前に これまでの日々を浮かべる 裕福じゃない暮らしそれでも いつだってそばには母の優しさ 僕の描く絵を大好きだと言ってくれた人 二人生きるために夢も捨て働いて それでも訪れる別れ そんな時に君に出会い 恋に落ちた 愛を知った 幸せだと 思えたのに どうして 大切なものばかりが 消えていく この世界と さよならしよう 会いに行くよ今すぐそこへ 君がいるところまで 愛してるごめんね その時君の声が聞こえた そうやって自分で全てを 終わりにしてしまえばもう 誰にも会えないんだよずっと 満月の夜に Lala… 終わらせることができず 地面に落ちた僕に突然 月が話しかけてきた そして不思議な力をくれた 描いたものに命を分け与える力 枯れかけた草木も息を吹き返す 僕の残りの時間と引き換えに 描いていくこの命を元に 少しずつ分け与えていく 生きる意味ができたんだ そんな時あなたと出会った 同じように悲しみの中で生きている人 自ら旅立とうとした僕を怒ってくれた人 いつの間にか惹かれていった だけどあなたには愛する人がいる あなたを裏切ったひどい人 それでもあなたが愛してしまう人 そんな彼の命が今消えかけている 泣きながら彼の名前を叫ぶ あなたを見て決めた 一日だけ残して 僕の命全て捧げて描いた そして彼は目を覚ました 嗚呼僕が起こした奇跡に 涙流し喜ぶあなたに どうしても伝えたい 僕の想いを最期に聞いて こうやって生きる喜びを 与えてくれたあなたが 本当に大好きでした さよなら Lala… そしてひとり あなたのこと母のこと 君のこと想い目を瞑った 長い長い旅の終わり やっとまた会えたね
1,あの夢をなぞって,"
YOASOBI",Ayase,Ayase,夜の空を飾る綺麗な花 街の声をぎゅっと光が包み込む 音の無い二人だけの世界で聞こえた言葉は 「好きだよ」 夢の中で見えた未来のこと 夏の夜、君と、並ぶ影が二つ 最後の花火が空に昇って消えたら それを合図に いつも通りの朝に いつも通りの君の姿 思わず目を逸らしてしまったのは どうやったって忘れられない君の言葉 今もずっと響いてるから 夜を抜けて夢の先へ 辿り着きたい未来へ 本当に？あの夢に、本当に？って今も 不安になってしまうけどきっと 今を抜けて明日の先へ 二人だけの場所へ もうちょっと どうか変わらないで もうちょっと 君からの言葉 あの未来で待っているよ 誰も知らない 二人だけの夜 待ち焦がれていた景色と重なる 夏の空に未来と今繋がる様に開く花火 君とここでほらあの夢をなぞる 見上げた空を飾る光が今照らした横顔 そうずっとこの景色のために そうきっとほら二つの未来が 今重なり合う 夜の中で君と二人 辿り着いた未来で 大丈夫想いはきっと大丈夫伝わる あの日見た夢の先へ 今を抜けて明日の先で また出会えた君へ もうちょっと どうか終わらないで もうちょっと ほら最後の花火が今 二人を包む 音の無い世界に響いた 「好きだよ」
2,アンコール,"
YOASOBI",Ayase,Ayase,明日世界は終わるんだって 君にはもう会えないんだって またいつかって手を振ったって 叶わないんだよ 仕方ないね 明日世界は終わるんだって それならもう その時まで何度でもずっと 好きな音を鳴らそう 薄暗闇に包まれた 見覚えのない場所、目を覚ます ここは夜のない世界 今日で終わる世界 そんな日にあなたに出会った 好きにしていいと それだけ残して 何処かへゆく あなたの音が遠ざかってく そしてまたひとり 淀んだ空気の中で ありふれたあの日々をただ思い返す 終わりが来ることを待つ世界で 辛い過去も嫌な記憶も 忘れられないメロディーも 今日でさよなら ひとり車を走らせる 営みの消えた街の中を 明日にはもう終わる今日に 何を願う 何を祈る 何処かから不意に 微かに聞こえてきたのは ピアノの音 遠い日の音 誘われるままに 呼吸を合わせるように 重ねた音 心地良くて 懐かしくて 幾つも溢れてくる いつしか蓋をして閉じ込めていた記憶 奏でる音が連れてきた思い出 気が付けば止まったピアノ いつの間にか流れた涙 続きを鳴らそう ありふれたあの日々をただ思い返す 終わりが来ることを待つ世界で 辛い過去も嫌な記憶も 忘れられないメロディーも さよならなんだ 今ここで好きなようにただ音を鳴らす 最後の日に二人きりの街で ありふれたあの日々をただ想い奏でる音が 重なり響く 明日世界は終わるんだって 明日世界は終わるんだって もしも世界が終わらなくって 明日がやってきたなら ねえ、その時は二人一緒に なんて
3,Encore,"
YOASOBI",Ayase・訳詞：Konnie Aoki,Ayase,"I see that our world is over in one day Keep feeling, no more will you be seen past it “I'll see you again” would be untrue that day Cannot be a wish to hold, we've got to hide it I see that our world is over in one day So let us come on Go on and keep playing sounds until it's over Making every tone louder so Surrounded by some shadows and a bit of light I open up my eyes, what's shown, unfamiliar room We live in a world without a dark night And today, the world is ending life On such a day, you were brought into my sight “Do whatever you wanna do” Short answer to me is all you left Then wandered off in to somewhere The sound of you was fading afar And soon, I'm once again alone with me Sitting in the cool feel of stagnant air All is soon let up, all known to be owned Tied up, recalling what ensued Oh, what we got could lose all to woe, obtuse and waiting The life in a cold world, all the retentions And every heartache-woven melody will end today So, wave goodbye Alone inside his car, he drives along the route No sign of life, as he enters a city by himself He sees that tomorrow, an ending we shall reach What will a prayer do？ When will a wish come true？ Don't know what brought in the feeling What's got in keeps going, taking form of sound Piano notes of tones, a memory filled up in tones Following all that I'm feeling And tuning in our set of our breathing Stacked and let out our tones So warm and euphoric And nostalgic to me And through it all, they keep on flowing through Once in the past, had all we could take Refraining to take out key old clues Can a day lure？ A tone got to let us feel old memories Key got soon let up, a silent piano I soon know what leak out, longer let-out of tears Now let's keep it louder so All is soon let up, all known to be owned Tied up, recalling what ensued Oh, what we got could lose all to woe, obtuse and waiting The life in a cold world, all the retentions And every heartache-woven melody will Sigh away from you and I We now got caught in, so keen and owning Tied up in tone's all that assumes Final day here is you and me, we see nobody else When all is soon let up, all known to be owned Caught up in all we can remember Our tone got crossed, and rise in a tune I see that our world is over in one day I see that our world is over in one day If we know the world is still around, I would stay And see an arrival of tomorrow Maybe you and me can depart and wish on it And then…"
4,RGB,"
YOASOBI",Ayase・訳詞：Konnie Aoki,Ayase,"Don't know where we disconnected each of our stories Now we go, once again, past where we have split off Even if, many times, we have been separated, you can see We're connected, still So, goodbye, farewell then We said the words, departed How many morning suns have we seen ever since that day In our respective new future destinations Extension of that day Today is when we meet With every moment that leads up to our meeting time I keep feeling my heart beating louder as the seconds pass As I look up at the sky that has cleared from the rain It was just like what we saw that day Upon us was a seven-colored bridge Here and now, we were able to meet once again We have kept our connection alive all along The things we talk about We wanna speak about Are never ending, overflowing out, and so Hold up, this won't be loosening, for we know We were rushed by the seasons, forever moving And beyond where the roads could be leading us to No matter where we stand As often as we want We gotta tie our strings together like before We'll meet again soon What was this？ And now, we cannot end the reminiscence And those recollections, retentions We trace and we laugh Filling in sceneries we were living apart The conversation offer a shortcut And we don't even need to worry about tomorrow As if in a machine, and we're back to our past In any case Some changes that each of us have witnessed In total honesty, there's been too much of them But we know, till this day It's all of our surprise That everything is still the same When we look up at the sky, notice it's turning white We're exhausted and we see upon one side of our cheeks A gentle touch and a stroke from the warmth of the sun It was just like what we saw that day We return to our individual days Hey, every step that each of us have walked up to now Has been on separate pathways, we know But the same morning sun is above and shining bright on us We've got to, once again, overlap now Don't know where we lost connection within our stories Once again, we return to what lies there beyond The things we talk about We wanna speak about The pages will soon be filling up, you'll see So, now, let's keep on adding to the story Even the setting red sun we looked up at once And the blue days of youth we have spent together Our memories won't forget Never to fade away And like the way the greens will always sprout We can meet again some time Our stories always start With a white morning sunshine every time, and so “See ya tomorrow”"
5,Into The Night,"
YOASOBI",Ayase・訳詞：Konnie Aoki,Ayase,"Seize a move, you're on me, falling, and we were dissolving You and me, skies above and wide, it brings on the true night on me All I could feel was a “goodbye” Those only words you wrote, it's plenty to understand ya The sun is going down, the sky behind and visions of you would stand Overlapping with you and the fence beyond Remember the night that we met up Broke into me and taken everything left in my heart So fragile is that air, it always keeps on revolving near and wide Loneliness envelops deep in your eyes It's stuck in “tick-and-tocking” mode Never refraining shamble, block of sound Too many terrible noises around And the voice ringing in me gets louder With tears about to fall I need to find me an average happy tiptoe Locating, never tough when I'm with you Saw what got seen hid beneath, and louder nights keep beating I'm going to you, and giving brighter shiny tomorrows What can “night” for you mean, infinite？ You could run with me Place your hand in mine, you gotta stay, hold up Want to leave it behind, dark cruel days, in deep, you may have hid before I'm embracing you until more heat dissolve what is caught up Sun will soon rise up into a day you're no more too afraid Keep all of me in you Only perceiving through your eyes I see nothing, I'll soon hate you, keep me out, I'm crying out You're falling into deeper fascination, giving away your love That expression has got me crying out She's gonna try to me, she's gonna lie Got to force a belief and trust to keep on Every time it happens, heap of attack, and now I'm back in I got to cry, then who knows？ So we gotta keep on If you gotta keep on Then we're gonna keep on One day, we will understand, I'm believing in you “No, wanna stop it, you got me tired of walking” As I show my needs, I reach to get back on, still not fit in You free my hand, then leave it “No, wanna stop it, you got me tired of walking” Never told you the truth, I'm feeling that inside Back for another “tick-and-tocking” mode Never refraining shamble, block of sound Killing, oh, too many words that I gathered around Won't let me go to your mind “I want it to be done” is what went out It found a way to finally leak out of me And for once, I could make you let out a smile Saw what got seen hid beneath, and louder nights are keeping me down My new images of you, now, appear heavenly now What can “night” for you mean when fallen seas of tears are gone They dissolve into the peace inside of you Calling to life, hit beneath, crying days in the eternal Give me what I saw in you, oh, what an end to stop all Seize a move, you're on me, falling and we were dissolving See me to it, fog is leaving, bright air move Want to leave it behind, tucked all days away, forget, and hid beneath Hand in hand, extend to me, that let me know beyond falls Through the seas of beyond, so loud and blows you afloat in the sky New wind moving into you Tonight, don't ever lose sight of me and let go You and me are running through the night in dark, I'll take you"
6,怪物,"
YOASOBI",Ayase,Ayase,素晴らしき世界に今日も乾杯 街に飛び交う笑い声も 見て見ぬフリしてるだけの作りもんさ 気が触れそうだ クラクラするほどの良い匂いが ツンと刺した鼻の奥 目を覚ます本能のまま 今日は誰の番だ？ この世界で何が出来るのか 僕には何が出来るのか ただその真っ黒な目から 涙溢れ落ちないように 願う未来に何度でもずっと 喰らいつく この間違いだらけの世界の中 君には笑ってほしいから もう誰も傷付けない 強く強くなりたいんだよ 僕が僕でいられるように 素晴らしき世界は今日も安泰 街に渦巻く悪い話も 知らない知らないフリして目を逸らした 正気の沙汰じゃないな 真面目に着飾った行進 鳴らす足音が弾む行き先は 消えない消えない味が染み付いている 裏側の世界 清く正しく生きること 誰も悲しませずに生きること はみ出さず真っ直ぐに生きること それが間違わないで生きること？ ありのまま生きることが正義か 騙し騙し生きるのは正義か 僕の在るべき姿とはなんだ 本当の僕は何者なんだ 教えてくれよ 教えてくれよ 今日も 答えのない世界の中で 願ってるんだよ 不器用だけれど いつまでも君とただ 笑っていたいから 跳ねる心臓が 体揺らし叫ぶんだよ 今こそ動き出せ 弱い自分を何度でもずっと 喰らい尽くす この間違いだらけの世界の中 君には笑ってほしいから もう誰も泣かないよう 強く強くなりたいんだよ 僕が僕でいられるように ただ君を守るそのために 走る走る走るんだよ 僕の中の僕を超える
7,群青,"
YOASOBI",Ayase,Ayase,嗚呼、いつもの様に 過ぎる日々にあくびが出る さんざめく夜、越え、今日も 渋谷の街に朝が降る どこか虚しいような そんな気持ち つまらないな でもそれでいい そんなもんさ これでいい 知らず知らず隠してた 本当の声を響かせてよ、ほら 見ないフリしていても 確かにそこにある 感じたままに描く 自分で選んだその色で 眠い空気纏う朝に 訪れた青い世界 好きなものを好きだと言う 怖くて仕方ないけど 本当の自分 出会えた気がしたんだ 嗚呼、手を伸ばせば伸ばすほどに 遠くへゆく 思うようにいかない、今日も また慌ただしくもがいてる 悔しい気持ちも ただ情けなくて 涙が出る 踏み込むほど 苦しくなる 痛くもなる 感じたままに進む 自分で選んだこの道を 重いまぶた擦る夜に しがみついた青い誓い 好きなことを続けること それは「楽しい」だけじゃない 本当にできる？ 不安になるけど 何枚でも ほら何枚でも 自信がないから描いてきたんだよ 何回でも ほら何回でも 積み上げてきたことが武器になる 周りを見たって 誰と比べたって 僕にしかできないことはなんだ 今でも自信なんかない それでも 感じたことない気持ち 知らずにいた想い あの日踏み出して 初めて感じたこの痛みも全部 好きなものと向き合うことで 触れたまだ小さな光 大丈夫、行こう、あとは楽しむだけだ 全てを賭けて描く 自分にしか出せない色で 朝も夜も走り続け 見つけ出した青い光 好きなものと向き合うこと 今だって怖いことだけど もう今はあの日の透明な僕じゃない ありのままの かけがえの無い僕だ 知らず知らず隠してた 本当の声を響かせてよ、ほら 見ないフリしていても 確かにそこに今もそこにあるよ 知らず知らず隠してた 本当の声を響かせてよ、さあ 見ないフリしていても 確かにそこに君の中に
8,Comet,"
YOASOBI",Ayase・訳詞：Konnie Aoki,Ayase,"We now, see through the night into the quietness And drive into the street, moving on with no destination Sitting there to my left, I glance at you The side of your face, the moon was shining its light Just like searching around within our history Like crawling carefully, combining words together one by one I was feeling the overflowing thoughts All visions leading to memories of time with you I know, starting from the day, feeling was set Deciding to live by your side Steadily, gradually, all my world's been changing Just to be stronger than I feel And covering the weakness deep within Into my days of pretending Suddenly when you arrived into my life I saw the look deep in your eyes It taught me all that knowledge I had never knew before When there is something to protect, that is the only thing I need To be stronger now than I could ever be, I found Moving in, moving in deeper into darkest of days We would meet, and soon, together, spending our time Luring in new days to be Full of all the comfort It was full of joy and pleasure For you are the one that was saving my soul all along Now I can see Capturing a little fragment of a light It shined a bit and soon revealed Movement of falling drops of tears just like a shooting star From a life of imperfection It's pouring out and slowly falling down Those beautiful drops of tears Even all the tenderness hiding beneath that body Large and powerful Even in that face resembling pain and sorrow I could see beauty, this, I've found The figure isn't what it's all about I finally have realized Echoing into the night Cold unforgiving sound of gunshot in the air The fading breath evoking our goodbyes approaching soon And shining for only an instant A merciless shooting star I see The wishes made upon it disappeared into the dark In the palm of my hand, I felt it burning out Color of the gold, a comet of sincere true kindness Touching the gorgeous mane, so beautiful Deep in the shadows, I held tightly within my hands"
9,三原色,"
YOASOBI",Ayase,Ayase,どこかで途切れた物語 僕らもう一度その先へ たとえ何度離れてしまっても ほら繋がっている それじゃまたね 交わした言葉 あれから幾つ朝日を見たんだ それぞれの暮らしの先で あの日の続き 再会の日 待ち合わせまでの時間がただ 過ぎてゆく度に胸が高鳴る 雨上がりの空見上げれば あの日と同じ様に 架かる七色の橋 ここでもう一度出会えたんだよ 僕ら繋がっていたんだずっと 話したいこと 伝えたいことって 溢れて止まらないから ほらほどけていやしないよ、きっと 巡る季節に急かされて 続く道のその先また 離れたってさ 何度だってさ 強く結び直したなら また会える 何だっけ？ 思い出話は止まんないね 辿った記憶と回想 なぞって笑っては 空いた時間を満たす 言葉と言葉で気づけばショートカット 明日のことは気にせずどうぞ まるで昔に戻った様な それでも変わってしまったことだって 本当はきっと幾つもある だけど今日だって あっけないほど あの頃のままで 気づけば空は白み始め 疲れ果てた僕らの片頬に 触れるほのかな暖かさ あの日と同じ様に それぞれの日々に帰る ねえここまで歩いてきた道は それぞれ違うけれど 同じ朝日に今照らされてる また重なり合えたんだ どこかで途切れた物語 僕らもう一度その先へ 話したいこと 伝えたいことって ページを埋めてゆくように ほら描き足そうよ、何度でも いつか見上げた赤い夕日も 共に過ごした青い日々も 忘れないから 消えやしないから 緑が芽吹くように また会えるから 物語は白い朝日から始まる 「また明日」
