,Song,Artist,Lyricist,Composer,Lyric
0,会いたいわ,"
iri",iri,iri,会いたいわ 今すぐ会いたいわ one more night 今すぐ会いたいわ one more night でいいから 伝えたいわ この想い 会いたいな 今すぐ会いたいな 会いたいだけじゃない 好きなだけじゃない 言いたいわこの想い 今すぐに果たしたい 複雑な感情が交差する深夜 何もかも分からなくなった 信じることももう全て怖くなった でもあなた信じなきゃ始まらないや 言いたいことそりゃいっぱいあるわ 浮かばせればそりゃ夢になりそうだ ストーリーは続くストーリーは 2人初めて出会った日 仲も良くないのに手を繋いだり 知らない店に駆け込んだり お店の人に怒られた 辛い過去話しあったり そりゃ傷の舐め合いだったり それでもいい愛し合った2人 会いたいそう願って歌い 伝えたい言葉は 好きとかそんな単純なものじゃないの でもこの複雑に混じり合う感情 どうしたらいいか分からない ただ抱き合いたい ただキスがしたい ただ手を繋いで そばにいたい この想いが永遠に続くように 今夜 one more night 会いたいな 今すぐ会いたいな one more night 今すぐ会いたいな one more night でいいから 伝えたいわ この想い 会いたいな 今すぐ会いたいな 会いたいだけじゃない好きなだけじゃない 言いたいわこの想い 今すぐに果たしたい 暗闇はいつしか 2人を迷わせた どこへ行けば 何をすれば 平和なあの日戻ってくるの？ 伝えたいことは伝えた もうこれ以上伝えることはない だっていつも想ってるお互い 「愛してる」「ありがとう」それだけです。 会いたいな 今すぐ会いたいな もう一度あなたに 今夜会いたいわ 言いたいことはもう 並べても並べても収まり切らん こんな不思議な混ざり合った感情 痛いんだか 辛いんだか 苦しいんだか 訳のわからん入り混じった感情 捨ててしまえたらどんだけ楽か 会いたいわ 今すぐ会いたいわ one more night 今すぐ会いたいわ one more night でいいから 伝えたいわ この想い 会いたいな 今すぐ会いたいな 会いたいだけじゃない 好きなだけじゃない 言いたいわこの想い 今すぐに果たしたい
1,言えない,"
iri",iri,iri,拾いかけた ポラロイド ポラロイド 錆れて切れた 落としたはずはないよ 君にとっての僕と 僕にとっての君が 出会ったことなんかない ねだった言葉が 宙でねじれては 君の元へと 電話越しの妄想 ギリギリの構想 なんの意味さえないけど 君が笑う君が笑うなら それでいい だなんて まだ言えない 言えない 言えないよ baby 消えない 消えない 消えない that story 移り変わる 世界の中で 僕らは何を 残せるかな la la la… 同じ夜を ぶらぶら… ぼくらをまとう love love love… 言えない 言えない 言えないよ baby 雲の切れ間に 沈むライト 透かした ブライト なにか変わるような 期待はずむ夜も 君と抱いた夢を 何度だって 見返しては 歩き出してみるけど 偽った言葉が 不意に巡っては 君の元へと 無色で晴れやかな午後 人知れず繰り返される鼓動 振り返ればいつだって 何も残らない夜だって よくある形じゃなくていい いびつな愛のままに そうそれでいいよ だなんて まだ言えない 言えない 言えないよ baby 消えない 消えない 消えない that story 移り変わる 世界の中で 僕らは何を 守れるかな la la la… 同じ夜を ぶらぶら… ぼくらはまだ love love love… 二つの波動が振れ だなんて まだ言えない 言えない 言えないよ baby 消えない 消えない 消えない that story 移り変わる 世界の中で 僕らは何を 残せるかな la la la… 同じ夜を ぶらぶら… ぼくらをまとう love love love… 言えない 言えない 言えないよ baby
2,渦,"
iri",iri,iri・Yaffle,弾かれた loser 波打って すり抜けてく機体はどこまで 流れるようなフライト どうかそのままで 伏せろ 伏せろ 伏せろ 長い空洞 揺れよう 揺れよう 今はそれでいい 渦巻く声を頼りに してたら迷うわ 淀んできた夜の視界 この先が未開の高峰 よかった一人の 僕の色 色 色 鳴り止まない明日の音色 込み上げてくはずの gain と すり減った痕照らして不揃いの 大人げもない本能とプライド 揺れ動く僕ら いい心地だわ たどり着いた妙な希少惑星 誰もが身体中を尖らせ 満ちたりてくnight 心ゆくままに 燃える 燃えろ 燃えろ 甘い嘘 光れよ 枯れよう 今はそれでいい 渦巻く声を頼りに してたら迷うわ もどかしくて身を止めた この先は儚い衝動 よかった一人の 僕の色 色 色 鳴り止まない明日の音色 込み上げてくはずの gain と すり減った痕照らして不揃いの 大人げもない本能とプライド 揺れ動く僕ら いい心地だわ シリタイコレナニ 聞き足りない 噂をねだったり 時間軸から外れ切った白夜 ぼんやり弱りかけた 僕のバリア すみっこに固まるなんて無理な 話をしようここだけの自論 一人でにひかる星で ロマンティックな夢を見た この先が未開の高峰 よたった一人の 僕よ、いこう いこう いこう 鳴り止まない明日の音色 込み上げてくはずの gain と すり減った痕照らして不揃いの 大人げもない本能とプライド 揺れ動く僕ら いい心地だわ 鳴り止まない明日の音色 込み上げてくはずの gain と すり減った痕照らして不揃いの 大人げもない本能とプライド 揺れ動く僕ら いい心地だわ
3,Only One,"
iri",iri,iri,少し慣れた頃 忘れられたかな 誰に頼ったって あがいても 弱るだけで 夢で抱いたことも 何も嘘じゃない それでも 不意に何かに満たされてく ただ過ぎていく時を眺め おもむろにまた頷いては しまいこんだ part of you 誰かに届くまで まだ捨て切れない明日は 君を見ている 今ここにいたって なんかfake 言葉にならぬ veil 何度もすりむいた 手輝いて 今は本能のレールで 研ぎ澄ませ 君こそ You are the only one 二人で望む明日を bring up 眠りから覚めていくような かすかに残る 記憶たどれば 素晴らしい物なんてそれは だれも知るはずもない ただの roman 口々に言う 連なる 咲き散る理由 語らずとも will you？ Can you feel it true ？ それさえあれば free ただ過ぎていく時は流れ まだ どこかもわからないけど いつの日かあなたとも farewell 何もかもが溶けて繋がる 今ここにいたって なんか fake 言葉にならぬ veil 何度もすりむいた 手輝いて 今は本能のレールで 研ぎ澄ませ 君こそ You are the only one 二人で望む明日を bring up
4,Come Away,"
iri",iri,iri,Come away Come away Come away You never know 何気ない明日の 特別な意味を Come away Come away Come away you never know 終わらないこの魔法 君だけの今を what a lovey day こころを 揺らしてゆく フレーズ 好きな色の 艶めいたシャドー 照らしてよ 光るでしょ 自惚れてるくらいがちょうどいい 尖った目つきの先に 君の姿 とらえては 前のめりにdive ここを逃げ出して tea time 街を外れ 海渡って 恋人みたく 二人寄り添って とびきりの笑顔で 溶かしてよ baybe Come away Come away Come away You never know 何気ない明日の 特別な意味を Come away Come away Come away You never know 終わらないこの魔法 君だけの今を 光る sunshine 抜け出す daylight 曇り出す今はそれさえも dramatic のめり込む you are my flicks Story は右肩上がりに 不意打ちの kiss を Disco みんなツイスト たちまち駆け巡る夜 明日を探して 言葉を忘れて 今宵の fade off 知らぬままの二人を 迎える high way 飲み込まれてゆく とびきりの笑顔で 溶かしてよ baybe
5,COME BACK TO MY CITY,"
iri",iri,iri,Bright and shine 窓のすきまから 覗く white blue sky 揺れる sweet rose かおる 君を乗せ 音は free choice いかように街を染める ふと振り返る ように 空を 眺めて 飛び交う big voice に巻かれ よろめいて 非日常 を語り合い とりとめて 音鳴り止まず 元のキーあわず 身を委ねて 春風の 舞う午後 もう戻れないよ 僕らがいた 場所二度と忘れないの COME BACK TO MY CITY あの日の 君はどこ 頑張ってるよって 泣いたあの夜も COME BACK TO MY CITY 一人歩いても なんだか物足りなくて もどかしい song for ya だらだらしたまま 日が暮れて まだらな 空に吸い込まれて 終わりかけの 映画のワンシーン ろくに見切れやしないけど うつむいたり 笑ったり ややこしい日々が 僕らを切り離したのかな そうやって 何かのせいにして 疎外感ばっか 背にして 春風の まう午後 もう戻れないよ 僕らがいた 場所二度と忘れないの COME BACK TO MY CITY あの日の 君はどこ 頑張ってるよって 泣いたあの夜も COME BACK TO MY CITY 一人歩いても なんだか物足りなくて もどかしい song for ya それぞれ帰る場所 は違えど 僕らはまた COME BACK TO MY CITY あの日の 君はどこ 頑張ってるよって 泣いたあの夜も COME BACK TO MY CITY 一人歩いても なんだか物足りなくて もどかしい song for ya
6,Common,"
iri",iri,iri・STUTS,街はいつも 寂しそうに見えて たとえ 明日がなくなら なんてことばかりを考えて 明日を待つのもいいね 目を閉じて 息をして あなたのそばにいるだけで 特別じゃなくていいんで この時をただ描いて 何度でも味わって 平凡なこのまま眠らせて weekend 休み方を忘れて ほんの一つ涙が溢れて あの日見た景色さえ 遠くて 昔のようで 淡く切ない あの頃は疲れ知らずで 日が登るまで語り明かしたっけって 始発に溢れてく光 家路までが僕らのお決まり 回る 回る 巡る 巡る our train our train 目を閉じて 息をして あなたのそばにいるだけで 特別じゃなくていいんで この時をただ描いて 何度でも味わって 平凡なこのまま眠らせて Common
7,ガールズトーク,"
iri",iri,iri・ケンモチヒデフミ,こなしてく time and time 照らして 絶え間なく 二人の未来繋いでくライム 焦らしてく back and side 染まって black and white We can find some and new one 今日だって talk away 街をくぐり抜け あてない夢を 聞かせて 時を数え 明日はそこまで 味わってく それぞれの rude love Hey 街 照らしてライト なんだかんだタイト 口先から溢れる ハイライト 初の対バンを忘れちゃいないよ 揺れる君の表情 you are gloomy girl 全て 吐き散らして すべは ふるい出して ぬるいから 沸かして また 夢 聞かして 夜更かしで飛び交う言葉が real 夜が明けるまで 君と chill こなしてく time and time 照らして 絶え間なく 二人の未来 繋いでくライム 焦らしてく back and side 染まって black and white We can find some and new one We don't say good bye 浮かれて dreamin' 書き足す二人の フロー 届くまで こなしてく time and time 照らして 絶え間なく 二人の未来繋いでくライム 焦らしてく back and side 染まって black and white We can find some and new one 今日だって talk away 街をくぐり抜け あてない夢を 聞かせて 時を数え 明日はそこまで 味わってく それぞれの rude love
8,Keepin',"
iri",iri,iri,"Lady 予測突き抜けて dreaming 急ぎすぎたまま routine ハイテク 身を任せ rolling つれない フェイスで 御託並べても lazy 平然を装えないの each day 震えもがきたいの 不一致で まとまんない対話に生まれだす名案 とりとめのない衝動が癖じゃない 染み付いたフラグ感 塗り替えれれば turn it up のれば Ride on time Ride on time baby 切り抜くただ愚かな かたやぶりの秘密が 報われないなら 逃げ出して good pretty girl Neo jap and soul heart 持ち合わせて空中に舞う そうさRide on time Ride on time baby no one can't stop wherever I dive can't stop my heat forever ride まとまんない対話に生まれだす名案 とりとめもない衝動が癖じゃない 染み付いたフラグ感 塗り替えれれば turn it up のれば Ride on time Ride on time baby No matter what I don't wanna stop 目を逸らさないで 遠くまで 気づいたら そこ離れて No matter how... I wanna be tough 揺れてくほどに movin'振り向かないで 当たり前で ごまかさないで Keepin', and go on your own way, always... 夢みたいで やるせなくたって own way, always keepin and going, keeping and going if you want it"
9,Keep on trying,"
iri",iri,iri,"ok, keep on trying 明けがた壊れそうな まま 飛び乗るbiking ふと 突き刺さった ままの 心がcrying 目を塞ぐように心閉ざしてく Darkness Darkness 今日も一日めまぐるし 上手くやれたのか よくわかんないな でもふてくされた 顔は 大敵 君には見せる いつだって 最適 懐かしの girl friend はいつのまに 彼氏とバッドエンド 泣きすぎて飲んで顔晴らすほどの そんな熱い恋をしたいな 叫べdream boy 夢は 広い デタラメな言葉はfade off 笑えdream girl たとえ ひどい恋をしようが蓄えんの ok, keep on trying 明けがた壊れそうな まま 飛び乗るbiking ふと 突き刺さった ままの 心がcrying 目を塞ぐ用に心閉ざしてく Darkness Darkness breaking my heart いつまでも 気がすむまで 言わせたらいいよ どうせ飽きる頃根拠も ないでしょ いつだって 逃れるの 四方八方  史上最大の誇りゲット 一か八かでこえていこう いいの that's all we know that's goal 叫べdream boy 夢は 広い デタラメな言葉はfade off 笑えdream girl たとえ ひどい恋をしようが 蓄えんの ok, keep on trying 明けがた壊れそうな まま 飛び乗るbiking ふと 突き刺さった ままの 心がcrying 目を塞ぐ用に 心閉ざしてく DarknessDarkness"
