,Song,Artist,Lyricist,Composer,Lyric
0,愛なんだが…,"
Official髭男dism",藤原聡,藤原聡,鳥がさえずるE♭くらいのトーンが心地よい朝 月曜のメランコリが注ぐコーヒーがそそるコントラスト 無機質なアラームが響けば 整った文字の裏に隠れた 不機嫌そうな顔をしてる君が 思っても見なかった言葉を僕にぶつけたんだ 「どうせ愛なんか 信じられたもんじゃないから 熱したら焦げて不味くなってしまうから 苦しい思いなんかしたって得しないから もう愛なんて要らない、一人で生きてたい」 って 歩みの早い君に合わせて走ってなんとかついてきたけど 「疲れた？」なんて気を遣わせていたことに気付かなくて でも、「バイバイ」なんてこう面と向かって言われるなんて思ってなくて 「最愛」なんて 堅い難い言葉で 縛って なんとか 繋ぎ留めた気でいただけ そんな頭の固い僕に あと一度だけ悪あがきをさせて どうせ愛なんてさ 言わなくても通じてるから そう信じて今まで歩いてきたんだが 不安にさせていたんなら 不満が溜まってたなら 僕が変わっていくから もう一度だけ だって 二人の間から 生まれてきた愛だから それが続くことが生きがいになっていたから 悲しい思いなんか もう絶対にさせないから 「もう愛なんて要らない 一人でいい」なんて 言わせないと誓うよ 「バイバイ」なんてもう言わせない
1,I LOVE...,"
Official髭男dism",藤原聡,藤原聡,僕が見つめる景色のその中に 君が入ってから 変わり果てた世界は いつも卒なくこなした日々の真ん中 不思議な引力に逆らえず崩れてく I Love なんて 言いかけてはやめて I Love I Love 何度も 高まる愛の中 変わる心情の中 燦然と輝く姿は まるで水槽の中に飛び込んで溶けた絵の具みたいな イレギュラー 独りじゃ何ひとつ気付けなかっただろう こんなに鮮やかな色彩に 普通の事だと とぼける君に言いかけた I Love その続きを贈らせて 見えない物を見て笑う君の事を 分かれない僕が居る 美しすぎて目が眩んでしまう 今も劣等感に縛られて生きている I Love I Love 不恰好な結び目 I Love I Love 手探りで見つけて I Love Your Love 解いて 絡まって 僕は繰り返してる 何度も レプリカばかりが飾られた銀河 カーテンで作られた暗闇 嘆く人も居ない 鼠色の街の中で I Love その証を抱き締めて 喜びも悲しみも句読点のない想いも 完全に分かち合うより 曖昧に悩みながらも 認め合えたなら 重なる愛の中 濁った感情の中 瞬きの僅かその合間に 君がくれたプレゼントはこの やけに優しい世界だ イレギュラー 独りじゃ何ひとつ気付けなかっただろう こんなに大切な光に 普通の事だと とぼける君に言いかけた I Love その続きを贈らせて 受け取り合う僕ら 名前もない夜が更けていく
2,アポトーシス,"
Official髭男dism",藤原聡,藤原聡,訪れるべき時が来た もしその時は悲しまないでダーリン こんな話をそろそろ しなくちゃならないほど素敵になったね 恐るるに足る将来に あんまりひどく怯えないでダーリン そう言った私の方こそ 怖くてたまらないけど さよならはいつしか 確実に近づく 落ち葉も空と向き合う蝉も 私達と同じ世界を同じ様に生きたの 今宵も鐘が鳴る方角は お祭りの後みたいに鎮まり返ってる なるべく遠くへ行こうと 私達は焦る 似た者同士の街の中 空っぽ同士の胸で今 鼓動を強めて未来へとひた走る 別れの時など 目の端にも映らないように そう言い聞かすように いつの間にやらどこかが 絶えず痛み出しうんざりしてしまうね ロウソクの増えたケーキも 食べ切れる量は減り続けるし 吹き消した後で包まれた この幸せがいつか終わってしまうなんて あんまりだって誰彼に 泣き縋りそうになるけど さよならはいつしか 確実に近づく 校舎も駅も古びれてゆく 私達も同じことだってちゃんと分かっちゃいるよ 今宵も明かりのないリビングで 思い出と不意に出くわしやるせなさを背負い 水を飲み干しシンクに グラスが横たわる 空っぽ同士の胸の中 眠れぬ同士の部屋で今 水滴の付いた命が今日を終える 解説もないまま 次のページをめくる世界に戸惑いながら 今宵も鐘が鳴る方角は お祭りの後みたいに鎮まり返ってる 焦りを薄め合うように 私達は祈る 似た者同士の街の中 空っぽ同士の腕で今 躊躇いひとつもなくあなたを抱き寄せる 別れの時まで ひと時だって愛しそびれないように そう言い聞かすように 訪れるべき時が来た もしその時は悲しまないでダーリン もう朝になるね やっと少しだけ眠れそうだよ
3,Amazing,"
Official髭男dism",藤原聡,藤原聡,Amazing It's Amazing 謎めいた人生へバンジー Wow Amazing It's Amazing どうか恐れないで行け 誰に邪魔されても 関係ない この手足を たとえ縛られたとしても 難無く夢を描くだろう どうやら長いこと満員電車に揺られすぎたようだ 前ならえ 右にならえ もう勘弁してくれよ 今だ 走り出せ フリーダム Amazing It's Amazing 謎めいた人生へバンジー Wow いいね 傍目じゃクレイジー どうかしてなきゃ やってらんねえな あの星へ Fly Yeah Amazing It's Amazing どうか真面目にふざけたまま行け Yeah 不満ばかり言っても 無くならない この思いを 人にいくらぶつけてみても ネガティブが増すだけだろう どうやら長いこと競争主義に染まりすぎてたようだ 抜かれたり 追い抜いたり 違うそんなことじゃない 本当は 単純だ 目を覚ませ フリーダム Amazing！ 囚われたため息からの脱走を 作られたイメージへの反抗を 小手先より腕目一杯の大爆音 It's Amazing いざ Make It！ まだ見ぬ歓喜の予感にさあ 急かされるまま Oh Yeah Amazing It's Amazing 謎めいた人生へバンジー Wow いいね 傍目じゃクレイジー どうかしてなきゃ やってらんねえな あの星へ Fly Yeah Amazing It's Amazing どうか突き詰め続けたまま行け Yeah
4,イエスタデイ,"
Official髭男dism",藤原聡,藤原聡,何度失ったって 取り返してみせるよ 雨上がり 虹がかかった空みたいな君の笑みを 例えばその代償に 誰かの表情を曇らせてしまったっていい 悪者は僕だけでいい 本当はいつでも誰もと思いやりあっていたい でもそんな悠長な理想論はここで捨てなくちゃな 遥か先で 君へ 狙いを定めた恐怖を どれだけ僕ははらい切れるんだろう？ 半信半疑で 世間体 気にしてばっかのイエスタデイ ポケットの中で怯えたこの手はまだ忘れられないまま 「何度傷ついたって 仕方ないよ」と言って うつむいて 君がこぼした 儚くなまぬるい涙 ただの一粒だって 僕を不甲斐なさで 溺れさせて 理性を奪うには十分過ぎた 街のクラクションもサイレンも届きやしないほど 遥か先へ進め 身勝手すぎる恋だと 世界が後ろから指差しても 振り向かず進め 必死で 君の元へ急ぐよ 道の途中で聞こえたSOSさえ気づかないふりで バイバイイエスタデイ ごめんね 名残惜しいけど行くよ いつかの憧れと違う僕でも ただ1人だけ 君だけ 守るための強さを 何よりも望んでいた この手に今 遥か先へ進め 幼すぎる恋だと 世界が後ろから指差しても 迷わずに進め 進め 2人だけの宇宙へと ポケットの中で震えたこの手で今君を連れ出して 未来の僕は知らない だから視線は止まらない 謎めいた表現技法 意味深な君の気性 アイラブユーさえ 風に 飛ばされそうな時でも 不器用ながら繋いだ この手はもう決して離さずに 虹の先へ
5,イコール,"
Official髭男dism",藤原聡,藤原聡,「人のために出来る事」「自分がやるべき事」 2つがもしも「＝」なら 僕はそれを「幸せ」と呼びたい 現実それは無慈悲に僕らの首を絞める 2つから1つを どちらか選ぶこと それが生きていくということ 「君が欲しい物」「僕も欲しい物」 小さな頃からいつも取り合ってた どんな罵声を浴びようとも 見つけた花は全て引き抜く事 例え誰かの幸せを奪ってもそれは「正義」と言い聞かせた それこそが僕の「使命」だと言い聞かせた 現実それはいつだって対立し合う定め 見知らぬ誰かを蹴落とす事でしか 自分の価値は見出せない 「君を守る事」「僕を守る事」 なぜかいつも2つに1つだ どんな罵声を浴びようとも 止むを得ないなら全て踏み潰す事 例え誰かの人生を狂わしてもそれは「正義」と言い聞かせた どんな時代が訪れても 世界中の人の笑顔は見られない だから大切な出会ってきた人とは 何があっても最後は「＝」で繋がりたい いつか悲劇が起ころうとも 誰の夜にも朝は訪れるだろう 例え涙が流れても幸せはその手の中にいつか来るんだろう それだけは地球の何処でも「＝(おなじ)」なんだろう
6,異端なスター,"
Official髭男dism",藤原聡,藤原聡,ねえ聞いて 面白くなけりゃダメで 見た目が良くなきゃダメで そうやって選ばれたスター 人気者さ 僕らは後ろをついてまわって 照らすライトの1つとなって それが「人生」 醜いリアルだ いつからか 薄っぺらい友情や 寂しさ予防の恋愛があふれかえる街で 非難の声恐れて 無難な生き方貫いて 自分らしさにさえ無関心になって 「平等だ」って嘘ついた 頭を撫でられ喜んだ いい子になんてならないで！ 『調子にのって出しゃばった火をつけ回る異端なスター』 そんな汚名着せられてもいいから どうか 叫んで 歌って 何か変えたいなら どうか 歌って ねえ聞いて 空気が読めなきゃダメで 頭が良くなきゃダメで そうやって選ばれたスター 敵わないな 僕らは後ろをついてまわって 悔し涙を隠して笑って これが「人生」だなんて 醜いリアルだ いつからか 失敗ばっか重なって 自信をなくして落ち込んで 目立つことが怖くなって 尖ってるやつを馬鹿にして だけど何処か羨ましくて 鏡の前でだけ妄想に精を出して 「幸福だ」って意地張った 悲しくて1人泣いていた そんな夜から逃げないで 『愛情求めさまよった天真爛漫なディザスター』 そんな自分が好きなら胸張っていいから どうか 歌って 君なら出来るから どうか 歌って 薄っぺらい友情や 寂しさ予防の恋愛があふれかえる街で 非難の声恐れて 無難な生き方貫いて 自分らしさにさえ無関心になって 「平等だ」って嘘ついた 頭を撫でられ喜んだ いい子になんてならないで 『調子にのって出しゃばった火をつけ回る異端なスター』 そんな汚名着せられてもいいから どうか叫んで 歌って 何か変えたいなら どうか 歌って 愛を持って「声」と「言葉」で聞かせてよ 怖がらずに どうか 叫んで 歌って
7,犬かキャットかで死ぬまで喧嘩しよう！,"
Official髭男dism",藤原聡,藤原聡,「犬かキャットか」で死ぬまで喧嘩しよう！ 「ずっとこのままでいようよ！」 ときめかされ続けて早3年 「キャットが絶対可愛いよ！」 熱く語る君のそばに居たいんだ Uh～uh uh uh 寝ても覚めても続くこの幸せ Uh～uh uh uh どんな壁も蹴散らす幸せ ずっとこのまま ずっとこのまま 君だけを守るよ 長い夜も 雷の日も 病める時も そばにいるよ ずっとこのまま ずっとこのまま ベタな言葉だけど 僕のために 君のために 愛を誓おう 何度でも確かめて さあ 手を重ねて鐘を鳴らし合うよ そして 「犬かキャットか」で死ぬまで喧嘩しよう！ Uh～uh uh uh 寝ても覚めても続くこの幸せ Uh～uh uh uh カレンダーを何度もくぐって 「歳とったな…」って笑い合いたいよ ずっとこのままでいようよ ずっとこのままでいようよ ずっとこのまま ずっとこのまま 君だけを守るよ 長い夜も 雷の日も 病める時も そばにいるよ ずっとこのまま ずっとこのまま ベタな言葉だけど 僕のために 君のために 愛を誓おう ずっとこのままでいようよ 手を重ねて鐘を鳴らし合うよ そして 「犬かキャットか」で死ぬまで喧嘩しよう！
8,ESCAPADE,"
Official髭男dism",藤原聡,藤原聡,何度見つめても足りない 指でhold me tight まるで夢みたい どこの誰にでも言いたい 想い伝えたい 募りゆくばかり 軽快なビートに乗っかって 余生の相場を狂わして 人生はまだイントロなんだって 僕に耳打ちした この世界に溢れかえってる矛盾を全部解決するかのような 華奢な体がそこに宿ったスマイルが ありふれ過ぎた日常に新しくくれた曲がり角 曲がって突き当たりの公園で偶然見つけた神様 手を取り合って踊りませんか？ Ah Ah どんな時でも守りたい ただのby your side いつでもウェンザナイ どこの誰にも渡さない 頬にコピーライト つけさして！いいじゃない！ 右も左もわからないで ストイックにかつ無我夢中に なる君のこと羨ましいなんて 少し思ってしまった この世界に敷き詰められた夢も全部叶え尽くすかのような ふたつの光ホワイトよりも白い声で 断崖絶壁の夜空も吹き飛ばすほどの風が吹く 銀色の月のその裏側で居眠りしている神様 奇跡を頂きありがとサンキュー！ Ah Ah この世界に溢れかえってる矛盾を全部解決するかのような 華奢な体がそこに宿ったスマイルが ありふれ過ぎた日常に新しくくれた曲がり角 曲がって突き当たりの公園で偶然見つけた神様 手を取り合って踊りませんか？ Ah Ah Ah さあ！
9,Editorial,"
Official髭男dism",藤原聡,藤原聡,伝えたい だけど語れない ずっとこの気持ちの正体を 僕は探してる だけどよそ見ばっかしている そっちの方が幸せだから 飾らない だけど嘘くさい ずっとこの矛盾の正体が心を塞いでる だけど不自由さえ楽しんでる そっちの方が愛おしいから 疲れが染み込んだ靴下 スニーカー そんな足跡もちゃんと残っている 伝えたい だけど語れない そんなこの気持ちの後先を ここにだけ書き記す だけど上手く書けず喜んでる そっちの方が幸せだから 朝日が来るように至極当然なことにも 溢れている 隠れている 思いを形にしたんだ あなたにも受け取ってほしくて
