,Song,Artist,Lyricist,Composer,Lyric
0,あいかわらず,"
wacci",橋口洋平,橋口洋平,食卓 向かい合う僕ら カーテン揺らす都会の風 「おいしい」「それは良かった」と お決まり でも本音 テレビは5分間のニュース ただ 駆け足で伝えて 今日を終えた顔で あいかわらずが 愛に変わってくようだ 日々が教えてくれるよ 明日世界が 早送りでも 君がそばにいるなら きっと 生きてくことは苦しくて 辛くて 仕方ないものだと 誰かと頷きあえたら 見つかる生きる意味 涙をこぼしては拭った頬 つねりあって二人 笑いあえるような あいかわらずが 愛を育ててくようだ 日々に水をやるように 年をとっても 素顔のままで 僕がそばにいるから ずっと テレビを消して君は話し出す 僕らだけの時間 大事にしていよう あいかわらずが 愛に変わってくようだ 日々が教えてくれるよ 明日世界に 置いてかれても 君がそばにいるなら きっと
1,会いにいくよ,"
wacci",橋口洋平,橋口洋平,扉が閉まりかけてから 降りるはずの駅と気付く いつも気持ちとは裏腹 どうして伝わらないんだろう 不自由おしつけあい すれ違ってばかりなのに ため息また一つ思う 何よりずるい笑顔 君をやめられない いつだってどこへだって行くって 君のためなら いつだって何にだってなるって 思えるんだ どこで何をしてても また君の顔を浮かべてる あと100年 君と過ごしたって足りないから 四六時中 君を想ったって 飽きないから 生まれ変われた時も また 君のことを探せますように 窓を滑るあの月から 何億人が見えるだろう 僕が涙を流しても 輝きは衰えぬまま 「昨日はどうだった？」君の身に起きた出来事 誰より一番近くで 感じ続けていたくて それしか出来ないけど ありったけの言葉使ったって 足りないから あらゆる君に恋してしまって 溢れだすよ 次の駅に着いたら すぐ君の街へ 走っていくよ 君を諦めない いつだってどこへだって行くって 君のためなら いつだって何にだってなるって 思えるんだ どこで何をしてても また君の顔を浮かべているのさ あと100年 君と過ごしたって 足りないから 四六時中 君を想ったって 飽きないから 生まれ変われた時も そう 君のとこへ 会いに行くよ
2,会いにゆきましょう,"
wacci",橋口洋平,橋口洋平,会いにゆきましょう 大切な人だから さぁ 会いにゆきましょう いつか会えなくなるその前に 会いにゆきましょう 迷うより踏み出そう さぁ 会いにゆきましょう 伝えたいこと 伝えにいこう 顔を見て わかる気持ち ぬくもりが 刻む記憶 胸の奥 懐かしい思い出が 優しく光りだす 会いにゆきましょう 後悔をする前に さぁ 会いにゆきましょう 百聞よりも一つの笑顔 誰も皆 同じだけの 時が過ぎ去ってゆくよ あと何度言葉交わせるだろう 伝えられるのだろう 会いにゆきましょう 大切な人だから さぁ 会いにゆきましょう 来れて良かった そう思うから 会えてよかった そう思うから
3,あいの唄,"
wacci",橋口洋平,橋口洋平,あいのうた この世界に あいのうた 響いている 目の前に誰も見えなくたって きっとどこかで君を想う唄 誰もが一度は立ちつくしたまま 孤独に気づいて こわくて怯えるけど 聞こえてくるよ 耳を澄ませば あいのうた この世界に あいのうた 響いている それぞれのかけがえなき 大切な君のために 例え今日に涙しても いつだって一人じゃない 目の前に誰も見えなくたって きっとどこかで君を想う唄 必要とされる されないじゃなくて そこにいるだけで充分なんだと ああ 気がつけばほら 守られていた あいのうた この世界に あいのうた 響いてゆけ 知られずに 欠かさずに 毎日の祈りのように 忘れないで 思い出して いつだって聞こえている 僕らにも注がれた愛がある 君の笑顔を願う唄がある 今 星の数ほどに 大地に溢れる 優しさの五線譜で 紡いでゆくメロディー あいのうた この世界に あいのうた 響き渡れ これまでも これからも 大切な君のために あいのうた 君に届け いつだって一人じゃない その声は誰もが胸の奥に 今日もどこかで響け あいの唄
4,Ah!Oh!,"
wacci",橋口洋平,村中慧慈,泣いてはないよ 本当は泣き出しそうだけど 淋しくないよ 独りで震えてるけど どうしてこの星では この時代では 気持ちと真逆な顔 裏腹なセリフ 嫌われたくなくて 強がって 平気なフリして no no no？ C'mon & Sing it now！ (Ah！Oh！) ありのままに 胸の奥に 溜め込んだ全部 聞かせて 感じたまま そのまま あるがまま わがまま なんだか明日からも頑張れそうな気がするって 笑えるまで グチってないよ 本当はこぼしそうだけど 余裕はあるよ 限界ギリギリだけど どうしてこの体は この頭は 一人で抱え込んで キャパオーバーで 認めて欲しくって無理をして ヘルプ出せなくて no no no？ C'mon & Sing it now！ (Ah！Oh！) ありのままに 胸の奥に 溜め込んだ全部 聞かせて 弱くたっていいじゃない 君は君でいいじゃない なんだか昨日よりも少しだけ好きになれたって 思えるまで どの恋でも どの仕事も 苦労は尽きないから 疲れちゃうから たまに甘えちゃっていいんだって 出さなきゃ負けよ そうさ Sing it now！ (Ah！Oh！) どんな時も 一人じゃない 今すぐ聞かせて C'mon & Sing it now！ (Ah！Oh！) ありのままに 胸の奥に 溜め込んだ全部 聞かせて 感じたまま そのまま あるがまま わがまま なんだか明日からも頑張れそうな気がするって 笑えるまで
5,あなたがいる,"
wacci",橋口洋平,橋口洋平,あなたがいる だから僕は飛び立てるんだよ あなたがいる だから僕は踏み出せるんだよ いつの日か辿り着いて抱きしめあう時 今の僕らを誇れるから きっと 誰かの真似じゃなくって 言われたわけじゃなくって 僕が僕の意思で選んだ 初めての本気の夢に 僕が見つけたものは 甘くない現実に それでも憧れる気持ちと かけがえのない出会い 見せあった涙が 打ちあけあった弱さが 今日も信じあえる理由になる あなたがいる だから僕は飛び立てるんだよ あなたがいる だから僕は踏み出せるんだよ いつの日か辿り着いて抱きしめあう時 今の僕らを誇れるから きっと 好きで始めたはずが 好きじゃなくなっていって 確かに出来ていたことも 出来なくなっていたあの日 顔向けもできなくって 逃げるように閉じこもって 自分を諦めた僕を あなたは諦めずに 上には上がいたって 僕には僕だけだって 遠まわしだったけど 嬉しかったよ あなたとまた笑いたくて 歩き始めた あなたとまた挑みたくて 涙拭った いつの日かその全てが過去に変わる時 思い出すたび輝くから きっと 追いかけ続ける中で 小さく叶ってゆくんだろう 僕らは今日も叶える 同じ未来を共に描くという夢を あなたがいる だから僕は飛び立てるんだよ あなたがいる だから僕は踏み出せるんだよ いつの日か辿り着いて抱きしめあう時 僕もあなたの誇りでありたい
6,歩み,"
wacci",橋口洋平,橋口洋平,そうさ僕らはいつまでも ここにいるわけにいかない そろそろか 自分の足で さあ 守られていたことを知る 愛されてたことを知る 支え合う仲間がいたことを知るよ 晴れ渡る青空 雲が流れて消えた 旅は目的地じゃなくて 大切な旅路を描くこと どんなに時が流れても 忘れられない日々があるよ 君といるだけでほら どれほど強くなれただろう もう少しこのままでいたい 何度も立ち止まるけれど 隣で君が笑った わかってるよ 歩きだそう 生まれたところも違えば 消えてくところも違って だからこそ 人は思い出 紡ぐ 教えられたことも 共に気づいたことも お互いの歩みの中で 花となり 心で育ってく どんなに遠く離れても 変わることなく咲いているよ 明日も明後日も そう 僕らは僕らを作ってく どんなに一人ぼっちでも どこかで僕ら思っている ちゃんと同じ日を生きてる そして今と向き合ってるから さあ ゆこう どんなに時が流れても 忘れられない日々があるよ 10年先の事さえ 想像すらできないけれど 僕ら出会えてよかった 今こそ共に踏み出そう かけがえのない時間を 胸に抱いて 歩きだそう
7,Answer,"
wacci",橋口洋平,橋口洋平,ドアが開くたびに 君の街へと近づく 響くプレイリスト 君の選んだメロディー 会えなくはなったけど 会える日が輝いて 一人ぼっちを二人で乗り越えてる 君が僕の幸せになってゆく 今日はどんな君に出会えるだろう 会えない日々の答え合わせをしよう 心なら いつだってそばにいたんだ 指折り数えて待ち 会えば一瞬で過ぎて さよなら近づくほど 逆に君はよく笑う 一秒さえ大事で 悲しい顔してたら もったいないと僕ら 精一杯 僕は君の幸せになりたい 離れてると 強がりを見抜けない 心だけじゃ足りない夜がある そんな日は いつだって飛んでゆくから 既読の文字に 小声での電話 節目での手紙 何度も見たカレンダー 綺麗な景色や表情じゃなくても 大切な二人の思い出 君が僕の幸せになってゆく 明日はいくつ君を浮かべるだろう いつか今を笑いあえるように 僕らなら 出来るって思えるんだ これからも 誰よりそばにいるから
8,Weakly Weekday,"
wacci",橋口洋平,橋口洋平,「昨日会ったでしょ」会いたいのは 僕だけな月曜日 押して引けばいい 引いてみたら 静かすぎる火曜日 長引いてばかりの会議 ポケットが震えてるよ 君からだろうか そわそわのうわの空 僕は マンデーだってフライデーだってかまわない 君とずっとあわよくばってよくばってたい でもね サンデーもしくはサタデーだってわかってる もう待てない 今日はまだウェンズデイ 友達＞僕 の式が 立てられた木曜日 ドタキャンに備え DVD借りておく金曜日 デスクでは真面目に仕事 背筋伸ばし咳払い 数秒もたずに また君を浮かべてる 僕は マンデーだってフライデーだってかまわない 君とずっとあわよくばってよくばってたい でもね サンデーもしくはサタデーだってわかってる 待ち焦がれる 君のいるホリデー 僕はいつだって 朝礼だって プレゼンだって 歓送迎会 行かなくちゃって 残業だって 出張だって なかなかどうして終わらなくて 泣きたくなって 会いたくなって 何やってんだと我に返って いつの間にかまた朝になって マンデーだってフライデーだってかまわない 君とずっとあわよくばってよくばってたい でもね サンデーもしくはサタデーだってわかってる また始まる 君だらけウィークデイ
9,wallflower,"
wacci",橋口洋平,橋口洋平,顔を上げて 背を伸ばして 車道の脇 揺れてる蕾 あおられても しがみついて 懸命に命燃やしてる あぁ ここにいたんだ 目立たないけど 一輪 希望の花 今 春色の風の中で きっと立派に咲いてみせて 摘まれても 踏まれても また 誰に気づかれなくても 力強く空へ向かって 道端に根を生やす花のように たくましく生きる 傷ついたり 傷つけたり 人は優しさを覚えてく どんな日々も無駄じゃないと 何度も心で繰り返し あぁ たとえ小さく ささやかな花でも 今 春色の風の中で 僕も立派に咲いてみせる 憧れを 強さへと変えて こぼした涙の分だけ 晴れやかに輝ける日まで 道端に根を生やす花のように いつも負けそうで ずっと泣きそうで 泥がはねても 通り雨うたれても 笑わなくちゃと ねぇ ちゃんとしなきゃと 夢を抱いて 見上げてる 今 春色の風の中で 僕も立派に咲いてみせる 飾らない 僕らしい色で 悲しみの雨が上がり 花びらを躍らせる日まで アスファルト 割って咲く花のように たくましく生きる
