,Song,Artist,Lyricist,Composer,Lyric
0,Oz.,"
yama",泣き虫,泣き虫,ひとりぼっちにはさせないでよ いつから重たい荷物を持つ日々に 慣れてしまっていたんだろう 難しいことは後回しでいいから 孤独なボクを夜が待つ 寂しい思いは もうボクにはさせないでよ 思い出した夜を どうかひとりぼっちとは呼ばないで 流してきた涙は結局まだ誰にも言えない 触れては壊してまた傷ついては ひとりぼっち夜に縋る 寂しい思いは もうボクにはさせないでよ 思い出した夜を どうかひとりぼっちとは呼ばないで あなたが弱いのなら ボクの弱さも見せるから あなたが強がるのならば キミの弱さをそっと抱きしめるよ ひとりぼっちにはさせないでよ ひとりぼっちにはさせないよ
1,世界は美しいはずなんだ,"
yama",大木伸夫,大木伸夫,鳴り止まない深夜のサイレン 耳を塞いで眠れないまま どこかで誰かが泣こうと 僕の知った事じゃないのさ 違う 違うんだ そんな事を 歌いたい訳じゃないのに 半透明な僕たちは 明日ですらすり抜けてしまう カーテンを開けても真っ黒な闇だけ 君と描いた夢を まだ抱えたまま夜に溶けてゆく 世界は美しいはずなんだって 僕らは美しいはずなんだって 誰かが歌っていた そんな言葉は信じないさ 僕らは笑っていたいだけさ 僕は愛を知りたいだけさ 窓の向こう側 星が一つ輝いていた 君が笑った顔を少しだけ 思い出したんだ 海の向こうの国では 子供達がゴミと捨てられて 何もできないままで また一日が過ぎてゆくだけ 最終章の生命は 僕らを許してくれるのかな 震えた36℃の生命を あの銃もあの花も最初は一つだったんだ 消えないで 消えないで 僕らを残して 夜が明けてゆく 世界は美しいはずなんだって 未来は美しいはずなんだって 誰かが歌っていた そんな言葉を信じたいんだ 朝焼けの空に泣いていたんだ 光は僕を照らしていたんだ 失った日々を 愛で包み始めていたんだ 明け残った星に届くまで手を伸ばしたんだ 君が笑った顔をいつまでも 忘れないように
2,スモーキーヒロイン,"
yama",川谷絵音,川谷絵音,ヒロインになって 文字をなぞって 奪いたいよ 奪いたいよ 運命がまた白む前にキスをしたい 読み合う2つの種 どちらも意地悪だね 咲けば誰かを傷付ける花 水をやる日々が もどかしいよ 忘れないで 光を浴びたらきっと 本も心も一緒になった 私に魅せられる あなたと演じた優しさ わからない どこまで続くか だけどね 形になりたいの 今すぐ ヒロインになって 文字をなぞって 奪いたいよ 奪いたいよ 運命がまた白む前にキスをしたい 名演技だって 言われたって 奥から睨む想い 痛みから生まれるのが恋だと言わんばかり あなたと何を演じたって 心が邪魔をする それが艶やかな花として咲いた 裸にされた物語 急いで 今は時の褒美 奪い合うことで補い合ったらまた 針が戻る部屋 ゆらめく ヒロインになって ヒロインを背負って 伝えたいよ 伝えたいよ 理想がうねって 綺麗じゃなかったけど スモーキーなムード アナーキーな情緒 似合いたいよ 似合いたいよ 東が白むの待つ間の声 あなたの演じた恋だって 私の想った恋だって どこからどこまで本当か わからなくなるけれど 本当の ヒロインになって 言葉を超えて 奪いたいよ 奪いたいよ 運命がまた白む前にキスをしたい ヒロインになって ヒロインになって 伝えたいよ 伝えたいよ 先は怖くて覗けないけど もう少し 辻褄合わない花だって これから美しくなるんだ
3,天色,"
yama",BCNO,yama・BCNO,地面ばかり見て歩いていた僕は 上の青さに気付かなくて 馬鹿みたいに 闇雲に探していた 白線の上に立って 流れる文字を追う 踏み出しそうになる足は 気付けば脆くも崩れて 微かに匂う 君の声が 風になびいていた 湿気た顔をして生きている僕は 色の多さに気付けなくて 明暗さえも分からなくなっていた 膝をつき座り込んで 流れた水は灰 ピントの合わない視界は 焼きついたように熱くて 久しく見上げた 君の瞳は 滲んだ青だった いつからだろう 辺りを見回す余裕すら 忘れてしまっていた 針のような形をしたまま 僕らは何かになろうとした 優しく笑った君が 手のひらに雪解けを つつみこんでいた 僕には それが唯一の救いだった
4,あるいは映画のような,"
yama",くじら,くじら,午前0時 夜 遊泳 飛び乗る最終電車 階段から覗いた隘路と揺れる街路樹 夜空を溢したような車窓に映る風景 月の裏側では溜息をついている (「知らない」はもういない) 夜明けと (夕焼けとあの日を) 埋めるように (溶けてく 溶けてく) 日々の中へ まだカーテンの裏で ただ泣いてるだけの僕ら 決まり切ったシナリオ通りに続けてるだけ 当てにならないよ 誰かの噂なんて 曖昧な現実と最低な夜を超えよう いつの間にか日々になった 誰も「大人」じゃなかった 雲の上に乗れると誰もが思ってた それがなんだいまじゃどうした 上か下か数字がなんだ 好きなものを信じよう それでいいはずさ そうだろ？
5,一寸の赤,"
yama",にお,にお,ずっと変わらない日々の中でそっと揺れるもの いつも支えられていたその笑顔に 嘘のない真っ直ぐな瞳に やさしい声に ああ気付けなかった いつでも側に居たからかな 意地張ったりしないで正しい距離で そう冷静に君をもっと知りたいんだ ああ見上げた空は余りに鮮やかな赤 走り出した 声の鳴る方へ ずっと変わらないよと根拠なしでも言い切って イエス／ノーだけじゃ心許ない その笑顔と嘘のない真っ直ぐな瞳と やさしい声でちゃんと言って 会えない時間でまた強くなれる？ 許されるならこのまま少し 君の髪が赤く染まる間 ここで眠っていたい ――ああ気付けなかった 一緒によく帰った道 こんなに何もない寂しい景色だっけ すべてが君で輝いていたんだ ああ横目で見た余りに鮮やかな赤 背筋伸ばしたら 新しい明日へ
6,a.m.3:21,"
yama",くじら,くじら,溶けた光の跡、甘い夢の中で すぐになくなってしまう時間と人生と なびく干したシャツに香る秋の花が 諦めの悪い私の癖みたいで 乾いた風と哀愁 カーブミラーで曲がって見えた世界は カーテン越しに聴いた隣人の会話の様に見えた 遠くの電線に止まった鳥は何も知らん顔で 渇いた喉にそっとぬるい水を流し込んだ 溶けた光の跡、甘い夢の中で すぐになくなってしまう時間と人生と なびく干したシャツに香る秋の花が 諦めの悪い私の癖みたいで 夜空に溶けたなら甘い甘い夢の向こう側へ 電気を消した部屋で 傷んだ髪の感触だけを 君はいつだって少し寂しそうな顔をしていた 季節の終わりを知っているようで どこで間違ったって自問自答ばかりだ 振り返れば 後味の悪い過去の道 溶けた光の跡、甘い夢の中で すぐになくなってしまう時間と人生と なびく干したシャツに香る秋の花が 諦めの悪い私の癖みたいで
7,カーテンコール,"
yama",南雲ゆうき,南雲ゆうき,筋書きのない恋に落ちよう 開かれるのを待つ本のように 綻ぶ口元 隠された痣も 刻み込んで 幕が上がる 花が落ちて 蒼に染まる 窓は何を映す 時の流れが 狂っていく予感 静かに燃えてる 霧がかかる 景色がすっと晴れる そんな朝に 木漏れ日が差して 駆け出したくなった 春は短い 触れられない果実 途切れることのない魔法 痺れている頭の中 逆さまに見える影 筋書きの無い恋に落ちよう 美しい結末じゃなくても 降りていく幕があなたを隠し 明かり消えるまで 星が降りそそぐ空の下 少し湿った風に吹かれて 言葉は宙に消えてった 静か過ぎる夜だね 水溜まりの便箋は 溢れるのを待つように 水蓮は揺れる 日陰では咲けない想い 陽射しを避け 滑り止めの効かない道を下る 漂う香りにあなたを求めても ひとつになれない 筋書きの無い恋に落ちよう 美しい結末じゃなくても 降りていく幕があなたを隠し 明かり消えるまで 眠れない夜も抱きしめよう 水平線は明日に消えていく 欠けている月を見上げて 今はひとり手を伸ばした
8,希望論,"
yama",ADA,ADA,正解なんて無いからね わざと大きい声で叫ぶ世界 大体代替品世代 故の存在証明を今 冷えた缶ビールの季節です 汗で張り付いたTシャツが言う ここで自爆テロの速報です ビルに張り付いた画面が言う 梅雨は明け快晴が続くでしょう モヤがかかったアスファルトが言う 歩道を舞った新聞紙が言う ところで貴方は誰 イヤホンから流れ出す いつも通りの音楽が 僕を嘲笑ってるように感じてしまったんです 正解なんて無いからね わざと大きい声で叫ぶ世界 大体代替品世代 故の存在証明を 言葉にすり変わる前の 怒りによく似たこの希望を 忘れないように旗を立て いつか再びここで落ち合おう 横たわった日々の怠惰 何もない とは敗北のよう 何もない って笑い泣いたら 可愛がられた 歯軋りがした 明日の夜またここでお会いしましょう 塗装の剥げた古ベンチが言う 路傍に朽ちた週刊誌が言う 君に興味はないよ だって金にもならないし サラリー振り込みの通知 写り込む安堵した顔こそ 僕が画用紙に描くべき「みらいのぼく」だったんです 問題は山積みだね 本当うるさい声で笑う世界 大々的開幕次第 僕の憂鬱は無しになって 言葉にしないと分かんないよ 何度も言われたその指導論 頷きながら爪を立て いつかなんていつまで待てばいいの うだうだ色々考えたら どいつもこいつも喋り出して 肝心な事は分からない 結局一つも言えやしない 何も言えやしないけどこの歌だけ僕の本当だ なんて強がりじみても大真面目に歌いたいです 将来なんて知らないよ 僕が僕で無くても廻る社会 橙色に染まる街 個々に在る証としての影 正解だってあるはずだ 僕が僕であるなら見える世界 散々だった過去の枷 全て引きずって尚歩くよ 言葉にしたけど伝わるかな 怒りによく似たこの希望論 忘れたフリだけ上手い僕ら 再びここでまた会おうね 言葉にしたけど伝わるかな 怒りに良く似たこの希望論
9,クリーム,"
yama",くじら,くじら,ベランダに出た 青い柵にもたれかかって煙を喫んだ 不確かな日々 歩きながら確かめていった 日が暮れるのが遅くなったね だんだん暖かくなってきたね 風も気持ちよくなってきたね窓をあけようか 茜色の空を眺めながら肩にもたれかかって 夢みたいな日常がいつしかありました 寄り道は気づかないしあわせの形だね 変わらない階段と景色を刻んで まどろみの中へ 白い壁が暖かい陽に染まって 綺麗な街をこえているとなんだか悲しくなったんだ 移りゆく景色これからの生活を想って暗がりへ そっと目を閉じた 茜色の空を眺めながら肩にもたれかかって 夢みたいな日常がいつしかありました 寄り道は気づかないしあわせの形だね 変わらない階段と景色を刻んで まどろみの中へ まどろみの中へ 茜色の空の下 子供が笑ってる 夜明けの海に涙沈めた
10,クローバー,"
yama",TOOBOE,TOOBOE,絡まり合う関係は カラトリーで掬ってフルコースにしてしまった 君はどうやら数奇な人生を 食べあったり傷ついたりした 魔法の様に知り合えた二人 まだ解けないでいてと 丸いプレートの上で寝転がった 例えば僕が一人で奪われることに慣れていったら サヨナラ出来る時までほら このクローバーを握っていて グリーンの花びらの様に変わらない素顔で 気怠いこの感情は クロスと共に丸めてしまって仕舞っていた それはどうやら逃げてる様な 後ろめたさがまとわりついてた 言葉通りに受け取った話 それでもいいと言って 崩れ落ちた蝋燭に頼ろうか またいつか笑顔で歌を歌える時がくると知ってた 曖昧なままでいいからこの世界とはお別れしよう ただ私がそこに入ればそれで良いと分かってたのに 花が散れば気づく様な鈍感な私だ 例えば僕が一人で奪われることに慣れていったら サヨナラ出来る時までほら このクローバーを握っていて グリーンの花びらの様に変わらない素顔で
11,血流,"
yama",ESME MORI,ESME MORI,グラついてた 今 この心が 描いたストーリー 胸打つ鼓動 ずっと流れてる 奇跡の色 騒がしい通りを抜けて 路地裏で見つけたワームホール 触れないまま 日々を過ごしてた やるせない顔 君の目を通してみたら どんな光が 差すんだろうか この世界では いくら動いても眠れないまま 霞んだような 浮かれたような 新しい風が吹いたんだ 塞げない穴 夜に空いたら 鍵を持って出てゆこう グラついてた 今 この心が 描いたストーリー 胸打つ鼓動 ずっと流れてる 奇跡の色 わからないまま ただ この心が 近づく方に 君の向こう 走り抜けてゆけ 遠い 遠い 場所 未来の舞台に飛び込んでみよう この気持ち 何て言えばいいの 説明つかないよ 終演までは いつかの夜を いつかの朝を 通って産声あげたんだ 目が覚めて まだ覚えていたら これしかないと 飛び出そうよ 震えながら 今 この夜空に 放つストーリー ふいに足が止まってしまっても 呼吸しながら 運命をまたいだら ただ この身体が 近づく方に スピード上げて 時代を駆けてゆけ 少しずつ届く いつかは離れ離れになっても 乗っかってただ進んでゆけ まだ響く 君の声 グラついてた 今 この心が 描いたストーリー 胸打つ鼓動 ずっと流れてる 奇跡の色 わからないまま ただ この心が 近づく方に 君の向こう 走り抜けてゆけ 遠い 遠い 場所 遠い 遠い 場所
12,Sleepless Night,"
yama",くじら,田中隼人,昔の話をしようか つやのない布にくるまれた 正しいかたちを掴めない 手垢のついた言葉を ゴミ捨て場で眺めてる また今日がはじまってゆく 心ひとつだけで息をするから 両手で包んで、誰のものでもない 70幾億かの朝が来るまで 静かに見える夜にのめり込んでく 淡い桃色に濃い青空が溶けて見えた場所で 日を追うごとに枯れてく ひとひら 幸せの花弁 日々を呑み込んでゆくような 流れと逆側に 向かう人だけが知ってる 無常とも言えないほどの 心ひとつだけで息をするから 両手で包んで、誰のものでもない 70幾億かの朝が来るまで 静かに見える夜にのめり込んでく 淡い桃色に濃い青空が溶けて見えた はらり 薄紅の春 じわり 湿る夏の夜も からりと乾いた秋空も 銀色 冬の朝も 変わらない 君だけの命の詩を ふいにしたあの匂いで 開いた箱には溶けかけた 氷菓子が一つあるだけだよ 君はもうとうにそこを超えてる 振り返るよりも揺らいだならば 今あなたは何で立っている？ ここまで生きられた証を紡いでゆけ 今もここで
13,タルト,"
yama",TOOBOE,TOOBOE,別れ際 ベッドの隅で 煙草の残り香を吸った 昨夜のダンスも一つわからず 困らせてばかり 芝居だらけのこのフォーリンラブ 刺し合っちゃって 愛を纏ったナイフ 気にしちゃいられない流血が 身体行き交ってそれで御休み 物憂げな夜に悲しくなれるのは 貴方を愛しているから 涙ぐむ様な月の形が 妖しく笑っては溶けて消えた あの日も変わらず私 愚かに タルトの残りを齧った もう帰ってこないって分かってたのに 見ないフリしてばかり 怖いものだらけのメンタルで 愛を知っちゃって 後ろ指のパレード ワレモノばかりの世界か または異世界か 誰か教えて 非常識な夜に正しく生きるのは 何故かやり辛くて苦手 明日朝早く逃げ出さないか そんな事を考えてた 物憂げな夜に悲しくなれるのは 貴方を愛しているから 涙ぐむ様な月の形が 妖しく笑っては溶けて消えた
14,Downtown,"
yama",くじら,くじら,おままごとは大変でした 夜の街にハイタッチして あからさまに嘘ついてんな 「あらお上手」 上手(笑) 着飾ってたのはダメでした 首 肩 心もいきました アンタのせいで狂いました この先どうすんだ？ねぇ 行く末は歪な形をした悪魔の群れが 錆び付いた目の奥と澱んで濁ったあんたの未来をここで 引きずり出すんだそんで 怪物に喰われちまえばいい 臆病者は寝入りました ネオンが窓から射しました 戯けてみたのが悪かった 「あ～もうダメ…」 気づけば始発の駅でした ため息眠気と吐きました 私のせいで狂いました この先どうすんだ ねぇ ベロッベロに酔っ払って 何がなんだかもうわかんなくなって 異常正論なんでもこい もう何したって 何したって 悪意だけの食卓には 阿鼻叫喚よりも突き刺さるような 視線の先 胸の奥 もう何したって何したって 行く末は歪な形をした悪魔の群れが 錆び付いた目の奥と澱んで濁ったあんたの未来をここで 引きずり出すんだそんで 欲望とか愛とかなんでもいいとかごちゃごちゃうるせえな 薄っぺらい言葉並べて浸ってるだけ ここで さよならしようか君と あの街へと
