,Song,Artist,Lyricist,Composer,Lyric
0,I cannot go back to you,"
ちゃんみな",ちゃんみな・JIGG・Rhyan Besco,ちゃんみな・JIGG・Rhyan Besco,"How are you doing どうしてる？ あれから今まで平気なの？ I'm really really good もうだいぶ忘れた でも美化はまだされないね I closed my eyes You left my mind My tears are dried I cannot go back to you I cannot go back to you but yeah 会いたいとかはたまに思うよ uh baby But I feel so amazing 気持ちよく歌わせて 諦めがつかなくなりそうだから I cannot go back to you あの時さ今思えば 2人の口癖は what is love 結局今でもわかんないんだよね本当の事 秘密がいっぱい 気持ちもいっぱい そんな事してるうちに 私は別の人へ But 後悔はしていない ほら見ろとかもない ただきっとタイミングが合わなかっただけでしょ Been a while Been a while Been a while now 10年後とかにまた恋しよう Nobody knows if it's true But I cannot, can I go back to you I cannot go back to you I cannot go back to you but yeah 会いたいとかはたまに思うよ uh baby But I feel so amazing 気持ちよく歌わせて 諦めがつかなくなりそうだから I cannot go back to you 君もこの歌になって またいつかねなんて言わせないで 私達完璧だった I cannot go back to you I cannot go back to you 今でも会いたいな I cannot go back to you but yeah 会いたいとかはたまに思うよ uh baby But I feel so amazing 気持ちよく歌わせて 諦めがつかなくなりそうだから I cannot go back to you"
1,I'm a Pop,"
ちゃんみな",ちゃんみな,ちゃんみな・Ryosuke“Dr.R”Sakai,Where are you from ey どこでもよくね どこにいたって 別に関係なくね どいつもこいつもジャンル分け ああでもこうでもないってなんで ネガ ハングゴロ マルハミョン モ オテ イ ジェヌンド ダ ウリ オンマ テメ プロップジ プロップジ ナ グゴ ダアルミョンソ へ ミチジ ジェラシー ネガ チョム ヨグル マニ モクッネ 名前なんてないこのミュージック 私だけの本当のメロディーとこの歌詞それだけなのになんで 自由にやらせて I'm a pop I'm a rock and I'm a hiphop I can't breathe in here 息苦しい I'm a pop I'm a rock and I'm a hiphop ヨギン ダップダップヘ 息苦しい どこにいてもみんな気にする 黙って聞いてたけどもうウンザリしてる あいつはヒップホップじゃないヒップホップとか聞き飽きたよドクター ヒップホップとかヒットソングより表現したかった ジャンルとかカルチャーとか正直知らねんだわ 誰っぽいとかあれっぽいとかどこがどうなんですか だまれだまれ評論家気取り押せよ低評価 ナル シブル コ ガトゥミョン イリ ワ コッコッ スムミョン ギヘ ダ ボリンダ 名前なんてないこのミュージック 私だけの本当のメロディーとこの歌詞それだけなのになんで 自由にやらせて I'm a pop I'm a rock and I'm a hiphop I can't breathe in here 息苦しい I'm a pop I'm a rock and I'm a hiphop ヨギン ダップダップヘ 息苦しい 自由に乗りなよ baby 欲張りでなにが悪いの 私だけのこのミュージック ダ ガジゴ シッポ すべて欲しいの I'm a pop I'm a rock and I'm a hiphop I can't breathe in here 息苦しい I'm a pop I'm a rock and I'm a hiphop ヨギン ダップダップヘ 息苦しい
2,As Hell,"
ちゃんみな",ちゃんみな,ちゃんみな・JIGG,"Drinking 犯された罪 少しの高揚感 but I don't worry ついこの間お別れしたのあの彼に Drinking だから少しだけ 痛いからあげれない everything ソーダとサングリアで おかしくなったら考えてもいい あれからこの時を知っていた いくつもの言葉を考えた 悪意を込め 口を突いて 言うつもりだったのにドアが開いて I say f**k me 今すぐ何も言わず Not me あなたの番だよ I know you love me (Fall in too deep) Come in too deep F**k me 私の名前を叫び F**k me as hell 最期の女性(ひと)のように (Come in too deep) Come in too deep あなたを憎んでいたの 言いたい事は沢山あるよ でも頭の想像とは違う言葉が あぁ罪とは呼ばないで I got money, look at my body l'm a lady, I'm so yummy, I can be dirty 私は助けない when you falling down Baby 私のとこに落ちて 地獄はもうすぐ春だよ I say f**k me 今すぐして okay You love it あなたの番だよ I know you love me (Fall in too deep) Come in too deep F**k me 私の名前を叫び F**k me as hell 最期の女性(ひと)のように (Come in too deep) Come in too deep F**k"
3,アーカイブに保存した曲,"
ちゃんみな",CHANMINA,CHANMINA・Ryosuke“Dr.R”Sakai,赤い train の終点の街で あんなに小さかった街で 全てが大きく見えてた あの時は彼と友達が全てで もう流石に全部は覚えてないな ただ全てが始まった 見ないうちに変わっちゃってるな Digidabi doom da ra ta こんな風に急に来た あの時の景色を今でも忘れられてない 心地がよくてどこも懐かしい あの時のあなたに また会いたいかも… Ring ring dong ring ring ring dong また会いたいかも… Ring ring dong ring ring ring dong このステージでミスして あの公園で泣いたな あの子と遊びに出かけて 朝まで帰らない そこでママと喧嘩して 彼とここで初めての キスをしてあの広場で 別れることを学んで 嘘を覚えた Digidabi doom da ra ta こんな風に急に知った 何かが永遠にここには残る気がするって ここで失い夢をみつけた あの時の私に また会いたいかも… Ring ring dong ring ring ring dong また会いたいかも… Ring ring dong ring ring ring dong 光が差す小さな丘 心地いいあなたに また本当に また会いたいよ... Ring ring dong ring ring ring dong 忘れないよ... Ring ring dong ring ring ring dong また会いたいよ What you want tonight まだ同じくらい 愛してるよ You're so beautiful tonight 変わらないで このままでいて また会いにくるね You're so beautiful tonight
4,Yesterday,"
ちゃんみな",CHANMINA,CHANMINA・JIGG,"未だに胸が痛いな ボーッとする車の中 あれ今の信号は 赤だったっけかな 覚えてないな 君のせいでさ 全ての感情が すり抜けてったよ もう危なかったじゃん もうすぐだったよ 泣きたくないやいやいや 今だけは... 昨日の君はひどい事を して私を傷つけたよ 大切な物が壊れた音は鈍く刺さる 探したけどどこのコードにもなかった音だね 君が壊したのに だから怒ったのにさ また言いそうになるよ 『I'm sorry about yesterday』 泣きながらごめんなさいって言う君が (I'm sorry about yesterday) 離れないのどれが愛？ 許したい (I'm sorry about yesterday, yesterday) This is hard for me too まだ君を離したくないや 泣きたくないやいや 君のまえでは 許せない 絶対許せない お互いの為になんないな 今回ばかりは絶対ない そう思ってたのになんか虚しいな また繰り返したくないのに こんな歌を書いたからきっと 君は私の気持ちを知るよ 何でだろう時間が経つと 怒ってた分の倍は悲しくなるんだよ 私はまだ弱い 優しさなんかじゃない 複雑だなどうすればいいか わかんなくなるあんな顔されたら 私は間違ってない なのに私の方が辛い なかったことにしたい 『I'm sorry about yesterday』 許せなくてごめんなさい側に居たい (I'm sorry about yesterday) 行かないでもう一度だけ信じさせてよ (I'm sorry about yesterday) 泣きながらごめんなさいって言う君が (I'm sorry about yesterday) 離れないのどれが愛？ 許したい (I'm sorry about yesterday, yesterday) Yesterday... I'm sorry about yesterday"
5,In The Flames,"
ちゃんみな",ちゃんみな・Ryosuke“Dr.R”Sakai・Avena Savage,ちゃんみな・Ryosuke“Dr.R”Sakai・Avena Savage,You think you know Know what it's like You're seeing smoke But don't see the light Tell me to slow down But I don't wanna slow down no And I hope I didn't show you There's no smile behind the mask Won't believe if I told ya I'm fine with that Call it insanity I'm where I'm supposed to be Right in the flames I'll be okay Nothing to save All of the lonely nights All of the tears I cry Are worth all the pain There's nothing to save I'll be okay So leave me in the flames You think you know 何もかもわかるよ 慣れたよって また言うだろうな バカみたいだ no もし私が君の 思うよりずっと 壊れてたとしたら どこ行くんだよ 水すらないんだよ もうすでに受け入れて 笑っていた 素敵だったな 火花の近くで はにかんだ私は世界一 綺麗だったでしょう... So leave me in the flames
6,Angel,"
ちゃんみな",ちゃんみな,ちゃんみな・Ryosuke“Dr.R”Sakai,"まだ寂しいのは君のせいでもないよ 誰かを想い歌を歌う夜 You said you're the one でもずっとどこか落ち着かない このままだとあなたは私を恋しがるでしょう (涙よ踊れ) 鳴呼あなたとの夜は暖かい でも未だに心は冷えますね (共に踊れ) ほらこのまま2人血が繋がる ほど心を込めて愛をしましょう (涙よ踊れ) あなたはまだわかってない 寂しそうに見えるといつも言うだけで Do you wanna marry me？ yesとも違うでしょ 何がしたいのよ 過去の罪を覗きに 何が善悪もないよ もう最後まで行こうよ Look at me, look at me, look at me You said 少しだけ落ち着いて 傷を付けたくないと抱きしめる 未だに私をよく知らないみたいね (涙よ踊れ) 鳴呼あなたとの夜は暖かい でも未だに心は冷えますね (共に踊れ) ほらこのまま2人血が繋がる ほど心を込めて愛をしましょう (涙よ踊れ) Angel みたいに飛び回るの 悪魔みたいにしがみついて (共に踊れ) Angel みたいに飛び回るの 2人が死ぬまで死ぬまで (涙よ踊れ) Look at my wings 破れてるの あなたがしてきた全ての事たちが今 私を贈ったみたいだね ねぇダーリン泣いてみせて 善も悪も当然 報いを受けるんだよ 私は消せないよ (涙よ踊れ) 嗚呼あなたの涙を忘れません まだ私の心はありますか？ (共に踊れ) もうどれほど愚かと言われても また雨の夜にはおいでください (涙よ踊れ) Angel みたいに飛び回るの 悪魔みたいにしがみついて (共に踊れ) Angel みたいに飛び回るの 私が死ぬまで騙して踊るの (涙よ踊れ) 涙よ踊れ"
7,OVER,"
ちゃんみな",CHANMINA,CHANMINA・JIGG,あなたとわたし幸せな毎日 like yeah 永遠に変わらないそんな気がしてる you stay here あなたの隣それが当たり前なdays あなたはいつも言う 『baby love you 離れないで』 I saw a funny movie まるであれはフィクション where are you my darling？ あの頃のあなたはどこ？ I lied to my friends うまくいってないなんて言えなかったの 本当になりそうで but u know？ とっくに we are over We are over？ Oh baby もう平気なの？ わたしがいなくても (まだ泣いていてほしいの) 勝手でしょう？ わたしかわいいラブソングは似合わないのよ I'm not coming back you know？ なのになんで引き止めにこないの？ どっちが大人子供そんなことを争うとわたしが負けるでしょう ねぇ I'm a famous bad girl 泣かせたりしちゃ kick your ass 助けと男は待たない主義だから あなたは最後に I'm sorry 私は笑って good bye boy って言った割には後悔してるよ 人混みの中サングラスで隠した涙 あなたの love song 未だに in my head ねぇ今のうちら友達になれてる？ もしもあの時強がってなかったら we weren't over？ Oh baby もう平気なの？ わたしがいなくても (baby please come back to me) 勝手でしょう？ わたしかわいいラブソング歌ってるよ Oh baby もう平気なの？ わたしがいなくても (まだ泣いていてほしいの) 勝手でしょう？ わたしかわいいラブソングは似合わないのよ
8,CAFE,"
ちゃんみな",CHANMINA,CHANMINA・Ryosuke“Dr.R”Sakai,"あとどれだけ嘘つけばいいの 甘いメロディーのはずなのに ブラックコーヒーはまだ 飲めないのよならカフェラテなら どうってあなたが聞くから OK それなら大丈夫 あなたの前ではliar 買ってくれたナントカラテと あなたが大好きなブラックコーヒーを 持って席に行って待ってるね 気持ちをこの匂いで誤魔化して 難しいいつもみたいにできない あなたのあなたのせいで 時間がないもう少しで あとどれだけ嘘つけばいいの 甘いメロディーのはずなのに あと少しで言えそうなのに 苦いメロディー (Na na na na na na, Na na na na na na) We're in a cafe (Na na na na na na, Na na na na na na) We're in a cafe あともう少しで 彼女が来れそうだよって言って 向かい側に座りながら 荷物を下に置こうとするあなた こっちに置こうかって言った そういえばあの時はまだ この歌が新曲だった頃だね なんて流れてくるSelena の 歌に乗りながら話した あなたが彼女の良いとこ 話す頃には Cardi B が流れてるよ 不思議と悲しく聞こえる あとどれだけ嘘つけばいいの 甘いメロディーのはずなのに あと少しで言えそうなのに 苦いメロディー (Na na na na na na, Na na na na na na) We're in a cafe (Na na na na na na, Na na na na na na) We're in a cafe 聞いて私がさ あなたに好きだと 言えずにいるのに この時計は tik tok って 進んで行ってるだけ コーヒーは飲み終わりそうね 彼女にごめんねって伝えて あとどれだけ嘘つけるかな わからないから急いで帰った あと少しで泣きそうだったよ 苦いメロディー (Na na na na na na, Na na na na na na) We're in a cafe (Na na na na na na, Na na na na na na) We're in a cafe (Na na na na na na, Na na na na na na) We're in a cafe (Na na na na na na, Na na na na na na) We're in a cafe"
9,GIRLS,"
ちゃんみな",CHANMINA,CHANMINA・Ryosuke“Dr.R”Sakai,"ねーいつからかもわかんない 何も変わらないしさ 私達が世界で一番 キラキラしてると本気で思ってるんだ ありきたりなこの歌を 歌える事がどれだけ幸せかを 教えてくれた my girls これが私達のテーマソング I'm so happy that you're in my life もうハタチだってよ信じらんないね そんな事をまた来年も言うかもね Oh my girls let it go You are so fxxking beautiful Let's sing like me like me like ya like me like me like this Like me like me like ya Like me like me like this 嘘なんかじゃないほら私を見てよ Let's sing like me like me like ya Like me like me like this Like me like me like ya Like me like me like this みんな彼氏がいていいな 羨ましそうに言う わたしとツキカを見て笑う みんなにいつも思ってるバチ当たれって ハルナとユナはどうなん？ 国際恋愛ってカッコいいな サナもマツも順調？ナタはあの人でいいの？ そうユカリなら大丈夫笑えてるよ without you 失敗しても心配ないよ 怖がってないでチャレンジしようよ I'm a your safety いつまでだってwe're fearless ladies Oh my girls let it go You are so fxxking beautiful Let's sing like me like me like ya like me like me like this Like me like me like ya Like me like me like this 嘘なんかじゃないほら私を見てよ Let's sing like me like me like ya Like me like me like this Like me like me like ya Like me like me like this Like this like me like this like, like me Like this like me like this like me You're beautiful Dear my beautiful girls You're beautiful Dear my beautiful girls Oh my girls let it go You are so fxxking beautiful Let's sing like me like me like ya like me like me like this Like me like me like ya Like me like me like this 嘘なんかじゃないほら私を見てよ Let's sing like me like me like ya Like me like me like this Like me like me like ya Like me like me like this You're beautiful Dear my beautiful girls You're beautiful Dear my beautiful girls You're beautiful…"
