,Song,Artist,Lyricist,Composer,Lyric
0,アイヘイトマイバースデー,"
オレンジスパイニクラブ",スズキユウスケ,スズキユウスケ,黄ばんだ壁と天井に むせる平凡にも飽きて 御託を並べながら あいつは正義すらも忘れている 住宅街カップルはキスして 他の奴を思って手を振ってる 救いようのない暮らしでも 誰かの中の誰かでいたいよな 自分の無事だけを祈りながら 他人の不幸に胸を撫でて転がるだけ ハニー報われねーよ いつも半端な気持ちにもなれず また窮屈な頭の中が乾くくらい 誰かのせいにした 浅知恵無我無神経な 物騒でブスな未来の種 器量も肥料も使えねー 安い涙水たまりに落ちた 最終回のお決まりに ケチをつけろ放蕩な破廉恥 生煮えで腐れ 悪い寝相で一生夢を見てろ 死に際の知恵者の哲学はもう 研ぎ澄ました未来にも映らずに膝ついた ハニー報われねーよ いつも半端な気持ちにもなれず また窮屈な頭の中が乾くくらい 誰かのせいにして 最終回のお決まりに ケチをつけろ放蕩な破廉恥 めんどくせーな 白々しくなるほど呆れるバースデー バースデー バースデー アイヘイトマイバースデー
1,イヤーワーム,"
オレンジスパイニクラブ",スズキナオト,スズキナオト,鼻唄 消えない 四時の朝 頭で響いて繰り返す 耳の虫の不安と夏風邪と 火照る微熱と青林檎 丸めた背中 抜け殻になった はしゃいだ後は決まって寂しい かすかに残った あいつの愛しい香りを抱きしめて 鼻唄 消えない 四時の朝 頭で響いて繰り返す 耳の虫の不安と夏風邪と 火照る微熱と青林檎 今すぐ誰かに会いたい 空になり汗が滲むTシャツ 音のうるさい夢にうなされて 熱の時の匂いがした 病み上がりを名乗れそう 丸より少し欠けた ただそれでは意味無し 熱を持つ体温計 摩擦で上げる悪知恵 寝転んだら高速を飛ばして 鼻唄 消えない 四時の朝 頭で響いて繰り返す 耳の虫の不安と夏風邪と 火照る微熱と青林檎 今すぐ誰かに会いたい 空になり汗が滲むTシャツ 音のうるさい夢にうなされて 熱の時の匂いがした 今すぐあいつに会いたい 熱の時の匂いがした
2,駅、南口にて,"
オレンジスパイニクラブ",スズキユウスケ,スズキユウスケ,優しい声は苦味になって 吐き出して見えなくなる そばにいた君の日常を暖めたはずの 両手がかじかんでる 喧騒、ナメた面の夜 げっそりとなに思う 大して綺麗じゃない月の下ひとり 泣けないくせに僻むなよ 終電から先の未来に 俺はいないんだろ ねえ、思い出して欲しくもないけど 君のために生きてやりたかったなぁ 本当はもうどうでもよくなりかけた 春先に見栄を張り合って ひび割れて落ちてガラクタになったプライドを 不憫な日々に飾った 笑えないくせに冗談言うなよ 終電から先の未来に 俺はいないけどね 誤魔化して生きていけるでしょう 君のために生きてやれたら 泣けないくせに僻むだろう 終電から先の未来に 俺はいないのに もう、思い出して欲しくもなるんだよ 君のために生きてやれなかったなぁ ただただだらだら自由すぎて 君を不自由にさせたんだろう 優しい声は苦味になって 飲み込んで見えなくなる
3,ガマズミ,"
オレンジスパイニクラブ",スズキナオト,スズキナオト,冷たい手が行き場を無くして 初めての春がくる 1つ上の階の足音に起こされて 煙を浮かべた 締め付ける生活の跡と 味蕾で覚えてる蜜の味 君が奪われて 僕が全部奪いとった 優しい人 自分の棘も愛せたら 汚れた手で触れていいかい 言葉は痛い 本音は汚い 綺麗事じゃない 綺麗でいたい 優しい人 君は僕を愛していた その隣で僕は僕だけの事を考えてた 君の夢の残骸の上に立ち 最後の去り際さえ 奪われた君のせいにした 冷たい手はもう浮浪に慣れ 二度目の春を待つ 舌打ちの後 壁を蹴ってうぜえと ひとりで声に出した 首筋の独占の歯跡 未来に残せなかった形 ひたすらに優しさだけで 愛せないのは不安だから 優しい人 手放し目を隠しながら 歩いた白線の距離 言葉を聞きたい 本音を知りたい 本当は君を知りたくも無い 優しい人 君は僕を信じていた その隣で僕は僕の歩幅を数えていた 君の夢の残骸の上に立ち 最後の去り際さえ 奪われた君のせいにした 染み付いた生活の匂い 過去に見た未来と今の暮らし あの日と変われない動悸に焦っていく 焦っている 暖かく柔らかい場所で 二つ目の心臓の音を聴く 君の目に写る光を見てみたいよ 見ていたいよ 優しい人 自分の棘も愛せたら 汚れた手で触れていいかい 言葉は痛い 本音は汚い 綺麗事じゃない 綺麗でいたい 優しい人 君は僕を愛していた その隣で僕は僕だけの事を考えてた 君の夢の残骸の上に立ち 最後の去り際さえ 奪われた君のせいにした つま先立ち覗くフェンス越えて 地面に音を立てた
4,キンモクセイ,"
オレンジスパイニクラブ",スズキナオト,スズキナオト,溜まりに溜まって、また迷惑かけて 無邪気が過ぎた僕を叱って ああでもないこうでもない 君に愚痴吐いて生き間に合ってる 坂道の途中でぶちまけたサイダー 襟をつまんで揺らしてる 生ぬるい風で汗は乾いてく 信号のない十字路2人で話した 日が暮れるくらい 呆れるくらい 信号のない十字路 君は反対方向を見ていた ずっと見ていた やっぱビビッときてるよ 君のイメージ金木犀よ 香りまで妄想しちゃうなんてバカね 夏の終わりの初夏の気温は 気持ちをとっくにのせてた 最高 あんた最高 グッときた心臓バンっと割れる 前髪で隠さないで 君はいつも言う 目つきの悪い僕の目 みるのは少し斜め ゴミで溢れた部屋で思った 握ってたいのはスマホじゃない あんたの右手だ 言うことは単純だけど 今じゃ出来てるアイコンタクト 体温すらも 一目で分かる 夏の終わりが寂しいなんては とっくのとっくに消えてた 最低 すら最高 ギュッとなる心臓パっと晴れる ハルが酔ってみているような 黄色っぽい映画のその先を 君の歩いたスピードを 思い褪せて焦っていく空 やっぱビビッときてるよ 君のイメージ金木犀よ 香りまで妄想しちゃうなんてバカね 夏の終わりの初夏の気温は 気持ちをとっくにのせてた 最高 あんた最高 グッときた心臓弾け飛んだ やっぱビビッときてるよ 君のイメージ金木犀よ 香りまで妄想しちゃうなんてバカね 夏の終わりが寂しいなんては とっくのとっくに消えてた 最高 もう最高 グッときた心臓バンっと割れる 溜まりに溜まって、また迷惑かけて 無邪気が過ぎた僕を叱って
5,コーヒーとコート,"
オレンジスパイニクラブ",スズキユウスケ,スズキユウスケ,街を飛びててぼくと暮らさないかい きっと寒いから上着は忘れずに コーヒーが冷めるまえにおいでよ きみの仕事もラクじゃないけど いつかやめたらこっちに来なよ 過剰な期待はしないでおいでよ まだ片道で 中途で貧相な妄想 きみと会って話がしたい でもいつも同じ話で笑う うれしい うれしい うれしい きみといれば ふたりだけのラブソングをうたおう 君は馬鹿な人ねと笑った ぼくがいなくなったら きみは悲しんでくれるかな ありがちな気持ちを駆けぬけて 手のひらの隙間をうめる うれしい うれしい うれしい きみといれば ふたりだけのラブソングをうたおう うれしい うれしい うれしい きみといれば かわいい名前呼びたくてぼくは生きてる きみは振り向いて笑ったあと、 冷めたコーヒーを飲んでコートをかけた
6,37.5℃,"
オレンジスパイニクラブ",スズキユウスケ,スズキユウスケ,下がらない微熱が消えなくても 君に会うと忘れてしまう 靄の窓の内側25時の風 いつも思っている事なのに 君に会うと忘れてしまう フラフラの脳内相まってまずい林檎をかじる アパートの風呂場に君の影 枕越し ぬるい夜 その隙間で朝を待ってる 明日になったらとっくに忘れてることも 愛した両手と体は覚えている 世話が焼けるじじぃになっても 世話を焼けるばばぁになってね 優しさで 君の優しさだけで あくびの終わりぎわ 君の冷めた言葉の先の温かさまで 何十年後かに君が思い出せるような 人生のループにキスをする 明日になっても また会いたくなる気持ちは ゆっくり溶け合っていく スキになる まあ、君がいりゃいいや 微熱はまだ下がらないけど
7,スリーカウント,"
オレンジスパイニクラブ",スズキナオト,スズキナオト,八転びで九つ目 放棄 ひとつずれたハートの底に 静かにだけれども確かに火照る 残った途中を抱えている 眠い瞼と重たいカラダ それでも光は君を起こす イラつくあの顔 浮かべながら 平凡な事が軽傷で済んでいるから弛んでいる 正反対の影響の正反対の翼で飛ぶ 手首を切って距離を測っても おそらくあいつは浮かれないが 懐かしい顔を思い出す度に ヤケになり ついに腐っていく 植物気取り 冷たくなれば 恐らくすぐにあいつに会える 愛しいあの顔 浮かべたなら 平凡な奴の結晶を積み重ねたら迎えに行く 平凡な奴で結構 正反対の翼で飛ぶ 平凡な事が軽傷 正反対の影響の正反対の翼で飛ぶ
8,退屈かもしれない,"
オレンジスパイニクラブ",スズキナオト,スズキナオト,嫌な女の生臭い匂い 引き攣る顔をごまかせたら 街灯に群がる虫を横目に こそこそと裏でせこく抱いた 退廃被れ 吐いたりしてえだけ アルミ缶 9% 釈然としねえって顔でいる三日月は イラついて 隠れて 歪な夜を捨てる もう腐ってしまって去ってしまったが 勝手に待った 閉まって待ってを振り払って 今度はバレないように好かれないように 聞こえないようにしたい そんな夜は退屈かも知れない 立たないクララ 勝てないパンマン 冴えないまんま見逃すキネマ 見た目は大人で脳ガキの逆コナンは そんな安い味を絞めてた 空虚と風俗 寒い空調 冷えたら抱く調子外れた中毒 隠してたノートの愛の言葉の先で君を壊したい 10 数えたらバイビー もう後ろは振り向かないね その身勝手な手で振り払って 今度は泣けないように笑えないように つまらない恋がしたい 次の愛は退屈を選びたい もう腐ってしまって去ってしまったが 勝手に待った 閉まって待ってを振り払って 今度はバレないように好かれないように 聞こえないようにしたい そんな夜は退屈かも知れない
9,たられば,"
オレンジスパイニクラブ",スズキナオト,スズキナオト,足を引っ張って しがみついても誰かで居たい 余計なお世話でいい 迷惑でも守ってあげたい 覚えてるかい 最後まで勝手なまま 振り返る事もなく 見えなくなった瞬間の数分間で 頬をつねった あの時君が思った事 朝焼けに照らされてた君の顔 どんな表情でどんな事を 思ってたかはもう知れないし またまた大げさにヘコんだって 2万キロ圏内たかが知れてる距離間 まあ幸せだよな 歯並びが悪いから 寝つきが悪いから 言葉に詰まるから 鏡を見れなかった 卑屈だった 僕の目は 柔らかかった君の声を 押さえ込んで 切りつけて 破り捨てたのかい 知らない君の知らない場所 走る電車 改札が近い車両は先頭車両 ありきたりのルーティン中 君の顔を忘れてる またまた大げさに僻んだって 2万キロ圏内たかが知れてる距離間 愛がなんだってんだ 聴かせたかった 歌などもう無い 俺は幸せでいい
