,Song,Artist,Lyricist,Composer,Lyric
0,愛のレンタル,"
マカロニえんぴつ",はっとり,はっとり,愛していたいのに消えてなくなってしまうな やめられないよ 感情的にはなれない君は僕と踊ればいい ずっと僕と踊ればいい Hey！ 現代をランスルー こっから先、ねえどうする？ たぶん続く愛の貸し借り 劣等、葛藤、ぜんぶ他人事 たまにはママに会いたい 先生の言うこと(いいこと) 10年経って響いたぞ アイ・ラブ・ユー＆ミー Ah 恋の下書き、溜めては消してを繰り返す 夢の中で僕のことを探して？ 愛していたいのに消えてなくなってしまうな 手に負えないよ 最終的に笑えない君も僕と踊ればいい ずっと僕と踊ればいい 憂いのでんでん虫かよ 電話もぜんぜん無視かよ どんどん積もる愛の延滞料ダ ぎゅっと、そっと、もっと大胆に 甘えてほしいのに 大袈裟に欲しがってほしいのに いつから僕たちは 交われないことになったのかな 忘れないでね、忘れてしまった事 返してくれるなら 愛してみせるのに 愛していたいのに消えてなくなってしまうな やめられないよ 感情的にはなれない君は僕と踊ればいい ずっと僕と！ 愛していたいのに消えてなくなってしまうな 手に負えないぜ 最終的に笑えない君も僕も踊ればいい ずっと僕ら踊ればいい
1,歩き続けて,"
マカロニえんぴつ",サティ,サティ,夜が明けて気がつけば昼 息をつけば暮れてる 道を往く人々も気づいている いい天気ね もう秋かね 君はずっと上の空 話しかけたって無駄だね 届いてはいないの 夜に流れる涙を見て我に返るよ 行き先も知らぬままで 歩き続けて来たんだ 悲しみも喜びさえも怖くて 指先で触れ合えば 分かり合えるはずなんだ 今もまだ 消えぬ影と歩いている 微睡みの靄の中君がよく歌ったメロディー ずっと探したって 意味ないんだって 行き先も知らぬままで 歩き続けてしまった 悲しみも喜びさえも怖くて 指先で触れ合えば 分かり合えるはずだった 今もまだ 癒えぬ影と歩いている
2,生きるをする,"
マカロニえんぴつ",はっとり,はっとり,僕が僕を愛し抜くこと なあ、まだ信じてもいいか？ どこへ向かう旅だとしても あれ、いつからだ？本音が弱音になったな 逃げないことが強さになった なあ、見つからない？自信じゃなく自分自身 きっとまだ探せてない忘れものがあるはず ずっとまだ伝えてない伝えたい言葉 見ててくれるなら魅せてみせるのに 僕が僕を愛し抜くこと なあ、まだ信じてもいいか？ くすぶるのは、ちゃんと燃えたからだ どこへ向かう旅だとしても ただ、目を見開いて夢を見る 夢を知る よう、生きてるかい？ 本当の強さ きみだけが分かってればいいのさ 逃げたり傷ついた数だけ居場所は増えたりする 見ててくれ 姿じゃなく生き方を 僕が僕を愛し抜かなきゃ 終わらない聖者の交信、悲しみの縫い目に投げキッス どこへ向かう旅でも行こうぜ まだ手をとりあって 脳、映像、スカイはグレー、夜を駆ける 束の間、終幕、裏切りは愛のおまけ かさぶたになる日々 美しくはないのサ 腰に巻いた正義の切れ味はどんなだ 僕らは違う痛みを生きる 勇敢でいたい、立ち向かいたい 眠っていたストーリーを凄いスピードで覚ましたいや 僕が僕を愛せる強さを かなり愛してもいいか？ くすぶるのだ、燃えカスになるまで どこへ向かう旅だっていいさ いいのさ ただ、目を見開いて息をする 生きるをする
3,イランイラン,"
マカロニえんぴつ",はっとり,高野賢也,明快 そう回想の暮れ 限界です 甲斐性の揺れ 出来りゃ好かれ合っていたいが 時間が足りないな 想定内 相容れないジョークも 例外 停滞した夜も 出来りゃ分かち合っていたいが 時間がないよな 離れるな、まだ縋っててよ 空寝喰らっても許して 苦し紛れの嘘も使い果した 離れるの？まだ焦らしててよ そりゃね、揺らいだりするよな 間違ってないって、泣いたりしないで 重なって溶け合って、それが怖くて これまでと今日からそれだけを問う 繋いでたしかめ合って、たまに忘れて これまでと今日からそれとなく問う 明快 そう回想の暮れ 絶対的 最小の擦れ 出来りゃ浮かれ合っていたいが 気分が乗らないな 針チクタク とくに屈託ない絵空を並べてみる 針チクタクズレて進む 間違ってないって、何処で分かったの？ 重なって溶け合って、それが怖くて 一瞬が全てだって、それが嫌いで 重なって溶け合って、それが怖くて これまでと今日から飽きもせず問う 繋いでたしかめ合って、たまに忘れて これまでと今日から それとなく問う これほど痛いなら 君だけを取る
4,嘘なき,"
マカロニえんぴつ",はっとり,はっとり,ちょっと知りすぎて、何も知らない僕らなら きっと神様だって邪魔はできないだろう いつか君に本当に愛するひとができて 僕が思い出になってしまう日に備えよう 透き通る涙に嘘って名前をつけて この素晴らしい日々を そうだな、夢とでも呼んで 本当に本当に何も信じられなくなった時だけ 夢の中で嘘泣きしていいぜ、いいんだぜ 「ねぇねぇ、どうして大事なものは無くしちゃうの？」 「たぶん、どこへ行っても探せる自信があるからだよ」 いつか君が本当に大事な夜に出逢ったら 離すなよ、逃げるなよ、迷わずに飛び込めよ 好きと嫌いばかりで疲れてしまったね この素晴らしい日々は、できたらもう探さないで 本当に本当に誰も信じられなくなった時だけ 夢の中で嘘泣きしていいぜ、会いに行くぜ 6月19、雨の中 あれ泣いてたのか、笑ってたのか 「晴れた日なんて似合わないから」 その言葉が離れないな、ずっと離れないな どこに行ったって見つからないよ ここで待ってたって戻らないよな たまに夢の中で嘘泣きしてみる 拝啓、夏があまり似合わなかった君へ 僕はそれなりに今日もロクデナシでいます いつも二、三歩前を下向いて歩いていたね この街の夕陽は笑えないくらい綺麗だ 知ってた？
5,遠心,"
マカロニえんぴつ",はっとり,はっとり,絡まり続ける言葉に君が気付いて目を逸らす 謝り尽くせる馬鹿だぜ 余計な恐怖が今日も降る 螺旋の上か、中か外か 「分からず屋」と吐き棄てる 間違いだらけの毎日が愛しいばかりでさ 眠れぬ夜の心音の風景 空に浮かべてる また朝が少し遠くなる 定まり切らない言葉は 君を射抜いてくれるのか 眠れぬ夜の向こう側 話をしよう、話をしよう 螺旋の先で、秘密の場所で 「分からない」を抱き寄せる 間違いだらけの毎日が愛しいばかりでさ 眠れぬ夜には手を振るぜ 僕に気付いてよ また君が少し遠くなる 騒がしい夢なら目を覚ましてくれるのか お願い、もう少しだけこの場所を許して 間違い探しに疲れてしまったな サヨナラ、僕らの夜とダンボールの惑星 間違いだらけの毎日が愛しいばかりでね 眠れぬ夜の心音の風景 空に浮かべてる また朝が少し遠くなる 間違いだらけの毎日を懐かしむばかりでさ 必ず僕らまた会おうね、夜に溺れましょう また君が少し遠くへ行く また日々は少し色を失くす
6,OKKAKE,"
マカロニえんぴつ",はっとり,はっとり,「大事なお知らせ」にまた大事にされなかった 信じてたのにあなたの事 あなたたちの音楽 腹立つなあ 「バンドはね、生き物だから」 とか、分かってんだってそんなこと 魅せてくれた情けない生き樣は 焼き付いて離れないや ずっと歌っていてくれよな？ 売れそうにない音程で ずっと二人の距離は埋まんないよ って笑っておしえて 待っていてあげる一生ね、ごめん凄い好き 「ああ、アイツらね、三年くらい前にちょっとキテた感じの」 出た出た出た出たよ 黙ってダッセぇ曲ばっか聴いてろよな ずっと歌っていてあげるね 流行らなかった名曲を 潰されそうな夜にだけは どうしたって逢いたくなるもんで 酔っていてその才能に、クサい台詞に 変わってしまうなよ かばって仕舞うか弱さと真面目さ 叶わぬ優しさ、嘘くさい照れ笑い まだ鳴り続ける、あたしの青春が ぶっ飛ばして枯らしてくれ！ ずっと歌っていてくれよな？ 売れそうにない音程で グッと来たあの瞬間から正義なんです永久に だから歌っていてあげる一生ね、 まだ流行らない名曲を叫んでいる
7,哀しみロック,"
マカロニえんぴつ",はっとり,はっとり,フローリングカーペットは 頭の中といっしょのごっちゃな色に しようよ、目が疲れないように アメリカンフローズンコーク 風に当たって溶けるの待とうよ 待とうよ 気が抜けて気持ち悪いだろ それがいいんだろ？ 行かなきゃ 僕は君の犬になれるけど 君はね、猫だから大丈夫 ひとりでも大丈夫 哀しくロック、それでもロック 君を今も愛しているからね 剥がれかけの今日までを褒めてやる 哀しみロック、朝までロック もう無意味に鳴いたりしないから 溢れかけの「さよなら」まだ堪えて 行かなきゃ、君の犬でいるよ 君はね、猫だし大丈夫 ひとりでも大丈夫 哀しくロック、それでもロック 飽きるまで僕だけを撫でてよね 壊れながら掴んだまますり抜ける 哀しみロック、朝までロック もうムヤミに吠えたりしないから 溢れかけの「さよなら」まだ堪えて 柔らかすぎる肌、血と汗の匂い 取り留めのない嘘もどうせ忘れんだ 哀しくロック、それでもロック 君を今も愛しているからね 剥がれかけの今日までを褒めてやる 哀しみロック、朝までロック もうふざけて呼んだりしないでね 溢れたての「さよなら」だった 溺れたって泳げるよと僕騙して
8,カーペット夜想曲,"
マカロニえんぴつ",はっとり,はっとり,"しょげないでお姉さん お寿司食って笑って 追わないでよかった恋があったネ 負けないでお父さん Oh, 歳食った若手 勝てないと分かっても闘うのヨ Even then, life goes on I'm in high hopes Even then, life goes on I'm in a dream somebody gave up 泣かないでお母さん お味噌汁をすすって あと何回ちゃんと礼を言えるかナ 愛犬クッキー 天国でお散歩 みんなみんな抱きしめたい dula tu-la... dula tu-la さよなら。青い鳥になって歌おう dula tu-la 愛や貰い泣きを渡して生きよう きっと映画の中だね 誰もがジョージ & マーティ オン・ザ・カーペット 天井を見つめる 愛情クッキー 焦げ目が愛おしい お嬢さん、冗談はどの程度？ 繋いだ手の温度のこと、隠した本当のコト dula tu-la かなしく。赤い星に乗って歌おう dula tu-la 死や幸せを背負って帰ろう 雨に人は流れて、ビルは踏ん張って 恋人たちは間違いを覚えない 毎日が毎日イメージした通りに過ぎる 最高の最期を目指して服を着る dula tula... ライフ・イズ・ショート？大事にしようっと dula tula... どうか会えるうちに会いたい人に！ dula tu-la さよなら。青い鳥になって歌うね dula tu-la 愛や幻を語って生きよう きっと映画の中だね 誰もがチーフ & ランドル 寝転ぶ晴れた午後 オン・ザ・カーペット 天井を見つめる"
9,girl my friend,"
マカロニえんぴつ",はっとり,はっとり,分かりきった事だけを 確かめる夜が堪らなく好きだ 回りくどい話を省くなら 君が居れば幸せだ すばらしい日々、馬鹿らしい 間違ったとこだけ塗り直したい 分かち合うほど無意味になる歓びに 今気付いたんじゃなあ 染まり切ってさよなら じゃあ、僕じゃない誰かとそれなりにね 回りくどい話を省くなら 君が好きだった 死ぬほど 腑に落ちない 許せない 交わった温度が塗り潰せない 信じるためについてくれた優しい嘘に 今気付いたんじゃなあ 本当にごめんね こんな僕で ごめんなこんな僕で ただそれだけ「だから何？」 なんで泣いてたの？ 分かってない 分かりたくない 本当にごめんね こんな僕で ごめんなこんな僕で 通いまくった君の部屋 見慣れすぎた体 聞き飽きた声 死ぬならまだ日が落ちる前にね わざとらしく甘えて じゃれ合った猫の真似で終われた 息苦しくていつも開けていた窓に いま気付いたよ 本当にごめんね こんな僕で ごめんなこんな僕で 震える声「またいつか」 いつかなんて来ないの 分かってる 分かってるけど 本当にごめんね こんな僕で ごめんなこんな僕で ただそれだけ「あのねまだ」 なんで泣くかなあ 分かってる 分かってるから 本当にごめんね こんな僕で ごめんなこんな僕で もし邪魔じゃなかったらどっかに 仕舞っておいてね
