,Song,Artist,Lyricist,Composer,Lyric
0,One Love,"
嵐",youth case,加藤裕介,伝えたくて 伝わらなくて 時には素直になれずに 泣いた季節を 越えた僕らは 今とても輝いてるよ それぞれ描く 幸せのかたちは重なり 今 大きな愛になる ずっと二人で 生きてゆこう 百年先も 愛を誓うよ 君は僕の全てさ 信じている ただ信じてる 同じ時間(とき)を刻む人へ どんな君も どんな僕でも ひとつひとつが愛しい 君がいれば 何もいらない きっと幸せにするから 雨の中で君を待ってた 優しさの意味さえ知らず すれ違いに傷ついた夜 それでもここまで来たんだ かけがえのない 出逢いは奇跡を繋いでく 思い出 重なりあう はじまりの歌 鳴り響いて どんなときも 支えてくれた 笑い泣いた仲間へ 心込めて ただひとつだけ 贈る言葉はありがとう 百年先も 愛を誓うよ 君は僕の全てさ 愛している ただ愛してる 同じ明日約束しよう 世界中に ただ一人だけ 僕は君を選んだ 君といれば どんな未来も ずっと輝いているから ラララ…
1,僕が僕のすべて,"
嵐",100+,加藤裕介,もし僕があの日 少し違う未来を選んだとしたら 揺れている窓に映る 見慣れた日々に問い掛けてる 人は誰も憧れ傷つき ただひとつ選んだ現在(いま)を 大切にしながら きっと生きている ありのままで もう一回歩き出そう 悲しみ越えて 誰のでもない 名もなき道を 明日もそう 夢に 向かって 悩んで 笑って 笑って 今ここにいる 僕が僕のすべて それだけは変わらない もし僕があの日 君に強がりもせず素直でいれたら ふと胸に浮かぶ思い 切ないけれど今は愛しい 人は誰も出会いと別れに それぞれの思い出重ね 新しい明日を ずっと生きてゆく 僕は僕の 人生も運命も 抱きしめてゆこう ひとつひとつが 輝くために 春夏秋冬を 走って 走って 走って 走って 確かな事は 僕が創った道 それだけは変わらない そう 未完成で 立ち止まった不安を 儚くも過ぎ去った時間を ありのままの自分を受け入れたら この誓いで未来を 切り開く様に この思いが届きますように 今以上に 自分のこと 信じるよ ありのままで もう一回歩き出そう 悲しみ越えて 誰のでもない 名もなき道を 明日もそう 夢に 向って 悩んで 笑って 笑って 確かなことは ひとつだけ 僕は僕の 人生も運命も 抱きしめてゆこう ひとつひとつが 輝くために 春夏秋冬を 走って 走って 走って 走って 今ここにいる 僕が僕のすべて それだけは変わらない
2,SUPER DELICATE,"
Hey! Say! JUMP",野島伸司,加藤裕介,ああ僕には 君にしか見せられない顔がある 他人の前では空気を読んで 作り笑いを続けている もっと頑張れと言われたら 素直に頷(うなず)いたりもする 子供の頃は知らなかった 自分がこんなに臆病だなんて 泣きたいよ 泣けないよ この胸が張り裂けそうさ 君にしか見せられない顔がある 君にしか見せられない顔がある 大丈夫と微笑(わら)ってくれた ああ僕には 君にしか見せられない顔がある 大人になると学習をして 偶然なんかに頼らない だけどもしかしたらそれは 奇跡だったりしないだろうか 不思議な力が湧いてくる 君が勇気をくれたんだね 愛してる 愛してるんだ この胸が張り裂けそうさ 君にしか見せられない顔がある 僕にしか見せられない顔がある? いつまでも いつまでも手を繋いでいた ああ僕には 君にしか見せられない顔がある 子供の頃は知らなかった 自分がこんなに臆病だなんて 泣きたいよ 泣けないよ この胸が張り裂けそうさ 君にしか見せられない顔がある 君にしか見せられない顔がある 大丈夫と微笑ってくれた ああ僕には 君にしか見せられない顔がある
3,ラピスラズリ,"
藍井エイル",Eir・加藤裕介,加藤裕介,夜空を舞う蒼き三日月 まばゆい世界は雲を越え 今奏でる旅立ちを 願いは彼方へ流れゆく 形の無い物語が 月明かりへ染み渡れば 君の中の宝物が 今 風に溶けてゆく 明日はありのままで羽ばたいてみよう いつかどこかで君は欲しがったよね 聞こえるだろう ほら輝いていたあの日の夢 夜空を舞う蒼き三日月 まばゆい世界は雲を越え 今奏でる旅立ちを 願いは彼方へ ああ この夢が果てるまで 砂に描いた明日への地図 風がそっと奪い去っても 空に浮かぶ道標が きっと導いてくれる 悲しみならば何度乗り越えたんだろう いつも君は傍で微笑んでいたよね 人は誰もまた失うほどに求めるけど 終わりのない夜を壊して 涙を明日へと繋げよう 心を映し出せたら 夜明けを探しに ああ 強い風を抱きしめて 抗(あらが)う鼓動がこの胸の奥 熱く燃やしても くもりの無い 碧い瞳は 新しい世界に 夢を見て 夜空を舞う蒼き三日月 まばゆい世界は雲を越え 今奏でる旅立ちを 願いは彼方へ ああ この夢が果てるまで 夜を壊して 涙を明日へと繋げよう 心を映し出せたら 夜明けを探しに ああ 強い風を抱きしめて
4,一度だけの恋なら,"
ワルキューレ",唐沢美帆・加藤裕介,加藤裕介,一度だけの恋なら 君の中で遊ぼう ワガママな キスをしよう ひらひらと舞い散る この花を まだ 数え足りない 星空を 全てが君のせいだと 涙こらえても 誰にも言えない胸騒ぎ (届け) 壊れるまで (届け) 羽ばたくまで (時の) 胸の奥に (果てに) 秘めた祈りを 感じるまま 信じるまま 何もかも飛ばせ GYUN！ GYUN！ GYUN！ 一度だけの恋なら 君の中で遊ぼう 光より速くキスをしよう 待っててね 忘れかけた体も ただ聞こえる心も 夢の中のシガラミなんて 飛び越えて ほら 攫(さら)って 迫って このまま イナズマが夜空を焦がすころ わたしの情熱も燃え上がる 心と体はひとつ 思い知らされる 言葉にならない焦燥感 (二人) めぐり逢えた (二人) 探し合えた (闇に) 空(くう) に咲いた (光る) 君の命火(いのちび) 弾けるまま ひらめくまま ハート撃ち抜いて BANG！ BANG！ BANG！ 二度とない激情を 君の夢で踊ろう 宇宙(そら)より大きく抱き締めて ぎゅっとして 見せかけの強さより 名ばかりの絆より 同じ時を生き抜いてく 覚悟して ほら 奪って 縛って まだまだ 満ち足りた衝動を 離さないで 君史上 最速で捕まえに来て！！ 一度だけの恋なら 君の中で遊ぼう 光より速くキスをしよう 待っててね 忘れかけた体も ただ聞こえる心も 夢の中のシガラミなんて 飛び越えて ほら 攫(さら)って 迫って 二度とない激情を 君の夢で踊ろう 宇宙(そら)より大きく抱き締めて ぎゅっとして 見せかけの強さより 名ばかりの絆より 同じ時を生き抜いてく 覚悟して ほら 奪って 縛って まだまだ
5,Tears,"
嵐",小川貴史・SQUAREF,加藤裕介,涙を溜めた 夜空の星 どこへ流れて 消えるのだろう 違う道を選んだけれど 声が 聞こえる気がするよ 君の 言葉じゃなくて分かり合ってた 微笑むたびに輝いてた 一秒ごとに離れてくあの頃に 今の僕は何を語ろう 解けた指先が 君を探したまま 心まで叫び続けてる 若すぎた僕らの 季節取り戻せるなら もう二度と離れないように 愛せるから 帰りを急ぐ 人の流れ 小さな背中 君を見てた 違う未来を見ることなど 二人ないと信じていた あの日 あれからずっと一人だけど 閉じるまぶたに二人写して そんな当てのない日々は過ぎるけど 僕はずっと未来なくしてた 君以上がなくて 大人になれなくて 言葉にならないほど切ない 許されるのならば 君といる世界だけを 優しく包み込むように 愛せるから 解けた指先が 君を探したまま 心まで叫び続けてる 若すぎた僕らの 季節取り戻せるなら もう二度と離れないように 愛せるから
6,サム＆ピンキー,"
Hey! Say! JUMP",八乙女光,加藤裕介,今の世界で この地球で アナタとボクがほら出会った これを何と言う? Hey お散歩でもしないかい? Say 自分歌うたう気分! JUMP ここは一つ アクティブに 自由に跳び回ってみよう ダンス! 華麗なステップで ロック! エアギターに限る 大胆にさあ! さらけ出すのさ! プランNoプラン 人それぞれのMy World かき混ぜれば 見たことない 鮮やかな 奇跡生まれる チャンス! チャンス! チャンス! チャンス! こんな世界で こんな地球で アナタとボクが今笑い合う これを何と言う? ハイペース! 仕事すぐ終わる人「おつかれーぃ」 スロー じっくりタイプな人「、、、。」 「テスト以外ってその場しのぎ」って前日から本気出す人 (大ちゃんフルパワー!!!) ベース 怒鳴るテレビの人 ギター 転んじゃった子供 おっと! 今の自分 どんな人なの?? 不安と不満 ぶつかり合ってもいいじゃん それでこそマイセルフ 変わり者 人気者 アダムとイヴも ダンス! ダンス! ダンス! ダンス! 今の世界で この地球で アナタとボクが ほら出会えた こんな世界で こんな地球で アナタとボクが今笑い合う これを何と言う? 不安と不満 ぶつかり合ってもいいじゃん それでこそユアセルフ 変わり者 人気者 アダムとイヴも ダンス! ダンス! ダンス! ダンス! 今の世界で この地球で アナタとボクが ほら出会えた すれ違う人達もみんな希望のDreamer 今君と出会えたのは たぶん I need you Ah... Ah... Ah... サム&ピンキー 今君と出会えたのは 絶対 I need you
7,さよならセンセーション,"
せんせーションズ",Vandrythem,加藤裕介,共に見てた空と 友と見てた夢と 思い出を心に 旅立ちの時 終わりなきもの 夢の如し 相思相愛 理想の思考 運命線セパレーションで さぁ いざ舞い散れ Ready Go！ 忘れえぬ思いが あふれてる 揺るがないもの 愛の如し 大器晩成 君に Good Bye Say！ 最前線で劣勢だってさ Save したいこの地球 君が僕を 強くしてくれたんだ そして今、君を超えてくから ずっと見てて さよなら このセンセーション ありったけの愛ぶつけた 笑いながら君は そっと受け止めてくれた 涙 ずっと 消えないけれど 悲しいことじゃないんだよ 泣き笑い 互いに背を向けて 歩き出してく 共に歩んだ日々 友と学んだ場所 思い出が輝く 今日の良き日に 何気ない日々 金の如し 空前絶後 釈然 Let's Go！ そつがないって育ったんじゃ まさかの壮大？ 勿体無い 君が僕に 教えてくれたんだ 出来ないことは何一つない だから今 さよなら 僕のセンセーション 笑ってよって 抱きしめられた 僕はずっとずっと 君が好きでした 涙 未だ止まらないから 世界はボヤけてるけど 僕が行きたい未来は 確実に見えてるんだぜ！ 忘れないよ さよなら このセンセーション ありったけの愛ぶつけた 笑いながら君は そっと受け止めてくれた 涙 ずっと消えないけれど 悲しいことじゃないんだよ 泣き笑い互いに 背を向けて 歩き出してく 共に見てた空と 友と見てた夢と 思い出を心に 旅立ちの時 最後に愛を込めて 「ありがとう さようなら」
8,GIFT,"
Hey! Say! JUMP",小川貴史,加藤裕介,舞い散る雪は輝いて 見上げた空 白く染めてく 君の笑顔が素敵で 繋ぎ合うこの手を握りしめた 知らない君を知るたびに 嬉しくなる温かくなる ひとつひとつ開けてゆく 君からの贈り物みたい 時は過ぎるものじゃなくて きっと降り積もるこの雪のように重なるから 世界でひとり 一番大切な人 君のすべてを抱きしめるから 同じ夢の中へ 変わらない想いを集めて いつでも 言葉じゃ上手く言えなくて 伝えたくて 見つめ合った夜 寒いこんな日は なぜかいつもより素直になるから 決して大げさなことじゃない 君と巡り会うため きっと僕は生まれてきた 世界でひとり 一番大切な人 一秒さえも見逃さないように 離さないよ君を どこまでも続いてく道を ふたりで もどかしい優しさの中で 感じたのはホントの気持ち 澄んだ瞳の奥には 柔らかな君の心が見えた 世界でひとり 一番大切な人 君のすべてを抱きしめるから 同じ夢の中へ 変わらない想いを集めて いつでも
9,約束,"
KinKi Kids",浅利進吾,加藤裕介,まだ、誰も知らない 揺らぐ心の行き先 君の髪をそっと撫でる 何かを確かめたくて 心 (大事だと) 映し出す (想うほど) 鏡を (真実は) 覗けば (遠ざかる) 愛しい姿が消えてく 僕ら愛を重ね合って 約束を交わした 他の誰も踏み込めない 二人だけの場所で だけど君は綺麗になる 僕のいない場所で 僕はなぜか 目を閉じて 気付かないフリをした …痛むから まだ、誰も知らない この迷いの向かう先 長い睫 瞬きして その瞳 誰を見るの? 声を (何気ない) 聞きたくて (相槌も) 君の名 (他愛無い) を呼ぶよ (会話でも) 近くにいるよな気がして 僕ら愛を重ね合って 約束を交わした 他の誰も踏み込めない 二人だけの場所で だけど僕が微笑む度 愛を囁く度 君はなぜか 目を閉じて 息を飲み込んだのは …痛むから? 化粧を落とす 鏡越し 視線が教えていた こころのゆくえ 知る事は 全てを失う事なんだと 僕ら愛を重ね合って 約束を交わした 他の誰も踏み込めない 二人だけの場所で だけど君は綺麗になる 僕のいない場所で 僕は今日も 目を閉じて 気付かないフリをする …痛むから
