,Song,Artist,Lyricist,Composer,Lyric
0,I am foolish,"
家入レオ",家入レオ・西尾芳彦,西尾芳彦,"love you, good bye 悲しみに支配され 優しさを忘れていた 繰り返されていく 過ちの連鎖に I am foolish like a little bit of heaven 鳴り止まぬ赤い怒号 難破船は何処へ向かう？ 許されざる者は 現実の扉を いくつも 開けない 愛のために歌え 声を枯らして泣いて 愛のために踊れ 心解き放つから 笑えなくてもいい I am foolish 最果ての闇の向こう 五秒間の夢を見てた 過ぎ去りし思い出は 穏やかな風の中 彷徨い 溶けてく 愛のために歌え 涙零れぬように 愛のために踊れ 空と大地揺らして 進めなくてもいい you are foolish 難破船は何処へ向かう？ 愛のために歌え 声を枯らして泣いて 愛のために踊れ 心解き放つから 笑えなくてもいい I am foolish like a little bit of heaven I am foolish cause I'm loving you"
1,I Wish,"
家入レオ",家入レオ・jam,多保孝一,I wish やわらかいベッド 潜り込んで 泣いてる人の 幸せを願う I wish あたたかいスープ やさしい朝 みんなの笑顔 そっと願う I wish 僕はまだ何もできないけど ママのことを ちゃんと守れるんだ I wish 今よりも大きくなった時に 世界を守る 僕になる 街で 見上げる人は 忙しそうな顔をして歩いてくけど Everybody knows Everybody's wanna be たったひとつの勇気 今はまだこんな 小さい掌だけど 誰よりも信じてみよう きっと手を繋いだら 優しくなれる 笑ってる 僕の願い I wish 眠れない人がそこにいたら 僕の毛布 貸してあげるんだ I wish 友だちとクッキー食べる時も 半分こが 嬉しいね みんな 子どもだったって 僕とおんなじだったって 本当なのかなぁ Everybody knows Everybody's wanna be たったひとつの夢を 忘れたくないよ 僕は大人になっても 誰よりも信じてみよう きっと 笑われたって 世界を守る それだけが 僕の願い みんな 忘れてるだけ 子どもの僕も 知ってるよ 笑う幸せ Everybody knows Everybody's wanna be たったひとつの勇気 今はまだこんな 小さい掌だけど 誰よりも信じてみよう きっと手を繋いだら 優しくなれる 笑ってる 僕の願い この空に 今届け
2,愛してないなら,"
家入レオ",杉山勝彦,KOUDAI IWATSUBO・高慶“CO-K”卓史,“君はこれからどうしたいの？” 黙ったままに 耐えられなくて “分かった”と伝えた優しさが 棘に変わって胸を刺した 何も言わないのが 私のための はずがないでしょう？ 君もいい加減 気づいて Ah 愛してないなら 抱きしめないで サヨナラを告げるのが私なら 優しくしないで 叶わない願いにしがみついて 自分らしさを 見失うのは嫌 心に着せた 幾重にも重なる 服を脱がせて 欲しかった そっと “おやすみ”と耳元をくすぐる いつも通りの君の低い声 狡いと思いながらも返す 拒めるほどに強くはない だけど 目を合わせて 本音を話してくれなかったら 私が飽きてしまうよ Ah 未来がないなら 抱きしめないで 信じて傷つくのが私なら 優しくしないで もしもまだ愛しく思うのなら 言葉にするくらいできるでしょう？ 心に着せた 幾重にも重なる 服を脱がせて 欲しかった そっと 涙の雫が あなたの頬を伝って 私を濡らす 泣いたのは どうしてなの？ 気持ち分からなくて 揺れる 愛してないなら 抱きしめないで サヨナラを告げるように 君の腕 解いて離した 叶わない願いにしがみついて 自分らしさを 見失うのは嫌 心に着せた 幾重にも重なる 服を脱がせて 欲しかった そっと
3,あおぞら,"
家入レオ",家入レオ,水野良樹,“もう少しだよ”“まだやれるよ” ずっとひとりで 君は君を励ましながら 歩いてきたんだね そんな顔で笑ったりしないでよ 晴れた青空 明日を想う 僕がいるよ あの日の君に まだ届かずに 寂しくて 誰よりも頑張ってきた君 涙こぼすことは かっこ悪いことかな？ 今こころに触れさせて 怖いのは同じだよ だいすきな君へ 歌わせてラヴソング 手紙を書こう そう思うのに 言葉が心に追いつかなくて 大事なものは いつも目に見えない だから歌の魔法を信じてる 白い便箋 折り鶴にして 君にあげるよ 願いを込めて 言葉を超えて 羽ばたいていく 誰よりも頑張ってきた君 どんな時もわたし見守っているから 自信のない顔はやめて 弱さは強さに変わる だいすきな君へ 歌わせてラヴソング 逃げないで 本当の気持ちから 本当の自分から 今を見つめて ちゃんとわたし分かってる 君のこと信じてる もう一度だけ あの空へ 誰よりも頑張ってきた君 涙こぼすことは かっこ悪いことかな？ いつか晴れた空見上げ ふたりで笑ってるといいな だいすきな君へ 歌わせてラヴソング
4,明日また晴れますように,"
家入レオ",家入レオ,西尾芳彦・家入レオ,小さな ベンチで 今日も fine day 変わらない 景色は 僕を見つめた どこからか響く 懐かしいメロディ 君と歌いながら歩いた この帰り道で La la la la... 君の場所まで 今すぐ届け La la la la... 果てしない空 超えていけるよ ふたつの影がゆらゆら 何気ない 会話で easy easy 柔らかい 君の手 掴んで 走ってた 見つけた落書き 空には飛行機雲 教えてくれた おまじない 覚えているよ ずっと La la la la... 君と誓った 夢があるから La la la la... 浮かべた涙 弾けて消えた 明日また晴れますように On a day after rain 交わしてた約束が 僕らを連れ出して誘うよ On a day after rain 光りだす 重なる声で何処までも 描いていけるから La la la la... 君の場所まで 今すぐ届け La la la la... 果てしない空 超えていけるよ ふたつの影がゆらゆら 明日また晴れますように
5,アフターダーク,"
家入レオ",家入レオ,須藤優,もしも 運命の地図があるとして ふたり出逢ってしまうなら また来る冷たい朝も 君だけ 見つめてたいの ここから輝く星を見てた イヤフォンで孤独満たす 渋谷の夜 ざらついてる 人の群れ 交差する幻で 君の体温を見つけた 息もできず 怯えてた あの日の 痛みさえ 抱き締めて 夢の中へ もしも 運命の地図があるとして ふたり出逢ってしまうなら 傷付け合えばいいよ 心の奥に触れて 現実は何も言えなくて 今日も眠りにつくけれど また来る冷たい朝も 君だけ 見つめてたいの ねぇ今その瞳は何を見てる？ 素直な眼差しで 射抜いて欲しい 終電から こぼれ出す 光がこじ開けた 宇宙 隠れ家を探した 大人たちに 嘘ついた あの日の唇を湿らせた 君のせいで もしも 運命の地図があるとして ふたり出逢えずにいたなら 今すぐ逢いたいと願う 君だけ 探し続けて もしも 運命の地図があるとして いつか辿り着けるのなら 果てまで行けばいいよ もっと そばにいさせて 裏切りも 嘘も あの指も全部 大事にしてるから 私を失っても 君だけ 信じてたいの
6,a boy,"
家入レオ",家入レオ・西尾芳彦,西尾芳彦,何を見てるの？ 何を言ったの？ そらした その瞳で 思い通りの シナリオなんて 誰も 書けないよ Story 一人じゃない でも Lonely... Night 抱きしめて この世界で Take my hand 曖昧な 未来はいらない 探しつづけて 単純な この世界に 答えはなくて 迷わないように 見ているからね 振り向かないで うつむかないで 壊れた 心で 声を失くした 人魚のように 君は 泣いてるの？ Story 淡く消えた あの Cry on... Night 願い事 一つだけ Take my hand 曖昧な 想いはいらない 真実だけを 誰かの 愛じゃなくて 君が見ている 光が欲しい 逃げないからね 雨に濡れた つばさ広げて 風を受けて 扉 開いて 飛び出して ゆけるから Day by day 奇跡は 巡り巡り 君へと続く Take my hand 曖昧な 明日はいらない 傷ついたって 涙を真珠に 変える奇跡を 起こして見せて 手を振り返しても
7,ありきたりですが,"
家入レオ",杉山勝彦,杉山勝彦,泣きもせず 君はサヨナラ告げるんだね わたしは遠慮して 泣けなかっただけよ 初雪の空 つめたい人ね だけど 思い出すの 優しかった頃の あの笑顔 ありきたりですが まだ好きです 平気なふりして過ごすけど ありきたりですが さみしいです そう言うことさえできなくて 一日がとても長いです 大袈裟な夢を 得意気に話す君 仕草 真似るわたし 向日葵が笑った日 角を曲がれば ばったり君と なんて あるはずない 何しているかな 君は今 ありきたりですが 気になります のど風邪ひきやすい 君だから 温まるものを作ってあげたい おなかが空くたび思います 君とのごはんが恋しくて “悲しい時にはそばにいる” 言ってたのに 嘘ばっかり 積もらず 消えてく 雪のように 綺麗に 恋が溶けたら良いのに ありきたりですが まだ好きです 平気なふりして過ごすけど ありきたりですが さみしいです そう言うことさえできなくて 君じゃなかったら ダメなんです 寒いねってこの手引く人は 君じゃなかったら 嫌なんです どうして 離れて しまったの 寒さがなんだかこたえます
8,Answer,"
家入レオ",家入レオ・Kanata okajima,家入レオ・久保田真悟(Jazzin'park),はじまる気がする あたらしい僕が 気付いたら泣いてた 笑い声が響いた あの日の夢はどこ 答えて 答えて 答えて そうさ もがくばっかで 意気地なしで 平気な振りして 嘘くさいものと 手を繋いでた 誰かの瞳の為にはもう生きない 僕を曝け出すよ どうして信じれないの？ 手を差し伸べる 君がねぇ いるのに 最後のチャンスを 僕に贈るよ 震える横顔 君も怖いの？ はじまる気がする あたらしい僕が ダメだと 呟いた 誰と一緒にいても その場凌ぎの関係 だらしない明日が笑った そうさ 言葉ばかり 飲み込んでいた 嫌われたくなくて こんな僕を 僕は好きなの？ さよならは怖くないよ ひとりじゃない やっと 気づけたんだ どうして信じれないの？ 変わろうとしてる 僕がねぇ いるのに 最初のチャンスを 僕に贈るよ 過去から届いた 君の言葉 今になって分かった あの日の愛が 答えはいらない 今日ここにいる 僕が全てだから 知らないことは よろこびだと 思える自分でいたい どうして信じれないの？ 変わろうとしてる 僕がもう いるのに ひとりぼっちになる 強さを贈るよ ねえ この声を聞いて どうして信じれないの？ 手を差し伸べる 君がねぇ いるのに 何度でもチャンスを 僕に贈るよ 笑って また泣いて 繰り返してゆく そうして 生きていく あたらしい僕が
9,Unchain,"
家入レオ",家入レオ・HANAE,須藤優,乾いた喉とひび割れてる唇 咥えたタバコ 灰色の夜に 返せない着信 言えない寂しい 積もった後悔が胸で冷えてる 進めない 戻れない 駅のホームで 最終電車乗り込む君に手を振ったよ 今でも まだ 夢見ている 誰かの夢を 着せられたまま 今でも あぁ 愛している 誰かの夢で 眠る君を 誰もいない部屋に響く ため息 終わってく今日 また 鍵を閉めた 思い出したワンシーン 遠いほど愛しい それとなく笑って大人になったけど 分からない 探せない 僕は誰なの？ 朝が来れば3番線に乗り込んで行くだけ 今でも まだ 夢見ている 誰かの夢を 着せられたまま 今でも あぁ 愛している 誰かの夢で 眠る君を 今でも 今でも
