,Song,Artist,Lyricist,Composer,Lyric
0,僕と僕,"
川崎鷹也",川崎鷹也,川崎鷹也,巡り巡るふたつの世界の中で 未だに僕は迷いながらも いつか振り返って笑えてるのか 選んだ道が正しかったと言えるように この道は 何度も通ってるはずなのに 何故だろうか なんだかいつもと違ったみたい あの時選んだのは自分自身で 心の曇り空はなかなか晴れず 後悔を押し殺し涙堪えて それとは裏腹に夜空は今日も輝いてる 巡り巡るふたつの世界の中で 未だに僕は迷いながらも いつか振り返って笑えてるのか 選んだ道が正しかったと言えるように あの頃は 何度も壁にぶつかっていた だけど それすらも楽しもうとしてた自分に出会う 現実はこうだとか諦めかけた 何かと理由をつけて逃げてばかりだ 心の奥底にはもがきながらも 夜空に輝く星のように 僕も 巡り巡るふたつの世界の果ては きっとひとつに繋がってるだろう いつかどちらを選んだとしても 笑える未来が待っていると信じて 巡り巡るふたつの世界の中で 未だに僕は迷いながらも いつか振り返って胸を張れてるか 選んだ道が正しかったと言えるように 選んだ道が正しかったと言う為に
1,ヘイコウセカイ,"
川崎鷹也",川崎鷹也,川崎鷹也,夜が明けて 目が覚めた また同じ今日の始まりだ 昨日見た夢ならば 何ひとつ思い出せないや そうやって繰り返す毎日 こうやって過ぎ去ってく日々 それなりに頑張ってるフリだけど 分かってるんだよ 狭間で彷徨う自分のこと 平行線の世界に立って どちらが正しいか 未だに僕は行ったり来たり不確実なまんま 生命線の伸びる方へ指をなぞったまま 今の鼓動は未来の方へ動いてるんだろう いつもなら諦めてた 適当に言い訳並べて 何故か今 今だけは 笑えてる勇気が湧いてる ひとしきり涙は流した 気が付けば雨は上がってた 報われない頑張りもあっただけど もう一度だけ踏み出す一歩に五光が差す 平行線の世界に立った 向こう側の僕は 未だに僕を指差してあざけ笑ったまんま 生命線の伸びる方へ指をなぞったなら 今の鼓動は未来の方へ向かってるんだろう 平行線の世界に立って どちらが正しいか 未だに僕は行ったり来たり不確実なまんま 生命線の伸びる方へ指をなぞったまま 今の鼓動は未来の方へ動いてるんだろう 未来の方へ向かってるんだろう
2,あなたへ,"
川崎鷹也",川崎鷹也,川崎鷹也,何が正しいのか 何が間違ってるのか 偽りのない世界は ほら目を閉じたら心の中 無理して頑張るあなたは 自分で思ってるより強くないよ 鏡の中で涙を流した あなたへ それなら 今日よりも明日の方が きっとちょっと笑えるように まだまだ見上げれば虹が掛かって 今日よりも少しだけ明るい未来(あす)へ 意地張って頑張るあなたは 自分で強くないの分かってるんだろう 鏡の中で唇噛み締める あなたへ そうさ 明日からまた少しだけ 一歩一歩 進めるように これから無理をして頑張らずとも 見渡せば手を差し伸べてくれる 晴れ渡るこの空の下 明るい明日の為の今日 雲間から差す光の方 かけがえのないあなたの笑う顔 それなら それなら 今日よりも明日の方が きっともっと笑えるように まだまだ見上げれば虹が掛かって 今日よりも少しだけ明るい未来(あす)へ
3,ありがとう、ありがとう,"
川崎鷹也",川崎鷹也,川崎鷹也,ありがとう今 喉から言葉が出る ありがとう以上のセリフを探している ありがとうただ伝えたいだけなのに 何故だろうか、涙が溢れるのは 同じ帰り道を 同じように2人で歩いてるだけ 君の横顔が煌めいて見えた あの夕日がいつもより綺麗だったからかな 「そうだ夜ご飯何食べる？」 僕を見た笑顔の後ろ側の 太陽がまるで映画のワンシーンみたいで 台本なんてないけど僕からの愛の歌 ありがとう今 喉から言葉が出る ありがとう以上のセリフを探している ありがとうただ伝えたいだけなのに 何故だろうか、涙が溢れるのは 「そうだ来週はどこに行く？」 僕を見た麗しい瞳の奥 僕の部屋がまるで映画の舞台上みたいで カメラアクションはないけど僕からの愛の歌 この瞬間を 忘れたくないから ファインダー越しに君を見つめるよ ポーズとらなくても 何気ない日々が ただ愛しいんだよ たまらないんだよ ありがとう今 喉から絞り出した ありがとう以上のセリフは浮かんだけど ありがとう たった5文字の羅列なのに 何故だろうか ありがとう今 喉から言葉が出る ありがとう以上のセリフを探している ありがとうただ伝えたいだけなのに 何故だろうか、涙が溢れるのは 抱きしめた 言葉以上の言葉
4,明日未来,"
川崎鷹也",川崎鷹也,川崎鷹也,言葉だけじゃ 気持ちだけじゃ 伝えられないことがある この両手は 手を取り合って 笑い合って生きる為にある 昨日の過ちも空にかざせば 未来のあなたは またひとつ 輝いてゆくだろう そう あの星のように 同じ空の下 人はそれぞれ違うから だからこそ愛し愛されていく 暗闇の中を1人で彷徨うなら 手を繋いで明るい明日の方へと まだ見ぬ未来へ歩いて行こう 生まれてきた意味ならば 幸せになる為で いつから僕らは意味もなく傷つけ合うんだろう 流した涙は またひとつ 僕らを照らすだろう そう あの虹のように 同じ空の下 それぞれ違っていいから だからこそ愛し愛されていく 1人じゃ見えないあの山の先にある 景色を共に見に行こう まだ見ぬ未来へ歩いて行こう 同じ空の下 人はそれぞれ違うから だからこそ愛し愛されていく 同じ空の下 それぞれ違っていいから だからこそ愛し愛されていく 同じ空の下 人はそれぞれ違うから だからこそ愛し愛されていく 同じ空の下 それぞれ違っていいから だからこそ愛し愛されていく 同じ空の下 みんな違っていいから だからこそ愛し愛されていく だからこそ愛し愛されていく
5,ぼくのきもち,"
川崎鷹也",川崎鷹也,川崎鷹也,パパ ママあなたたちの元 選んでこの場所に生まれてきた パパ ママまだ話せないから 今はありがとうを込めて大声で泣くね 長い間 いつ出ようか 焦らして 心配かけてごめんね 何度も 話しかけて お腹をさすってくれてありがとう 分かってるあなたたちの愛情 届いてたママの中にいる時から 出てきた時のあのパパの顔 きっとこれから先の笑い話に 覚悟しててね パパ ママあなたたちの元 選んでこの場所に生まれてきた パパ ママまだ話せないから 今はありがとうを込めて大声で泣くね ぼくのこと 待ってた？ たまにね 心配になる だけど 2人で撫でてくれたり 匂いを嗅いでるの分かってるんだよ 眠い目擦って抱き上げてくれること いつでも側にいてくれること お風呂で慎重すぎるあのパパの顔 きっとこれから先の笑い話になるだろう ぼくが泣くのは不満があるから だけじゃないよ うまく言えないけど ぼくが泣くのは パパとママに伝えたいだけ 『産んでくれてありがとう』 パパ ママあなたたちの元 選んでこの場所に生まれてきた パパ ママまだ話せないから 今はありがとうを込めて大声で泣くね 話せるようになったら言うよ、ありがとう パパとママに向けたぼくのきもち
6,道しるべ,"
川崎鷹也",川崎鷹也,川崎鷹也,何度も諦めかけた 汚れてるユニフォームを見た 僕らが過ごした日々は 舗装された道じゃない きっと この涙は 今溢れ出す 駆け抜けた日々も笑顔も汗も血も 道しるべになる 今未来への消えることのない それぞれの軌跡を辿って 行け 描いてた理想の僕らは 笑い合い肩を組んでた 照りつける太陽の下 泥だらけで語った 今流れ出す 駆け抜けた意味も争って 涙を流したあの日も 今未来への絶えることのない それぞれの夢に向かって 行け 今溢れ出す 駆け抜けた日々も笑顔も汗も血も 道しるべになる 今未来への消えることのない それぞれの軌跡を辿って 行け
7,Young Song,"
川崎鷹也",川崎鷹也,川崎鷹也,いつの間にか心から笑えない いつの間にか愛想笑いが増えてく そんな下向いていたんじゃ幸せは逃げていく 夜明けまでハシャいだ あの若かりし頃 さぁ 次はどこ？ 共に行こうか道なき道ならなおさら さぁ 誰と行こう？ 手を繋ごうかどこまでだって行けるよ 狭き道も楽勝さ 君となら あの頃は未来のことなんて 知らんぷり なぁ、今はどうだい？楽しめてるのかい？兄弟？ そういえばもう何年もバカ笑いしてないな 夜明けまで語った あの若かりし頃 さぁ 思い出せ！ 共に行こうか デコボコ道ならなおさら さぁ 誰と行こう？ 手を繋ごうか 何にだってなれるよ 狭き道も楽勝さ 君ならば さぁ 次はどこ？ 共に行こうか道なき道ならなおさら さぁ 誰と行こう？ 手を繋ごうかどこまでだって行けるよ まだまだ さぁ思い出せ！ 共に行こうか デコボコ道ならなおさら さぁ 誰と行こう？ 手を繋ごうか 何にだってなれるよ 狭き道も楽勝さ 君となら 君ならば
8,カレンダー,"
川崎鷹也",川崎鷹也,川崎鷹也,カレンダー 君は可憐だ 出会ったあの日から 最後の恋だと決めていたんだ 帰り道は時間をかけて できるだけゆっくり歩いた 君のバックにぶら下がってる ぬいぐるみも寂しそうだ 君に会える当たり前じゃない かけがえのない時間のこと 次の電車また見逃して 時計の針よ どうか カレンダー 君は可憐だ めくる日々に丸をつけた ふたり巡り会った日 カレンダー きっと晴れんだ 出会ったあの日から 最後の恋だと決めていたんだ 会えない日も 君だけ想う 日々、指折り数えて 会える日までのカウントダウン 君の写真見つめてニヤけて眠れないんだ 四季折々過ごした 僕らだけのカレンダー 色をつけていこう 幾つになっても 僕のこの部屋から 見えるあの星には 2人の願いがほら煌めくだろう 離れてても ファインダー越しに見つめた 僕にとっての愛しい人 またすぐ会いたくなんだ 君のこと想えば想うほど カレンダー 君は可憐だ めくる日々に丸をつけた ふたり巡り会った日 カレンダー きっと晴れんだ 出会ったあの日から 最後の恋だと決めていたんだ 会えない日も 君だけ想う 会えない日も 君だけ想う
9,I believe in you,"
川崎鷹也",川崎鷹也,川崎鷹也,『じゃあ、またね』さっきの会話が 何度も響いて離れない 会えなくなるより辛いのは いつものようにケンカできないこと 大荷物を持った君は少し寂しそうに 無理して笑ってひとこと『泣くな男だろ』 I believe in you 君だけ 想って 生きてきたから 何があっても、ずっと 守ること誓うよ I believe in you 君との 未来だけ 見てきたから 何があっても、ずっと 傍にいて欲しいよ I miss you baybe
