,Song,Artist,Lyricist,Composer,Lyric
0,"Starbucks, Me and You (English Ver.)","
平井大",Corey K・EIGO(ONEly Inc.)・Dai Hirai,Dai Hirai,"In this holiday there's happiness Moments of magic on the way Yeh our happy story “Good times with Me and You” Red cups with a melody Can't you see, that this is the miracle that we've been waiting for yeh that's the miracle Miracle Now it's the season I carry round My favorite latte with the ginger aroma I'm coming I'm coming to see you, right now Yeh it's that time of the year again Where we can be chilly and cheery it's easy the time has come For the special season once again No matter who you are you'll be drawn To the happiest sounds of the bells Everybody say hey It's like magic The magic of this whole night In this holiday there's happiness Moments of magic on the way Yeh our happy story “Good times with Me and You” It's really here it's right here It's like a fairy tale night All of the stars are shining bright The perfect story “Good times with Me and You” Red cups with a melody Can't you see, that this is the miracle that we've been waiting for yeh that's the miracle Miracle The family we don't even know just yet The important people in our lives that keep growing every day That's what I wanna talk about with you Yeh we have the treats for all of us to eat The tree and the candles are set so perfect and now look Must be magic The magic of this whole night In this holiday there's happiness Moments of magic on the way Yeh our happy story “Good times with Me and You” It's really here it's right here It's like a fairy tale night All of the stars are shining bright The perfect story “Good times with Me and You” Red cups with a melody Can't you see, that this is the miracle that we've been waiting for yeh that's the miracle Miracle A night where we won't lose our warmth And we won't lose our love It's a special night that's been gifted It's been gifted from above So next year and beyond It will always be like this In this holiday there's happiness Moments of magic on the way Yeh our happy story “Good times with Me and You” It's really here it's right here It's like a fairy tale night All of the stars are shining bright The perfect story “Starbucks, Me and You” Red cups with a melody Can't you see, that this is the miracle that we've been waiting for Yeh that's the miracle that we've been waiting for Yeh that's the miracle that we've been waiting for Yeh that's the miracle Miracle"
1,I WILL,"
平井大",平井大・EIGO,平井大・EIGO,果てしない旅 上手くいかず投げ出したくなる夜には ココロのままに隠さず 時には泣いたっていいんだ 昨日の悩みが愛を育て 今日の涙が笑顔を咲かせ 明日の希望が未来を照らす光になる 静かな 包み込むような波の日もあれば 大きな 風に煽られて荒れる夜もある 感じた 孤独も嵐のように去って きっとまた笑える時が来ると信じて 未来へと続いてく光の先に 希望へと繋がってく夢をあなたに 星の彼方 海の向こうまで届くように I'm singing for you... ずっと I WILL いつかの擦り傷はもう 痛くなくなってるでしょう？ 少しの跡を残して 僕たちを強くさせてく 昨日の痛みをやさしさに 今日の悔しさを全ての糧に 明日への夢を未来に変える力にして 大丈夫 今は暗くても夜明けがすぐそこに待ってる 見えない不安も期待に変えて進んでく この広い世界で 出会い 共に歩む意味がここにあるから 未来へと続いてく光の先に 希望へと繋がってく夢をあなたに 星の彼方 海の向こうまで届くように I'm singing for you... ずっと I WILL どこまでも続いてく光 追いかけ あなたへと繋がってく夢を見つけに 虹の彼方 空の向こうで出会えるように I'm singing for you... ずっと 未来へと続いてく光の先に 希望へと繋がってく夢をあなたに 星の彼方 海の向こうまで届くように I'm singing for you... ずっと I WILL
2,I SHOT THE SHERIFF,"
平井大",Bob Marley,Bob Marley,"I shot the sheriff, but I did not shoot the deputy I shot the sheriff, but I did not shoot the deputy All around in my home town They're trying to track me down They say they want to bring me in guilty For the killing of a deputy For the life of a deputy, but I say I shot the sheriff, but I swear it was in self-defense I shot the sheriff, and they say it is a capital offense Sheriff John Brown always hated me For what I don't know Every time that I plant a seed He said, “Kill it before it grows” He said, “Kill it before it grows”, I say I shot the sheriff, but I swear it was in self-defense I shot the sheriff, but I swear it was in self-defense Freedom came my way one day And I started out of town All of a sudden I see sheriff John Brown Aiming to shoot me down So I shot, I shot him down, I say I shot the sheriff, but I did not shoot the deputy I shot the sheriff, but I did not shoot the deputy Reflexes got the better of me And what is to be must be Every day the bucket goes to the well But one day the bottom will drop out Yes, one day the bottom will drop out, but I say I shot the sheriff, but I did not shoot the deputy, oh no I shot the sheriff, but I did not shoot the deputy, oh no"
3,I don't want to miss a thing,"
平井大",Diane Eve Warren,Diane Eve Warren,"I could stay awake just to hear you breathing Watch you smile while you are sleeping While you're far away and dreaming I could spend my life in this sweet surrender I could stay lost in this moment forever Every moment spent with you is a moment I treasure Don't wanna close my eyes I don't wanna fall asleep 'Coz I'd miss you baby And I don't wanna miss a thing 'Coz even when I dream of you The sweetest dream would never do I'd still miss you, baby And I don't wanna miss a thing Laying close to you Feeling your heart beating And I'm wondering what you're dreaming Wondering if it's me you're seeing Then I kiss your eyes And thank god we're together I just want to stay with you in this moment forever Forever and ever I don't wanna close my eyes I don't wanna fall asleep 'Coz I'd miss you baby And I don't wanna miss a thing 'Coz even when I dream of you The sweetest dream would never do I'd still miss you, baby And I don't wanna miss a thing I don't wanna miss one smile I don't wanna miss one kiss I just wanna be with you Right here with you just like this I just wanna hold you close Feel your heart so close to mine And just stay here in this moment For all the rest of time Don't wanna close my eyes Don't wanna fall asleep 'Cause I'd miss you, baby And I don't wanna miss a thing 'Cause even when I dream of you The sweetest dream will never do I'd still miss you, baby And I don't wanna miss a thing I don't wanna close my eyes I don't wanna fall asleep 'Cause I'd miss you, baby And I don't wanna miss a thing 'Cause even when I dream of you The sweetest dream will never do I'd still miss you, baby And I don't wanna miss a thing"
4,I'm yours,"
平井大",Jason Mraz,Jason Mraz,"Well, you done done me and you bet I felt it I tried to be chill, but you're so hot that I melted I fell right through the cracks Now I'm trying to get back Before the cool done run out I'll be giving it my bestest And nothing's gonna stop me but divine intervention I reckon, it's again my turn To win some or learn some But I won't hesitate No more, no more It cannot wait, I'm yours Well, open up your mind and see like me, Open up your plans and damn you're free Look into your heart and you'll find love, love, love, love Listen to the music of the moment, people dance and sing, We're just one big family And it's our god-forsaken right to be loved, loved, loved, loved, loved So I won't hesitate No more, no more It cannot wait, I'm sure There's no need to complicate Our time is short This is our fate, I'm yours Do you want to come on, scooch on over closer, dear And I will nibble your ear I've been spending way too long checking my tongue in the mirror And bending over backwards just to try to see it clearer But my breath fogged up the glass And so I drew a new face and I laughed guess what I'll be saying is there ain't no better reason To rid yourself of vanities and just go with the seasons It's what we aim to do Our name is our virtue But I won't hesitate No more, no more It cannot wait, I'm yours Well, open up your mind and see like me, Open up your plans and damn you're free Look into your heart and you'll find that the sky is yours So please don't, please don't, please don't... There's no need to complicate 'Cause our time is short This oh, this oh, this is our fate I'm yours I'm yours I'm yours"
5,ily...,"
平井大",EIGO(ONEly Inc.)・Dai Hirai,Dai Hirai,"can't stop thinking about you 24 7 days a week チグハグなボクのスニーカーの 結び目を見てキミが笑う 「これが一番ほどけないんだ」というと 「私たちみたいって」キミがまた笑う カタチのないものを恐れては 言い訳ばかりでごまかして来たけれど キミに出会ってしまった今のボクは 言い訳をしない言い訳を探してる どんな言葉で言えばいいの？ まるで最後の初恋さ 抱き寄せた肩はとてもあたたかくて 愛しくて大切でやわらかくて その素顔に触れるたび そのココロに触れるたび 抱き寄せたまま言えない ily... 取り柄のない想い出たちと 変わりばえのない日々の暮らし それでも「それが幸せなんだよ」なんて キミが言い聞かせるように笑った どんな顔で返せばいいの？ まるで無力な初恋さ 手繰り寄せる未来をボクのこの手で でも少し不安で少し未完成で 言葉にしたら消えそうな 抱きしめたら壊れそうな でもたしかな想いがここにあるんだ can you hear？ i'm calling your name wanna say, i love you 抱き寄せた肩はとてもあたたかくて 愛しくて大切でやわらかくて その素顔に触れるたび そのココロに触れるたび 抱き寄せたまま言えない ily... can you hear？ i'm calling your name wanna say, i love you can't stop thinking about you 24 7 days a week can't stop thinking about you oh baby i love you"
6,Island Queen feat. ALEXXX,"
平井大",Dai Hirai・ALEXXX,Dai Hirai・ALEXXX,"[ALEXXX] Shawty let's go,We  bout to ride out Ready to go go, ready to go go go Shawty let's go, don't let me go We bout to take off tonight with the islandream I Love U 届かないこの気持ち 愛してる 終わらない Love story I wanna be with you girl いつの日か迎えに行く 誰に何を言われたとしても 真夜中に声聞けるmagic 通話時間も気にならないくらい 話に夢中な君にlove you そろそろ伝えられるかな calling calling 約束の時間 気づいたら 小鳥のさえずり 午前5時 焦りだす二人 今日も一限目はbe late I can't wait to see your smile I can't wait to kiss you again 世界中の誰よりも君が一番輝いてるよ こんなダメな僕だけど 絶対にいつの日か I'll be your prince charming 奪いたい 左の薬指 I love U 届かないこの気持ち 愛してる 終わらない Love story I'm wanna be with you girl いつの日か迎えに行く 誰に何を言われたとしても Shawty let's go! go! go! oh oh oh～ Shawty let's go! go! go! oh oh oh～ Shawty let's go! go! go! oh oh oh～ You are number one! You are my Island queen my baby！ あの日した 約束も 果たせないまま時は過ぎて 指切りした温もりが切ないくらい忘れられない calling calling 秘密の電話 朝まで 二人夢の中 『いつの日かそのときが来るまで待っててくれるよね？』 I can't wait to see your smile I can't wait to kiss you again 世界中の誰よりも多分 君のことを思ってるよ 僕以外の誰かと 話してるそれだけで 胸が熱くなるんだよ… そのぐらいあなたのこと I Love U 届かないこの気持ち 愛してる 終わらない Love story I wanna be with you girl いつの日か迎えに行く 誰に何を言われたとしても [ALEXXX] Hey girl you are the only one. You lighten my life yeah, you are the only one. one day I'll live up to your fantasies, take you all around the world, then you won't let me go. For now I'm hustling for our eternity, keep that smile on your face that I love to see. Me want your sweet love girl, wanna see it every time in the morning. Don't whine now girl,you know I'm never gonna let you go. Shawty let's go, don't let me go. 届かないこの気持ち Shawty let's go, don't let me go. 終わらない Love story Shawty let's go, don't let me go, We gonna take off tonight with the island dream. いつの日か迎えに行く 誰に何を言われたとしても I Love U 届かないこの気持ち 愛してる 終わらない Love story I'm wanna be with you girl いつの日か迎えに行く 誰に何を言われたとしても Shawty let's go! go! go! oh oh oh～ Shawty let's go! go! go! oh oh oh～ Shawty let's go! go! go! oh oh oh～ You are number one! You are my Island queen my baby！ Shawty let's go! go! go! oh oh oh～ Shawty let's go! go! go! oh oh oh～ Shawty let's go! go! go! oh oh oh～ You are number one! You are my Island queen my baby！"
7,Island Girl part.2 feat.ALEXXX,"
平井大",平井大・ALEXXX,平井大・EIGO,"You are my number one island girl (Yes, you're my number one island girl) Be your number one island prince (Let's shoot to the sky with ISLANDream!) Since I first met you I've been falling for you キミは気づいていなかったでしょう？ On my way from home to school 手をつないだよね Do you remember? 何も話せなかった僕を Yup every time I looked in your eyes, it got me crazy, その笑顔に奪われ you got me falling In love with you for the very first time A love so sweet もう離さない 僕じゃない誰かと なんて考えたくもない 誰が何言おうと I don' t care 僕のキミでいて You are my number one island girl 世界中の誰より Be your number one island prince 終わらせたくない our love story どんなに高い壁も キミと二人なら be alright I'm dreaming of you every day and night このキモチをずっと (Yes, you're my number one island girl) (Let's shoot to the sky with ISLANDream!) Everytime, anywhere 辛い時には I want you to call 僕はいつもそばに居るから Keep that smile on your face その笑顔だけで You know? I'm getting stronger 強くなれるから I'll always keep that smile on yah Forever no cry 見つめていたい Gal you always be by side. You can call on me どんなときでも My island girl そばにいるよ きっとキミを守るために 生まれて来たと気づいたんだ いつまでも You're my island girl キミの僕でいたい You are my number one island girl 世界中の誰より Be your number one island prince 終わらせたくない our love story どんなに高い壁も キミと二人なら be alright I'm dreaming of you every day and night このキモチをずっと Don't you know I really love you girl You always on my mind You give me a heart attack, everytime you make a smile. 世界中の誰よりも キミだけを想ってるよ So please just tell me what's on your mind もう涙はみたくない Can you be my queen and I'll be your everything. Forever be, together till the end of our dreams. 目と目が会った時から (Yes, you're my number one island girl) 心奪われたんだ (Let's shoot to the sky) どんなに長い道のりも キミと二人なら be alright I'm dreaming of you every day and night このキモチを You are my number one island girl 世界中の誰より Be your number one island prince 終わらせたくない our love story どんなに高い壁も キミと二人なら be alright I'm dreaming of you every day and night このキモチをずっと (Yes, you're my number one island girl) (Let's shoot to the sky with ISLANDream!)"
8,Island Girl feat.ALEXXX,"
平井大",平井大・ALEXXX,平井大・ALEXXX,"どんなに高い壁も 君と乗り越えてゆこう She is my beautiful island girl You are my beautiful island girl どんなに辛いときも 僕が君のそばにいるよ She is my beautiful island girl She is my beautiful island girl 君の澄んだ瞳 見つめる先夕日沈み 別れ際いつも心痛み 僕はまた一人 一生君を守りたい 約束できるようになりたい 別々の道歩む二人 君の手を握っていたい I see you coming up from the left, but you don't say hi What ever happened to all the times when we would rock it out このままじゃいられない このままじゃもう Its seems like a rainy day どんなに高い壁も 君と乗り越えてゆこう She is my beautiful island girl You are my beautiful island girl どんなに辛いときも 僕が君のそばにいるよ She is my beautiful island girl She is my beautiful island girl 君が笑っただけで それでただただ嬉しくて だから君の痛み半分だけ 僕に分けて欲しいだけ その横顔なにがあったの？ 僕になら全てを教えてよ 君の力になれるのなら 僕はなにもいらないから Waiting quite a bit for a while to bump up the motion Girl don't you know you got me in a slow trance Never hesitate for a long long time Hit the rewind and we go back on time Cause we have one chance in the night Just to show my love to you Then it's off for me to sail away どんなに高い壁も 君と乗り越えてゆこう She is my beautiful island girl You are my beautiful island girl どんなに辛いときも 僕が君のそばにいるよ She is my beautiful island girl She is my beautiful island girl どんなに高い壁も 君と乗り越えてゆこう She is my beautiful island girl You are my beautiful island girl どんなに辛いときも 僕が君のそばにいるよ She is my beautiful island girl She is my beautiful island girl"
9,Island Chicken,"
平井大",Dai Hirai,Dai Hirai,Where is my island chicken island chicken where is it Where is my island chicken island chicken where is it Where is my island chicken island chicken where is it We love island chicken We love island chicken
