,Song_Title,Artist,Lyricist,Composer,Lyric
0,アイデア,"
星野源",星野源,星野源,おはよう 世の中 夢を連れて繰り返した 湯気には生活のメロディ 鶏の歌声も 線路 風の話し声も すべてはモノラルのメロディ 涙零れる音は 咲いた花が弾く雨音 哀しみに 青空を つづく日々の道の先を 塞ぐ影にアイデアを 雨の音で歌を歌おう すべて越えて響け つづく日々を奏でる人へ すべて越えて届け おはよう 真夜中 虚しさとのダンスフロアだ 笑顔の裏側の景色 独りで泣く声も 喉の下の叫び声も すべては笑われる景色 生きてただ生きていて 踏まれ潰れた花のように にこやかに 中指を つづく日々の道の先を 塞ぐ影にアイデアを 雨の音で歌を歌おう すべて越えて響け 闇の中から歌が聞こえた あなたの胸から 刻む鼓動は一つの歌だ 胸に手を置けば そこで鳴ってる つづく日々の道の先を 塞ぐ影にアイデアを 雨の中で君と歌おう 音が止まる日まで つづく道の先を 塞ぐ影にアイデアを 雨の音で歌を歌おう すべて越えて響け つづく日々を奏でる人へ すべて越えて届け
1,Ain't Nobody Know,"
星野源",星野源,Tom Misch・星野源,Baby 瞳の中 雨で濡れてた とっくの昔出会った ような気がした 暗闇 温かな肌 言葉の裏の想いが 心の首筋舐めた その後で Ain't nobody know Ain't nobody watching us 僕らのキスは いつまでも いつまででも 続くだろう Ain't nobody know Ain't nobody watching us さよならさえも いつまでも いつまででも 奪えないさ Beats me 頭の中 怒りで満ちた 夜が壊れるほど 二人踊った 卑劣が肩を叩けば 笑顔が唾の代わりさ 誰も来られない場所に 僕ら居る Ain't nobody know Ain't nobody watching us 僕らのキスは いつまでも いつまででも 続くだろう Ain't nobody know Ain't nobody watching us さよならさえも いつまでも いつまででも 奪えない Ain't nobody know Ain't nobody watching us 僕らのキスは いつまでも いつまででも 続くだろう Ain't nobody know Ain't nobody watching us さよならさえも いつまでも いつまででも 奪えないさ
2,穴を掘る,"
星野源",星野源,星野源,明日から 穴を掘る 自宅の庭やら 役所から 穴を掘る さあさあ 空には どうにか掘れないか 考えているところ 穴から空 転げ落ちて 気がつけばそこは 知らないところ 明日から 穴を掘る 自宅の庭から 憧れの島に着く さあさあ シャベルは どの手じゃ持てないか 考えているところ 穴から空 転げ落ちて 気がつけばそこは 知らないところ 気を強く持てば そこは 知らないところ
3,雨音 (House ver.),"
星野源",星野源,星野源,乾いた雨の中に紛れた 思い出たちの音がする 塞いだ耳の中に響いた 歌に振り向いて 道の先に 何があるか 知らないままでも 朝は来る 窓から光る 明日の予告 未来はそこまで 来てるから あと少しだけ 雨の音を聴く 鼻先濡れる 乾いた雨の中に紛れた 声に驚いて 道の先は 道があるさ またかと呆れて 春が来る 窓から光る 明日の予告 未来はそこまで 来てるから あと少しだけ 雨の音を聴く 鼻先濡れる 傘を差したら 倍に刻むリズムを 窓から光る 次回の予告 明日はそこまで 来てるから あと少しだけ 雨の歌を聴く 鼻先濡れる 花咲き濡れる
4,ある車掌,"
星野源",星野源,星野源,ただ流れる窓の外を 観るだけのお仕事です どこに行くのか わからないのは 僕も同じさ ただ流れる窓の外の 思い出を潰しながら どこに着くのか わからないのは 僕も同じさ 僕も同じさ 空を走る 夜を翔る それは本当に? 空を走る 夜を翔る 鉄道はここにあるよ ただ溢れる胸の中の 思い出を掬いながら どこが最初か わからないのは 誰も同じさ 僕も同じさ 「さようなら」も「また逢えた」も 出会った意味すらも 空に消える 夜に光る 燃やした日々 河になるよ 空見上げる 人のかたち 遺伝子の乗り物です どこに行くにも 側にいてよ 誰も同じ ただ流れる 窓の外を 観るだけのお仕事です どこに行くのか わからないのは 僕も同じさ 僕も同じさ
5,いち に さん,"
星野源",星野源,星野源,忘れた頃に 喉の下が笑う 子供のころ思い出す 忘れた貴方 こうだと横で見せた あの日のこと思い出す いち に さん 頷く し ご ろく まで しち はち きゅう 俯きながら 風をのんだ 水を頼んだ 氷をよけて飲んで 子供のころ思い出す 忘れた貴方 こうだと横で見せた あの日のこと思い出す いち に さん 頷く し ご ろく まで しち はち きゅう 俯きながら 泡をかんだ いち に さん 頷く し ご ろく まで しち はち きゅう 俯きながら 風をのんだ
6,Week End,"
星野源",星野源,星野源,さよなら 目が覚めたら 君を連れて 未来を今 踊る 週末の街角 ここから 始まる 夢から目が覚めたら 君を連れて 未来を今 踊る 週末の街角 朝まで 身体を交わそう 花が色づく頃は 心も浮ついて 誰かに声をかけて 無茶な口説き方して 今を踊る すべての人に捧ぐ 俯いた貴方の 腕を掴み 音に乗って 夢から目が覚めたら 君を連れて 未来を今 踊る 週末の街角 朝まで 身体を交わそう 木の葉色づく頃は 心に穴が開いて 指の先少し冷えて 貴方の温度探す 今を生きる すべての人に捧ぐ 俯いた貴方と 靴を鳴らし 昔を飛べ 夢から目が覚めたら 君を連れて 未来を今 踊る 週末の街角 朝まで 言葉を交わそう 今を踊る すべての人に捧ぐ 君だけのダンスを 世間のフロアに出て叫べ 夢から目が覚めたら 君を連れて 未来を今 踊る 週末の街角 朝まで 夜を抱いて さよなら 目が覚めたら すべて連れて 未来を今 変える 週末の街角 朝まで 電波を 世間を 未来を 踊ろう
7,歌を歌うときは,"
星野源",星野源,星野源,歌を歌うときは 背筋を伸ばすのよ 人を殴るときは 素手で殴るのよ さよならするときは 目を見て言うのよ 好きだと言うときは 笑顔で言うのよ いい言葉が見つからないときは 近い言葉でもいいから 好きだと言うときは 笑顔で言うのよ さよならするときは 目を見て言うのよ 歌を歌うときは 背筋を伸ばすのよ 想い伝えるには 真面目にやるのよ 真面目にやるのよ
8,うちで踊ろう,"
星野源",星野源,星野源,たまに重なり合うよな 僕ら 扉閉じれば 明日が生まれるなら 遊ぼう 一緒に うちで踊ろう ひとり踊ろう 変わらぬ鼓動 弾ませろよ 生きて踊ろう 僕らそれぞれの場所で 重なり合うよ うちで歌おう 悲しみの向こう 全ての歌で 手を繋ごう 生きてまた会おう 僕らそれぞれの場所で 重なり合えそうだ
9,うちで踊ろう (大晦日),"
星野源",星野源,星野源,たまに重なり合うよな 僕ら 扉閉じれば明日が生まれるなら 遊ぼう一緒に うちで踊ろう ひとり踊ろう 変わらぬ鼓動 弾ませろよ 生きて踊ろう 僕らそれぞれの場所で 重なり合うよ うちで歌おう 悲しみの向こう 全ての歌で 手を繋ごう 生きてまた会おう 僕らそれぞれの場所で 重なり合えそうだ 常に嘲り合うよな 僕ら それが人でも うんざりださよなら 変わろう一緖に 飯を作ろう ひとり作ろう 風呂を磨いて ただ浸かろう 窓の隙間の 雲と光混ぜた後 昼食を済まそう 瞳閉じよう 耳を塞ごう それに飽きたら 君と話そう 今何してる？ 僕はひとりこの曲を 歌っているよ 愛が足りない こんな馬鹿な世界になっても まだ動く まだ生きている あなたの胸のうちで踊ろう ひとり踊ろう 変わらぬ鼓動 弾ませろよ 生きて踊ろう 僕らずっと独りだと 諦め進もう ひとり歌おう 悲しみの向こう 全ての歌で 手を繋ごう 生きて抱き合おう いつかそれぞれの愛を 重ねられるように
