,Unnamed: 0,Song,Artist,Lyricist,Composer,Lyric
0,0,愛し桜花よ散るなかれ,"
加賀(茅野愛衣)",松井洋平,南悠翔,紺碧の戦場に出航していく艦船よ 我々の運命を切り拓くのは砲火の吹雪 弱き者には儚き航路 この世に残る術は 強くあることだ 魂が求めるなら 喰ろうてやろう…総てを さらば報えるだろうか 大切な絆に 淡く可憐な桜が 舞い踊るように散っていく そんな世界をこの手で終わらせてしまおう いざ、推して参る 生まれ変わったこと それは失ったものと 比ぶべくもない…ならば空母という務めを全うしよう 胸の奥の誓いにかけ 荒ぶる海を渡る 獲物なら喰らい尽くす 先手必勝、獣という本能 海戦だけが存在理由なら 他に何も求めずに進む 滅する結末 諸行は無常だ 浮世に咲いた花の定めだとしても 魂が求めるなら 喰ろうてやろう…総てを せめて楽しませてくれ 現世(うつしよ)の一瞬を 淡く可憐な桜が 舞い踊るように散っていく そんな世界をこの手で終わらせてしまおう やがて蒼き炎…我が身包むまでに
1,1,愛染桜,"
あさみちゆき",さくらちさと,鈴木キサブロー,愛を染める 桜と書いて 愛染桜 兄さん あなたに習って書いた あれは幾つの 春のこと 白い白い 桜が 今年も咲いて 空に舞う 愛って どんな色してるのと 聞いたわね あの日 今も答えは わからないまま 明日 私 嫁ぎます 愛という字 何度も書いて 書いては消した 兄さん あなたは恋していたの 今は知る術(すべ) ないけれど 白い白い はなびら 天から届く 文(ふみ)ですか おまえの色で 愛せばいいと 言ってくれますか 背伸びしないで 歩いて行けと 背中押して くれますか 白い白い 桜が 今年も咲いて 空に舞う おまえの色で 愛せばいいと 言ってくれますね 桜吹雪に つつまれながら 明日 私 嫁ぎます 桜吹雪に つつまれながら 明日 私 嫁ぎます
2,2,青き桜,"
PiXMiX",SiZK,早尻洋介,ひらり舞う桜のように 儚い想いを抱いて 手の届かない夢に見えてしまうけど いつか笑顔に変わる日まで 離さず繋いでいたい たったひとつの願いを 良いことばかりじゃない 泣きたい時もある 決めたことなのに迷ってる…どうしよう 誰かと比べたりして また落ち込んでみたり お願い少しの勇気をください 揺れる気持ちの狭間で ここから君を見上げてる 私にしか咲かせられない青い花 いつも信じる気持ちだけは 誰にも邪魔されずに ずっと心にあるのね 嬉しいことなのに 寂しい時もある 素直な気持ちで話せたら…変わるかな？ 木漏れ日の中色づく キャンバスの私たち 一人だけじゃ叶えられないから ひらり舞う桜のように 儚い想いを抱いて 手の届かない夢に見えてしまうけど いつか笑顔に変わる日まで 離さず繋いでいたい たったひとつの願いを 手のひらにそっと 舞い降りてきたの 青き想いよ 空へ舞い上がれ 揺れる気持ちの狭間で ここから君を見上げてる あなたにしか咲かせられない青い花 いつも信じる気持ちだけは 誰にも邪魔されずに ずっと心にあるのね ひらり舞う青き桜 揺れる気持ちの狭間で ひらり舞う青き桜
3,3,浅葱色の桜,"
沖田総司・大和守安定",浅井さやか(One on One),和田俊輔,「…まいったな…まだやらなくちゃいけないことがあるんだけどな… あの星が…見えない…はは…そっか… 冬の星だもんな…」 あの星に雄叫びは 届いただろうか？ 浅葱色の桜は 咲き誇れただろうか？ 「…沖田君 …これを使えば…沖田君は生きることが出来る…生きることが…」 真っ暗な夜の訪れ 僕が食い止めれば あなたの花は咲き続ける… 咲き続けることができる…！！ 「まだだ…」 「…だめだ…だめだ…だめだだめだだめだだめだだめだ だめだぁぁぁ！！」 「…沖田君…僕はずっと考えてたんだ… もし君が病気にならなかったら… 長生きすることが出来たら…歴史はどうなってたんだろうって…… ひょっとしたら新撰組が負けることも無くて… 刀の時代が終わることも無かったんじゃないかって… おかしいだろ？そんなことまで考えたんだ」 でも… 必ずやって来る 夜も闇も それは…変わらない 「…歴史を変えちゃいけない本当の理由がわかった気がするよ… ごめんね沖田君…僕は君を否定しようとしていたのかもしれない」 闇夜に咲く 浅葱桜 散る時を待つ 浅葱桜 短く 果てても 儚く 消えても それは誰かの未知なる道 歩んだのは 君だから 「沖田君…君の持ち刀で本当に良かった…」
4,4,徒桜,"
蓮花",蓮花,永見和也,だれも かれも 独り 碧色(あおいろ)の涙を 纏った 徒桜 髪に憩う 花吹雪 我の心 諭すように 人の命は「徒桜」 咲き乱れて そして、散りゆく。 解っていた… 「花火」のような 儚さ この命懸けて挑む。怖くとも そなたへと 捧ぐために 我らは 孤独 寂しき 碧色(あおいろ)の涙を 纏った 徒桜 肌にささる 向かい風 我の心 壊すように 人の命は「徒桜」 咲き乱れて そして、散りゆく。 解っていた… 「蛍」のような 儚さ この命懸けて挑む。弱くとも そなたへと 捧ぐために 我らは 孤独 寂しき 碧色(あおいろ)の涙を 纏った 徒桜 燃え尽きるまで戦うよ この身が、終わるとしても… 命懸けて挑む。怖くとも そなたへと 捧ぐために 我らは 孤独 寂しき 碧色(あおいろ)の涙を 纏って、 この命懸けて挑む。怖くとも そなたへと 捧ぐために 我らは 孤独 寂しき 碧色(あおいろ)の涙を 纏った 徒桜
5,5,艶桜フジヤマ・ナデシコ,"
はるな愛",売野雅勇,磯崎健史,罪な男に弱いね 尽くすタイプにつけ込む‥‥ 遊び上手なキスまで 泣かせるよね 色っぽいでしょ 飾り涙が メッちゃメッちゃ鈍情でしょ 愛したら フジヤマ・ナデシコ 涙色の艶桜 フジヤマ・ナデシコ 女よりも女です 命がけで Geisha しましょう 惚れてゴメンね キスの途中で気づいた 振られ予感におびえる 恋は泣き虫(の)情熱 愛は病い 生きてることは なぜ切ないの‥‥ ワッショイ!ワッショイ!馬鹿言ってないで 尽くしましょ フジヤマ・ナデシコ 恋は女の 晴れ姿 フジヤマ・ナデシコ 見栄を切って溺れます 大和魂 サクラ・フジヤマ 散って何ぼよ フジヤマ・ナデシコ 涙色の艶桜 フジヤマ・ナデシコ 女よりも女です フジヤマ・ナデシコ 恋は女の 晴れ姿 フジヤマ・ナデシコ 見栄を切って溺れます 大和魂 サクラ・フジヤマ 散って何ぼよ
6,6,あの桜の木の下で永遠に,"
山下久美子",山下久美子,井上ヨシマサ,恋の予感とまでは言わないけれど あなたは私に魔法をかけた 今がこぼれていってしまわないように いいね 友達のような会話みたいで 突然 心が動きはじめて そしてもう一度 会ってみたいと思った 今の私を見て本当の言葉だけを聞かせて 何か温かくて産まれる前も死んだ後にも 見ていてくれる人のように あの桜の木の下で永遠に ふたりは手をつないで愛し合っていて その桜の花びらは降り注ぎ その光景を私たちから奪えるものは誰もいない 恋の始まりなんてそんなものだよ あなたはにこにこ笑ってみせた とてもさりげなく私から目をそらして すごく落ち込んでみたり泣いてみせたり 悲しい話が次々にこぼれ そしてほんとうの安らぎが遠くなるんだ 今日はこんな月が出ていて夜風はこんなふうで 何か懐かしくて離れているといとおしくなる 目の前にいる人みたいに あの桜の木の下で永遠に ふたりは手をつないで愛し合っていて その桜のつぼみが咲くように その光景を私たちから奪えるものは誰もいない
7,7,あの日、桜の下,"
クミコ",川村結花,川村結花,あの日、桜の下 一人見てた空のように どこまでもどこまでも 未来は広がってた あの日、桜の下 待ち合わせた校舎の外 はじめて名前で 呼ばれてうつむいた 距離を縮めたくて もどかしすぎた帰り道 そっと手をかさねたら 微笑んでくれた人 確かなものなど なにひとつなかった 遠い春よ あの日、桜の下 淡い日差しに包まれて こんな日がいつまでも 続くと思ってた あの日、桜の下 花びら舞い落ちるホーム 待っててほしい、って 言葉にうなづけずに 急ぎ乗った電車 一人ドアにもたれながら 遠ざかる町並みを ぼんやり見送ってた 確かな何かを 探し始めていた 遠い春よ あの日、桜の下 二人通い詰めた店も 今ではがらんとした 灰色の駐車場 ゆずれないと泣いた 夢の果てが今としたら こんなにも立ち止まる 毎日はどうして？ 確かなものなど 見つけられないまま 今も今でも そして、桜の下 いくつ春を見送っても どこまでもこの路を 歩いて行くのでしょう いつの日もいつまでも 歩き続けるでしょう
8,8,雨桜,"
IA",白石瑠威,白石瑠威,冷め泣く夜の様な 夢見て悲しむ 継ぎ接ぎでは髪も解けない 止まない雨浴びて 花弁(はなびら)湿めきる 指先には涙模様 そこで何かをしていて 喜びに満ちていた けれどもう落ちる雨桜 (一つ残らず) あなたの横にいて 何かを探してた けれどもう見えぬ雨桜 (やめて消えて) 生きる意味は有るの 無いなら消えたい 彷徨い疲れたからもう また次の人生が来るから構わない 期待を込め別れ告げよう そこで何かをしていて 喜びに満ちていた けれどもう落ちる雨桜 あなたの横にいて 何かを探してた けれどもう見えぬ雨桜 彼は今何処にいるのかな 彼は今何をしてるかな 夢の様な人の生き様はさがないから
9,9,Amor y sol with 桜井和寿,"
ナオト・インティライミ",桜井和寿、ナオト・インティライミ,ナオト・インティライミ、Huey DunberIV,"サンタクロースなんかいないと 勇太郎が言ってたっけ Hey, it's OK キャッチボールが終わって 夕闇が押し迫って 家に帰ろうか Find your way, where are you gonna go？ みんな信じたいものを抱えながら今日も生きてる By the way, what are you looking for？ 僕は僕のままで この世界を旅してく 始まりは嘘で 終わりも嘘です まるで「本当」を 抜き取られたスライドショー でも探してみるね あの日見た夢 もしかして Too late って、誰に歌ってんだろう？ Oh-Oh-Oh- サンタクロースなんかいないよ 今じゃ僕もそう思ってる Hey, it's OK 真っ白な心なんて 美しい君にしたって きっとないのさ Find your way, where are you gonna go？ 見られたくないものを抱えながらみんな生きてる By the way, what are you looking for？ 君は君のままで 自分を誤魔化したりしてる 人恋しくて 人恋しくて ふと立ち止まってしまうのはおんなじだよ でも探してみるね あの日見た夢 もしかして Too late？ 一緒に歌ってみなよ Oh-Oh-Oh- 人恋しくて 人恋しくて ねえ気づいてくれ 持てあます自意識過剰 でも探してみるね あの日見た夢 もしかして Too late？ でも ただ歌ってんだよ 人恋しくて 人恋しくて ふと立ち止まってしまうのはおんなじだよ でも探してみるね あの日見た夢 もしかして Too late？ 一緒に歌ってみなよ Oh-Oh-Oh-"
