,Song,Artist,Lyricist,Composer,Lyric
0,俺は俺で生きてるよ,"
瑛人",8s,8s,俺は俺で生きてるよ だから何も心配しないで いつか届くと信じながら 声枯らすまで歌うよ 最近夢描くインクが少し 減ってきてさ つまらなくなってきてる 絵に描いたような道ではないけど 自分で決めた道だから歩いてる 馬鹿にされたりもする 笑われて流す涙もある 全部受け止めて光を探してる 俺は俺で生きてるよ だから何も心配しないで いつか届くと信じながら 声枯らすまで歌うよ 俺は俺で生きてるよ だから何も邪魔をするな なんて言葉いわないからずっと隣にいてよ そこらへんの奴より頭悪いけど そこらへんの奴より足は速いよ 握り締めたその夢のボールを ずっと投げないままポケットにしまわないで 大事なもの失くすときもある もう走るのが嫌になる 全部受け止めて人は強くなる 俺は俺で生きてるよ だから何も心配しないで いつか届くと信じながら 声枯らすまで歌うよ 俺は俺で生きてるよ だから何も邪魔をするな なんて言葉いわないからずっと隣にいてよ
1,風旅,"
瑛人",瑛人・御徒町凧・長崎真吾,瑛人・御徒町凧・長崎真吾,錆びついた今日は いつもよりも眠たい 新品だった昨日には もう二度と会えない 周りが知りたいのは フツウの道標 あやつる言葉さえ めんどくさくなってきた そうだ どっか行こうたまには 君が疲れないほどに そんで 変な話もしよう 僕が飽きられないように 旅立ったあいつは ずっとずっと笑ってる 思い出はどうして 楽しいことばかり だから どっか遠いところへ 探しものはなんですか？ そんで フラっと帰る頃には 何か変わっているはずさ そういえば どっかってどこだろうな まぁいいか そうだ どっか行こうたまには 君が疲れないほどに そんで 変な話もしよう 僕が飽きられないように だから どっか遠いところへ 探しものはなんですか？ そんで フラっと帰る頃には 何か変わっているはずさ 風が吹き抜けますように
2,カルマ,"
瑛人",瑛人・RUNG HYANG,瑛人・RUNG HYANG・Shingo.S,もうその話はやめて ごめんまた明日にしようって 無理矢理電話を切り 吐き出したため息 今までどおりにしようって 2人まだ大丈夫だって なんとなくそう思ってた 曖昧な言葉使って その場しのぎで嘘ついて 君を忘れてた だから Baby Baby 甘えそうな僕を笑ってよ どうか Baby Baby だらけそうな僕を嫌ってよ そう伝えたいのに君はもういない 僕のカルマ 昨日バイト仲間から聞いて 覗いた君のインスタ あの細い薬指に光るシルバーのリング ふたり一緒に暮らそうって 月1万貯金しようって たまには旅行もいこうって 今さら思い出してんだ 何も見てなかったんだ 心を亡くして だから Baby Baby 甘えそうな僕を笑ってよ どうか Baby Baby だらけそうな僕を嫌ってよ そう伝えたいのに君はもういない 結局いくらあがいてみても 僕のカルマ
3,君の愛と僕の愛,"
瑛人",8s,8s,お願いそばに戻って来てなんて 言ってないのに 本当に君は僕の心がよくわかる人だね でもさ僕らわかってきた風が冷たくなると 君は泣いて その綺麗な心に傷をつけてしまうの 大丈夫と笑う君に 僕は言葉が何も出てこない ただ一つ言えるとしたら もうそんなことしなくていいよ 君の愛と僕の愛が少しだけ違ってただけ わからないよわかっていたよ 君とならって信じていた もっと僕ら許し合えてれば 君は幸せだったかな 春の風が訪れるように君は笑っていたね 君はもっと辛いんだろ でもかける言葉が出てこない ただ2つ言えるとしたら もうごめんねとありがとう 君の愛と僕の愛が少しだけ違ってただけ わからないよわかっていたよ 君とならって信じていた 2人が見てた夢の途中で 何かがずれて行ったね こう言うしかないでしょ 僕らのために 2人別の道を進むんだ
4,香水,"
瑛人",8s,8s,夜中にいきなりさ いつ空いてるのってLINE 君とはもう3年くらい会ってないのにどうしたの? あの頃 僕達はさ なんでもできる気がしてた 2人で海に行っては たくさん写真撮ったね でも見てよ今の僕を クズになった僕を 人を傷つけてまた泣かせても 何も感じ取れなくてさ 別に君を求めてないけど 横にいられると思い出す 君のドルチェ&ガッバーナの その香水のせいだよ 今更君に会ってさ 僕は何を言ったらいい? 「可愛くなったね」口先でしか言えないよ どうしたの いきなりさ タバコなんかくわえだして 悲しくないよ悲しくないよ 君が変わっただけだから でも見てよ今の僕を 空っぽの僕を 人に嘘ついて軽蔑されて 涙ひとつもでなくてさ 別に君を求めてないけど 横にいられると思い出す 君のドルチェ&ガッバーナのその香水のせいだよ 別に君をまた好きになることなんてありえないけど 君のドルチェ&ガッバーナの香水が思い出させる 何もなくても 楽しかった頃に 戻りたいとかは思わないけど 君の目を見ると思う 別に君を求めてないけど 横にいられると思い出す 君のドルチェ&ガッバーナの その香水のせいだよ 別に君をまた好きになるくらい君は素敵な人だよ でもまた同じことの繰り返しって 僕がフラれるんだ
5,シンガーソングライターの彼女,"
瑛人",8s,8s,君が作り置きしたカレーを今食べてる いつもこんな辛いの食べてるんだね 君が置いてったギターを今勝手に触ってる いつもこんな重たいの1人背負ってるんだね 投げ銭の中の小銭をかき分けては 千円を見つけたと君がニヤついた Love You Baby 今まで誰にもずっと言わずに心にとっといたのに Love You Baby 今なら言えるよ 愛を歌える君へ 君へ 今でも時々なんだか変な感じがするよ 君がぼくの目の前にいることすべてに でも日常になってる かすれた声でただいま 今日はたくさん歌って疲れてるんだね 2日目のカレーを一緒に食べようか なんて君が言うからぼくもニヤついた Love You Baby 今まで誰にもずっと言わずに心にとっといたのに Love You Baby 今なら言えるよ 愛を歌える君へ 君へ 寒い朝には手を握るよ 怖い夢みたら抱きしめるよ でも一個だけ一個だけ お願いさせて ぼくとの恋の終わりの歌は描かないで Love You Baby 今まで誰にもずっと言えずに心にとっといたのは 君のために 待ちわびていた ぼくの本当の気持ちなのかも Love You Baby 今まで誰にもずっと言わずに心にとっといたのに 君のギターをずっと持つからさ だから言わせて 君を愛してる
6,好きにすればいいさ,"
瑛人",瑛人,瑛人,手取り足取りやってみる 言葉の意味もわからない 調べて学ぶ そんな気にもならないんだ 嫌われてると思うなら 僕からしたら そりゃ おならが出るほど 退屈であくびも出ちゃう 怒りを歌にしてみよう あいつを殴る気持ちで でもやっぱりリタイア 飯をうまくたべたいから 好きにすればいいさ I don't give a shit 好きに生きたいから 僕はおかわりを頼むよ ハローハローから始まる 調子はどうなの 不可能を可能に変えるまで 僕は歌っているかも 気の利いた歌にしよう 自分を失くす気持ちで でもやっぱりやめた 兄貴達に馬鹿にされるから 好きにすればいいさ I don't give a shit スッキリイキたいから 弟なのは認めるよ Let your light shine あなただけの場所で Let your light shine 太陽もぴーかん Let your light shine あなただけの場所に Let your light shine 太陽もぴーかん 好きにすればいいさ I don't give a shit 好きに生きたいから 僕はおかわりを頼むよ 好きにすればいいさ I don't give a shit スッキリイキたいんだ いつか自分に会えるかな
7,掃除,"
瑛人",瑛人・御徒町凧,瑛人,いくらキレイにしたって 明日には汚れている 玄関様に言うんだ また今度磨くからね 全部お前が汚したと言われれば それまでだよ 良いことしても良いこと起こるとは限らない 人の心の埃は 誰がちり取るの 僕一人だけだと ハウスダストがでるよ 愛の片隅の闇は どう掃除するの まだ僕の風呂場には 赤カビがあるのにな 金がいくらなくても 今まで泣いたことはない なのに電車で赤ちゃんを見る度に泣きそうだ 僕を信じてもいいけど 天国には行けないよ 逆に君を信じても 何もいいことなさそう 人の間の汚れは 何で拭き取るの このままの僕たちだと タイムアウトになりそう 愛の片隅の闇は どう掃除するの まだ僕のシンクには 生ゴミがあるのにな 中途半端な優しさが 見えないところに染み付いて 僕と君を腐らせて こびり付いてもう剥がれない 人の心の埃は 誰がちり取るの 僕一人だけだと ハウスダストがでるよ 愛の片隅の闇は どう掃除するの まだ僕の風呂場には 赤カビがあるのにな 洋服も脱ぎっぱなし 窓も開けてないのに 換気扇も油まみれ 何もできてないのに 何もできてないのに
8,チェスト,"
瑛人",8s,8s,すっとかすれたようにしまる引き出し すっと進められない僕のこの道 たまには戻りたいよ今も思い出すよ 手を繋ぎ歩いた頃の写真のあの笑顔 あっとゆうまにすぎてく心の時間 ハッと気づいた時にはもう遅いかも ついてないことばかり後ろ振り向いちゃうよ うちの犬のトモも冴えない顔してる 頭の中が難しくて いつものように笑えない日もある そんなときは思い出して 支えてくれた人を 今の自分を終わらせないで いつか輝ける日がくるから だれかと比べ悲しまないで 君の引き出しは君が開けるもの きっとダメだろうってしまう時もある きっとこのまま進んでいくの どっちつかずの毎日くり返し生きる どっちでもいいんじゃない君が幸せなら ずっと同じところに置いたものは ずっと同じところにあるものさ 小さい頃の夢はなんだか覚えてる？ カブトムシって言ってた それが君らしいよ 出会いと別れが急すぎて ほんとうかわからない時もある そんな時はただひたすら 笑っていればいいよ 今の自分を終わらせないで いつか輝ける日がくるから だれかのせいなんて言わないで 君を開けるのは君しかいない 張り裂ける胸おさえてまで 偽りの自分じゃ意味がないから ただあなたのためだけに 僕は歌うよ 今の自分を諦めないで 生きてるだけで素晴らしいんだよ あなたのせいで幸せですと いつか言われるそんな日がくるまで
9,Don't be afraid feat.HOTDOGS,"
瑛人",瑛人・KAI・MINOR,瑛人・KAI・MINOR,笑い合えれば何もいらない 好きなことやって歌って踊りたい 寄せては返す波の音に体あずけて 瞬く間に過ぎゆく時 ゆれる心 胸に刻んでさ 今は何も考えずにただ 全てを手放して楽しもうぜ 地に足つけて on and on and on たまに出かける逃避行へと チクタク時が流れてく ほらあたふた足また掬われる けど顔上げて gotta go 進むだけ今日は今日 どうせ俺なんてもう とか言って落ち込んだってオーライ Don't be afraid Don't be afraid 君といれるこの時が Don't be afraid Don't be afraid 何よりも幸せ Don't be afraid Don't be afraid 君といれるこの時が Don't be afraid Don't be afraid 何よりも幸せさ 笑い合えるさ in the morning 心はポカポカ陽気 気持ちちょいと楽にして 食べて寝て繰り返したいね 鬼さんこちら 手の鳴る方へ 花見て穏やか 赤黄緑 過ぎたこと水に流して 今この時を楽しもう HOTDOGS と瑛人が乗り出し 初めましての人もお友達 になりたいから僕は歌い出し 集まる仲間ゆらす街 HOTDOGS と瑛人が乗り出し 初めましての人もお友達 になりたいから僕は歌い出し 集まる仲間ゆらす街 Don't be afraid Don't be afraid 君といれるこの時が Don't be afraid Don't be afraid 何よりも幸せ Don't be afraid Don't be afraid 君といれるこの時が Don't be afraid Don't be afraid 何よりも幸せさ 頭の中で難しく考えすぎてさ 本当の自分が誰かわからなくなってる？ 私なんか ってそんなこと言わないでよ Baby 君の好きなところは僕が知ってるから だから歌にのせて 君に愛をずっとずっと歌い続ける 僕が知らない君がいても どんな君でも大好きだから Don't be afraid Don't be afraid 君といれるこの時が Don't be afraid Don't be afraid 何よりも幸せ Don't be afraid Don't be afraid 君といれるこの時が Don't be afraid Don't be afraid 何よりも幸せさ Don't be afraid×8
