,Song,Artist,Lyricist,Composer,Lyric
0,徒夢の中で,"
神はサイコロを振らない",柳田周作,柳田周作,何処か遠くでじっと 春を待ち侘びて 陽も昇らない世界が 退屈じゃないか もうすぐ迎えに行くさ 湖が見える 二人手を繋いでいよう 繋いでいこう 浮かんでは消えて 泡のような貴方が遠くなる 徒夢(アダユメ)の中溺れたまま まだ彷徨う僕 命の煌めきに 匙を投げるには 少し早いと憂う 貴方の声 色鮮やかに咲いた花も いずれは散りゆくと知りながら また種を蒔いて 芽吹く時を待つの 貴方がそこで僕を 見守りながら今日も 生き抜いてよと 流す涙が雨となり花を咲かす 触れ合えたならもう一度 未だ残る温もりも 夢の中なら側に感じられる 戻れないのに 浮かんでは消えて 泡のような貴方が遠くなる 徒夢(アダユメ)の中溺れたまま まだ彷徨い 色鮮やかに咲いた花も いずれは散りゆくと知りながら また種を蒔いて 芽吹く時を待つの
1,アノニマス,"
神はサイコロを振らない",柳田周作,柳田周作,膨大な数の情報 実態の見えない正体不明の人間が蔓延るこの無法地帯に 人権や法律なんか存在するはずもない 今日もまた何処かで心を殺された誰かがいる その傍ら何食わぬ顔でのうのうと人間らしい生活を送る屑共に告ぐ 因果応報という名の歯車は誰にも止める事はできない 故にいつの日かその罪の重さを知ることになるだろう どうせ荼毘に付されてしまうくらいなら 消えぬ痛みも見えぬ傷跡ももう 誰にも分かり得やしないんだろう 拝啓、正々堂々云えぬ卑怯者達へ 犯してきた罪の重さを知れよ この暗い底から這い上がる権利さえ 奪われては、遮られて 泥水を飲んでまた光を探していた 戻れないこのままじゃ 応えて欲しい 神がいるならば然るべき制裁を どうせ荼毘に付されてしまうくらいなら 消えぬ痛みも見えぬ傷跡ももう 誰にも分かり得やしないんだろう 拝啓、正々堂々云えぬ卑怯者達へ 犯してきた罪の重さを知れよ
2,illumination,"
神はサイコロを振らない",柳田周作,柳田周作,眠らぬ街の片隅でただ独り ネオンサインに囲まれ見上げた夜空 片手で指折り 数えられるほどしか見えない 星屑が物語る 人混みの中に擬態してる僕を 見つけ出してよ あの星のように いつかは僕も輝けるかな 君は知ってるかい？ 此処から見える星座が1万6000年前の姿だったなんて 遥か遠く昔 燃え尽きたとしても 未だ光を放って 照らしていたんだ 僕らの唄が 時代を超えて どうか永久に 響きますように 才能なんてさ 僕にはないけれど 唄うことだけが 全てだから それしかないから それだけなんだ くたびれた靴履いて 何処か遠くへ 誰も知らない町まで 星を見に行こう あまりに綺麗で こぼれ落ちる涙に 気づかずに 動けずに 立ち尽くしたまま 見上げていた
3,泡沫花火,"
神はサイコロを振らない",柳田周作,柳田周作,生温い風が頬を撫でるように ふわり触れた手の汗ばむ 夜半の夏 煙草の煙が鼻を擽るたび 幼い私を少し背伸びさせる 花火が打ち上がるまで 少し離れたとこで見つめていたい はだけた浴衣姿が 光のシャワーより綺麗に映り込む 波打ち際 二人の不揃いな足跡が さざ波に流されて想う 泡沫の恋だと ほろ苦くて淡いこの恋と対照に 甘い甘い綿菓子のような 口づけを夢に見る 明け方 寝惚け眼でゆらり 気怠げに火を付けた貴方が 今にも消えそうなほど 儚く何よりも愛しくて 溶けない魔法の氷が 纏わりついて動き出せないよ あと一歩さえ踏み出せたなら 夏の終わり 藍色に染まり 止まないひぐらしに紛れて 声を枯らし名前を呼んでも 貴方は気づかないのでしょう 花火が打ち上がるまで 二人寂しさ埋めるように求め合い 実らない果実の種が 心の隅っこで芽生えてる
4,映幻日,"
神はサイコロを振らない",柳田周作,柳田周作,幸も不幸もない 感情さえもうない 流れ作業のように息を吸って吐いて 触れれば崩れ堕ちていく ザラついた塊 波打ち側に立って ひび割れて溶け出す 硝子玉に刺す 時計台は無情にただ時間を刻んだ 燻っていたのはきっと孤独に怯えていたから 断ち切ったはずのあの愛は未だ身体中が覚えている 重なり合った日々を忘れたくなくて 傷痕は消えぬまま 独りよがりでもいい 幼気な身体にただ触れていたいだけ 君の幸を願い 壊れていかないようにそっと 隠し持っていたんだ 錆びきった刃を眺め揺らめいて 燻っていたのはきっと孤独に怯えていたから 断ち切ったはずのあの愛は未だ身体中が覚えている 重なり合った日々を忘れたくなくて 傷痕は 変わり果てる街並みの景色と君 置き去りにされても苦悩の先へ 零れ堕ちる涙も乾かない夜に 蝕んだままの欠落を
5,解放宣言,"
神はサイコロを振らない",柳田周作,柳田周作,W3つの魔法唱えて 地下2階へ潜り込めば 教科書には載せられないような The answer 眼を凝らして 当たり前の裏側に潜んだ パンドラの匣を覗いて仰天 ハナから騙され続けてんの？ 僕ら21歳にして知ったんだ 触らぬ神に祟りなしなんて 全部嘘だったよ馬鹿みたいね 凝り固まった思考回路に 餌をやろう 錆びた鉄の杭 見てみぬフリしてる間に 救えたはずのいくつもの命 随分と法に従順だが 善悪とは何か学んだか？ その目 その手 身体全てで 語って示してくれ 誰もが神を忌み嫌い呪っていた パンドラの中身を開けて頂戴 この世のカラクリが解けるでしょう 僕ら21世紀に愛を知って 裏切りの果てに歪んでいった 電波ジャックして暗示を解くよ 消費期限切れの大人が担うこの国では 本当の事も嘘で固められたみたいだ 考える事も疑う事もド忘れしたの？ 年老いただけのお猿ばかりなの？ 100年先で待つ未来が 愛と平和で溢れていますように 警報を鳴らせ 改革を唱え 休憩がてらに神様頼み 時代錯誤のお偉い様に 種でも蒔いて 花が咲いたら摘み取れよ
6,CLUB 27,"
神はサイコロを振らない",柳田周作,柳田周作,随分遠くまで来た僕らは 得たモノと引き換えに 失っては気づいて また失ってきたいくつもの 宝物がある 生きる事の意味や価値を 見出せずに彷徨っていたのに 暗闇に差し込む声が いつだって… 灰になるその日まで どれほど時間が残されていて 僅かならば僅かでも構わない 現し世に刻む 僕の生きた証を 今は亡き彼がまだ 僕の胸の奥で生きていて 孤独の朝も越えてこれたから いつの日か僕も彼に近づけたなら 溶けてゆく雪のように この生命にも終わりがあり 故に儚く輝ける 灰になるその日まで どれほど時間が残されていて 僅かならば僅かでも構わない 現し世に刻む 僕の生きた証を
7,クロノグラフ彗星,"
神はサイコロを振らない",柳田周作,柳田周作,いつか少年は出逢うだろう 同じ幻を見ていた君に はぐれ星達がまるで引力に 引き寄せられる運命のよう 叶うなら未来さえ擲って 数多の夜を越え駆け出そう 指先をすり抜ける君が 星屑に紛れてまた遠くなる もしも数秒後に世界中で 歴史的停電が起こったとしても 遥か上空で星の残骸が 光放ち夜を染めるだろう 際限のない宇宙の片隅で 76億分の1と1が 点と線で星座を描けば 巻き戻らない刹那も越えてゆける 重なり合う僕ら 幻に戸惑いながら 光求め手を伸ばし 差し伸ばしたんだ遥か彼方 永遠に君の側に 零れてゆく流れ星 掴みたい未来 見たい時代 世界の果てを二人で 双月の真下 すれ違った光が 二度と交わることなく 消えかかったまま まだ僅かに蛍火を灯して 不確かな明日を照らして 互いを求め合うほどに 遠くなってゆく運命 叶うなら未来さえ擲って 数多の夜を越え駆け出そう 指先をすり抜ける君が 星屑に紛れてまた遠くなる 重なり合う僕ら 幻に戸惑いながら 光求め手を伸ばし 差し伸ばしたんだ遥か彼方 永遠に君の側に 零れてゆく流れ星 掴みたい未来 見たい時代 世界の果てを二人で
8,胡蝶蘭,"
神はサイコロを振らない",柳田周作,柳田周作,二人出逢わなかったら こんなに苦しまずいられたのに 暗闇の中 手探り君を探している 不甲斐ないなんて嘆くと 君はクシャクシャに撫でてくれたのに 身勝手で不器用な僕は 君をグシャグシャにしていた 無邪気に笑う君を あんなに悲しませたなんて いっそ世界から 見放されてしまえばよかったなぁ 君の夢ばっかみてしまうんだ 苦しくて寂しい時ほど 陽だまりのように暖かくて 二度と覚めないでいてほしい 淡い記憶を 塗りつぶせどもまだ君の感触が 色濃く且つ鮮明に まとわりついて離れてくれないの 不甲斐ないなんて嘆くと 君はクシャクシャに撫でてくれたのに 身勝手で不器用な僕は 君をグシャグシャにしていた
9,極彩,"
神はサイコロを振らない",柳田周作,柳田周作,極彩の日々よ 照らせ果てまで 哀傷、涙も忘れたくない 旅立つ日の朝 降りしきる雨 目前の景色を刻み込んで 水面に一石を投じたくて 煌々と輝く未来を描いた 拡がった波紋は思うよりずっと 不規則に短命に姿消して 理想郷はまだ程遠く険しくても 己の無力さに呑まれないよ 君がいれば やがて願いは形を成してゆく 積み上げたものが崩れないように 雨水で濡らし押し固めてさあ 逆境の中で耐え抜いて 散らついた誘惑に惑わされて 失う事の方がずっと何より怖くて 独りで塞ぎ込む夜も この場所に立てば何度も越えて行けるから どこまで飛んでも選択肢はもう唯一つだけさ 思い描いていた未来図に今近づいてる 金字塔を打ち立てる 生涯ずっと君と僕となら 苦悩も希望も全て乗り越えて 極彩の日々よ 照らせ果てまで 哀傷、涙も刻み旅立つ 背水の陣を敷く この身果てても 叫び続けよう 有終の美を 脈打つ鼓動を響かせてゆけ
