,Song,Artist,Lyricist,Composer,Lyric
0,all done,"
空音",空音,空音・RhymeTube,"One trick pony 風下の方 行けど 大衆に媚びて まな板で調理 I got money for working 摩天楼を とうに超え 太陽の熱で溶けた Ice and butter, sipping hot coffee 日差し指す Morningは 少しのゆとりと ノリこそが 飛ぶ鳥を落とす勢い とりま Don't worry 落ちんな Home boy 大胆になるもんさ オチは予想以上に And you don't stop Many problemsこなし テキパキ次 行こう 媚びない このMindが 広がる 国内外 I'll teach you how to fly 靡かす Blue hair ぶちあげかねない ナイスガイ Don't stop, carry on Speed up, like ya heart Don't stop, carry on (Cash flow) なんなら お釣りゲット 運で九連宝燈じゃねえ 急成長を遂げ 屏風から飛び出たトラさ Trust me, I'm all done マジでつまんねえ奴は無視 なんかふてぶてしい態度ですが 確立したジャンルはMe I'm all done Smoky blueのFJ Money, power, respect シルバーアクセでも Still gold license Skr！！ Aye aye 退屈は嫌い でも 毎日 眠たい 君のHate ありがてえ だけど全部 欲にChange 二つ折りの財布も曲げれねえ 滾るMain stageでBang ボマイエ 首がもげる 次のカード 用意しとけ Making new history C6C This is real 地響き 君の耳 リードが外れたチーターとギターに メインストリーマーは血の気が引く Don't stop, carry on Speed up, like ya heart Don't stop, carry on (Cash flow) なんなら お釣りゲット 運で九連宝燈じゃねえ 急成長を遂げ 屏風から飛び出たトラさ Trust me, I'm all done マジでつまんねえ奴は無視 なんかふてぶてしい態度ですが 確立したジャンルはMe I'm all done"
1,"oops, ketchup and mustard…!!","
空音",空音,空音・Shun Maruno,(It happened one night... uhh) 青い髪を手櫛で解いてく 甘い手口 まんまと乗っかっちゃって この手付きはButterfly knife バゲット捌く様は圧巻さ 主役がこちらを覗いてる 隠し味のPerfumeに ほっぺが落ちて 頭を垂れてる Ya body like a ミディアムレアの神戸牛 雨が降る街 ずぶ濡れで二人踊って 透けた青色のBraがネオンとCamouflage 舌先が徐々に君の味を覚えて 僕ら随分と大人になってしまったね 人通り から少し 離れた場所 手を引かれて行く 負けん気で 破廉恥な 心とグロス 拭うハンカチ お化粧直し CHANELのLip 明日の予定 お預けにしていい？ なんて シャツの襟についた キスマークが語る 今日を Oops！！ Ketchup and mustard... シミになって Oops！！ Have you already lost interest in me？ Oops！！ Ketchup and mustard... 染み付いて アンタにムカついちゃう 毎回 簡単に罠にハマるの Hate you hate me and I love you baby 毎晩 会いたいな なんだかんだ Stay by my side 17年式の赤いワインで スモークカマンベールチーズを流し込む 大それたアイデアなんて無いよ 君が買い損ねたブランド品は ちゃんと車のトランクに 詰んであるからさ 大丈夫 ココアシガレット を蒸かす真似 迂闊な選択が命取りです 過去のGirlfriendも断然 君に遠く及ばねえか… 濡れた唇を便箋代わり 見立てて 並べる言葉は 君だけに意味を持たせて お喋りが過ぎる僕の事を 見兼ねて 封をする君の唇 まるでシーリングスタンプ Feeling tonight... Oops！！ Ketchup and mustard... シミになって Oops！！ Have you already lost interest in me？ Oops！！ Ketchup and mustard... 染み付いて アンタにムカついちゃう 毎回 簡単に罠にハマるの Hate you hate me and I love you baby 毎晩 会いたいな なんだかんだ Stay by my side サヨナラ City boy and city girl またきっと どこかの街で踊る日が 来るでしょう サヨナラ White shirt and ketchup and mustard だけど まだ染み付いてとれない！！ あぁ もう嫌になっちゃうな！！ Oops！！ Ketchup and mustard... シミになって Oops！！ Have you already lost interest in me？ Oops！！ Ketchup and mustard... 染み付いて アンタにムカついちゃう 毎回 簡単に罠にハマるの Hate you hate me and I love you baby 毎晩 会いたいな なんだかんだ Stay by my side
2,不貞寝,"
空音",空音,空音・ニューリー,今日も始めます エビスの金のやつ 冷蔵庫で冷やした キンキンのグラス 君が帰るまでの至福の時間さ 私服は脱ぎっぱ 金曜の晩 5%のアルコールとプリン体 手に付く結露 Like a クリスタル 酔って フリースタイル 素人 瓜二つ 見ざる聞かざる 納期はPass 「私 置いて死ぬなんて許さない」 君が言う タバコ 嫌々消し会釈 分かってるけど 体悪いもんが欲しなんねん Like a 深夜のラップラーメン 平和で穏やかな世の中に と願うが そうは問屋が卸さない ニューリーと下北で昼飲み でも帰る頃には 君に怒られる だから 不貞寝して Good bye day dreaming 起こさないで よだれ風船が飛んでくよ 別嬪Sunshineが 顔出すまでは 悩ましいが 二日酔いの味噌汁は美味い グースカ かいてるイビキ Ring ring phone 無視 Zzz… ABCからXYZ 誠心誠意に歌いたい 酔って 忘れてたままのチャリ 取りに行くのも マジでだりぃ あの漫画 1話しか読んでないのに 新しいゲーム 買っちゃったし 無駄遣い先生の上 三日坊主 でも マイク持たせれば粋なFlow だって 自意識過剰もビギナーズラック 見に付けりゃ 堂々の1位だろう 天使と悪魔が蔓延る表彰台 上手くやる 契りで 即オンライン 君も好きなこと 没頭しな！ ボーとしてたら 下校のチャイム 不貞寝して Good bye day dreaming 起こさないで よだれ風船が飛んでくよ 別嬪Sunshineが 顔出すまでは 悩ましいが 二日酔いの味噌汁は美味い なりたかった自分が 遠くの方で 手を振ってる 今日も でも 不完全で絶好調 アイスキャンデーは当たりだし てなわけで なりたかった自分が 遠くの方で 手を振ってる 今日も でも 不完全で絶好調 アイスキャンデーは当たりだし てな感じ！
3,2021,"
空音",空音,空音,"Dear mam, Dear dad 今日は愛を込めて 産声を上げた1月4日 思い馳せて 貴方達が付けた この名前に恥じぬよう 願い空に放つ音で 人を救えているでしょうか 遡る事 2021年8月9日 三枚目のアルバム 千秋楽 MCで言う “俺”が“俺ら”に変わったのは 1人だけで歩む人生じゃないと確信したから 角栄にりんちゃん タソガレにレンガ 一人の人間として酒を交わしてくれる 大の大人が周りには沢山 帰ればチャックとペダル しんみりは もう沢山 馬鹿話 盛りだくさん なりたい自分は そっぽをむくもんさ そんな今に嘆き 明日も賽を投げるんだ 完璧はつまんない 拝啓大傑作様は 気に食わない明日明後日がないと完成しない 欠けた月は 悲しみを乗り越え 満ちた月に 貴方想う夜は 募る話 酒のツマミ SadなNewsは 時間を選ばないし 神はいない 信じられない程の幸せと共に生きたい 見当違いな毎日に伏線を貼って 皆 それぞれの幸せを回収する たまらなく俯き 泣いてる様な花も 下向き歩くあの子と ふと目が合う初冬 手離したくない人と初めて出会えた 恋をしてるようで ずっと夢を見てるような だから友達達には申し訳ないけど 俺の失恋話を聞かせることはもうないかも だけど毎日のように 喧嘩 喧嘩 喧嘩 それも歌詞にする君の彼氏はエンターテイナー 惚れた腫れた それも君の才だ 俺の負けさ 泣かせてごめんよ ごめんもこれで最後 君が「一人になりたい」と言っていた理由が 「この先も二人でいたい」って事の裏返しなら たまに不器用を武器に 傷つけあって泣いて シワの数 数えて 笑う時を迎えに行こう 父親になること 孫の顔見せること 20歳だから早いなんてことは ひとつもないと思う しっかりしていると よく言われるけど 俺は俺に正直に生きてる それだけの事 Partyの後に思うは 月並みな言葉 「この瞬間 死ねたならばどれだけ幸せか」 その余韻は きっと俺だけじゃないし 怖くないから りんちゃん あと一曲 もう少し踊らないか 時代のせいにしないでいこう 人のせいにしないでいこう ダサくなるも イケてるも 全部俺のせいだろ 上を向いて 歩いていこう 手を取り合い 超えてこう 全員で上がってこう ぶちかましてこう 人の目と戦え 俺を聴く若者よ 俺を聴く君はイケてると友達に言わせよう 人の目と戦え 俺を聴く若者よ 君はいつもカッコイイ まずは俺が証明しよう Dear mam, Dear dad 今日は愛をこめて 2021年10月23日 書き記した事にすべての責任を持って 全てにありがとう 年の瀬も近づいてる"
4,相棒 feat. BASI,"
空音",空音・BASI,空音・BASI,大好きなあの子に見られたくないが 今日の所は俺の惨敗だ 行く手を阻(こば)む そいつの名前は 紛れもない そう “音楽”って奴さ 逃げたくなったり 辞めたくなるが 手放すと俺は死んでしまうな 凍える夜には根から温め 人知れず泣く あの子の生き甲斐だ 心の傷に音の絆創膏 愛を切り取って君に貼ろう True my choice だが流行じゃねぇ 俺にしか書けない詩を書き上げる BASIとMakeする これは 愛のまま生きる 私達の歌 一世一代の命 燃やすさ やはり音楽は素晴らしい お前は最低で最高な相棒さ 辞める時も 健やかなる時も いつだって時計は右に回り 左手にマイクを持ち歌う No music No life No music No life もう何年の付き合いになるのかな？ なんて 黄昏て 考えてる ふと一人 今 音楽は素晴らしい ha ha オレの口はスーパーマシン ほらね またね 空音とやってる これは愛くるしいビッグアンセム ランデブー ププッピドゥー 愛のままに You can do 君のおかげで人生は薔薇色 永遠にI'm a B-BOY お前は最低で最高な相棒さ 辞める時も 健やかなる時も いつだって時計は右に回り 左手にマイクを持ち歌う No music No life No music No life お前は最低で最高な相棒さ 辞める時も 健やかなる時も いつだって時計は右に回り 左手にマイクを持ち歌う No music No life No music No life
5,Alcoholic club,"
空音",空音,空音・KM,"髑髏になるのを待って とぐろを巻く 欲のままに列を成す バカの数 皆で愛を分かつだって お偉いさん が言ってたけど まぁいいや 割れたチューインガム 片手バブルガン お前によく似た 夜が目を覚ます 毎日お迎えに来る悪魔が 禍々(まがまが)しいぜ 全くな 視界は Blackout 引き戻されてく 脳内再生 Endless loop いつも二つと無い 答え探してる Fight with yourself 早く Find me Babe 君を抱いて眠っても いずれ Loneliness Crow caws at midnight If it wasn't for you なぁ きっと抜けれない Nightmare 夢で見た夢に踊らされて Yeah I can't go back anymore Welcome to the alcoholic club, more higher 惚れては溺れてる 自分に Bye bye bye だって お利口さんじゃいられないでしょ 至って 普通です 天賦の才 やら なんやら かんやら 勝手にやってよ 待っても 何も上げてやらん 叫んでる奴の声 聞こえてっかよ Skyfall 真っ逆さま Hell is calling 消火活動は終わらない 山火事 人間は地球の実験体さ Alcoholic allergy 持ちの患者さん 止めないでって 当然 I can Nobody know 神様頼りじゃ Damn 視界は Blackout 引き戻されてく 脳内再生 Endless loop いつも二つと無い 答え探してる Fight with yourself 早く Find me Babe 君を抱いて眠っても いずれ Loneliness Crow caws at midnight If it wasn't for you なぁ きっと抜けれない Nightmare 夢で見た夢に踊らされて Yeah I can't go back anymore welcome to the alcoholic club, more higher 惚れては溺れてる 自分に Bye bye bye だって お利口さんじゃいられないでしょ"
6,only one,"
空音",空音,空音,"Mr.mind は Fresh さ いつも 質問あんなら 即答 俺 何も変わってないよ お前が変わったんじゃないの？ 魔法の絨毯は Rolling 転がり続けて 俺の足元 さぁ 発信源はどこ タイムマシーン乗って探そう illmore on the beats, let go 俺の Life も Nonfiction 怒らないでって Baby girl Compass 指す方に歩こう 17の時に決めた これで飯食う 18で思った Everything is good 19で全てを確信して 20歳になったら BASI さんと Drunk お前もお前を辞めんな Surrender したら終わんだよ Pay back は 日々でかくなる計画 仲間の生活すら養いたい 地元で悪さもしてない上 ごく一般的な家庭 だが 実績 信頼 地道な積み重ね 忘れず これに出す精 物事 善と悪 だと 他人が決める変な話 だろ？ いつかは嫌いなお前も 食卓に並び円を描くだろう 武勇伝 語りたいが為に やらず 君 まず振り向かす だが 胸を張って自慢出来る事 客演 呼んだぜ クリープハイプ Only one time Only one rhyme Only one flow Only one groove Only one style これが無いとダメさ Life 誰もが真似 出来んじゃ 仕方ない 恋に落ちては 引き裂かれ 19 years old 多少の無茶が無けりゃ やってけないよ だから僕ら Running ma way Only one you, only one me, only one style 死ぬまで Fresh さ 俺は 質問あんなら よこしな 俺 何も変わってないが お前が変わったんじゃないか？ 昔の俺も今の俺も一緒なんだが 何が変わって見える ひとつ言えるのは 誰かのニーズに合わせて音楽は出来ません 欲求不満の坊や に俺がやってやれることは 夢見せて 後は押す背中 欲しいものは自分で掴みな 現在進行形 We go be alright 以後 お見知りおきを 戦隊ヒーロー系 でもヒーローマント じゃなく 背中には希望 1st 2nd これまた順調に 3枚目 これ出る頃 次の作品作って ワンランク上 山積みの NIKE の箱 AIR JORDAN 1 履いてる 冗談みたいな Life で 仲間と冗談ばっか 吐いてる 東京 City 立つ Hard worker さ 昔は死ぬ程 暇だったんだ CIRCUS 出る頃 外 朝方 角栄はマネージャーになった 微量の魅力 さながら飛び道具 若いポジションにハマらず We go 長距離走だぜ 体力勝負 反面教師 Don't need any more Only one time Only one rhyme Only one flow Only one groove Only one style これが無いとダメさ Life 誰もが真似 出来んじゃ 仕方ない 恋に落ちては 引き裂かれ 19 years old 多少の無茶が無けりゃ やってけないよ だから僕ら Running ma way Only one you, only one me, only one style"
7,Girl feat. kojikoji,"
空音",空音,空音,馬鹿な真似はよして 今は大人しくしていなよ Cupid honey ギターもベースも 君の愛に Tuning 合わし 朝はパンじゃなくて やっぱ 白いご飯 味噌汁 君に会い 休日代わりのたわいない 街ぶらり “ふっとした時に 狂わしい素振りみせるあたり ずるいよなって見とれていたよ 今のさっきまで“ (Oh baby darling ah) 靴を買ったよ 高い服も買ったよ メイク上手くいったよ 全部気付かないでしょ 手を繋いでいる時 口癖が多くなる 実は焦ってんでしょ 密なSummer vacation “何が気に食わないの 口にしないなら分からないよ そんな毎日だけど 2人で居たいから” (そんな出来心で今夜も) 忘れていい事と 忘れちゃダメな事があるのよ 人が俗に言う 運命と トキメキは また別の物なの 貴方が今どこに居たとして 私には関係ないけれど 一言二言 言いなさいよ アレだよ アレ (Hugging with love) “私事ですが” なんてセリフは もう聞き飽きてる Wedding dress をきっと王子様 持ってくる (Hi！！) きっと僕ら大人になり お互いに別々の幸 門出に花を添えるまで 死ねないのよね 高い服も新品の靴も 上手くいったメイクさえも 君の目に留まらないなら 死んだと同じ “不安材料は揃ったし 料理でも作ろうかな うろ覚えの手つきでも 貴方を唸らせる” (そうこなくっちゃね) 「言い訳ばっかのあんたとちゃうねん」 なんて言えたらいいけど 飲み込んでる いつも極端な話よ 人生は 我慢する人と 我慢させている人 救いようのない今でさえ 愛してる だからもう無責任は やめにしな Baby (なんてね) 忘れていい事と 忘れちゃダメな事があるのよ 人が俗に言う 運命と トキメキは また別の物なの 貴方が今どこに居たとして 私には関係ないけれど 一言二言 言いなさいよ アレだよ アレ (Hugging with love)
8,crayon,"
空音",空音,空音・KM,"君のリップと同じ 夕焼け色のクレヨン で お天道様より赤く空 染めてくれよ なぁ 悩みは多い方が良いって言うけど やられ役を被(こうむ)ってでも 見せる夢を たった一つ 生まれ持った 白いCanvas 汚れこそ 己のあるべき姿なはず 都会の空 降らす 満天のStarlight 明日死ぬかも 俺は毎日が最終回 嘘をついた夜 塗るCrayonはBlack 伝うCrystalよりBlueな涙 火照る頬はチーク無しでPink It's so bright 死ぬ時 緑と家族に囲まれたい K to da M でKickする SRN 無色透明のAngelは住処(すみか)へ 落ちるのは上がる証拠 刹那 熱篭もる クラブでSpit どう来た ここまでのWay 足が絡まっても 明日が待ってるの (I know, I know) 皆 戦ってるよ (I know, I know) I'm gonna sing for another day ma life 一度だけ枯れない夢を見た そこに付け足した自分だけのCrayon どれだけ汚れても丸裸 (Rerise, Rerise) 一度だけ枯れない夢を見た そこに付け足した自分だけのCrayon 死ぬまで背負う 君のPainも歌う (Rerise, Rerise) 君と浴びる程 飲む酒 浴びるシャワー 溶けたキス 味わえない甘酸っぱさ いつか入道雲にさえ触れた Canvasに白は1つも残っちゃない 見たくないもの見て ガキは大人 Let's get ready for tonight 夢半ば 守る物のため 武器なら持たない CrayonをペンにChange さぁ ここから 君を自転車の後ろに乗せて 海に向かう坂を下ってく 照る太陽に負けないようにと食いしばる 俺を横目 笑ってる 死に方を考え 黙って 「生きてる方が よっぽどマシね」 無色透明の羽根を伸ばした天使は 高くあの宇宙(そら)へ昇ってく たった一つ 生まれ持った 白いCanvas Crayonも小さくなって もう終わりか 都会の空 流れるような天の川 明日死ぬかも なら 死ぬ気で今日を生きるのさ 足が絡まっても 明日が待ってるの (I know, I know) 皆 戦ってるよ (I know, I know) I'm gonna sing for another day ma life 一度だけ枯れない夢を見た そこに付け足した自分だけのCrayon どれだけ汚れても丸裸 (Rerise, Rerise) 一度だけ枯れない夢を見た そこに付け足した自分だけのCrayon 死ぬまで背負う 君のPainも歌う (Rerise, Rerise)"
9,cocoa feat. kojikoji,"
空音",空音,空音,「雪が降ってるよ」って 君が今朝 言ったもんだからさ 帰った暁(あかつき)には Hugでもしてベッドに飛び込もう “クリスマスが今年もやってくる” あぁそうか もうそんな季節 対向車線 大通り 雪積もり 予想通り Wake up in the morningのはずがDay time 休日さえもコタツで寝ていたい JuicyなTurkeyと君と不可思議 いつかの愛はIt's so tiny 今夜は不埒なテーマに沿って 37℃の愛で溶かすよ Strawberry snow magic 嘘偽りない 2人の話 つぶらな瞳と綺麗な笑顔で困らせないでBabe 僕ら忘れられ街の片隅に置いていかれる Xmas treeみたいで 雪のドレスが良く似合っていた 君の歌を歌ってる Illumination romantic 幾つになっても 思い出してしまうな またいつか会えたらいいな (いいね) 暖かくして ここで待ってるね この部屋に朝は来るかな (来ないね) まだあの日のまま ココアはただ沈んでった どうしてそんなに平気な顔して また嘘をつけるの？ 本当はサンタなんて居なくて 貴方が枕元にいた事 (そうでしょ？) キスの味だって 傷のかさぶたも 水の泡のよう あってないようさ 目と目さえ 合って無いようだ だけど まだ 待ってたい今夜 「電話するくらいなら会いに来てよ」 世界に2人だけみたいね 君が言うのなら きっとそうね 「電波が届かない場所で果てるまで」 理由は無いけど 泣けてくんね もし朝が来れば きっとGood day つぶらな瞳と綺麗な笑顔で困らせないでBabe 僕ら忘れられ街の片隅に置いていかれる Xmas treeみたいで 雪のドレスが良く似合っていた 君の歌を歌ってる Illumination romantic 幾つになっても 思い出してしまうな またいつか会えたらいいな (いいね) 暖かくして ここで待ってるね この部屋に朝は来るかな (来ないね) まだあの日のまま ココアはただ沈んでった
