,Song,Artist,Lyricist,Composer,Lyric
0,ギターウサギ,"
菅田将暉",菅田将暉,菅田将暉,揺れるピアス 邪魔な前髪 ふりきって なりふり構わず 凹んでいく指先 あぁ ピアノは習ってたのになぁ 白黒つかない濁った音色 誰にも見せない 俯いた時間 ウサギみたいに瞳は赤い 誰とも会わない そう決めた日曜日 ウサギみたいに瞳は赤い されるがままに 拾いうつろう すり減ってゆく 錆がまわる あぁ かくれんぼはもう飽きたよ はやく見つけてよ なんて言えないよ 名前も知らない 四つのコード 爪弾いては 眠れない うまくノラない 僕の体温 ウサギみたいに腰はふれない 何かとうるさい ふたつの恋愛 誰にも言えないけれど どうかするかい 笑っちゃって歌えないよ ポップソングを 走り出したら止まれないような ゲームソングも ガラにもなく飛び跳ねてしまう ヒップホップを 味わい尽くして酔いが回る ラバーズロックも なんでもいいから せめて一曲を 隅っこに 誰にも見せない いつかこのギターの隣で 歌ったり 叫んだり ふたり その肌ざわりが あぁ 眠らなきゃな ウサギみたいに瞳は赤い 誰にも見せない 俯いた時間 ウサギみたいに瞳は赤い 誰とも会わない そう決めた日曜日 ウサギみたいに瞳は赤い
1,ラストシーン,"
菅田将暉",石崎ひゅーい,石崎ひゅーい,世界中の灯りをともしてさ 君の涙に手を伸ばすんだよ 夜明け間近の彗星みたいに ほら、ラストシーンは凛とした青だ 息を切らして 風を追い越して ここまで来たんだよ 戦うのさ 僕らは強く生きるため 君の涙が教えてくれた 迷わないで信じた一筋の光 残したいものはたったひとつだけ 似た者同士だねって笑う、そんな景色だ 諦めないと決めた空の下 ああ、君のことが愛しく思えたよ 風の向こうで 花が咲いていた 一人じゃないんだと 守りたいと願った なりふり構わず 君の涙を僕に預けて 大丈夫さ 小さく頷いてほしい 手に入れたモノも失ったモノも その先で輝くモノも、いつかきっとさ 2021年しるしをつけよう 君と僕がおんなじ世界で息をした その証として 戦うのさ 僕らは強く生きるため 君の涙が教えてくれた 迷わないで信じた一筋の光 残したいものはたったひとつだけ 似た者同士だねって笑う、そんな景色だ 夜明け間近に星は輝いた ほら、ラストシーンは凛とした青だ
2,あいつとその子,"
菅田将暉",菅田将暉,菅田将暉,こんな日に限って 素直な言葉が 出てきません いちびって 煙を吐いて 生きてきました 足元がおぼつかない僕は 真心が落ち着かない頃に あなたに出会えて 愛について一度考えました これからも これからも あなたと過ごしたくて仕方ないよ これからも これからも くもった空の下 みじかい晴れ間に 手を伸ばし 雨を待つ あなたは とても綺麗でした 憧れにすがりついた僕は 映画を観ても泣けないよ 女々しく生きたら あなたは振り向いてくれるのですか 束ねてた 髪が今 僕が触れたから ほどけたね 赤い花が舞う空に ほんの少しの緑を ちらかる僕の空に ころがるあなたの花芽を これからも これからも あなたと過ごしたくて仕方ないよ これからも これからも これからも これからも あなた 早く起きて 今日は休日 朝ごはん 作ったわ 昨日のお酒を抜きなさい
3,茜色の夕日,"
菅田将暉",志村正彦,志村正彦,茜色の夕日眺めてたら 少し思い出すものがありました 晴れた心の日曜日の朝 誰もいない道 歩いたこと 茜色の夕日眺めてたら 少し思い出すものがありました 君がただ横で笑っていたことや どうしようもない 悲しいこと 君のその小さな目から大粒の涙が溢れてきたんだ 忘れることは出来ないな そんなことを思っていたんだ 茜色の夕日眺めてたら 少し思い出すものがありました 短い夏が終わったのに今、 子供の頃の寂しさがない 君に伝えた情熱は呆れるほど情けないもので 笑うのをこらえているよ 後で少し虚しくなった 東京の空の星は見えないと聞かされていたけど 見えないこともないんだな そんなことを思っていたんだ 僕じゃきっと出来ないな 本音を言うことも出来ないな 無責任でいいな ラララ そんなことを思ってしまった 君のその小さな目から大粒の涙が溢れてきたんだ 忘れることは出来ないな そんなことを思っていたんだ 東京の空の星は見えないと聞かされていたけど 見えないこともないんだな そんなことを思っていたんだ
4,雨が上がる頃に,"
菅田将暉",大久保友裕,松下典由,この雨のせいにしてたんだ ビニールの傘 小さめの空 ため息の正体も 宝物だったあの頃は まだ何もない僕らの世界 なぜ思い出してる？ おまえらしくないな、と 記憶から届く声 思い出も 憧れも 連れてってくれよ 捨てたくないんだ 負けるなよ 僕らなら自由の中さ 世界中を敵に回して 闘うか考えた ひと休み 八つ当たり 泣きたくなれば バカな話しようぜ、ずっと 一晩中 いつも通り 似たようなプライド持ち寄って 「あいつにすれば、それが正しい」 分かっているけれど 意地だけが 強さじゃないから 心の中 認め合えたら 笑って進もうぜ 握りしめた手の中 赤い血は流れてる まだいける まだやれる 止まることなく 僕らはゆくんだ 負けるなよ 僕は今 自由の中さ どこへゆく道だって きっと ここから始まるんだ ちっぽけな自分から 見つけたモノを 胸に持っているんだ、ずっと 大丈夫さ いつも通り あぁ 追いかけ続ける理想と闘いの日々よ そう 手を伸ばせ 前を向け まだこの胸は躍る 負けるなよ 僕らなら自由の中さ 世界中を敵に回して 闘うか考えた ひと休み 八つ当たり 泣きたくなれば バカな話しようぜ、ずっと 一晩中 いつも通り
5,いいんだよ、きっと,"
菅田将暉",菅田将暉,石崎ひゅーい,夏の暑さを誤魔化しにビルの中に逃げ込んで 日陰で涼む君の目はとても暗い その一瞬の安らぎを俺の目線一つでさ 邪魔をしたのだとしたなら申し訳ない 君の事は何も知らないけど どこか他人とは思えない 都会に似つかわしくない表情に 勝手ながら僕はこの言葉を贈る クーラーって最高だよな ソファベッドは気持ちいいよな ゲームの中は自由だよな 外を歩くと疲れるよな いいんだよ、それできっと そのままでいいんだよ 萌えない上目遣いだね そのメガネで何を見てるんだい 毎日勉強ばかりかい？ 好きな子はいるかい？ 親が子を怒らない時代なんだ 怒られるまで無茶しよう 腰が痛くなってきたら寝ちまおうぜ ありがとうな そんじゃ今度またどこかで アイスクリームを食べようぜ 火照る体を冷やすんだ 辛いカレーを食べようぜ 汗をかいたら袖でふけ いいんだよ、それできっと そのままでいいんだよ 君の事は何も知らないけど どこか他人とは思えない 都会に似つかわしくない表情に 勝手ながら僕はこの言葉を贈るよ 主人公は不幸なのさ お姫様はさらわれる 同じヘマを繰り返して 笑われてばかりだけど いいんだよ、それできっと そのままでいいんだよ 拝啓、親愛なる 猫背のメガネくん
6,風になってゆく,"
菅田将暉",渡辺大知(黒猫チェルシー),渡辺大知(黒猫チェルシー),あと少し 走ろうか 行く当てもなく 映画のように 甘えてた 自尊心を 刻むように アクセル踏む きみはコーデュロイのズボンのポケットに タバコを隠して 窓の向こうでキラキラ輝いた 都会を見ていた 夜明けがくる ぼくらのこと 気にもしないで Rolling 風になってゆく ぼくらの目に映るもの いつか100年たった頃は この街も思い出たちも 消えちゃうかなぁ？ 胸を打つ 鼓動が あのカーブを 曲がりきれば 新宿の ロックバーで 聴いた歌を 思い出すよ きみとぼくとの時間を モノクロの フィルムに焼いたら 車窓に映りこんでる ぼくたちは ボガートとヘップバーン 夜明けがくる ねぇ、ぼくら今夜 どこまでいこう？ Rolling 笑ってくれよ 孤独の光の中で いつか100年たって、死んでも 忘れてしまわないように 真っ暗な 東京の街も もうすぐ変わっていくんだね 気づいて そしてぼくらも ちょっとだけ変わっていった ちょっとだけね
7,キスだけで feat. あいみょん,"
菅田将暉",あいみょん,あいみょん,私今日は女だから 今日は女だから きっと 抱きしめてもらえないでしょう 今日は女だから 今日は女だから ずっと 溢れているでしょう 確かめなくても 湿ってく 揺らいでく 沈みたいの キスだけでいけそうなの 傷だらけになるとしても キスだけでここにきたの やるせないね やる気ないね？ お前今日は女だから 今日は女だから ちょっと 忍ばせているでしょう お前今日も女だから 今日も女だから そっと 触れていたい 待ち構えていても 歪んでく 乾いてく 急がなくちゃ キスだけでいけそうなの？ 傷つけてもかまわないの？ キスだけでここにきたの？ やるせないね 眠れないね 背中合わせの夜 心臓泣かせの夜 重なり合いたい気持ちをまたいで 抱きしめて キスだけで 私今日は女だから お前今日は女だから いつも女だから いつも女だから 今日も2人だから
8,クローバー,"
菅田将暉",石崎ひゅーい,石崎ひゅーい,足りないものなど何もないんだよ 僕には君がいる ただそれだけでいい 花束や夢が雲に隠れてる ベンチに座る僕 置いてけぼりの鬼 今日も上手に笑えました 僕は何色なんだろう？ 茜空 発情期の猫が恋を探してる クローバークローバー 君はね僕の太陽なんだ どんなに暗く閉ざされたって光が見えるから 僕の手をつかんでつかんで離さないでいてくれないか いつの日かこの歌が風に乗って誰かの愛に変わる日まで お金も洋服も何もいらないよ 今日もとなりにいるただそれだけでいい しょいきれない思い出たちが君をじゃましてるんだね 涙色 さまよう君の背中を月が照らしてた 迷って迷って 君がね何も見えなくなって どこかで一人泣いていたって明かりを灯すから 僕の目を仰いで仰いでそらさないでいてくれないか このまま朝焼けを迎えにいこうほらうなずいて微笑んでくれ クローバークローバー 君はね僕の太陽なんだ どんなに暗く閉ざされたって光が見えるから 僕の手をつかんでつかんで離さないでいてくれないか いつの日かこの歌が風に乗って誰かの愛に変わる日まで 足りないものなど何もないんだよ 僕には君がいる ただそれだけでいい
9,呼吸,"
菅田将暉",菅田将暉・飛内将大,飛内将大,愛する人のために生きる そんなことは 僕はもうやめた 出逢った日にミラー越しの いつわりのない笑顔 黒いコンバース 思いだして もどかしさとせつなさが夢をみせた 窓にうつる横顔がゆれてた 息をすう 息をはく ただそれだけのことで どうして人は苦しむのだろう 見あげた空のむこう 太陽は今日もまた微笑んでいる 君の笑顔に似ていたんだ 行き場のないこの想い 抑えきれずひとりきりでもがいた きっとあのころは やさしさを間違えてた 涙なんか本当は見たくない 傷つけて 傷ついて 君をだいじに想えた どうして人は愛するのだろう 消えないこの想い 君だけはそばにいる気がしていた あの日の笑顔 わすれたいな 好きです 好きでした 今じゃ届かない さみしくて くやしくて 満たされる日なんかない 君を愛したい 息をすう 息をはく ただそれだけのことで どうしてこんなに苦しいのだろう 見なれた東京のくもり空 なぜか心地いいビル風 君のいない道 歩きはじめた これから何をする どこへ行く ただ飛べるだけの翼を手にいれたよ わすれないで 愛することをわすれないよ
