,Unnamed: 0,Song,Artist,Lyricist,Composer,Lyric
0,0,A・RA・SHI,"
嵐",J&T,馬飼野康二,はじけりゃ Yea! 素直に Good! だからちょいと重いのは Boo! That's all right! それでも時代を極める そうさボクらはSuper Boy! We are “COOL” やな事あってもどっかでカッコつける やるだけやるけどいいでしょ？ 夢だけ持ったっていいでしょ？ You are my SOUL! SOUL! いつもすぐそばにある ゆずれないよ 誰もじゃまできない 体中に風を集めて 巻きおこせ A・RA・SHI A・RA・SHI for dream 今日もテレビで言っちゃってる 悲惨な時代だって言っちゃってる ボクらはいつも探してる でっかい愛とか希望探してる Everyday! Everybody! まだまだ世界は終わらない いまから始めてみればいいじゃない Let's get on! Let's get on Yea! Step by step ブッ飛ぶよりも裸のまま突っ込め Day by day 退屈よりも Ah刺激がほしいから おおきな翼ひろげよう You are my SOUL! SOUL! いつもすぐそばにある ゆずれないよ 誰もじゃまできない 体中に風を集めて 巻きおこせ A・RA・SHI A・RA・SHI for dream 激しい嵐 両手に受けとめ 勇気をだして 今飛び立とう 天を飛びかう 無敵の雲は Fly away Step by step ブッ飛ぶよりも裸のまま突っ込め Day by day 退屈よりも Ah刺激がほしいから おおきな翼ひろげよう You are my SOUL! SOUL! 強くしてくれるから 涙だって そうさ明日のEnergy 未来に向かって激しく突き抜けろ A・RA・SHI A・RA・SHI Oh Yea! You are my SOUL! SOUL! いつもすぐそばにある ゆずれないよ 誰もじゃまできない 体中に風を集めて 巻きおこせ A・RA・SHI A・RA・SHI for dream 今日もテレビで言っちゃってる 悲惨な時代だって言っちゃってる ボクらはいつも探してる でっかい愛とか希望探してる Everyday! Everybody! まだまだ世界は終わらない いまから始めてみればいいじゃない Let's get on! Let's get on Yea! You are my SOUL! SOUL! いつもすぐそばにある ゆずれないよ 誰もじゃまできない 体中に風を集めて 巻きおこせ A・RA・SHI A・RA・SHI for dream
1,1,感謝カンゲキ雨嵐,"
嵐",戸沢暢美,馬飼野康二,Smile Again I'm Smiling Again Smile Again I'm Smiling Again So So イイことなんてない 方向オンチの情熱Live 毎日 a Fool 墓穴掘る Fall だけど何かにあこがれてたい 感動しない日々の中で 不確かな希望が Believe In Love いつか靴底で踏みつけたFaithが 君に出会って 血を燃やす 砕け散った気分なら ためらわずに 怒りをヤワな自分 自身に向ける Wow wow まるで ひとりぼっちだと 嘆くそばで ガレキに咲いた花が ユラユラ見てる 誰かが 誰かを 支えて生きているんだ 単純な 真実が 傷をいやしてく Smile Again ありがとう Smile Again 泣きながら 生れてきた僕たちは たぶんピンチに強い Smile Again 君がいて Smile Again うれしいよ 言わないけど はじめての 深い いとおしさは嵐 つらい時は甘えてと 強く思う 大事な人の愛が ハートの包帯 Wow wow ウマクなんて生きれない それは誇り 助けてくれた君は 同じ眼をしてる 余裕をなくして 知らずに傷つけたかい 許して 許されると 人は素直だね Smile Again ありがとう Smile Again 何度でも 立ち上がれる気がしてる 僕の勇気は泉 Smile Again ひとりでは Smile Again いられない とまどうほど切実な 祈るような 恋は嵐 So So イイことなんてない 方向オンチの情熱Live 毎日 a Fool 墓穴掘る Fall だけど何かにあこがれてたい 感動しない日々の中で 不確かな希望が Believe In Love いつか靴底で踏みつけたFaithが 君に出会って 血を燃やす Smile Again ありがとう Smile Again 泣きながら 生れてきた僕たちは たぶんピンチに強い Smile Again 君がいて Smile Again うれしいよ 言わないけど はじめての 深い いとおしさは嵐
2,2,Sexy Zone,"
Sexy Zone",Satomi,馬飼野康二,−空ニ、カザシタ手ノヒラ。− 今、生まれたこの時代の中で 僕ら ひかりさがしている もし凹んでも立ち止まれやしない だって時間(とき)は進んでくから まだ誰にも言ってない夢 心にあるよ 僕らは僕らなり 考えてる 地球はいつでもまわってる 195ヵ国の 夢を乗せながら Mildも地球の裏側じゃ Wildになるよ 時代を創ろう Sexy Zone 次どっちの道を行けばいいか 迷う時がほとんどだけど でも悩んだら自分信じてくだけ 人のせいにしたくはないから 大人の決めたやり方 それが正解なの? 僕らは僕らなり 考えてる 太陽が東に昇る時 ほら地球もまわる 僕ら乗せながら Sexy 時代を創り出す 新しいAgeへ ここからはじまる Sexy Zone どうすれば夢は叶うのかな? 信じて明日へ歩き出す 地球はいつでもまわってる 195ヵ国の 夢を乗せながら Mildも地球の裏側じゃ Wildになるよ 時代を創ろう Sexy Zone −空ニ、カザシタ手ノヒラ。− −空ニ、カザシタ手ノヒラ。−
3,3,Ultra Music Power,"
Hey! Say! JUMP",MSS,馬飼野康二,J Johnnys' U Ultra M Music P Power J Join Together U Universe M Music P and Peace 喜び悲しみ 受け入れて生きる ありのまま立ち向かえ 痛み感じても 誰でもみんなが 孤独な戦士 限りあるこの時を 君に(君に) 奇跡今届けたい Jumping to my dream せつないこの地球(こころ)で Fighting for my dream 太陽抱きしめて 信じているんだ あきらめないんだ 独りじゃないさ 蒼い蒼い地球の為 そう皆の為 大きな奇跡起こせるさ 今こそ僕ら立ち上がろう その愛で 未来を J. U. M. P. J. U. M. P. JUMP! LaLaLa…… 東の空へと LaLaLa…… 明日をつかまえに行くのさ 風を切れ We can try Fly high Johnnys' Ultra Music Power J. U. M. P. J. U. M. P. JUMP! 誰かが呼ぶ声 聞こえる鼓動さ 果てない力持って 君の(君の) 勇気今ためすのさ Jumping to my heart 眩しいこの地球(こころ)で Fighting for my heart 光を抱きしめて 信じているんだ あきらめないんだ 独りじゃないさ 蒼い蒼い地球の為 そう皆の為 大きな奇跡起こせるさ 今こそ僕ら立ち上がろう その愛で 未来を J. U. M. P. J. U. M. P. JUMP! LaLaLa…… 明けゆく空へと LaLaLa…… 未来をつかまえに行くのさ LaLaLa…… 東の空へと LaLaLa…… 明日をつかまえに行くのさ 風を切れ We can try Fly high J Johnnys' U Ultra M Music Power
4,4,無責任ヒーロー,"
関ジャニ∞",上中丈弥(THEイナズマ戦隊),馬飼野康二,オイラ伝説の無責任ヒーロー 夢は無限大の無責任ヒーロー 昭和と平成 またいできました 酸いも甘いも味見してきました バブルがなんたら ITかんたら あ～分かっちゃないけど大変なんでしょ？ みんながみんな不安を抱えてうつむいてるぜ 時代の流れに上がって下がって 君の人生は誰のもの？？ 全力前進 ジャジャジャジャーン 丸腰宿無し ジャジャジャジャーン 笑っておくれよ なるようになるさ 土足でごめんね ジャジャジャジャーン バタ足駆け足 ジャジャジャジャーン まかせておくれよ 何とかなるさ オイラ伝説の無責任ヒーロー 夢は無限大の無責任ヒーロー 恋の綱渡り 愛は一人きり 結局出ない答え探しの旅 駆け引きなんでしょ？ 計算なんでしょ？ あ～分かっちゃいるけど対応出来ないよ みんながみんな愛情に飢えて震えているぜ 些細な言葉に登って下って 君の人生は誰のもの？？ 1 2 の 3 4で ジャジャジャジャーン 汗掻けそこ退け ジャジャジャジャーン 笑って誤魔化しゃなんとでもなるさ 足腰ガクガク ジャジャジャジャーン 歯軋り空振り ジャジャジャジャーン 心１つでなんとでもなるさ オイラ伝説の無責任ヒーロー 夢は無限大の無責任ヒーロー 呼ばれてないけど ジャジャジャジャーン 関係なくても ジャジャジャジャーン 笑っておくれよ なるようになるさ 呼ばれて飛び出せ ジャジャジャジャーン 限界挑戦 ジャジャジャジャーン まかせておくれよ 何とかするさ オイラ伝説の無責任ヒーロー 夢は無限大の無責任ヒーロー
5,5,真夜中のシャドーボーイ,"
Hey! Say! JUMP",ma-saya,馬飼野康二,こっち向いてよ チェリー そっちじゃない チェリー いつでも願いは 届かない あっちこっちに チェリー どっちつかず チェリー 名前を呼ばれて 揺れ惑う 真夜中のカーボーイになって 君を君を奪いたい その笑顔 守るために 命懸けてもかまわない 好きなんだ チェリー うそじゃない チェリー 想いは募っていくばかり ちょっと来てよ チェリー まってるから チェリー つるんとしている その素肌 イヤだよ 触らせたり むじゃきに  人に媚びちゃ 甘くて酸っぱいとこ 残しておいて 「シャドー…」 真夜中のカーボーイになって 君に君に伝えたい もし君が 望むのなら どんな場所へも連れて行く こっち向いてよ チェリー そっちじゃない チェリー いつでも願いは 届かない あっちこっちに チェリー どっちつかず チェリー 名前を呼ばれて 揺れ惑う ダメだよ 安売りしちゃ じらして 勝負しなきゃ 丸くて真っ赤な頬 もったいないよ 「シャドー…？」 真夜中のカーボーイになって 君を君を奪いたい その笑顔 守るために 命懸けてもかまわない 真夜中のカーボーイになって 君に君に伝えたい もし君が 望むのなら どんな場所へも連れて行く 傷つけずに 愛したい…
6,6,君のために僕がいる,"
嵐",大倉浩平,馬飼野康二,いつもと同じ 街角に立ってる そう何を探してる？ 歩く道わからないの？ この惑星の上に 生まれてきたこと もう後悔しないように 勇気をあげる がんばるさ！ 負けないのさ 明日のために 今日がある がんばるさ！ こわがらずに 君のために 僕がいる くやしい気持ち たくさん感じてきた いつまでもできない 自分に涙こぼした どんな暗闇も 胸をはって行ける 約束だよ下を向かない 努力おしまない がんばるさ！ 近道はない 明日のために 今日がある がんばるさ！ 手をのばすんだ 僕のために 君がいる 夕方からのBad My Friends 今日もビデオshopで run×３ クツをはきかえ 胸をきしませ 流れてく時を手に入れる 誰かを信じるとか誰かの うわさ話に音を立てて歩く これしかできない僕たちの迷路の地図はいつ終わるの？ この惑星(ほし)の上に 生まれてきたこと もう後悔しないように 勇気をあげる がんばるさ！ 負けないのさ 明日のために 今日がある がんばるさ！ こわがらずに 君のために 僕がいる がんばるさ！ 近道はない 明日のために 今日がある がんばるさ！ 手をのばすんだ 僕のために 君がいる
7,7,Come On A My House,"
Hey! Say! JUMP",Komei Kobayashi,馬飼野康二,JUMP! JUMP... JUMP... Jumping Girl いつでも君の瞳は Jumping Girl 彼だけ見つめてるけど もっと君を知りたい もっと君に触れたい 膨らむ気持ちは止まらない Come On A My House 「彼が好き？」 (JUMP! JUMP!) Come On A My House 「ボクが好き？」 (JUMP! JUMP!) Come On A My House 答えを (JUMP! JUMP!) Come On A My House 聞かせて (JUMP! JUMP!) Come With Jump ホントに君が好きだよ 素直な気持ち伝えるのさ 華麗にダンス Jumping Love JUMP... JUMP... Jumping Girl 彼とのうわさ話に Jumping Girl こんなに不安になるよ きっと僕の方が きっと君のことを 誰より笑顔に出来るから Come On A My House Love 彼 (JUMP! JUMP!) Come On A My House Gonna Give You (JUMP! JUMP!) Come On A My House Come 彼 (JUMP! JUMP!) Come On A My House あついよ (JUMP! JUMP!) Come With Jump ホントは誰が好きなの？ 君の気持ちを確かめるよ 華麗にダンス Jumping Dream Come On A My House 「彼が好き？」 Come On A My House 「ボクが好き？」 Come On A My House 答えを Come On A My House 聞かせて Come With Jump ホントに君が好きだよ 素直な気持ち伝えるのさ 華麗にダンス Jumping Love Come On A My House Love 彼 (JUMP! JUMP!) Come On A My House Gonna Give You (JUMP! JUMP!) Come On A My House Come 彼 (JUMP! JUMP!) Come On A My House あついよ (JUMP! JUMP!) Come With Jump ホントは誰が好きなの？ 君の気持ちを確かめるよ 華麗にダンス Jumping Dream 高く空へと舞い上がるよ 僕たちの Jumping Love JUMP... JUMP...
8,8,Dreams come true,"
Hey! Say! JUMP",久保田洋司,馬飼野康二,夢見ましょう 素敵なこと 夢見ましょう いつまでも 夢見ましょう 夢のような 夢を見ましょう どこへ 君は向かっていくの 遠い未来へ 話しかけよう 君といるだけでいつでも 強くいられるから (いつまでも) 夢見ましょう 素敵なこと 夢見ましょう いつまでも 夢見ましょう 夢のような 夢を見ましょう どんな 明日がくるとしても 描く情熱 変えられない 君の笑顔はいつでも 勇気にかわっていく (いつでも) 僕たちが見る夢には 幸せがかくれてる 喜びと笑顔抱いて 前に進もう 手を伸ばしてごらん きっとここにいるから こわがらないで 誰もみな ひとりじゃない OH 夢見ましょう Reach for the sky 夢見ましょう Reach for your dream 夢見ましょう Let's take it to the sky 夢を見ましょう We can do it We can do it We can dream 夢見ましょう 素敵なこと Reach for the sky 夢見ましょう いつまでも Reach for your dream 夢見ましょう 夢のような Let's take it to the sky 夢を見ましょう We can do it We can do it We can dream 心ひろげて
9,9,ブルースカイ ブルー,"
西城秀樹",阿久悠,馬飼野康二,あのひとの指にからんでいた ゴールドの指輪をひきぬき このぼくとともに歩いてと 無茶をいったあの日 おそれなどまるで感じないで はげしさが愛と信じた 立ちどまることも許さずに 傷をつけたあの日 ふり向けば あの時の 目にしみる空の青さ思う 悲しみの旅だちに まぶし過ぎた空 思い出した いたずらで人を泣かせるなと 大人から頬を打たれた あのひとも遠く連れ去られ 愛が消えたあの日 少しだけ時が行き もう過去といえる恋の日々を 青空が連れて来た もう二度と逢えぬあのひとだろう 悲しみの旅だちに まぶし過ぎた空 思い出した ラララ… 青空よ 心を伝えてよ 悲しみは余りにも大きい 青空よ 遠い人に伝えて さよならと 青空よ 心を伝えてよ 悲しみは余りにも大きい 青空よ 遠い人に伝えて さよならと
