,Song,Artist,Lyricist,Composer,Lyric
0,ベテルギウス,"
優里",優里,優里,空にある何かを見つめてたら それは星だって君がおしえてくれた まるでそれは僕らみたいに 寄り添ってる それを泣いたり笑ったり繋いでいく 何十回 何百回 ぶつかりあって 何十年 何百年 昔の光が 星自身も忘れたころに 僕らに届いてる 僕ら見つけあって 手繰りあって 同じ空 輝くのだって 二人だって 約束した 遥か遠く終わらないベテルギウス 誰かに繋ぐ魔法 僕ら 肩並べ 手取り合って 進んでく 辛い時だって 泣かないって 誓っただろう 遥か遠く終わらないベテルギウス 君にも見えるだろう 祈りが 記憶を辿るたび 蘇るよ 君がいつだってそこに居てくれること まるでそれは星の光と 同じように 今日に泣いたり笑ったり繋いでいく 何十回 何百回 ぶつかりあって 何十年 何百年 昔の光が 僕自身も忘れたころに 僕らを照らしてる 僕ら見つけあって 手繰りあって 同じ空 輝くのだって 二人だって 約束した 遥か遠く終わらないベテルギウス 誰かに繋ぐ魔法 どこまで いつまで 生きられるか 君が不安になるたびに強がるんだ 大丈夫 僕が横にいるよ 見えない線を繋ごう 僕ら見つけあって 手繰りあって 同じ空 輝くのだって 二人だって 約束した 遥か遠く終わらないベテルギウス 誰かに繋ぐ魔法 僕ら 肩並べ 手取り合って 進んでく 辛い時だって 二人だって 誓っただろう 遥か遠く終わらないベテルギウス 君にも見えるだろう 祈りが 空にある何かを見つめてたら それは星だって君がおしえてくれた
1,インフィニティ,"
優里",優里,優里,蹴とばした石が転がる道 意地っ張りな君 似てる同士 素直になれずに I will remember record スニーカーと真似をした 古いもの新しいもの分け隔てもなく I like what I always like oh oh oh oh 想像しない wall ride 笑わせてくれたね all right all night 朝を待ってた もう一人の自分みたいに思ってるよ 一生 共にいこう 君と行こう 涙の海の向こう 進めるよ 動けるよ 力になれるよ 共にいこう 君と行こう 想いがあるなら Let's keep feelings Let's keeping your heart 僕らのままで Happiness with you 空っぽのシガーケースの中 背伸びをしてた 僕が今 素直になれた I will remember 固く結んだシューレース 僕が好きな色にしよう 無限大なんだ I like what I always like oh oh oh oh 大胆不敵 wall ride 笑わせてやるさ all right all night 超えてきたのさ もう一人の自分みたいに思ってるよ 一生 共にいこう 君と行こう くだらない話を 君としよう いつまでも 隣で笑いたい 共にいこう 君と行こう 想いがあるなら Let's keep feelings Let's keeping your heart 気付けば傍に 明日世界が終わるなら 特別とか別にいらないから いつもと同じペース 変わらない僕らで居よう そう『今』が美しいよ 共にいこう 君と行こう 楽しいだけじゃない ここにいる 傍にいる 力になってる 共にいこう 君と行こう 想いがあるなら Let's keep feelings Let's keeping your heart 一人じゃないよ どんなときも傍に居る くだらない話を 何度でもすればいい 思い出し笑うよ 共にいこう 君と行こう 想いがあるなら Let's keep feelings Let's keeping your heart いつでも胸に君が居る
2,かくれんぼ,"
優里",優里,優里,散らかったこの狭い部屋は 孤独と二人息がつまる 文句を言いながら片付けてくれた君は出かけたまま 君にもらったタンブラー 自由の女神のイラストも 部屋の隅で寂しそうな顔をしてる 君はまたねって言ったよね 嘘はやめてと口うるさく言ってたでしょ そんな君が嘘をつくの？ 僕を一人置いていくなんて間違ってるよ かくれんぼなんかしてないで もういいよって早く言って もういいかいその言葉が宙に舞う かくれんぼなんかしてないで まだだよって焦らさないで もういいかいもういいかい グッバイ 君の夢何度も僕は見るたびに またかよって言葉をこぼして一人泣きまた夢の中に 部屋に隠れた面影達は 簡単にみつけられるのに 君はさ隠れるのが上手だね 僕は目瞑って 膝抱えて まだ10秒 数え終わっていないのに 覗き見してズルしたから 君はどこかいなくなってしまったのかな ジャンケンで負けて僕が鬼？ そんな上手に隠れないで 出てきてよもういいだろ日が沈む かくれんぼなんかしてないで この声に答えてよ もういいかいもういいよ聞かせて どこにいるの バカだよなわかってるよバカさ もう君からは僕を感じないんだ 君の頭の中は 満員まるで朝の小田急線 僕が乗り込む隙間なんて ないのかな ひとりにしないで かくれんぼなんかしてないで もういいよって早く言って もういいかいその言葉が宙に舞う かくれんぼなんかしてないで まだだよって焦らさないで もういいかいもういいかい グッバイ グッバイ
3,かごめ,"
優里",優里,優里,拳をまた握りしめた 怒りのまま恨んでやるのさ そいつの胸ぐらを掴んで 力のまま殺してやるのさ 歪んだ顔がほらバラバラに 崩れ落ちあたりに飛び散る血 法を犯さない方法で 自分を殺す方法があるなら僕を今すぐ殺してみたい 誰かが死んでもね イラつくくらいでした 乱れたダイヤに舌打ちして 溜息をついた 貴方が死んだこと 昨日聞かされました 拳に刺さるこの鏡じゃ痛みも足りない かごめ かごめ 後ろの正面だあれ 血も涙も流れるのに 心のまま動けないのさ 壊れる事に慣れたから 思いのまま使われるのさ 軋んだ身体が叫ぶ声に 耳も傾けずににべもなし 愛する人だけ守れりゃ良い 他人を蹴落とせどこれが正義など なんと小さき人でしょうか 貴方が死んでもね 悲しむ以外なくて 非力を正当化するだけの脳みそが恨めしい 黄色い線の外で懺悔を繰り返した 綺麗なものを見かける度 黒く澱んでく かごめ かごめ 後ろの正面だあれ 幸せってどんな顔で俺の事を見てんの 幸せってどんな顔で俺の事を笑うの 生きるために必要な最小ってなんでしょう 君のために僕ができる何かってなんでしょう 愛を持って生きろって どの面で歌うの 信じられるものなんて 積み上げてないから あれもこれも目に刺さって 心流れる どうせいらない いらない 俺が生きてるこの世界じゃ見向きもされない 飛び込んだとしても誰も悲しまぬなら 俺は俺らしく生きてやろう 泥水の中で 高く高く飛べたらいいな
4,桜晴,"
優里",優里,優里,窓に洗濯物が揺れる どこか懐かしい午後は 母の声が聞こえそうで 胸がいつもより狭くなる 桜のはなびら 散るあの高架下 父の背中を追いかけていた 今日は うまく笑えない 悲しくないのに 父と母の面影浮かぶ 僕の背中を押した 桜晴 涙が溢れそうになるのは何故 スーパーの買い物袋の 音とただいまの声に いつもと違うありがとうが 胸にそっと溢れてくる どんな時も 育ててくれた貴方と 心無き声にくじけた夜 今日は うまく笑えない 悲しくないのに 突き刺すような言葉さえも 僕の背中を押した桜晴 足を踏み出せるんだ そう思うよ 同じ歌を 口ずさめば きっと何かわかる 憎しみとか苦しいこと 今はただ忘れて 今日は うまく笑えない そのままでいいよ 言葉を胸に行く 桜晴 今はさよなら またねでいいかな どんなに遠くなっても 忘れたくない
5,シャッター,"
優里",優里,優里,君と見るはずだった花火が 夜の隙間を埋めてく 感傷にひたっちまうから Twitterは閉じた 棚の上に置いたカメラも 今距離を置きたいくらい 僕は今日全て失って 一日中泣いていた 本当の気持ちは やっぱりわからないけど 君のアルバムに居る僕を全部 消したんでしょう シャッターが落ちるみたいに 君を切り取って恋に落ちて 心のアルバムに全部 そっとため込んでた だからさ だからさ 仕草も匂いも覚えている シャッターを切る時間も 君に触れていれば良かった 全ての時間を君だけに使えばよかった お決まりのデートコースと お決まりの愛の言葉 見栄えの良いものばかりが インスタに残った 棚の上に置いたカメラじゃ 映せないものが 君と僕の間にあって それに気づけなかった 今でも気持ちは やっぱりわからないけど 君のアルバムに居る僕は全部 いらないんでしょう シャッターが落ちるみたいに 君を切り取って恋に落ちて 壊したくなくて無難に きっとやり過ごしてた だからさ だからさ 映りの悪い僕だったろう シャッターを切る時間も 君に触れていれば良かった 全ての時間を君だけに使えばよかった どんなに綺麗で美しい宝石みたいな思い出も そこに僕が居なきゃ 君が居なきゃ 何の意味もないのに シャッターが落ちるみたいに 君を切り取って恋に落ちて 壊したくなくて無難に きっとやり過ごしてた だからさ だからさ 映りの悪い僕だったろう シャッターを切る時間も 君に触れていれば良かった シャッターが落ちるみたいに 君を切り取って恋に落ちて 心のアルバムに全部 そっとため込んでた だからさ だからさ 仕草も匂いも覚えている シャッターを切る時間も 君に触れていれば良かった 全ての時間を君だけに使えばよかった
6,ドライフラワー,"
優里",優里,優里,多分、私じゃなくていいね 余裕のない二人だったし 気付けば喧嘩ばっかりしてさ ごめんね ずっと話そうと思ってた きっと私たち合わないね 二人きりしかいない部屋でさ 貴方ばかり話していたよね もしいつか何処かで会えたら 今日の事を笑ってくれるかな 理由もちゃんと話せないけれど 貴方が眠った後に泣くのは嫌 声も顔も不器用なとこも 全部全部 嫌いじゃないの ドライフラワーみたい 君との日々もきっときっときっときっと 色褪せる 多分、君じゃなくてよかった もう泣かされることもないし 「私ばかり」なんて言葉も なくなった あんなに悲しい別れでも 時間がたてば忘れてく 新しい人と並ぶ君は ちゃんとうまくやれているのかな もう顔も見たくないからさ 変に連絡してこないでほしい 都合がいいのは変わってないんだね でも無視できずにまた少し返事 声も顔も不器用なとこも 多分今も 嫌いじゃないの ドライフラワーみたく 時間が経てば きっときっときっときっと色褪せる 月灯りに魔物が揺れる きっと私もどうかしてる 暗闇に色彩が浮かぶ 赤黄藍色が胸の奥 ずっと貴方の名前を呼ぶ 好きという気持ち また香る 声も顔も不器用なとこも 全部全部 大嫌いだよ まだ枯れない花を 君に添えてさ ずっとずっとずっとずっと 抱えてよ
7,夏音,"
優里",優里,優里,夏が終わる音がする ずっと傍に居たいと思った 遠く打ちあがった花火 気持ちに重なって 弾けたんだ 段ボールがまだ散らかるこの部屋 君と今日から歩いて行く 趣味が違ったり、好き嫌いがあったり 知るほどにさ 嬉しくなるんだ 退屈を持て余して くすぐったり 背中を寄せたり 何もなくても構わないさ ただ君がそこに居るなら 夏が終わる音がする ずっと傍に居たいと思った 遠く打ちあがった花火 気持ちに重なって 弾けたんだ ひとつひとつと覚えていくよ 何を笑い 何を怒るのか 色とりどりの花束 隠していたプレゼントは何故 バレていたの らしいねってさ こんな時間が続いたら 夏が終わる音がする ずっと傍に居たいと思った 遠く打ちあがった花火 気持ちに重なって 弾けたんだ 花火の音に掻き消されてしまわぬように 抱き寄せてお互いの心音を聞こう 息を吐いて君の眼を見つめながらキスをした もう何もいらない 夏が僕らを駆けてく ずっと傍に居たいと思った 遠く感じた恋花火 二人のこの部屋で始まってく
8,飛行船,"
優里",優里,優里,空に向かう飛行船 眺めていた 僕も絶対に強くなるからと 誓ったあの日に焦りもあるんだ 君を乗せて行くって決めた日から 誰でもなく自分のために 泣いて笑ってきた日々が 分厚い雲 突き破る時か来た 膨らんだこの飛行船は 僕らで空に飛ばしたんだ 胸が熱く燃える推進力は 君がくれたから 身体中駆け巡って 壊れそうでも動かすんだ 僕と君の飛行船だから 深い青に潜って 探していた あの日の誓いを 君は覚えている？ 叶ったらだとか 迷ったらだとか 未来が果てしなくて きっと 想像以上の 涙も痛みも こんなに身体を蝕む 最悪な夜も 不器用でも叫ぶ 抱え込む全てを投げ捨てても あの広い青へ 膨らんだこの飛行船は 僕らで空に飛ばしたんだ 胸が熱く燃える推進力は 君がくれたから 身体中駆け巡って 壊れそうでも動かすんだ 僕と君の飛行船だから もう無理だなんて 諦める駄目な性分も 限界を超えて進む度に 燃えて消えた そうさ 小さな身体だ きっと誰よりも臆病だ 燃料が尽きそうな不安も 全部掻き分けるんだ 嵐の中の飛行船は 僕らで空に飛ばしたんだ 胸が熱く燃える推進力は 君がくれたから 身体中駆け巡って 壊れそうでも動かすんだ 君が諦めそうなときだって ボロボロの飛行船は 僕らで空に飛ばしたんだ たどり着くかどうかなんていいんだ 一人にしないさ 身体中駆け巡って 壊れそうでも動かすんだ 僕と君の飛行船だから 止まれないんだ 止められないんだ 止まりたくないんだ
9,ピーターパン,"
優里",優里,優里,いつまで子供のままでいる？そんな言葉がふりかかる 黙って見てればいんだ笑ってそういってやれ 人生にはないんだ take2 平凡でくだらない退屈 なんてごめんだ 現実的な 言葉なんかにゃ耳をふさげ ネバーランドに閉じこもって いつまでだって夢を語るんだ 笑う奴には 唾を吐け にっちもさっちもいかない？ 綺麗事に踊り踊らされ 大人の言う常識なんてものは 丸めて捨てちまえ ピーターパン症候群と指をさされ 罵られようが おとぎ話みたいなハッピーエンドを 思い描いて生きていくんだ こっち指差して笑ってんだろ 好きに笑えよそれで別にいいさ お前なんかにそうお前らなんかに なにも言われたくない 黙って見てろ やり直しのきかない人生 一度でいいチャンスをください 掴んで離さない もう俺のものなんだ ネバーランドの大気圏を 破って今夢をかなえるんだ 笑う奴など蹴り飛ばせ 打つ手はない残されてない？ ネガティブを押し付けてくんな 大人のあんたも知らない世界を 俺は生きてるんだ ピーターパン症候群と 思われたって馬鹿にされたって おとぎ話みたいなハッピーエンドに 一直線に進んで行くんだ 夢の見過ぎと馬鹿にされた少年が 夢を掴む物語を 見事な逆転劇をこの手で 巻き起こせ 見せつけろ にっちもさっちもいかない？ 綺麗事に踊り踊らされ 大人の言う常識なんてものは 丸めて捨てちまえ ピーターパン症候群と 指をさされ 罵られようが おとぎ話みたいな ハッピーエンドを そう自ら掴みとるんだ
