,Song_Title,Artist,Lyricist,Composer,Lyric
0,声,"
嵐",小川貴史,多田慎也,風の街に佇んだまま 振り向けばもう陽は落ちて消えてた 始まる静かな夜を一人で見ていた 君といつも待ち合わせた場所を避けてまだ遠回り 街の灯りが輝くたびに また僕は立ち止まる 小さな嘘もわがままも いつも君のせいにしようとした 空を見上げて何度も 思い出せば心が張り裂けそう サヨナラずっと君だけを 守りたかったいつまでも 無理に笑って忘れたふりしても 君をずっと忘れない 触れた指と指で探す 君の気持ち 僕の想い どんな言葉もいらないくらい 心に手が届いた 君には君の空があり 僕に見えたのは僕の空 ふたり重ねたカタチが すこしずつ変わっていた あの頃は… 声を枯らして叫んでた 届かないんだ この想い 君と誓った未来は途切れた あの日はきっと返らない サヨナラずっと君だけを 守りたかったいつまでも 無理に笑って忘れたふりしても 君をずっと忘れない
1,声なき声がきこえる,"
近藤房之助×森友嵐士(T-BOLAN)",近藤房之助,森友嵐士,"いつか君のために歌うと言ったよね 嘘じゃない 今もそう思ってる 遠まわりのこの人生をどうか笑わないで 勿忘草(わすれなぐさ)がようやく咲く様に 僕はもう一度歩こう 数えきれないほどの星を見上げて 君がどこにいるのかわからない そんな旅だった様な気がする 声にならないこの声がきこえるかい 僕のこの声はまだ君に届いているかい Oh my sweat heart, Please feel here I am 急ぎ足のこの人生をどうか笑わないで 知らぬふりの海は今日はおだやか だからもう一度歌おう 祭り事だけの人生なんて 神々の恵みにも気づこうともしない そんな旅だった様な気がする 声にならないこの声がきこえるかい 僕のこの声がまだ君に届いているかい 声にならないこの声がきこえるかい 僕のこの声はまだ君に届いているかい 声にならないこの声がきこえるかい 僕のこの声がまだ君に届いているかい Oh my sweat heart, Please feel here I am"
2,心こめた愛の調べ,"
五十嵐浩晃",五十嵐浩晃,五十嵐浩晃,心こめた愛の調べ すべてを君にあげる うけとめてくれるように そっと祈るよ 涙だけが友達だった 僕に夢をくれた 君にありがとう そのひとことを 今 今 君につらい日が もしもあったら 話しにきてね 僕のところへ 心こめた愛の調べ すべてを君にあげる うけとめてくれるように そっと祈るよ 感じたまま素直なままに きっと生きてゆける 君に「ありがとう」そのひとことを…… 今 今 君といるだけで 空は青空 歩いてきてね ぼくの後から 今 今…
3,ココロチラリ,"
嵐",TAKESHI,原一博,愛するあまり ココロチラリ Little my love! 交わす瞳 感じてばかり Sweet your eyes! Sweet your love! どうやったって君を意識するのが 今んなって自然だって思えてく 見えない明日に迷う背中は まるで僕そのものだな Ah～すぐに、教えてはあげられないかも Ha～でもね、二人おなじ行きさきなんだ もっと知りたい 奥までのぞきたい 君の願う未来ならば 僕の未来だろう そっとあげたい 全部を届けたい そう当然の Up and down 伝われば越えていく All the way 愛するあまり ココロチラリ Little my love! 交わす瞳 感じてばかり Sweet your eyes! Sweet your love! (Sweet your eyes! Sweet your love! Sweet your heart & soul & smile) ココロチラリ ここらで決まり 真顔で見つめないでいきなり こんなにふるえて熱いBody 君に出会ってからがはじまり だから結局そうだ 僕らの想い触れてるようだ この星と宇宙の輝きを 肌にあつめて浴びればCommunicate なんだっていつもイメージするから 自分でもときどき 笑えちゃう 街を流れるラブソングひとつも 考え深いものだな Ah～なんて、君の事みたいな歌だろう Ha～今度、分かる？ ほらねって聞かせたいな もっと抱きたい 芯までとけてたい 君がそばにいてくれたら 僕は夢になろう 色褪せない 奇跡をおこしたい そう空前の Up side down どこまでも越えていく All the way 愛するあまり ココロチラリ Little my love! 交わす瞳 感じてばかり Sweet your eyes! Sweet your love! ココロチラリ ここらで決まり 真顔で見つめないでいきなり こんなにふるえて熱いBody 君に出会ってからがはじまり だから結局そうだ 僕らの想い触れてるようだ この星と宇宙の輝きを 肌にあつめて浴びればCommunicate Mamamamamamamama～ Mamamamamamamama～ ……
4,心の空,"
嵐",布袋寅泰・Rap詞：櫻井翔,布袋寅泰,目を閉じて 両手を広げ 風を抱け 自由の翼 We are サムライ 大和撫子 舞い踊れ炎のように 奇跡の惑星(ほし)を故郷(ふるさと)に 巡り会えた一期一会 同じ夢を僕たちは ずっと追いかけ続けてる 目を閉じて 両手を広げ 風を抱け 自由の翼 人は誰もが挑戦者 迷い戸惑い戦って 傷ついても信じてる きっと光を掴めると 春待ち桜 月夜の花火 燃える夕焼け ふわり初雪 どんなときも 離れてでも 心に同じ空がある 幸せのかけらを 愛しき切なさを 分かち合い 絆に変えて 優しさを誇りに 気高くしなやかに 笑顔を未来に繋ぐことが 僕らの使命 だろ? Here is El Dorado 囲まれる碧 他の空と繋ぐ“Hey！ Hello！” 響くこの唄を 一つに歌おう 以って貴きこの和を (この和を) 巡り巡りゆく春夏秋冬 ヤオヨロズ集合 (We're like 五奉行) ずっと不動の地へと ゆこう スサノヲ散らす風防 (you know) We are サムライ 大和撫子 舞い踊れ炎のように 孤独や涙を 痛みや悲しみを 分かち合い 勇気に変えて 優しさを誇りに 気高くしなやかに 笑顔を未来に繋ぐことが 僕らの使命 だろ？ 目を閉じて 両手を広げ 風を抱け 自由の翼 舞い踊れ嵐のように
5,Cosmos,"
嵐",pause・eltvo・Rap詞：櫻井翔,Erik Lidbom,Wow wow wow wow wow... 君の小さな希望に 砂漠の少年が手を叩く 立ち上がる街の若者は 昇りゆく太陽にウインクした Wow wow wow wow wow... 風を切って 雲を抜けて 虹を越えて それぞれの想い胸に 世界を繋げ 響け Wo-oh-oh Wo-oh-oh Wo-oh-oh 心は今 深く澄んだ青に染まる We're goin' Wo-oh-oh Wo-oh-oh Wo-oh-oh 君がいれば 何も怖くはない 人は誰も 愛されて生まれる We're goin' Wo-oh-oh Wo-oh-oh Wo-oh-oh いつか この声が世界を包む日まで 朝陽あびて目覚めた 少女の夢が聴こえる 地球(ほし)のどこにいたって みんなの笑顔感じてる 耳を澄まして 手を伸ばして 気持ち揃えて それぞれの想い胸に ココロを開け 届け Wo-oh-oh Wo-oh-oh Wo-oh-oh 心は今 熱く燃える赤に染まる We're goin' Wo-oh-oh Wo-oh-oh Wo-oh-oh 君を守る そのために生きてる 人は誰も 信じて強くなる We're goin' Wo-oh-oh Wo-oh-oh Wo-oh-oh いつか この声が未来に続くように 時間(とき)のバトンを繋いで 夜明けはやってくるから ひとりひとりの想いを抱いて 目覚める 陽が昇りゆく 僕らどこに行(ゆ)く 澄み渡る 海渡る 大地を踏み鳴らす烏(カラス) (×2) 響け Wo-oh-oh Wo-oh-oh Wo-oh-oh 心は今 深く澄んだ青に染まる We're goin' Wo-oh-oh Wo-oh-oh Wo-oh-oh 君がいれば 何も怖くはない 人は誰も 愛されて生まれる We're goin' Wo-oh-oh Wo-oh-oh Wo-oh-oh いつか この声が世界を包む日まで 君へ贈ろう
6,言葉より大切なもの,"
嵐",TAKESHI・Rap詞：櫻井翔,飯田建彦,切りとったメロディー繰り返した 忘れないように 言葉よりも大切なもの ここにはあるから 無理して笑うには理由がなさすぎて 強い風の中だ 引き裂かれたまま路上にちらばった いびつな夢の欠片 冷めたフリしても伝わる愛で どんな歌をうたうんだろう さぁ行こうOur life 透きとおったメロディー胸にひめた 無くさないように 言葉よりも大切なもの ここにはあるから Wow wow wow wow～ どうして見えるのに触れそうなのに でも遠い理想とか つい愚痴っぽくなって弱さがイタくて 見られないように泣いた 今はそれが等身大の素顔で どんな明日に変えてみよう 希望というOur life 遥かな空に夢を投げて 泪をぬぐえば 言葉よりも心のほうが 答えになるから Wow wow wow wow～ 例えばの話 旋律奏でて あの時の朝日 仕舞って二人は離れて 「またね」って 言葉を残して別れていっても 確かな この夏だけは君と共に 疑うことなく旅する雲が 素晴らしい今日も あなたよりも大きな愛は どこにもないんだよ 切りとったメロディー繰り返した 忘れないように 言葉よりも大切だから あなたに届けた Wow wow wow wow～
7,この手のひらに,"
嵐",佐伯youthK・SQUAREF・John World,Supercharge・佐伯youthK,いつの間に忘れてた夢 指差した向こうは遠く滲み出して 君と重ねたパズルのピースの残りを探した いつか僕ら 誰もが羨む きっとそんな二人になれる っていう理想ばっか 並べてさ 明日も見ないで 手をつないで どんな道もどんな天気でも この手には 乗り越えていける力があると 信じて手を広げてきたよ 君と 何回も何回も確かな夢 描いたこの手のひらは 何でも何でも欲しがってしまって 指の隙間から 泣いてもがいても こぼれてくだけ 今更こんなこと 嘆いたって 時間(とき)は過ぎていって この手のひらに 刻まれていくよ 君を笑わすためだけに ありったけの知恵を絞って見つめた それだけで僕が見てた世界すべて満たされてた きっと二人 めぐり逢うために ずっとお互い探してた っていう理想ばっか 信じてさ 夢だけ語って 時間(とき)重ねた 叶わぬことはないと思ってた あの頃は ぼやけた未来キラリ光ってた 迷わず今日を抱き締めたよ 君が 何度も何度も好きだと言った 背中をこの手で抱いた いつでもどこでも一緒だよって 誓った指先 生まれ変わっても また逢おうって 消えそうな約束を 今だって 憶えているって この手のひらには… また一つの思いの線が 消えることのない想いが 時間(とき)を止めて… 君と 何回も何回も確かな夢 描いたこの手のひらは 何でも何でも欲しがってしまって 指の隙間から 泣いてもがいても こぼれてくだけ 今更こんなこと 嘆いたって 時間(とき)は過ぎていって この手のひらに 刻まれていくよ
8,この街でいまキミと,"
Liella!",宮嶋淳子,めんま,いつも待ち合わせより 15分前集合 駅の改札ぬける ざわめきにわくわくだね どこへ向かうかなんて 気にしないであるいてく いっしょに過ごすってこと それが一番大事だよ 未来の色はまだ ぼやけて見えやしない ただひとつ分かるのは キミが キミが 好きだ どんなときも踊るように 交差点こえていけ 押し寄せる人の波 するりすり抜け自由自在さ キミは少し前の方で いたずらに笑ってる ありきたりないまでも 最高の「いま」さ この友情はかわらないよ 答えのないことばっか ループしてずっと喋ってる ペットボトルのしずく 指でもてあそびながら 楽しい時間てさ なぜかあっという間だね 心は空っぽで はずむ はずむ ひかる ゆるめのリズム踊るように 一秒ずつを遊べ いつか手を伸ばしても 届かなくなる日がくるのかなぁ それでもいーんだ！ 茜色に染まる空めがけて 大きな声でキミに約束するよ この瞬間は永遠だって！ セカイはどこまで続いてゆくんだろ 分からないからキミといまだけを見てるよ どんなときも踊るように 交差点こえていけ 押し寄せる人の波 およいでゆこう この街でいま キミは少し前の方で いたずらに笑ってる ありきたりなことでも ぜんぶ特別さ わたしたちずっと友達だよ
9,このままもっと,"
櫻井翔(嵐)",100+・Rap詞：櫻井翔,100+,"重なり合ったvibration 君と鳴らしたheart beat 風が通り過ぎた あの頃からほんのちょっと 大人になれた気がした 巡る季節 言葉にならない声が 僕の胸の中で繰り返す いつからだろうこんなに 君といる時間は愛しくて 色褪せないよ 過去と未来をつないでここにいる 耳すませば 聞こえてくるよ あの日の stay gold このままもっと 伝わるように 変わらぬ愛を ささやかな日々に溢れている I love you 深く絆つないでゆく これからもっと 輝くように 明日は素晴らしい 二人だけの baby, please stay gold 愛の花を baby, I love you いつまでも 部屋に飾ったportrait 君と笑ったmemoryを連れて ドアを開けた 君と結んだ点と線を 永遠に辿れるように 願い込めて 雨上がり薫る午後に 水たまりが映す空の上 飛び越えてみた僕らは ゆるやかな時間も愛しくて もしも僕が あの頃の景色 いつか忘れても いつもそばに 君がいたこと 忘れないだろう そのままもっと 同じ想いで 変わらぬ愛を ありふれた日々に記してゆく I love you 君とのページ増えてゆく 君にはもっと この先ずっと 笑っていて欲しい 雨の日でも baby, please stay gold 風の日でも baby, I love you いつまでも 笑顔の裏の涙のワケを 解らずに過ごしているよ いまも どんな日々を過ごして来たのかと 気になるの いまも 木漏れ日射す あの香りの記憶 窓の外を眺める度匂う 明日を祈る 明日が実る 息吹き始めている瞬間(とき)よ モノクロが色づき始める感覚 意味を失い始めた短冊 不安な 自分がまた嫌になる つまんない 気持ちも歌になるなら “I love ... love you my boo.” 僕らだけに分かるような合図 All I want to say“I love ...” どんな言葉も宙を舞う このままもっと 伝わるように 変わらぬ愛を ささやかな日々に溢れている I love you 深く絆つないでゆく これからもっと 輝くように 明日は素晴らしい 二人だけの baby, please stay gold 愛の花を baby, I love you いつまでも"
